DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950101,1995.0013,-98.1,96.2,-80.3,rrr,2.9,3.5,10.8,0.0596,Southern_California.19950101.stacov.point-2016/02/16-09:19:57 
19950102,1995.0041,-99.4,98.7,-79.3,rrr,2.9,3.5,10.8,0.0589,Southern_California.19950102.stacov.point-2016/02/16-09:19:57 
19950103,1995.0068,-99.4,96.5,-76.3,rrr,3.0,3.4,11.2,0.0471,Southern_California.19950103.stacov.point-2016/02/16-09:19:57 
19950104,1995.0095,-100.4,96.9,-105.0,rrr,3.0,3.4,11.2,0.039,Southern_California.19950104.stacov.point-2016/02/16-09:19:58 
19950105,1995.0123,-99.9,93.8,-83.2,rrr,3.2,3.6,11.9,0.0274,Southern_California.19950105.stacov.point-2016/02/16-09:19:58 
19950106,1995.015,-100.2,94.1,-64.8,rrr,3.0,3.4,10.8,0.0663,Southern_California.19950106.stacov.point-2016/02/16-09:19:58 
19950107,1995.0178,-107.0,92.6,-83.0,rrr,3.0,3.5,11.1,0.0462,Southern_California.19950107.stacov.point-2016/02/16-09:19:58 
19950108,1995.0205,-96.7,100.2,-77.1,rrr,3.1,3.5,11.1,0.05,Southern_California.19950108.stacov.point-2016/02/16-09:19:58 
19950109,1995.0232,-94.3,102.9,-70.3,rrr,3.2,3.4,11.3,0.0438,Southern_California.19950109.stacov.point-2016/02/16-09:19:59 
19950110,1995.026,-105.6,94.8,-82.8,rrr,3.3,3.6,11.6,0.0921,Southern_California.19950110.stacov.point-2016/02/16-09:19:59 
19950111,1995.0287,-100.8,92.7,-85.6,rrr,3.0,3.5,11.1,0.036,Southern_California.19950111.stacov.point-2016/02/16-09:19:59 
19950112,1995.0314,-99.4,99.3,-67.8,rrr,3.0,3.5,10.8,0.0775,Southern_California.19950112.stacov.point-2016/02/16-09:19:59 
19950113,1995.0342,-97.4,99.2,-64.1,rrr,3.0,3.5,10.9,0.0489,Southern_California.19950113.stacov.point-2016/02/16-09:19:59 
