DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950420,1995.2996,-355.2,369.8,29.1,rrr,3.2,3.7,12.4,0.0351,Southern_California.19950420.stacov.point-2016/02/16-09:20:22 
19950421,1995.3024,-355.0,370.7,24.9,rrr,3.1,3.8,12.2,0.022,Southern_California.19950421.stacov.point-2016/02/16-09:20:22 
19950422,1995.3051,-353.9,371.1,22.7,rrr,3.0,3.7,11.7,0.0276,Southern_California.19950422.stacov.point-2016/02/16-09:20:23 
19950423,1995.3079,-354.2,372.0,29.6,rrr,3.1,3.9,12.4,0.0335,Southern_California.19950423.stacov.point-2016/02/16-09:20:23 
19950424,1995.3106,-354.0,370.0,26.9,rrr,3.1,3.8,12.4,0.0556,Southern_California.19950424.stacov.point-2016/02/16-09:20:23 
19950511,1995.3571,-355.8,373.8,32.6,rrr,3.3,4.0,13.1,0.0137,Southern_California.19950511.stacov.point-2016/02/16-09:20:27 
19950512,1995.3599,-358.2,371.1,29.7,rrr,3.3,3.9,13.1,-0.0002,Southern_California.19950512.stacov.point-2016/02/16-09:20:28 
19950513,1995.3626,-358.9,368.1,36.6,rrr,3.3,4.2,13.3,-0.0156,Southern_California.19950513.stacov.point-2016/02/16-09:20:28 
19950514,1995.3654,-354.1,369.8,31.2,rrr,3.2,3.9,12.4,0.0191,Southern_California.19950514.stacov.point-2016/02/16-09:20:28 
19950515,1995.3681,-354.6,368.5,19.2,rrr,3.1,4.0,12.6,-0.0108,Southern_California.19950515.stacov.point-2016/02/16-09:20:28 
19950516,1995.3708,-357.0,366.8,13.7,rrr,3.3,4.0,13.4,-0.0566,Southern_California.19950516.stacov.point-2016/02/16-09:20:29 
19950517,1995.3736,-357.4,366.9,23.3,rrr,3.1,4.0,12.6,-0.0072,Southern_California.19950517.stacov.point-2016/02/16-09:20:29 
19950518,1995.3763,-356.1,369.4,23.8,rrr,3.4,4.0,12.6,0.0386,Southern_California.19950518.stacov.point-2016/02/16-09:20:29 
19950519,1995.379,-364.1,370.4,138.4,rrr,3.5,4.3,14.0,-0.0175,Southern_California.19950519.stacov.point-2018/07/13-10:51:01 
19950520,1995.3818,-362.1,361.3,35.7,rrr,3.2,4.0,13.1,0.0258,Southern_California.19950520.stacov.point-2018/07/13-10:56:34 
19950521,1995.3845,-363.0,361.7,42.2,rrr,3.4,4.1,13.1,0.0128,Southern_California.19950521.stacov.point-2018/07/13-11:02:04 
19950522,1995.3873,-364.4,360.2,47.5,rrr,3.4,4.1,13.7,-0.03,Southern_California.19950522.stacov.point-2016/02/16-09:20:30 
19950523,1995.39,-363.1,358.4,51.3,rrr,3.4,4.2,14.0,-0.0106,Southern_California.19950523.stacov.point-2016/02/16-09:20:30 
19950524,1995.3927,-364.1,356.5,38.0,rrr,3.2,4.0,12.4,0.0057,Southern_California.19950524.stacov.point-2016/02/16-09:20:31 
19950525,1995.3955,-367.7,359.6,34.3,rrr,3.2,3.7,12.1,-0.0354,Southern_California.19950525.stacov.point-2016/02/16-09:20:31 
19950526,1995.3982,-363.8,359.6,44.4,rrr,3.3,4.2,13.4,-0.067,Southern_California.19950526.stacov.point-2016/02/16-09:20:31 
19950527,1995.401,-361.8,359.3,48.9,rrr,3.4,4.1,13.6,0.0161,Southern_California.19950527.stacov.point-2016/02/16-09:20:31 
19950528,1995.4037,-365.8,363.3,51.2,rrr,3.3,4.1,13.1,-0.0283,Southern_California.19950528.stacov.point-2016/02/16-09:20:32 
19950529,1995.4064,-364.2,359.3,47.2,rrr,3.4,4.3,14.0,0.0009,Southern_California.19950529.stacov.point-2016/02/16-09:20:32 
19950530,1995.4092,-362.5,360.7,41.6,rrr,3.5,4.0,13.6,-0.0578,Southern_California.19950530.stacov.point-2016/02/16-09:20:32 
19950531,1995.4119,-365.2,359.8,45.4,rrr,3.6,4.3,14.6,-0.0556,Southern_California.19950531.stacov.point-2016/02/16-09:20:32 
19950601,1995.4146,-362.7,361.5,40.1,rrr,3.3,4.0,13.3,-0.0178,Southern_California.19950601.stacov.point-2016/02/16-09:20:33 
19950602,1995.4174,-362.3,362.2,48.8,rrr,3.3,4.2,13.6,-0.0209,Southern_California.19950602.stacov.point-2016/02/16-09:20:33 
19950603,1995.4201,-362.7,361.6,50.5,rrr,3.3,4.0,13.1,0.0038,Southern_California.19950603.stacov.point-2016/02/16-09:20:33 
19950604,1995.4229,-365.6,359.5,49.1,rrr,3.3,4.0,13.0,0.0357,Southern_California.19950604.stacov.point-2016/02/16-09:20:33 
19950605,1995.4256,-368.6,358.5,41.9,rrr,3.3,4.1,12.9,0.0005,Southern_California.19950605.stacov.point-2016/02/16-09:20:34 
19950606,1995.4283,-364.3,359.9,44.1,rrr,3.3,4.1,13.0,0.0406,Southern_California.19950606.stacov.point-2016/02/16-09:20:34 
19950607,1995.4311,-367.8,358.6,51.3,rrr,3.3,4.3,13.5,0.0347,Southern_California.19950607.stacov.point-2016/02/16-09:20:34 
19950608,1995.4338,-360.9,360.1,38.7,rrr,3.3,4.1,13.7,-0.0131,Southern_California.19950608.stacov.point-2016/02/16-09:20:34 
19950609,1995.4365,-365.3,359.8,46.0,rrr,3.2,4.1,13.3,-0.0101,Southern_California.19950609.stacov.point-2016/02/16-09:20:35 
19950610,1995.4393,-364.1,361.0,38.8,rrr,3.3,4.0,13.3,-0.0169,Southern_California.19950610.stacov.point-2016/02/16-09:20:35 
19950611,1995.442,-365.4,359.5,42.8,rrr,3.3,3.9,12.9,-0.003,Southern_California.19950611.stacov.point-2016/02/16-09:20:35 
19950612,1995.4448,-365.2,362.0,44.7,rrr,3.7,4.8,15.6,0.0477,Southern_California.19950612.stacov.point-2016/02/16-09:20:35 
19950613,1995.4475,-361.1,359.7,50.0,rrr,4.0,4.9,15.6,0.0451,Southern_California.19950613.stacov.point-2016/02/16-09:20:36 
19950614,1995.4502,-364.6,361.2,46.4,rrr,3.8,4.6,14.9,0.0314,Southern_California.19950614.stacov.point-2016/02/16-09:20:36 
19950615,1995.453,-365.9,359.1,46.9,rrr,3.3,4.0,13.3,0.0241,Southern_California.19950615.stacov.point-2016/02/16-09:20:36 
19950616,1995.4557,-367.2,356.2,49.4,rrr,3.3,4.1,13.6,0.0232,Southern_California.19950616.stacov.point-2016/02/16-09:20:36 
19950617,1995.4584,-365.3,359.6,45.8,rrr,3.3,4.0,13.2,-0.0441,Southern_California.19950617.stacov.point-2016/02/16-09:20:37 
19950618,1995.4612,-361.4,359.6,44.1,rrr,3.3,4.2,13.5,0.017,Southern_California.19950618.stacov.point-2016/02/16-09:20:37 
19950619,1995.4639,-365.0,357.4,48.0,rrr,3.2,4.0,12.9,0.0173,Southern_California.19950619.stacov.point-2016/02/16-09:20:37 
19950620,1995.4667,-363.2,357.6,40.9,rrr,3.2,4.1,12.9,0.0875,Southern_California.19950620.stacov.point-2016/02/16-09:20:37 
19950621,1995.4694,-362.3,359.5,45.2,rrr,3.3,3.9,12.7,0.0229,Southern_California.19950621.stacov.point-2016/02/16-09:20:38 
