DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20001214,2000.9535,-6.0,31.0,-17.0,rrr,2.5,2.9,8.8,0.0595,Southern_California.20001214.stacov.point-2016/02/16-09:33:20 
20001215,2000.9563,-6.4,31.7,-15.7,rrr,2.5,2.9,8.8,0.0472,Southern_California.20001215.stacov.point-2016/02/16-09:33:21 
20001216,2000.959,-5.6,31.4,-16.5,rrr,2.5,2.9,8.8,0.0624,Southern_California.20001216.stacov.point-2016/02/16-09:33:22 
20001217,2000.9618,-4.5,28.5,-12.8,rrr,2.6,2.9,8.8,0.0395,Southern_California.20001217.stacov.point-2016/02/16-09:33:22 
20001218,2000.9645,-3.2,32.5,-16.1,rrr,2.5,3.0,8.9,0.099,Southern_California.20001218.stacov.point-2016/02/16-09:33:23 
20001219,2000.9672,-5.9,32.3,-12.0,rrr,2.7,3.1,9.6,0.1446,Southern_California.20001219.stacov.point-2016/02/16-09:33:24 
20001220,2000.97,-5.5,32.3,-9.2,rrr,2.6,3.0,9.2,0.1016,Southern_California.20001220.stacov.point-2016/02/16-09:33:25 
20001221,2000.9727,-4.9,32.9,-10.6,rrr,2.5,2.9,8.8,0.0663,Southern_California.20001221.stacov.point-2016/02/16-09:33:25 
20001222,2000.9754,-7.7,31.7,-10.3,rrr,2.5,2.9,9.1,0.01,Southern_California.20001222.stacov.point-2016/02/16-09:33:26 
20001223,2000.9782,-6.4,32.0,-9.4,rrr,2.5,2.8,8.8,0.055,Southern_California.20001223.stacov.point-2016/02/16-09:33:27 
20001224,2000.9809,-6.2,32.9,-11.0,rrr,2.9,3.3,10.1,0.0041,Southern_California.20001224.stacov.point-2016/02/16-09:33:28 
20001229,2000.9946,-5.3,31.7,-15.4,rrr,4.5,5.0,15.8,0.1325,Southern_California.20001229.stacov.point-2016/02/16-09:33:31 
20001230,2000.9974,-7.5,28.7,-7.6,rrr,3.7,4.2,12.9,0.0894,Southern_California.20001230.stacov.point-2016/02/16-09:33:32 
20001231,2001.0001,-5.5,32.0,-13.6,rrr,3.7,4.1,12.6,0.0613,Southern_California.20001231.stacov.point-2016/02/16-09:33:33 
20010101,2001.0028,-7.3,31.1,-15.5,rrr,3.5,4.1,12.7,0.0643,Southern_California.20010101.stacov.point-2016/02/16-09:33:33 
20010102,2001.0056,-7.2,29.5,-11.6,rrr,3.6,4.1,12.6,0.039,Southern_California.20010102.stacov.point-2016/02/16-09:33:34 
20010103,2001.0083,-6.9,29.6,-17.1,rrr,3.6,4.1,12.8,0.0634,Southern_California.20010103.stacov.point-2016/02/16-09:33:35 
20010104,2001.011,-5.7,31.9,-8.4,rrr,3.8,4.4,13.8,0.0905,Southern_California.20010104.stacov.point-2016/02/16-09:33:36 
20010105,2001.0138,-5.3,30.1,-13.8,rrr,3.6,4.2,12.8,0.0682,Southern_California.20010105.stacov.point-2016/02/16-09:33:36 
20010106,2001.0165,-4.3,30.2,-10.8,rrr,3.8,4.4,13.6,0.1176,Southern_California.20010106.stacov.point-2016/02/16-09:33:37 
20010107,2001.0193,-6.0,30.8,-9.4,rrr,3.5,4.2,12.4,0.0735,Southern_California.20010107.stacov.point-2016/02/16-09:33:38 
20010108,2001.022,-5.8,32.2,-9.5,rrr,3.6,4.1,12.8,0.0627,Southern_California.20010108.stacov.point-2016/02/16-09:33:39 
20010109,2001.0247,-5.7,31.0,-13.0,rrr,3.6,4.1,12.8,0.0647,Southern_California.20010109.stacov.point-2016/02/16-09:33:39 
20010110,2001.0275,-5.9,32.5,-12.0,rrr,3.8,4.2,13.7,0.0967,Southern_California.20010110.stacov.point-2016/02/16-09:33:40 
20010111,2001.0302,-6.7,33.6,-6.6,rrr,3.7,4.1,13.0,0.0175,Southern_California.20010111.stacov.point-2016/02/16-09:33:41 
20010112,2001.0329,-5.8,31.2,-14.1,rrr,3.7,4.3,13.5,0.0546,Southern_California.20010112.stacov.point-2016/02/16-09:33:41 
20010113,2001.0357,-6.0,32.1,-19.4,rrr,3.7,4.1,13.1,0.0793,Southern_California.20010113.stacov.point-2016/02/16-09:33:42 
20010114,2001.0384,-5.7,30.9,-10.4,rrr,3.7,4.1,13.4,0.0747,Southern_California.20010114.stacov.point-2016/02/16-09:33:43 
20010115,2001.0412,-4.4,31.2,-15.9,rrr,3.7,4.2,13.4,0.0674,Southern_California.20010115.stacov.point-2016/02/16-09:33:44 
20010116,2001.0439,-5.2,29.7,-20.6,rrr,5.4,6.2,18.9,0.0676,Southern_California.20010116.stacov.point-2016/02/16-09:33:44 
20010117,2001.0466,-4.0,29.0,-15.4,rrr,3.7,4.2,13.0,-0.0036,Southern_California.20010117.stacov.point-2016/02/16-09:33:45 
20010118,2001.0494,-6.4,30.7,-14.5,rrr,3.7,4.2,13.0,0.0871,Southern_California.20010118.stacov.point-2016/02/16-09:33:46 
20010119,2001.0521,-6.9,29.7,-16.6,rrr,3.7,4.3,13.3,0.0557,Southern_California.20010119.stacov.point-2016/02/16-09:33:47 
20010120,2001.0548,-5.1,28.7,-15.2,rrr,3.9,4.7,14.3,0.0859,Southern_California.20010120.stacov.point-2016/02/16-09:33:47 
20010121,2001.0576,-5.3,30.1,-17.9,rrr,3.6,4.2,12.9,0.1027,Southern_California.20010121.stacov.point-2016/02/16-09:33:48 
20010122,2001.0603,-6.3,31.5,-11.8,rrr,3.6,4.1,12.7,0.0567,Southern_California.20010122.stacov.point-2016/02/16-09:33:49 
20010123,2001.0631,-4.3,31.5,-15.9,rrr,3.7,4.3,13.1,0.052,Southern_California.20010123.stacov.point-2016/02/16-09:33:49 
20010124,2001.0658,-6.1,31.0,-10.9,rrr,3.7,4.2,13.4,0.0649,Southern_California.20010124.stacov.point-2016/02/16-09:33:50 
20010125,2001.0685,-6.9,31.1,-15.5,rrr,4.2,4.8,15.5,-0.0342,Southern_California.20010125.stacov.point-2016/02/16-09:33:51 
20010126,2001.0713,-8.7,29.2,-7.5,rrr,3.7,4.3,13.5,0.0368,Southern_California.20010126.stacov.point-2016/02/16-09:33:52 
20010129,2001.0795,-8.1,30.0,-13.1,rrr,3.6,4.1,12.6,0.0242,Southern_California.20010129.stacov.point-2016/02/16-09:33:54 
20010130,2001.0822,-3.9,31.2,-16.9,rrr,3.6,4.2,12.6,0.0174,Southern_California.20010130.stacov.point-2016/02/16-09:33:55 
20010131,2001.085,-5.3,29.6,-22.3,rrr,3.7,4.3,12.8,0.0349,Southern_California.20010131.stacov.point-2016/02/16-09:33:55 
20010201,2001.0877,-5.1,30.4,-16.5,rrr,3.7,4.2,12.8,0.0394,Southern_California.20010201.stacov.point-2016/02/16-09:33:56 
20010202,2001.0904,-5.5,30.3,-20.6,rrr,3.7,4.0,12.8,0.0242,Southern_California.20010202.stacov.point-2016/02/16-09:33:57 
20010203,2001.0932,-5.6,29.8,-19.4,rrr,3.7,4.1,12.8,0.049,Southern_California.20010203.stacov.point-2016/02/16-09:33:58 
20010204,2001.0959,-7.7,29.7,-20.4,rrr,3.6,4.2,12.4,0.0551,Southern_California.20010204.stacov.point-2016/02/16-09:33:58 
