DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000317,2000.2088,-80.0,45.6,-0.8,rrr,3.7,4.5,13.7,0.0599,Southern_California.20000317.stacov.point-2016/02/16-09:30:19 
20000318,2000.2116,-78.3,46.5,7.1,rrr,3.6,4.3,13.4,0.0161,Southern_California.20000318.stacov.point-2016/02/16-09:30:19 
20000319,2000.2143,-78.5,49.2,-1.2,rrr,3.6,4.4,13.6,0.012,Southern_California.20000319.stacov.point-2016/02/16-09:30:20 
20000320,2000.217,-80.2,46.3,12.3,rrr,3.9,4.6,14.6,0.0675,Southern_California.20000320.stacov.point-2016/02/16-09:30:22 
20000321,2000.2198,-81.8,51.4,4.1,rrr,3.7,4.3,13.2,0.0072,Southern_California.20000321.stacov.point-2016/02/16-09:30:22 
20000322,2000.2225,-78.6,48.1,-4.2,rrr,3.7,4.3,13.7,-0.0006,Southern_California.20000322.stacov.point-2016/02/16-09:30:23 
20000323,2000.2253,-80.3,45.6,-0.2,rrr,3.8,4.4,13.9,0.0062,Southern_California.20000323.stacov.point-2016/02/16-09:30:24 
20000324,2000.228,-77.8,48.7,-3.4,rrr,3.7,4.5,14.1,0.0309,Southern_California.20000324.stacov.point-2016/02/16-09:30:24 
20000325,2000.2307,-81.3,50.8,1.5,rrr,3.7,4.4,13.3,0.0238,Southern_California.20000325.stacov.point-2016/02/16-09:30:25 
20000326,2000.2335,-78.4,46.2,-0.9,rrr,4.1,4.6,14.5,0.0091,Southern_California.20000326.stacov.point-2016/02/16-09:30:25 
20000327,2000.2362,-79.2,47.6,2.7,rrr,3.9,4.2,13.7,0.0374,Southern_California.20000327.stacov.point-2016/02/16-09:30:26 
20000328,2000.239,-81.5,51.0,9.2,rrr,3.7,4.3,13.3,0.0065,Southern_California.20000328.stacov.point-2016/02/16-09:30:28 
20000329,2000.2417,-77.9,48.9,-0.4,rrr,3.9,4.3,13.7,0.0193,Southern_California.20000329.stacov.point-2016/02/16-09:30:29 
20000330,2000.2444,-78.6,48.4,2.2,rrr,3.8,4.3,13.7,0.013,Southern_California.20000330.stacov.point-2016/02/16-09:30:29 
20000331,2000.2472,-79.5,47.4,2.8,rrr,3.9,4.6,14.4,-0.0042,Southern_California.20000331.stacov.point-2016/02/16-09:30:30 
20000401,2000.2499,-77.0,48.0,3.8,rrr,3.9,4.5,14.4,0.0062,Southern_California.20000401.stacov.point-2016/02/16-09:30:30 
20000402,2000.2525,-77.0,46.8,5.1,rrr,3.9,4.5,14.2,0.0467,Southern_California.20000402.stacov.point-2016/02/16-09:30:31 
20000403,2000.2553,-77.3,45.6,-0.5,rrr,3.8,4.3,13.7,0.0169,Southern_California.20000403.stacov.point-2016/02/16-09:30:32 
20000404,2000.258,-79.8,47.8,-1.0,rrr,3.9,4.5,14.2,0.0171,Southern_California.20000404.stacov.point-2016/02/16-09:30:32 
20000405,2000.2607,-79.6,48.5,4.9,rrr,3.9,4.5,14.2,0.0454,Southern_California.20000405.stacov.point-2016/02/16-09:30:33 
20000406,2000.2635,-75.5,49.9,-0.7,rrr,4.1,4.8,14.7,0.066,Southern_California.20000406.stacov.point-2016/02/16-09:30:33 
20000407,2000.2662,-76.0,49.6,11.9,rrr,4.1,4.6,14.9,-0.0096,Southern_California.20000407.stacov.point-2016/02/16-09:30:34 
20000408,2000.269,-77.3,46.9,8.1,rrr,3.7,4.4,13.7,-0.0295,Southern_California.20000408.stacov.point-2016/02/16-09:30:35 
20000409,2000.2717,-80.6,47.6,29.5,rrr,3.6,4.2,13.0,-0.0002,Southern_California.20000409.stacov.point-2016/02/16-09:30:35 
20000410,2000.2744,-77.5,48.4,5.4,rrr,3.7,4.3,13.4,-0.0313,Southern_California.20000410.stacov.point-2016/02/16-09:30:36 
20000411,2000.2772,-76.9,48.1,6.0,rrr,3.6,4.2,13.3,-0.0103,Southern_California.20000411.stacov.point-2016/02/16-09:30:36 
20000412,2000.2799,-78.5,48.1,9.8,rrr,3.8,4.4,14.1,0.0158,Southern_California.20000412.stacov.point-2016/02/16-09:30:37 
20000413,2000.2826,-75.6,48.8,-5.0,rrr,3.9,4.4,14.5,0.0205,Southern_California.20000413.stacov.point-2016/02/16-09:30:38 
20000414,2000.2854,-80.3,49.7,-5.3,rrr,3.8,4.3,14.1,0.0177,Southern_California.20000414.stacov.point-2016/02/16-09:30:38 
20000415,2000.2881,-76.7,47.2,11.4,rrr,3.7,4.2,13.3,-0.0307,Southern_California.20000415.stacov.point-2016/02/16-09:30:39 
20000416,2000.2909,-76.3,47.7,4.6,rrr,3.8,4.3,14.1,-0.07,Southern_California.20000416.stacov.point-2016/02/16-09:30:39 
20000417,2000.2936,-78.4,50.2,16.1,rrr,3.7,4.3,14.0,-0.0297,Southern_California.20000417.stacov.point-2016/02/16-09:30:40 
20000418,2000.2963,-76.2,47.9,0.1,rrr,3.8,4.4,14.2,-0.0545,Southern_California.20000418.stacov.point-2016/02/16-09:30:41 
20000419,2000.2991,-80.4,46.5,17.1,rrr,3.7,4.5,13.7,-0.0246,Southern_California.20000419.stacov.point-2016/02/16-09:30:41 
20000420,2000.3018,-77.0,46.9,6.9,rrr,3.8,4.3,13.5,-0.011,Southern_California.20000420.stacov.point-2016/02/16-09:30:42 
20000421,2000.3045,-75.4,49.1,2.3,rrr,3.8,4.4,13.7,-0.0123,Southern_California.20000421.stacov.point-2016/02/16-09:30:43 
