DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201207,2020.9348,-1.0,-1.1,-6.4,rrr,2.8,3.1,9.5,-0.0453,Southern_California.20201207.stacov.point-2021/04/06-22:30:48 
20201208,2020.9375,-0.9,-1.1,-5.1,rrr,2.8,3.2,9.5,-0.0359,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
20201209,2020.9403,-0.7,-1.2,-5.7,rrr,2.8,3.2,9.5,-0.0471,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
20201210,2020.943,0.7,-0.9,-3.4,rrr,2.8,3.2,9.5,-0.0471,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
20201211,2020.9458,-1.7,1.0,4.6,rrr,2.8,3.2,9.5,-0.0472,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,-0.5,0.6,-2.5,rrr,2.7,3.1,9.5,-0.044,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
20201213,2020.9512,-1.4,-1.2,-1.3,rrr,2.8,3.1,9.5,-0.0543,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
20201214,2020.954,-0.3,-0.9,2.4,rrr,2.7,3.1,9.5,-0.0365,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
20201215,2020.9567,0.9,-0.9,1.6,rrr,2.8,3.1,9.5,-0.0462,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
20201216,2020.9594,1.3,-0.2,-0.1,rrr,2.8,3.1,9.5,-0.0423,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,-0.3,-0.1,3.3,rrr,2.8,3.2,9.5,-0.0487,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,-0.0,-2.0,3.8,rrr,2.7,3.2,9.5,-0.0483,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20201219,2020.9677,1.0,-0.2,-0.8,rrr,2.8,3.2,9.7,-0.0835,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
20210114,2021.0388,1.1,1.1,1.4,rrr,2.7,3.1,9.5,-0.0482,Southern_California.20210114.stacov.point-2021/03/14-22:44:14 
20210115,2021.0416,1.2,-0.9,4.7,rrr,2.8,3.1,9.5,-0.0453,Southern_California.20210115.stacov.point-2021/05/15-22:29:13 
20210116,2021.0443,0.6,1.0,6.4,rrr,2.7,3.1,9.5,-0.0386,Southern_California.20210116.stacov.point-2021/05/16-22:29:14 
20210117,2021.0471,0.2,0.1,-0.5,rrr,2.7,3.1,9.5,-0.043,Southern_California.20210117.stacov.point-2021/05/17-22:27:31 
20210118,2021.0498,0.3,-0.8,-0.4,rrr,2.7,3.1,9.5,-0.0478,Southern_California.20210118.stacov.point-2021/05/18-22:27:27 
20210119,2021.0525,-0.9,0.8,5.5,rrr,2.7,3.1,9.5,-0.0467,Southern_California.20210119.stacov.point-2021/05/19-22:27:46 
20210120,2021.0553,0.5,0.5,1.5,rrr,2.9,3.2,9.9,-0.0827,Southern_California.20210120.stacov.point-2021/05/20-22:28:05 
20210121,2021.058,-1.0,-0.6,3.5,rrr,2.7,3.2,9.5,-0.0427,Southern_California.20210121.stacov.point-2021/05/21-22:28:09 
20210122,2021.0607,-1.0,1.6,3.6,rrr,2.7,3.1,9.5,-0.0409,Southern_California.20210122.stacov.point-2021/05/22-22:28:38 
20210123,2021.0635,-0.1,0.5,-1.8,rrr,2.7,3.1,9.5,-0.0424,Southern_California.20210123.stacov.point-2021/05/23-22:27:15 
20210124,2021.0662,-1.6,-0.1,2.8,rrr,2.7,3.1,9.5,-0.0455,Southern_California.20210124.stacov.point-2021/05/24-22:27:58 
20210125,2021.069,-0.5,-0.6,7.3,rrr,2.7,3.1,9.5,-0.0453,Southern_California.20210125.stacov.point-2021/05/25-22:28:22 
20210126,2021.0717,-4.8,-3.4,20.7,rrr,2.7,3.1,9.5,-0.044,Southern_California.20210126.stacov.point-2021/05/26-22:27:14 
20210127,2021.0744,-0.4,0.4,0.1,rrr,2.7,3.1,9.5,-0.042,Southern_California.20210127.stacov.point-2021/05/27-22:28:28 
