DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20010703,2001.5038,-83.0,68.1,-10.6,rrr,2.6,3.1,9.1,0.0046,Southern_California.20010703.stacov.point-2016/02/16-09:35:50 
20010704,2001.5065,-82.0,69.1,-11.6,rrr,2.5,3.0,8.9,0.0488,Southern_California.20010704.stacov.point-2016/02/16-09:35:51 
20010705,2001.5092,-81.7,66.6,-7.2,rrr,2.5,2.9,8.8,-0.0031,Southern_California.20010705.stacov.point-2016/02/16-09:35:51 
20010706,2001.512,-81.1,66.8,-9.7,rrr,2.5,2.8,8.8,0.0107,Southern_California.20010706.stacov.point-2016/02/16-09:35:52 
20010707,2001.5147,-84.2,66.9,-12.6,rrr,2.5,3.1,9.2,-0.0149,Southern_California.20010707.stacov.point-2016/02/16-09:35:53 
20010708,2001.5174,-82.6,68.4,-10.3,rrr,2.5,3.0,9.2,0.0134,Southern_California.20010708.stacov.point-2016/02/16-09:35:54 
20010709,2001.5202,-84.7,66.1,-14.4,rrr,2.5,3.0,8.9,0.0669,Southern_California.20010709.stacov.point-2016/02/16-09:35:54 
20010710,2001.5229,-84.3,65.0,-14.7,rrr,2.6,3.1,9.1,0.0193,Southern_California.20010710.stacov.point-2016/02/16-09:35:55 
20010711,2001.5257,-83.9,65.8,-8.8,rrr,2.5,2.8,8.8,-0.0108,Southern_California.20010711.stacov.point-2016/02/16-09:35:56 
20010712,2001.5284,-81.9,67.9,-11.7,rrr,2.6,3.0,9.2,0.0201,Southern_California.20010712.stacov.point-2016/02/16-09:35:57 
20010713,2001.5311,-83.2,67.5,-11.2,rrr,2.6,3.1,9.5,-0.0336,Southern_California.20010713.stacov.point-2016/02/16-09:35:57 
20010714,2001.5339,-83.6,68.2,-5.5,rrr,2.5,2.9,8.8,-0.009,Southern_California.20010714.stacov.point-2016/02/16-09:35:58 
20010715,2001.5366,-84.8,68.6,-4.9,rrr,2.5,3.0,9.2,0.0398,Southern_California.20010715.stacov.point-2016/02/16-09:35:59 
20010716,2001.5393,-83.4,65.8,-8.8,rrr,2.5,2.8,8.8,-0.0149,Southern_California.20010716.stacov.point-2016/02/16-09:36:00 
20010717,2001.5421,-82.5,67.3,-9.4,rrr,2.5,2.9,8.8,-0.0199,Southern_California.20010717.stacov.point-2016/02/16-09:36:00 
20010718,2001.5448,-83.2,67.3,-11.9,rrr,2.5,2.9,9.0,-0.0475,Southern_California.20010718.stacov.point-2016/02/16-09:36:01 
20010719,2001.5476,-84.0,68.0,-11.0,rrr,2.5,2.9,8.8,0.0003,Southern_California.20010719.stacov.point-2016/02/16-09:36:02 
20010720,2001.5503,-85.4,65.5,-8.9,rrr,2.6,3.1,9.3,0.0092,Southern_California.20010720.stacov.point-2016/02/16-09:36:03 
20010721,2001.553,-83.6,67.7,-5.7,rrr,2.5,2.9,8.8,-0.0068,Southern_California.20010721.stacov.point-2016/02/16-09:36:04 
20010722,2001.5558,-84.1,68.2,-7.3,rrr,2.5,2.9,8.8,-0.0024,Southern_California.20010722.stacov.point-2016/02/16-09:36:04 
20010723,2001.5585,-82.8,67.1,-9.8,rrr,2.5,2.9,8.8,-0.0143,Southern_California.20010723.stacov.point-2016/02/16-09:36:05 
20010724,2001.5612,-83.1,67.5,-13.8,rrr,2.5,2.9,8.8,0.0047,Southern_California.20010724.stacov.point-2016/02/16-09:36:06 
20010725,2001.564,-82.8,67.2,-10.9,rrr,2.5,2.9,8.8,0.007,Southern_California.20010725.stacov.point-2016/02/16-09:36:07 
20010726,2001.5667,-83.2,65.2,-6.2,rrr,2.7,3.0,9.5,0.0134,Southern_California.20010726.stacov.point-2016/02/16-09:36:07 
20010727,2001.5695,-83.0,66.5,-12.0,rrr,2.6,3.1,9.8,-0.0503,Southern_California.20010727.stacov.point-2016/02/16-09:36:08 
