DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19981023,1998.8096,-333.9,308.4,12.9,rrr,3.0,4.0,13.5,0.0146,Southern_California.19981023.stacov.point-2016/02/16-09:26:23 
19981024,1998.8124,-333.4,306.3,13.0,rrr,2.8,3.9,13.0,-0.0,Southern_California.19981024.stacov.point-2016/02/16-09:26:23 
19981025,1998.8152,-334.2,308.5,11.3,rrr,3.0,4.3,14.0,0.0762,Southern_California.19981025.stacov.point-2016/02/16-09:26:23 
19981026,1998.818,-334.2,306.0,21.7,rrr,2.9,4.2,13.1,0.051,Southern_California.19981026.stacov.point-2016/02/16-09:26:24 
19981027,1998.8207,-335.5,308.6,12.1,rrr,2.9,3.9,13.0,0.0308,Southern_California.19981027.stacov.point-2016/02/16-09:26:24 
19981028,1998.8235,-334.7,307.5,21.0,rrr,2.9,3.9,13.0,0.0274,Southern_California.19981028.stacov.point-2016/02/16-09:26:24 
19981029,1998.8262,-331.1,308.2,23.8,rrr,2.8,3.8,12.5,0.0472,Southern_California.19981029.stacov.point-2016/02/16-09:26:25 
19981030,1998.8289,-334.3,305.3,15.1,rrr,2.8,3.8,12.5,0.0387,Southern_California.19981030.stacov.point-2016/02/16-09:26:25 
19981031,1998.8317,-333.8,308.0,17.2,rrr,2.9,3.8,12.7,0.0096,Southern_California.19981031.stacov.point-2016/02/16-09:26:25 
19981101,1998.8344,-333.8,306.5,17.7,rrr,2.8,3.9,12.9,0.0486,Southern_California.19981101.stacov.point-2016/02/16-09:26:26 
19981102,1998.8371,-335.9,306.1,23.4,rrr,3.0,4.1,13.5,0.0097,Southern_California.19981102.stacov.point-2016/02/16-09:26:26 
19981103,1998.8399,-333.6,304.8,22.7,rrr,2.9,3.9,13.0,0.012,Southern_California.19981103.stacov.point-2016/02/16-09:26:26 
19981104,1998.8426,-333.4,307.9,9.2,rrr,2.8,4.0,12.6,0.0769,Southern_California.19981104.stacov.point-2016/02/16-09:26:27 
19981105,1998.8454,-333.3,305.7,20.4,rrr,2.8,3.8,13.0,0.0023,Southern_California.19981105.stacov.point-2016/02/16-09:26:27 
19981106,1998.8481,-333.3,306.1,21.5,rrr,2.9,3.9,13.0,0.0573,Southern_California.19981106.stacov.point-2016/02/16-09:26:27 
