DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990727,1999.568,-188.7,158.9,6.3,rrr,2.6,2.9,9.2,-0.0711,Southern_California.19990727.stacov.point-2016/02/16-09:28:11 
19990728,1999.5708,-189.1,157.4,-3.9,rrr,2.6,3.0,9.0,-0.0286,Southern_California.19990728.stacov.point-2016/02/16-09:28:12 
19990729,1999.5735,-187.8,158.8,-13.9,rrr,2.5,3.0,8.8,-0.0147,Southern_California.19990729.stacov.point-2016/02/16-09:28:12 
19990730,1999.5763,-190.6,157.3,-2.2,rrr,2.6,3.0,9.2,-0.0346,Southern_California.19990730.stacov.point-2016/02/16-09:28:13 
19990731,1999.579,-190.5,159.6,-7.3,rrr,2.5,3.0,8.8,-0.0448,Southern_California.19990731.stacov.point-2016/02/16-09:28:13 
19990801,1999.5817,-187.1,158.3,-9.2,rrr,2.6,3.0,9.2,-0.0481,Southern_California.19990801.stacov.point-2016/02/16-09:28:13 
19990802,1999.5845,-186.6,159.3,-13.1,rrr,2.5,2.9,8.6,-0.0212,Southern_California.19990802.stacov.point-2016/02/16-09:28:14 
19990803,1999.5872,-186.4,159.6,-2.2,rrr,2.6,3.0,8.8,-0.0236,Southern_California.19990803.stacov.point-2016/02/16-09:28:14 
19990804,1999.59,-186.0,159.5,-12.1,rrr,2.6,2.9,9.2,-0.0667,Southern_California.19990804.stacov.point-2016/02/16-09:28:15 
19990805,1999.5927,-188.9,159.2,-8.1,rrr,2.6,3.0,9.2,-0.0406,Southern_California.19990805.stacov.point-2016/02/16-09:28:15 
19990806,1999.5954,-188.4,158.9,-1.9,rrr,2.6,3.0,9.2,-0.0376,Southern_California.19990806.stacov.point-2016/02/16-09:28:16 
19990807,1999.5982,-188.9,155.4,-7.2,rrr,2.6,2.9,9.0,-0.0225,Southern_California.19990807.stacov.point-2016/02/16-09:28:16 
19990808,1999.6009,-187.6,159.3,-11.5,rrr,2.6,3.1,9.5,-0.0305,Southern_California.19990808.stacov.point-2016/02/16-09:28:17 
19990809,1999.6036,-188.7,159.6,3.1,rrr,2.6,3.1,9.2,-0.0576,Southern_California.19990809.stacov.point-2016/02/16-09:28:17 
19990810,1999.6064,-184.6,159.7,-8.8,rrr,2.6,3.0,9.2,-0.0702,Southern_California.19990810.stacov.point-2016/02/16-09:28:17 
19990811,1999.6091,-187.8,159.3,-11.2,rrr,2.6,3.0,9.0,-0.0211,Southern_California.19990811.stacov.point-2016/02/16-09:28:18 
19990812,1999.6119,-186.3,160.0,-10.6,rrr,2.6,2.9,9.2,-0.0382,Southern_California.19990812.stacov.point-2016/02/16-09:28:18 
19990813,1999.6146,-186.5,160.2,-7.2,rrr,2.6,2.9,9.0,-0.0095,Southern_California.19990813.stacov.point-2016/02/16-09:28:19 
19990814,1999.6173,-187.0,159.7,-3.6,rrr,2.6,3.0,9.2,-0.0398,Southern_California.19990814.stacov.point-2016/02/16-09:28:19 
19990815,1999.6201,-186.1,159.6,-3.6,rrr,2.7,3.0,9.2,-0.0655,Southern_California.19990815.stacov.point-2016/02/16-09:28:20 
19990816,1999.6228,-187.2,162.9,-1.7,rrr,2.5,3.0,8.8,-0.0461,Southern_California.19990816.stacov.point-2016/02/16-09:28:20 
19990817,1999.6255,-186.7,157.2,0.4,rrr,2.6,3.0,9.0,-0.005,Southern_California.19990817.stacov.point-2016/02/16-09:28:21 
19990818,1999.6283,-187.1,159.0,-0.7,rrr,2.5,2.9,8.8,-0.0388,Southern_California.19990818.stacov.point-2016/02/16-09:28:21 
19990819,1999.631,-187.0,159.6,4.3,rrr,2.5,2.9,8.8,-0.0232,Southern_California.19990819.stacov.point-2016/02/16-09:28:21 
19990820,1999.6338,-185.1,159.4,-5.2,rrr,2.5,3.0,8.8,-0.0095,Southern_California.19990820.stacov.point-2016/02/16-09:28:22 
19990821,1999.6365,-184.3,161.0,-0.4,rrr,2.6,2.9,9.0,-0.0178,Southern_California.19990821.stacov.point-2016/02/16-09:28:22 
19990822,1999.6392,-184.8,160.6,-1.5,rrr,2.6,3.0,9.2,-0.0473,Southern_California.19990822.stacov.point-2016/02/16-09:28:23 
19990823,1999.642,-187.0,156.4,7.9,rrr,2.7,3.0,9.2,-0.0722,Southern_California.19990823.stacov.point-2016/02/16-09:28:23 
