DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20140812,2014.6129,-54.8,44.3,-3.9,rrr,2.4,2.6,8.3,0.0905,Southern_California.20140812.stacov.point-2016/02/16-12:13:30 
20140813,2014.6156,-53.4,43.9,-1.7,rrr,2.4,2.6,8.3,0.0917,Southern_California.20140813.stacov.point-2016/02/16-12:13:31 
20140814,2014.6183,-52.1,44.3,-9.6,rrr,2.5,2.6,8.5,0.0596,Southern_California.20140814.stacov.point-2016/02/16-12:13:33 
20140815,2014.6211,-53.5,45.2,1.5,rrr,2.5,2.6,8.5,0.0718,Southern_California.20140815.stacov.point-2016/02/16-12:13:35 
20140816,2014.6238,-52.4,44.7,-0.2,rrr,2.5,2.6,8.2,0.091,Southern_California.20140816.stacov.point-2016/02/16-12:13:36 
20140817,2014.6265,-52.5,45.0,0.2,rrr,2.5,2.6,8.3,0.101,Southern_California.20140817.stacov.point-2016/02/16-12:13:38 
20140818,2014.6293,-54.5,45.1,1.3,rrr,2.5,2.8,8.6,0.1036,Southern_California.20140818.stacov.point-2016/02/16-12:13:39 
20140819,2014.632,-52.8,46.1,-1.7,rrr,2.4,2.6,8.3,0.0721,Southern_California.20140819.stacov.point-2016/02/16-12:13:41 
20140820,2014.6348,-52.3,42.6,-6.6,rrr,2.6,2.8,9.0,0.0703,Southern_California.20140820.stacov.point-2016/02/16-12:13:42 
20140821,2014.6375,-52.7,45.3,-0.4,rrr,2.4,2.6,8.3,0.0767,Southern_California.20140821.stacov.point-2016/02/16-12:13:44 
20140822,2014.6402,-53.5,46.5,-2.3,rrr,2.4,2.6,8.3,0.0884,Southern_California.20140822.stacov.point-2016/02/16-12:13:45 
20140823,2014.643,-53.0,46.2,1.6,rrr,2.5,2.6,8.5,0.0551,Southern_California.20140823.stacov.point-2016/02/16-12:13:47 
20140824,2014.6457,-52.7,44.5,4.6,rrr,2.4,2.7,8.2,0.067,Southern_California.20140824.stacov.point-2016/02/16-12:13:48 
20140825,2014.6485,-52.1,44.4,-1.6,rrr,2.4,2.6,8.3,0.0827,Southern_California.20140825.stacov.point-2016/02/16-12:13:50 
