DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150516,2015.3713,-125.7,95.3,25.6,rrr,2.4,2.5,7.8,0.0357,Southern_California.20150516.stacov.point-2016/02/16-12:26:00 
20150517,2015.374,-126.2,95.9,26.2,rrr,2.4,2.6,7.8,0.0323,Southern_California.20150517.stacov.point-2016/02/16-12:26:02 
20150518,2015.3767,-126.0,95.8,21.8,rrr,2.3,2.5,7.9,0.0434,Southern_California.20150518.stacov.point-2016/02/16-12:26:03 
20150519,2015.3795,-125.4,95.4,22.4,rrr,2.5,2.5,8.2,-0.0006,Southern_California.20150519.stacov.point-2016/02/16-12:26:05 
20150520,2015.3822,-125.8,94.6,24.3,rrr,2.4,2.7,8.2,0.089,Southern_California.20150520.stacov.point-2016/02/16-12:26:06 
20150521,2015.3849,-125.1,94.7,15.4,rrr,2.3,2.5,7.9,0.0529,Southern_California.20150521.stacov.point-2016/02/16-12:26:07 
20150522,2015.3877,-124.9,94.0,19.7,rrr,2.4,2.6,7.8,0.0298,Southern_California.20150522.stacov.point-2016/02/16-12:26:10 
20150523,2015.3904,-125.0,94.3,22.3,rrr,2.3,2.5,7.8,0.0434,Southern_California.20150523.stacov.point-2016/02/16-12:26:11 
20150524,2015.3932,-124.9,93.8,25.6,rrr,2.3,2.5,7.9,0.0446,Southern_California.20150524.stacov.point-2016/02/16-12:26:12 
20150525,2015.3959,-124.5,94.8,20.8,rrr,2.3,2.5,7.9,0.0478,Southern_California.20150525.stacov.point-2016/02/16-12:26:14 
20150526,2015.3986,-124.9,93.6,23.3,rrr,2.4,2.5,7.8,0.0395,Southern_California.20150526.stacov.point-2016/02/16-12:26:15 
20150528,2015.4041,-124.2,94.6,22.9,rrr,2.4,2.6,7.8,0.0188,Southern_California.20150528.stacov.point-2016/02/16-12:26:18 
20150529,2015.4069,-124.8,93.3,21.8,rrr,2.3,2.6,7.7,0.053,Southern_California.20150529.stacov.point-2016/02/16-12:26:19 
20150530,2015.4096,-123.6,93.5,24.5,rrr,2.4,2.6,7.8,0.0475,Southern_California.20150530.stacov.point-2016/02/16-12:26:21 
20150531,2015.4123,-124.0,94.0,21.3,rrr,2.4,2.6,7.8,0.0395,Southern_California.20150531.stacov.point-2016/02/16-12:26:22 
20150601,2015.4151,-124.5,93.2,23.5,rrr,2.4,2.6,7.8,0.0453,Southern_California.20150601.stacov.point-2016/02/16-12:26:24 
20150602,2015.4178,-124.1,92.9,20.0,rrr,2.3,2.6,7.7,0.0369,Southern_California.20150602.stacov.point-2016/02/16-12:26:25 
20150603,2015.4205,-125.0,93.2,22.7,rrr,2.3,2.6,7.7,0.0492,Southern_California.20150603.stacov.point-2016/02/16-12:26:27 
20150604,2015.4233,-124.9,92.9,21.5,rrr,2.3,2.6,7.7,0.0477,Southern_California.20150604.stacov.point-2016/02/16-12:26:29 
20150605,2015.426,-123.3,92.6,21.6,rrr,2.4,2.7,7.8,0.0203,Southern_California.20150605.stacov.point-2016/02/16-12:26:31 
20150606,2015.4288,-124.5,92.6,26.9,rrr,2.4,2.6,7.8,0.0327,Southern_California.20150606.stacov.point-2016/02/16-12:26:32 
20150607,2015.4315,-123.6,92.4,15.6,rrr,2.3,2.6,7.8,0.0339,Southern_California.20150607.stacov.point-2016/02/16-12:26:33 
20150608,2015.4342,-123.7,94.2,19.6,rrr,2.4,2.6,7.8,0.0461,Southern_California.20150608.stacov.point-2016/02/16-12:26:35 
20150609,2015.437,-122.3,93.4,19.1,rrr,2.3,2.6,8.1,0.0103,Southern_California.20150609.stacov.point-2016/02/16-12:26:36 
20150610,2015.4397,-122.8,92.7,21.0,rrr,2.3,2.5,7.9,0.0394,Southern_California.20150610.stacov.point-2016/02/16-12:26:38 
20150611,2015.4424,-122.1,92.6,23.4,rrr,2.4,2.6,8.0,0.0043,Southern_California.20150611.stacov.point-2016/02/16-12:26:39 
20150612,2015.4452,-123.0,91.6,22.2,rrr,2.3,2.6,7.7,0.0451,Southern_California.20150612.stacov.point-2016/02/16-12:26:40 
20150613,2015.4479,-122.8,92.4,25.9,rrr,2.4,2.6,7.8,0.0284,Southern_California.20150613.stacov.point-2016/02/16-12:26:42 
20150614,2015.4507,-122.5,93.7,28.0,rrr,2.3,2.6,7.9,0.0373,Southern_California.20150614.stacov.point-2016/02/16-12:26:43 
20150615,2015.4534,-122.7,92.7,25.0,rrr,2.4,2.6,7.8,0.0422,Southern_California.20150615.stacov.point-2016/02/16-12:26:45 
20150616,2015.4561,-121.5,92.3,21.6,rrr,2.3,2.6,7.7,0.0484,Southern_California.20150616.stacov.point-2016/02/16-12:26:48 
20150617,2015.4589,-121.4,92.6,21.9,rrr,2.4,2.6,7.8,0.042,Southern_California.20150617.stacov.point-2016/02/16-12:26:49 
20150618,2015.4616,-122.5,92.3,22.8,rrr,2.4,2.6,8.0,0.006,Southern_California.20150618.stacov.point-2016/02/16-12:26:51 
20150619,2015.4643,-121.5,92.8,18.9,rrr,2.4,2.6,8.0,0.0033,Southern_California.20150619.stacov.point-2016/02/16-12:26:52 
20150620,2015.4671,-123.3,90.7,21.3,rrr,2.3,2.6,7.7,0.0441,Southern_California.20150620.stacov.point-2016/02/16-12:26:53 
20150621,2015.4698,-123.0,91.3,23.0,rrr,2.4,2.6,7.8,0.03,Southern_California.20150621.stacov.point-2016/02/16-12:26:55 
20150622,2015.4726,-121.6,91.4,25.4,rrr,2.4,2.6,7.8,0.0316,Southern_California.20150622.stacov.point-2016/02/16-12:26:56 
20150623,2015.4753,-122.9,91.0,24.2,rrr,2.4,2.6,8.0,0.012,Southern_California.20150623.stacov.point-2016/02/16-12:26:58 
