DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950101,1995.0013,-255.5,286.7,28.8,rrr,3.6,4.7,15.3,-0.2087,Southern_California.19950101.stacov.point-2016/02/16-09:19:57 
19950102,1995.0041,-255.7,288.9,20.5,rrr,3.8,4.7,15.8,-0.1994,Southern_California.19950102.stacov.point-2016/02/16-09:19:57 
19950103,1995.0068,-255.9,289.0,24.7,rrr,3.8,4.8,16.2,-0.1609,Southern_California.19950103.stacov.point-2016/02/16-09:19:57 
19950104,1995.0095,-253.7,289.1,34.8,rrr,3.8,4.9,16.3,-0.2063,Southern_California.19950104.stacov.point-2016/02/16-09:19:58 
19950105,1995.0123,-253.5,284.2,33.2,rrr,4.2,5.2,17.5,-0.2054,Southern_California.19950105.stacov.point-2016/02/16-09:19:58 
19950106,1995.015,-256.9,286.8,36.5,rrr,3.8,4.7,15.8,-0.2113,Southern_California.19950106.stacov.point-2016/02/16-09:19:58 
19950107,1995.0178,-258.9,284.2,37.3,rrr,3.7,4.9,15.5,-0.2597,Southern_California.19950107.stacov.point-2016/02/16-09:19:58 
19950108,1995.0205,-256.6,291.0,32.3,rrr,3.8,5.0,15.8,-0.1819,Southern_California.19950108.stacov.point-2016/02/16-09:19:58 
19950109,1995.0232,-252.1,289.1,21.4,rrr,3.9,5.0,16.1,-0.1818,Southern_California.19950109.stacov.point-2016/02/16-09:19:59 
19950110,1995.026,-255.8,285.5,28.7,rrr,4.0,4.8,15.8,-0.1616,Southern_California.19950110.stacov.point-2016/02/16-09:19:59 
19950111,1995.0287,-254.2,285.4,27.9,rrr,3.8,4.9,15.4,-0.2106,Southern_California.19950111.stacov.point-2016/02/16-09:19:59 
19950112,1995.0314,-254.2,288.8,27.4,rrr,3.7,4.8,15.5,-0.2109,Southern_California.19950112.stacov.point-2016/02/16-09:19:59 
19950113,1995.0342,-254.7,289.3,21.3,rrr,3.7,4.8,15.4,-0.2245,Southern_California.19950113.stacov.point-2016/02/16-09:19:59 
19950114,1995.0369,-251.8,293.0,19.7,rrr,3.7,4.8,15.7,-0.2218,Southern_California.19950114.stacov.point-2016/02/16-09:20:00 
19950115,1995.0397,-253.8,279.7,25.1,rrr,3.8,5.0,15.8,-0.2023,Southern_California.19950115.stacov.point-2016/02/16-09:20:00 
19950116,1995.0424,-254.2,290.9,30.1,rrr,3.7,4.7,15.5,-0.1955,Southern_California.19950116.stacov.point-2016/02/16-09:20:00 
19950117,1995.0451,-257.1,287.1,23.2,rrr,3.9,4.8,17.1,-0.1579,Southern_California.19950117.stacov.point-2016/02/16-09:20:00 
19950118,1995.0479,-255.7,292.7,30.9,rrr,4.0,4.9,16.3,-0.1983,Southern_California.19950118.stacov.point-2016/02/16-09:20:01 
19950119,1995.0506,-257.6,284.8,17.0,rrr,4.0,5.1,17.0,-0.1757,Southern_California.19950119.stacov.point-2016/02/16-09:20:01 
19950120,1995.0534,-257.5,287.9,23.5,rrr,3.7,4.9,16.4,-0.2018,Southern_California.19950120.stacov.point-2016/02/16-09:20:01 
19950121,1995.0561,-254.7,286.8,20.9,rrr,3.8,5.0,16.2,-0.2223,Southern_California.19950121.stacov.point-2016/02/16-09:20:01 
19950122,1995.0588,-258.2,288.3,28.5,rrr,3.9,5.1,16.5,-0.2123,Southern_California.19950122.stacov.point-2016/02/16-09:20:02 
19950123,1995.0616,-255.2,287.1,21.0,rrr,3.8,5.1,16.6,-0.2009,Southern_California.19950123.stacov.point-2016/02/16-09:20:02 
19950124,1995.0643,-253.8,286.9,17.4,rrr,3.7,4.9,15.7,-0.2111,Southern_California.19950124.stacov.point-2016/02/16-09:20:02 
19950125,1995.067,-253.2,286.4,20.4,rrr,3.8,4.9,15.8,-0.2321,Southern_California.19950125.stacov.point-2016/02/16-09:20:02 
19950126,1995.0698,-253.5,288.2,6.3,rrr,3.8,4.9,16.7,-0.1468,Southern_California.19950126.stacov.point-2016/02/16-09:20:02 
19950127,1995.0725,-257.0,289.7,21.8,rrr,3.8,5.0,16.2,-0.1786,Southern_California.19950127.stacov.point-2016/02/16-09:20:03 
19950128,1995.0753,-255.8,291.2,25.0,rrr,3.7,4.9,15.6,-0.1693,Southern_California.19950128.stacov.point-2016/02/16-09:20:03 
19950129,1995.078,-253.8,290.1,24.2,rrr,3.7,4.9,15.8,-0.1734,Southern_California.19950129.stacov.point-2016/02/16-09:20:03 
19950130,1995.0807,-255.8,288.5,30.2,rrr,3.7,4.9,15.8,-0.2121,Southern_California.19950130.stacov.point-2016/02/16-09:20:03 
19950131,1995.0835,-255.9,285.0,21.4,rrr,3.8,4.9,16.2,-0.2454,Southern_California.19950131.stacov.point-2016/02/16-09:20:04 
19950201,1995.0862,-255.6,289.2,27.1,rrr,3.6,4.7,15.3,-0.2065,Southern_California.19950201.stacov.point-2016/02/16-09:20:04 
19950202,1995.0889,-258.3,288.4,25.1,rrr,3.6,4.8,15.4,-0.1665,Southern_California.19950202.stacov.point-2016/02/16-09:20:04 
19950207,1995.1026,-254.7,280.2,8.4,rrr,3.7,4.7,15.4,-0.1801,Southern_California.19950207.stacov.point-2016/02/16-09:20:05 
19950228,1995.1601,-247.8,281.6,4.8,rrr,4.1,5.1,16.4,-0.2487,Southern_California.19950228.stacov.point-2016/02/16-09:20:10 
19950407,1995.2641,-239.8,278.9,17.0,rrr,7.0,7.4,28.7,-0.2613,Southern_California.19950407.stacov.point-2016/02/16-09:20:19 
19950410,1995.2723,-253.1,281.0,26.6,rrr,6.5,8.3,27.5,-0.1762,Southern_California.19950410.stacov.point-2016/02/16-09:20:20 
19950411,1995.275,-243.3,279.9,28.0,rrr,6.6,8.4,28.6,-0.153,Southern_California.19950411.stacov.point-2016/02/16-09:20:20 
19950412,1995.2777,-244.4,282.7,22.3,rrr,6.8,7.7,27.0,-0.2565,Southern_California.19950412.stacov.point-2016/02/16-09:20:20 
19950414,1995.2832,-245.3,284.9,22.5,rrr,4.1,5.4,18.5,-0.2011,Southern_California.19950414.stacov.point-2016/02/16-09:20:21 
19950415,1995.286,-245.6,281.7,-0.7,rrr,4.1,5.3,18.7,-0.2023,Southern_California.19950415.stacov.point-2016/02/16-09:20:21 
19950416,1995.2887,-248.1,284.9,17.7,rrr,4.2,5.6,19.1,-0.1843,Southern_California.19950416.stacov.point-2016/02/16-09:20:21 
19950417,1995.2914,-245.4,285.3,15.7,rrr,4.2,5.4,19.0,-0.1907,Southern_California.19950417.stacov.point-2016/02/16-09:20:21 
19950418,1995.2942,-249.6,273.0,3.2,rrr,4.3,6.4,20.3,-0.2564,Southern_California.19950418.stacov.point-2016/02/16-09:20:22 
19950419,1995.2969,-240.8,275.4,-3.3,rrr,4.6,6.5,22.3,-0.1843,Southern_California.19950419.stacov.point-2016/02/16-09:20:22 
19950426,1995.3161,-244.9,281.0,16.5,rrr,3.6,4.7,15.1,-0.1695,Southern_California.19950426.stacov.point-2016/02/16-09:20:24 
19950427,1995.3188,-247.8,283.6,23.4,rrr,3.5,4.5,14.4,-0.1804,Southern_California.19950427.stacov.point-2016/02/16-09:20:24 
19950428,1995.3216,-244.7,287.3,5.6,rrr,3.6,4.8,15.7,-0.1563,Southern_California.19950428.stacov.point-2016/02/16-09:20:24 
19950429,1995.3243,-246.8,285.4,27.8,rrr,3.5,4.5,14.0,-0.1904,Southern_California.19950429.stacov.point-2016/02/16-09:20:24 
19950430,1995.327,-245.4,283.0,18.1,rrr,3.6,4.8,15.3,-0.185,Southern_California.19950430.stacov.point-2016/02/16-09:20:25 
19950501,1995.3298,-242.7,283.3,20.9,rrr,3.9,5.1,17.6,-0.1517,Southern_California.19950501.stacov.point-2016/02/16-09:20:25 
