DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19980725,1998.5632,-339.5,334.9,18.4,rrr,3.1,3.5,11.7,-0.0435,Southern_California.19980725.stacov.point-2016/02/16-09:25:53 
19980726,1998.566,-340.5,334.3,7.6,rrr,3.1,3.7,12.0,-0.0632,Southern_California.19980726.stacov.point-2016/02/16-09:25:54 
19980727,1998.5687,-340.7,334.0,12.6,rrr,3.2,3.6,12.4,-0.0958,Southern_California.19980727.stacov.point-2016/02/16-09:25:54 
19980728,1998.5715,-339.3,333.7,18.8,rrr,3.2,3.7,12.2,-0.0543,Southern_California.19980728.stacov.point-2016/02/16-09:25:54 
19980729,1998.5742,-340.1,334.1,20.1,rrr,3.1,3.6,12.2,-0.0504,Southern_California.19980729.stacov.point-2016/02/16-09:25:54 
19980730,1998.5769,-339.1,333.7,16.7,rrr,3.0,3.5,11.5,-0.0591,Southern_California.19980730.stacov.point-2016/02/16-09:25:55 
19980731,1998.5797,-339.1,335.2,15.9,rrr,3.2,3.9,12.4,-0.0788,Southern_California.19980731.stacov.point-2016/02/16-09:25:55 
19980801,1998.5824,-338.5,335.5,11.9,rrr,3.0,3.7,11.5,-0.0727,Southern_California.19980801.stacov.point-2016/02/16-09:25:55 
19980802,1998.5851,-338.4,335.8,19.9,rrr,3.1,3.5,11.7,-0.0607,Southern_California.19980802.stacov.point-2016/02/16-09:25:56 
19980803,1998.5879,-339.4,333.8,20.3,rrr,3.1,3.5,11.7,-0.0495,Southern_California.19980803.stacov.point-2016/02/16-09:25:56 
19980804,1998.5906,-339.7,334.3,13.3,rrr,3.1,3.8,12.0,-0.0564,Southern_California.19980804.stacov.point-2016/02/16-09:25:56 
19980805,1998.5934,-340.9,332.5,9.1,rrr,3.1,3.7,12.0,-0.0686,Southern_California.19980805.stacov.point-2016/02/16-09:25:57 
19980806,1998.5961,-340.0,331.7,14.1,rrr,3.1,3.5,11.5,-0.0521,Southern_California.19980806.stacov.point-2016/02/16-09:25:57 
19980807,1998.5988,-339.4,329.2,9.2,rrr,3.1,3.6,11.7,-0.0732,Southern_California.19980807.stacov.point-2016/02/16-09:25:57 
19980808,1998.6016,-337.9,331.8,18.4,rrr,3.1,3.6,11.7,-0.0952,Southern_California.19980808.stacov.point-2016/02/16-09:25:58 
19980809,1998.6043,-336.8,333.9,14.6,rrr,3.1,3.7,12.0,-0.0504,Southern_California.19980809.stacov.point-2016/02/16-09:25:58 
19980810,1998.607,-336.6,331.3,13.7,rrr,3.1,3.5,11.7,-0.0659,Southern_California.19980810.stacov.point-2016/02/16-09:25:58 
19980811,1998.6098,-336.6,334.0,7.7,rrr,3.1,3.7,12.0,-0.0556,Southern_California.19980811.stacov.point-2016/02/16-09:25:59 
19980812,1998.6125,-336.9,331.7,8.8,rrr,3.1,3.7,11.8,-0.0449,Southern_California.19980812.stacov.point-2016/02/16-09:25:59 
19980813,1998.6153,-336.9,332.2,3.7,rrr,3.0,3.5,11.5,-0.0614,Southern_California.19980813.stacov.point-2016/02/16-09:25:59 
19980814,1998.618,-338.8,332.1,8.9,rrr,3.1,3.6,11.9,-0.0801,Southern_California.19980814.stacov.point-2016/02/16-09:26:00 
19980815,1998.6207,-339.0,332.4,22.0,rrr,3.0,3.5,11.3,-0.0503,Southern_California.19980815.stacov.point-2016/02/16-09:26:00 
19980816,1998.6235,-339.4,331.4,7.7,rrr,3.2,3.7,12.2,-0.058,Southern_California.19980816.stacov.point-2016/02/16-09:26:00 
19980817,1998.6262,-339.1,333.3,8.8,rrr,3.0,3.6,11.5,-0.0666,Southern_California.19980817.stacov.point-2016/02/16-09:26:01 
19980818,1998.6289,-337.0,334.8,10.6,rrr,3.1,3.5,11.7,-0.0659,Southern_California.19980818.stacov.point-2016/02/16-09:26:01 
19980819,1998.6317,-337.5,333.9,14.5,rrr,3.1,3.5,11.7,-0.0617,Southern_California.19980819.stacov.point-2016/02/16-09:26:01 
19980820,1998.6344,-336.3,333.8,14.7,rrr,3.2,3.6,12.1,-0.066,Southern_California.19980820.stacov.point-2016/02/16-09:26:02 
19980821,1998.6372,-336.5,330.9,12.4,rrr,3.1,3.7,12.0,-0.0726,Southern_California.19980821.stacov.point-2016/02/16-09:26:02 
19980822,1998.6399,-337.9,334.2,6.0,rrr,3.1,3.8,12.0,-0.0502,Southern_California.19980822.stacov.point-2016/02/16-09:26:02 
19980823,1998.6426,-339.5,333.8,13.3,rrr,3.1,3.7,11.8,-0.0397,Southern_California.19980823.stacov.point-2016/02/16-09:26:03 
19980824,1998.6454,-338.1,334.6,7.4,rrr,3.2,3.7,12.2,-0.0675,Southern_California.19980824.stacov.point-2016/02/16-09:26:03 
19980825,1998.6481,-337.0,333.8,15.2,rrr,3.1,3.7,11.8,-0.0402,Southern_California.19980825.stacov.point-2016/02/16-09:26:03 
19980826,1998.6508,-338.2,334.0,15.9,rrr,3.2,3.8,12.2,-0.055,Southern_California.19980826.stacov.point-2016/02/16-09:26:04 
19980827,1998.6536,-333.5,332.5,15.3,rrr,3.2,3.5,12.1,-0.0715,Southern_California.19980827.stacov.point-2016/02/16-09:26:04 
19980828,1998.6563,-337.0,329.3,16.0,rrr,3.1,3.6,11.9,-0.0791,Southern_California.19980828.stacov.point-2016/02/16-09:26:04 
19980829,1998.6591,-338.4,333.7,16.5,rrr,3.2,3.7,12.0,-0.0443,Southern_California.19980829.stacov.point-2016/02/16-09:26:05 
19980830,1998.6618,-334.4,333.6,11.9,rrr,3.2,3.6,12.2,-0.0458,Southern_California.19980830.stacov.point-2016/02/16-09:26:05 
19980831,1998.6645,-334.9,332.6,22.3,rrr,3.1,3.6,11.8,-0.033,Southern_California.19980831.stacov.point-2016/02/16-09:26:05 
19980901,1998.6673,-333.1,331.6,20.4,rrr,3.2,3.6,12.2,-0.0462,Southern_California.19980901.stacov.point-2016/02/16-09:26:06 
19980902,1998.67,-335.6,332.1,10.1,rrr,3.1,3.7,12.2,-0.049,Southern_California.19980902.stacov.point-2016/02/16-09:26:06 
19980903,1998.6728,-334.4,333.3,15.0,rrr,3.1,3.5,11.7,-0.0571,Southern_California.19980903.stacov.point-2016/02/16-09:26:06 
19980904,1998.6755,-336.6,333.4,9.3,rrr,3.1,3.8,12.2,-0.0632,Southern_California.19980904.stacov.point-2016/02/16-09:26:07 
19980905,1998.6782,-337.7,334.7,11.4,rrr,3.1,3.5,11.7,-0.0505,Southern_California.19980905.stacov.point-2016/02/16-09:26:07 
19980906,1998.681,-334.6,333.1,10.0,rrr,3.0,3.5,11.5,-0.0613,Southern_California.19980906.stacov.point-2016/02/16-09:26:07 
19980907,1998.6837,-335.5,330.4,8.4,rrr,3.1,3.6,11.7,-0.0675,Southern_California.19980907.stacov.point-2016/02/16-09:26:08 
