DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201209,2020.9403,-13.5,4.3,-11.8,rrr,2.8,3.2,10.1,-0.083,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
20201211,2020.9458,-13.1,4.7,-8.3,rrr,2.7,3.2,10.0,-0.0767,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,-13.9,5.4,-7.1,rrr,2.8,3.2,10.1,-0.0655,Southern_California.20201212.stacov.point-2020/12/27-23:00:31 
20201216,2020.9594,-11.1,5.2,-4.2,rrr,2.8,3.2,10.1,-0.077,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,-13.8,5.3,-5.0,rrr,2.8,3.2,10.1,-0.0857,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,-12.9,6.2,-6.2,rrr,2.8,3.2,10.1,-0.0718,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20210114,2021.0388,-9.3,5.3,-8.9,rrr,2.8,3.2,10.1,-0.069,Southern_California.20210114.stacov.point-2021/03/14-22:44:14 
20210115,2021.0416,-9.3,4.0,-5.8,rrr,2.8,3.2,10.1,-0.0766,Southern_California.20210115.stacov.point-2021/05/15-22:29:13 
20210117,2021.0471,-10.2,4.6,-4.1,rrr,2.7,3.2,10.0,-0.0785,Southern_California.20210117.stacov.point-2021/05/17-22:27:31 
20210119,2021.0525,-10.3,4.5,-3.7,rrr,2.8,3.2,10.1,-0.0682,Southern_California.20210119.stacov.point-2021/05/19-22:27:46 
20210121,2021.058,-11.5,4.0,-10.2,rrr,2.8,3.5,10.4,-0.063,Southern_California.20210121.stacov.point-2021/05/21-22:28:09 
20210125,2021.069,-10.3,2.7,0.6,rrr,2.8,3.3,10.2,-0.0226,Southern_California.20210125.stacov.point-2021/05/25-22:28:22 
20210126,2021.0717,-10.2,6.8,-2.8,rrr,3.5,4.1,13.0,-0.0921,Southern_California.20210126.stacov.point-2021/05/26-22:27:14 
20210127,2021.0744,-11.7,4.6,-6.9,rrr,2.8,3.2,10.1,-0.0819,Southern_California.20210127.stacov.point-2021/05/27-22:28:28 
20210128,2021.0772,-11.4,5.3,-6.8,rrr,2.8,3.2,9.9,-0.055,Southern_California.20210128.stacov.point-2021/05/28-22:28:59 
20210129,2021.0799,-9.6,3.9,-7.7,rrr,2.8,3.4,10.4,-0.0755,Southern_California.20210129.stacov.point-2021/05/29-22:28:01 
20210130,2021.0827,-10.1,4.4,-5.1,rrr,2.8,3.1,10.1,-0.0755,Southern_California.20210130.stacov.point-2021/05/30-22:28:11 
20210131,2021.0854,-9.8,5.0,-13.3,rrr,2.8,3.2,10.1,-0.0665,Southern_California.20210131.stacov.point-2021/05/31-22:27:36 
20210201,2021.0881,-9.1,4.7,-13.0,rrr,2.8,3.2,10.1,-0.0749,Southern_California.20210201.stacov.point-2021/06/01-22:26:40 
20210204,2021.0963,-9.7,3.6,-0.7,rrr,2.8,3.4,10.2,-0.0457,Southern_California.20210204.stacov.point-2021/04/04-22:41:18 
20210205,2021.0991,-10.4,4.0,-4.9,rrr,2.8,3.4,10.4,-0.0634,Southern_California.20210205.stacov.point-2021/04/05-22:41:24 
