DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19991010,1999.7734,-322.8,278.0,50.3,rrr,3.0,3.2,11.7,0.0711,Southern_California.19991010.stacov.point-2016/02/16-09:28:45 
19991011,1999.7761,-321.9,276.6,46.9,rrr,3.0,3.1,11.3,0.0625,Southern_California.19991011.stacov.point-2016/02/16-09:28:45 
19991012,1999.7789,-328.0,295.8,25.9,rrr,2.8,3.0,10.3,0.0161,Southern_California.19991012.stacov.point-2016/02/16-09:28:46 
19991013,1999.7816,-327.7,290.6,30.7,rrr,2.9,3.2,10.8,0.0807,Southern_California.19991013.stacov.point-2016/02/16-09:28:46 
19991014,1999.7843,-325.1,292.4,31.6,rrr,2.9,3.2,10.8,0.0565,Southern_California.19991014.stacov.point-2016/02/16-09:28:47 
19991015,1999.7871,-321.1,274.4,57.8,rrr,3.1,3.3,11.7,0.081,Southern_California.19991015.stacov.point-2016/02/16-09:28:47 
19991016,1999.7898,-320.6,280.9,49.6,rrr,3.0,3.1,11.3,0.0612,Southern_California.19991016.stacov.point-2016/02/16-09:28:48 
19991017,1999.7926,-321.2,279.1,38.4,rrr,3.1,3.2,11.9,0.0535,Southern_California.19991017.stacov.point-2016/02/16-09:28:48 
19991018,1999.7953,-331.3,296.7,34.5,rrr,2.9,3.0,10.5,0.0166,Southern_California.19991018.stacov.point-2016/02/16-09:28:49 
19991019,1999.798,-330.2,294.2,33.1,rrr,3.1,3.1,11.0,0.046,Southern_California.19991019.stacov.point-2016/02/16-09:28:49 
19991020,1999.8008,-328.0,290.3,26.2,rrr,2.9,3.3,10.6,0.0671,Southern_California.19991020.stacov.point-2016/02/16-09:28:50 
19991021,1999.8035,-329.8,278.8,30.9,rrr,3.1,3.2,11.1,0.0924,Southern_California.19991021.stacov.point-2016/02/16-09:28:50 
19991022,1999.8062,-327.0,288.7,29.1,rrr,2.9,3.3,11.1,0.0821,Southern_California.19991022.stacov.point-2016/02/16-09:28:51 
19991023,1999.809,-327.0,295.6,12.9,rrr,2.8,3.1,10.5,0.0386,Southern_California.19991023.stacov.point-2016/02/16-09:28:51 
19991024,1999.8117,-333.7,295.9,24.1,rrr,2.8,3.3,10.6,0.0432,Southern_California.19991024.stacov.point-2016/02/16-09:28:52 
19991025,1999.8145,-323.2,295.2,12.8,rrr,3.0,3.2,10.8,0.0374,Southern_California.19991025.stacov.point-2016/02/16-09:28:53 
19991026,1999.8172,-325.2,291.6,23.5,rrr,2.9,3.2,11.0,0.053,Southern_California.19991026.stacov.point-2016/02/16-09:28:53 
19991027,1999.8199,-328.4,296.3,26.7,rrr,2.9,3.1,10.5,0.0392,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
19991028,1999.8227,-317.9,271.7,43.2,rrr,3.5,3.6,13.2,0.1206,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
