DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000617,2000.4606,-381.1,315.2,1.2,rrr,2.5,2.9,8.7,0.0158,Southern_California.20000617.stacov.point-2016/02/16-09:31:19 
20000618,2000.4633,-381.4,314.7,0.3,rrr,2.5,2.9,8.7,0.0203,Southern_California.20000618.stacov.point-2016/02/16-09:31:20 
20000619,2000.4661,-382.9,314.0,4.6,rrr,2.5,2.8,8.8,0.0267,Southern_California.20000619.stacov.point-2016/02/16-09:31:21 
20000620,2000.4688,-382.2,313.0,0.0,rrr,2.4,2.8,8.3,-0.005,Southern_California.20000620.stacov.point-2016/02/16-09:31:21 
20000621,2000.4716,-382.6,312.2,3.8,rrr,2.5,2.9,8.7,0.0038,Southern_California.20000621.stacov.point-2016/02/16-09:31:22 
20000622,2000.4743,-383.5,315.0,4.4,rrr,2.5,3.0,8.7,-0.0009,Southern_California.20000622.stacov.point-2016/02/16-09:31:23 
20000623,2000.477,-381.9,314.1,8.0,rrr,2.5,2.8,9.0,-0.0136,Southern_California.20000623.stacov.point-2016/02/16-09:31:23 
20000624,2000.4798,-383.3,313.1,3.7,rrr,2.5,2.9,8.7,0.0128,Southern_California.20000624.stacov.point-2016/02/16-09:31:24 
20000625,2000.4825,-383.5,314.3,-6.2,rrr,2.4,2.9,8.4,0.0352,Southern_California.20000625.stacov.point-2016/02/16-09:31:25 
20000626,2000.4852,-384.0,313.9,-1.5,rrr,2.6,2.9,8.9,-0.032,Southern_California.20000626.stacov.point-2016/02/16-09:31:25 
20000627,2000.488,-382.1,312.7,-5.7,rrr,2.7,3.0,9.2,0.0172,Southern_California.20000627.stacov.point-2016/02/16-09:31:26 
20000628,2000.4907,-383.4,315.0,5.3,rrr,2.7,3.0,9.4,-0.0298,Southern_California.20000628.stacov.point-2016/02/16-09:31:26 
20000629,2000.4935,-386.5,312.5,-4.2,rrr,3.5,3.7,12.3,0.0695,Southern_California.20000629.stacov.point-2016/02/16-09:31:27 
20000718,2000.5455,-380.2,305.1,-4.9,rrr,2.6,3.0,9.1,0.0054,Southern_California.20000718.stacov.point-2016/02/16-09:31:39 
20000719,2000.5482,-381.6,309.0,-9.1,rrr,2.7,3.1,9.6,-0.075,Southern_California.20000719.stacov.point-2016/02/16-09:31:40 
20000720,2000.551,-381.2,307.5,-3.4,rrr,2.5,2.9,9.0,-0.0364,Southern_California.20000720.stacov.point-2016/02/16-09:31:40 
20000721,2000.5537,-379.2,310.8,1.1,rrr,2.5,2.8,8.7,-0.0057,Southern_California.20000721.stacov.point-2016/02/16-09:31:41 
20000722,2000.5564,-380.2,313.3,-5.7,rrr,2.6,3.0,9.3,-0.0301,Southern_California.20000722.stacov.point-2016/02/16-09:31:42 
20000723,2000.5592,-378.5,311.9,3.9,rrr,2.7,2.9,9.5,-0.0196,Southern_California.20000723.stacov.point-2016/02/16-09:31:42 
20000724,2000.5619,-378.5,311.3,0.5,rrr,2.6,3.0,9.1,0.0162,Southern_California.20000724.stacov.point-2016/02/16-09:31:43 
20000725,2000.5646,-378.7,310.5,5.6,rrr,2.6,2.9,9.1,0.0197,Southern_California.20000725.stacov.point-2016/02/16-09:31:44 
20000726,2000.5674,-377.3,306.5,-5.4,rrr,2.6,3.0,9.1,0.0128,Southern_California.20000726.stacov.point-2016/02/16-09:31:44 
20000727,2000.5701,-379.0,308.1,2.2,rrr,2.7,2.9,9.4,-0.0023,Southern_California.20000727.stacov.point-2016/02/16-09:31:45 
20000728,2000.5729,-379.4,311.2,4.3,rrr,2.8,3.1,9.8,0.0387,Southern_California.20000728.stacov.point-2016/02/16-09:31:46 
20000729,2000.5756,-379.6,316.3,8.4,rrr,2.8,3.0,10.2,0.0044,Southern_California.20000729.stacov.point-2016/02/16-09:31:46 
20000730,2000.5783,-377.3,310.9,-2.8,rrr,2.7,2.9,9.2,0.0181,Southern_California.20000730.stacov.point-2016/02/16-09:31:47 
20000731,2000.5811,-377.4,309.4,10.5,rrr,2.6,2.8,9.0,-0.0564,Southern_California.20000731.stacov.point-2016/02/16-09:31:47 
20000801,2000.5838,-376.7,310.9,0.3,rrr,2.7,3.1,9.8,0.01,Southern_California.20000801.stacov.point-2016/02/16-09:31:48 
20000802,2000.5866,-376.0,311.0,3.3,rrr,2.7,3.1,9.6,0.054,Southern_California.20000802.stacov.point-2016/02/16-09:31:49 
20000803,2000.5893,-377.4,309.4,2.9,rrr,2.6,3.0,9.5,0.006,Southern_California.20000803.stacov.point-2016/02/16-09:31:49 
20000804,2000.592,-377.8,312.5,-0.3,rrr,2.8,3.0,9.8,0.035,Southern_California.20000804.stacov.point-2016/02/16-09:31:50 
20000805,2000.5948,-377.1,310.1,-3.3,rrr,2.7,2.9,9.4,-0.0011,Southern_California.20000805.stacov.point-2016/02/16-09:31:51 
20000806,2000.5975,-379.0,307.5,-4.7,rrr,2.7,3.1,9.8,0.0166,Southern_California.20000806.stacov.point-2016/02/16-09:31:51 
20000807,2000.6002,-378.1,310.7,-2.3,rrr,2.7,3.0,9.4,-0.0292,Southern_California.20000807.stacov.point-2016/02/16-09:31:52 
20000808,2000.603,-376.7,307.5,10.1,rrr,2.6,3.0,9.4,0.0082,Southern_California.20000808.stacov.point-2016/02/16-09:31:53 
20000809,2000.6057,-377.7,311.3,2.8,rrr,2.8,3.1,9.9,0.0259,Southern_California.20000809.stacov.point-2016/02/16-09:31:53 
20000810,2000.6085,-376.3,310.1,-2.4,rrr,2.9,3.1,10.1,-0.012,Southern_California.20000810.stacov.point-2016/02/16-09:31:54 
20000811,2000.6112,-377.9,308.4,-11.9,rrr,2.7,3.1,9.7,-0.0056,Southern_California.20000811.stacov.point-2016/02/16-09:31:55 
20000812,2000.6139,-374.9,308.0,1.9,rrr,3.0,3.2,10.1,0.01,Southern_California.20000812.stacov.point-2016/02/16-09:31:55 
20000813,2000.6167,-376.6,310.6,-1.9,rrr,2.8,3.0,9.8,0.0297,Southern_California.20000813.stacov.point-2016/02/16-09:31:56 
20000814,2000.6194,-375.4,312.1,1.1,rrr,2.7,2.9,9.2,0.0335,Southern_California.20000814.stacov.point-2016/02/16-09:31:57 
20000815,2000.6221,-374.3,313.7,7.1,rrr,2.7,3.0,9.4,0.0096,Southern_California.20000815.stacov.point-2016/02/16-09:31:57 
20000816,2000.6249,-375.8,309.2,5.7,rrr,2.7,3.0,9.7,-0.0517,Southern_California.20000816.stacov.point-2016/02/16-09:31:58 
20000817,2000.6276,-376.7,310.7,3.1,rrr,2.8,2.9,9.4,-0.0024,Southern_California.20000817.stacov.point-2016/02/16-09:31:58 
20000818,2000.6304,-375.2,310.9,-5.1,rrr,2.7,2.9,9.4,0.0037,Southern_California.20000818.stacov.point-2016/02/16-09:31:59 
20000819,2000.6331,-375.1,309.2,1.8,rrr,2.6,2.8,8.7,0.0008,Southern_California.20000819.stacov.point-2016/02/16-09:32:00 
20000820,2000.6358,-376.5,308.6,-10.4,rrr,2.7,2.9,9.2,0.0295,Southern_California.20000820.stacov.point-2016/02/16-09:32:00 
20000821,2000.6386,-376.5,308.7,-0.4,rrr,2.6,2.8,9.0,-0.0233,Southern_California.20000821.stacov.point-2016/02/16-09:32:01 
20000822,2000.6413,-376.1,307.3,4.0,rrr,2.7,2.9,9.4,0.0084,Southern_California.20000822.stacov.point-2016/02/16-09:32:02 
20000823,2000.644,-374.9,310.0,-0.7,rrr,2.5,2.8,8.7,0.0085,Southern_California.20000823.stacov.point-2016/02/16-09:32:02 
20000824,2000.6468,-377.1,306.9,0.5,rrr,2.9,3.0,10.1,0.0434,Southern_California.20000824.stacov.point-2016/02/16-09:32:03 
20000825,2000.6495,-376.8,307.5,-3.5,rrr,2.7,3.0,9.6,0.09,Southern_California.20000825.stacov.point-2016/02/16-09:32:04 
20000826,2000.6523,-377.7,308.9,3.2,rrr,2.7,3.1,9.8,0.0401,Southern_California.20000826.stacov.point-2016/02/16-09:32:04 
20000827,2000.655,-376.5,310.1,5.6,rrr,2.7,2.9,9.5,0.0208,Southern_California.20000827.stacov.point-2016/02/16-09:32:05 
20000828,2000.6577,-375.4,310.9,6.3,rrr,2.7,3.1,9.6,0.0639,Southern_California.20000828.stacov.point-2016/02/16-09:32:06 
20000829,2000.6605,-375.9,310.1,-5.3,rrr,2.6,2.9,9.1,0.0545,Southern_California.20000829.stacov.point-2016/02/16-09:32:06 
20000830,2000.6632,-376.6,310.4,-5.1,rrr,2.8,3.1,9.8,0.0367,Southern_California.20000830.stacov.point-2016/02/16-09:32:07 
20000831,2000.666,-377.3,306.0,-1.4,rrr,2.6,3.0,9.1,0.0056,Southern_California.20000831.stacov.point-2016/02/16-09:32:08 
20000901,2000.6687,-375.8,306.2,-2.4,rrr,2.7,2.9,9.4,-0.0057,Southern_California.20000901.stacov.point-2016/02/16-09:32:08 
20000902,2000.6714,-376.7,306.8,-2.3,rrr,2.7,2.9,9.2,0.0255,Southern_California.20000902.stacov.point-2016/02/16-09:32:09 
20000903,2000.6742,-373.6,309.2,-2.4,rrr,2.6,2.9,8.9,-0.0183,Southern_California.20000903.stacov.point-2016/02/16-09:32:10 
20000904,2000.6769,-374.0,307.3,-2.9,rrr,2.6,2.9,9.1,0.0245,Southern_California.20000904.stacov.point-2016/02/16-09:32:10 
20000905,2000.6796,-377.7,305.9,-6.9,rrr,2.6,3.0,9.1,0.0067,Southern_California.20000905.stacov.point-2016/02/16-09:32:11 
20000906,2000.6824,-374.3,307.6,-4.6,rrr,2.8,3.0,9.4,0.0179,Southern_California.20000906.stacov.point-2016/02/16-09:32:12 
20000907,2000.6851,-373.1,305.3,-8.7,rrr,2.6,3.0,9.2,0.036,Southern_California.20000907.stacov.point-2016/02/16-09:32:12 
20000908,2000.6879,-376.0,309.1,-2.6,rrr,2.7,2.9,9.4,0.0013,Southern_California.20000908.stacov.point-2016/02/16-09:32:13 
20000909,2000.6906,-375.3,311.8,-0.8,rrr,2.8,3.1,9.8,0.0446,Southern_California.20000909.stacov.point-2016/02/16-09:32:14 
20000910,2000.6933,-375.1,309.2,8.7,rrr,2.7,2.9,9.4,0.0528,Southern_California.20000910.stacov.point-2016/02/16-09:32:14 
