DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20130724,2013.5615,-93.7,86.3,-5.5,rrr,2.5,2.6,8.2,0.035,Southern_California.20130724.stacov.point-2016/02/16-12:03:50 
20130725,2013.5642,-93.2,86.3,-2.3,rrr,2.4,2.6,8.0,0.0649,Southern_California.20130725.stacov.point-2016/02/16-12:03:51 
20130726,2013.567,-96.6,87.3,3.6,rrr,2.4,2.8,8.4,0.1226,Southern_California.20130726.stacov.point-2016/02/16-12:03:53 
20130727,2013.5697,-93.0,87.0,-7.4,rrr,2.3,2.6,7.9,0.0867,Southern_California.20130727.stacov.point-2016/02/16-12:03:54 
20130728,2013.5725,-91.8,84.7,-5.6,rrr,2.3,2.6,7.9,0.1004,Southern_California.20130728.stacov.point-2016/02/16-12:03:55 
20130729,2013.5752,-93.3,85.4,-3.6,rrr,2.4,2.6,7.9,0.0955,Southern_California.20130729.stacov.point-2016/02/16-12:03:57 
20130730,2013.5779,-93.0,86.8,-11.0,rrr,2.4,2.6,7.9,0.0881,Southern_California.20130730.stacov.point-2016/02/16-12:03:58 
20130731,2013.5807,-92.7,85.2,-6.6,rrr,2.4,2.5,7.8,0.0353,Southern_California.20130731.stacov.point-2016/02/16-12:04:00 
20130801,2013.5834,-93.2,88.3,-8.1,rrr,2.4,2.6,7.9,0.086,Southern_California.20130801.stacov.point-2016/02/16-12:04:01 
20130802,2013.5861,-93.3,86.4,-8.2,rrr,2.4,2.6,7.9,0.0848,Southern_California.20130802.stacov.point-2016/02/16-12:04:03 
20130803,2013.5889,-92.1,85.9,-9.4,rrr,2.4,2.6,7.9,0.089,Southern_California.20130803.stacov.point-2016/02/16-12:04:04 
20130804,2013.5916,-91.3,86.0,-8.3,rrr,2.4,2.7,7.9,0.0851,Southern_California.20130804.stacov.point-2016/02/16-12:04:06 
20130805,2013.5944,-91.5,86.4,-8.9,rrr,2.4,2.7,7.9,0.0964,Southern_California.20130805.stacov.point-2016/02/16-12:04:07 
20130806,2013.5971,-91.8,87.0,-14.0,rrr,2.4,2.6,7.9,0.091,Southern_California.20130806.stacov.point-2016/02/16-12:04:08 
20130807,2013.5998,-92.3,87.2,-6.2,rrr,2.4,2.6,7.9,0.0878,Southern_California.20130807.stacov.point-2016/02/16-12:04:10 
20130808,2013.6026,-91.2,86.3,-7.8,rrr,2.3,2.6,7.9,0.0877,Southern_California.20130808.stacov.point-2016/02/16-12:04:11 
20130809,2013.6053,-92.3,85.7,-10.9,rrr,2.4,2.7,7.9,0.092,Southern_California.20130809.stacov.point-2016/02/16-12:04:13 
20130810,2013.608,-92.3,86.6,-9.1,rrr,2.3,2.6,7.9,0.1,Southern_California.20130810.stacov.point-2016/02/16-12:04:14 
20130811,2013.6108,-93.1,86.8,-8.9,rrr,2.4,2.6,7.9,0.0958,Southern_California.20130811.stacov.point-2016/02/16-12:04:16 
20130812,2013.6135,-91.5,87.9,-2.4,rrr,2.4,2.5,7.8,0.0251,Southern_California.20130812.stacov.point-2016/02/16-12:04:17 
20130813,2013.6163,-91.0,85.7,-8.4,rrr,2.4,2.7,7.9,0.0666,Southern_California.20130813.stacov.point-2016/02/16-12:04:18 
20130814,2013.619,-91.8,85.5,-0.2,rrr,2.4,2.6,7.9,0.098,Southern_California.20130814.stacov.point-2016/02/16-12:04:20 
20130815,2013.6217,-92.5,86.6,-3.0,rrr,2.4,2.6,7.9,0.0856,Southern_California.20130815.stacov.point-2016/02/16-12:04:22 
20130816,2013.6245,-93.7,86.2,3.8,rrr,2.4,2.6,7.9,0.0927,Southern_California.20130816.stacov.point-2016/02/16-12:04:23 
20130817,2013.6272,-94.6,85.0,-2.4,rrr,2.4,2.6,8.3,0.0573,Southern_California.20130817.stacov.point-2016/02/16-12:04:25 
20130818,2013.6299,-91.7,86.6,-6.4,rrr,2.4,2.6,8.2,0.0623,Southern_California.20130818.stacov.point-2016/02/16-12:04:26 
20130819,2013.6327,-91.1,86.5,-5.2,rrr,2.3,2.6,7.9,0.0903,Southern_California.20130819.stacov.point-2016/02/16-12:04:28 
20130820,2013.6354,-90.7,83.7,-7.7,rrr,2.4,2.6,8.3,0.0418,Southern_California.20130820.stacov.point-2016/02/16-12:04:29 
20130821,2013.6382,-91.4,85.9,4.7,rrr,2.4,2.6,7.9,0.0921,Southern_California.20130821.stacov.point-2016/02/16-12:04:31 
20130822,2013.6409,-91.6,87.4,-5.2,rrr,2.4,2.6,8.0,0.0633,Southern_California.20130822.stacov.point-2016/02/16-12:04:32 
20130823,2013.6436,-92.1,86.3,-1.6,rrr,2.4,2.7,8.0,0.0928,Southern_California.20130823.stacov.point-2016/02/16-12:04:33 
20130824,2013.6464,-91.7,86.2,-10.2,rrr,2.4,2.7,7.9,0.0894,Southern_California.20130824.stacov.point-2016/02/16-12:04:35 
20130825,2013.6491,-90.9,86.1,-7.1,rrr,2.3,2.5,7.8,0.0384,Southern_California.20130825.stacov.point-2016/02/16-12:04:36 
20130826,2013.6519,-90.0,84.1,-9.2,rrr,2.4,2.6,8.3,0.0774,Southern_California.20130826.stacov.point-2016/02/16-12:04:38 
20130827,2013.6546,-91.1,84.3,-3.1,rrr,2.3,2.6,7.9,0.1036,Southern_California.20130827.stacov.point-2016/02/16-12:04:39 
20130828,2013.6573,-91.1,85.6,-6.4,rrr,2.4,2.6,8.3,0.0668,Southern_California.20130828.stacov.point-2016/02/16-12:04:41 
20130829,2013.6601,-91.6,86.5,-3.2,rrr,2.4,2.6,8.3,0.0764,Southern_California.20130829.stacov.point-2016/02/16-12:04:42 
