DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19940401,1994.2484,-441.4,448.3,-15.4,rrr,4.2,4.9,16.0,0.0101,Southern_California.19940401.stacov.point-2016/02/16-09:19:05 
19940402,1994.2511,-441.9,444.3,-18.5,rrr,3.9,4.8,15.3,0.0212,Southern_California.19940402.stacov.point-2016/02/16-09:19:05 
19940403,1994.2538,-438.3,446.5,-11.5,rrr,3.9,4.8,15.2,-0.0112,Southern_California.19940403.stacov.point-2016/02/16-09:19:05 
19940404,1994.2565,-442.0,446.5,-18.4,rrr,3.9,4.9,15.2,-0.0015,Southern_California.19940404.stacov.point-2016/02/16-09:19:05 
19940405,1994.2592,-439.6,448.4,-17.5,rrr,3.8,4.9,14.9,0.0168,Southern_California.19940405.stacov.point-2016/02/16-09:19:05 
19940406,1994.262,-444.0,441.1,-6.6,rrr,4.2,5.2,16.1,0.0444,Southern_California.19940406.stacov.point-2016/02/16-09:19:05 
19940407,1994.2647,-441.0,447.9,-2.8,rrr,3.9,4.8,15.2,0.0033,Southern_California.19940407.stacov.point-2016/02/16-09:19:06 
19940408,1994.2675,-440.9,446.8,-5.1,rrr,4.0,5.2,15.7,0.0508,Southern_California.19940408.stacov.point-2016/02/16-09:19:06 
19940409,1994.2702,-437.7,450.3,-1.6,rrr,4.2,5.1,16.2,-0.0201,Southern_California.19940409.stacov.point-2016/02/16-09:19:06 
19940410,1994.2729,-436.1,451.2,-12.3,rrr,4.1,4.9,15.6,0.0154,Southern_California.19940410.stacov.point-2016/02/16-09:19:06 
19940411,1994.2757,-441.9,449.3,-6.8,rrr,4.3,4.9,16.0,-0.0134,Southern_California.19940411.stacov.point-2016/02/16-09:19:06 
19940412,1994.2784,-443.0,450.4,-15.0,rrr,3.0,3.4,11.1,0.0044,Southern_California.19940412.stacov.point-2016/02/16-09:19:07 
19940413,1994.2811,-436.5,450.9,-4.7,rrr,2.8,3.3,10.6,-0.0428,Southern_California.19940413.stacov.point-2016/02/16-09:19:07 
19940414,1994.2839,-441.9,447.8,-4.3,rrr,2.9,3.4,10.7,0.014,Southern_California.19940414.stacov.point-2016/02/16-09:19:07 
19941007,1994.7658,-430.5,432.5,-19.3,rrr,2.9,3.4,10.7,0.0506,Southern_California.19941007.stacov.point-2016/02/16-09:19:39 
19941008,1994.7685,-429.0,431.7,-23.1,rrr,2.8,3.4,10.7,0.0531,Southern_California.19941008.stacov.point-2016/02/16-09:19:40 
19941009,1994.7712,-428.5,430.0,-17.6,rrr,2.8,3.4,10.7,0.054,Southern_California.19941009.stacov.point-2016/02/16-09:19:40 
19941010,1994.774,-428.5,435.0,-19.5,rrr,2.8,3.4,10.6,0.0486,Southern_California.19941010.stacov.point-2016/02/16-09:19:40 
19941011,1994.7767,-430.1,430.6,-12.4,rrr,3.1,3.8,11.9,0.0644,Southern_California.19941011.stacov.point-2016/02/16-09:19:40 
19950619,1995.4639,-412.4,414.6,-19.4,rrr,2.9,3.6,11.0,0.0594,Southern_California.19950619.stacov.point-2016/02/16-09:20:37 
19950620,1995.4667,-410.8,415.2,-17.2,rrr,3.0,3.6,11.4,0.0387,Southern_California.19950620.stacov.point-2016/02/16-09:20:37 
19950621,1995.4694,-408.1,416.6,-15.0,rrr,3.8,4.7,15.3,-0.0021,Southern_California.19950621.stacov.point-2016/02/16-09:20:38 
19950622,1995.4721,-410.1,417.4,-19.0,rrr,2.9,3.5,11.0,0.0941,Southern_California.19950622.stacov.point-2016/02/16-09:20:38 
19950623,1995.4749,-411.3,417.2,-12.4,rrr,2.8,3.4,10.3,0.0875,Southern_California.19950623.stacov.point-2016/02/16-09:20:38 
19950624,1995.4776,-412.2,415.4,-10.7,rrr,2.8,3.4,10.3,0.09,Southern_California.19950624.stacov.point-2016/02/16-09:20:38 
19950625,1995.4804,-412.4,418.3,-12.3,rrr,2.9,3.4,10.7,0.0571,Southern_California.19950625.stacov.point-2016/02/16-09:20:39 
19950626,1995.4831,-411.2,419.3,-8.1,rrr,2.8,3.4,10.3,0.0862,Southern_California.19950626.stacov.point-2016/02/16-09:20:39 
19950627,1995.4858,-408.9,419.2,-12.2,rrr,2.8,3.4,10.3,0.0931,Southern_California.19950627.stacov.point-2016/02/16-09:20:39 
19950628,1995.4886,-408.2,419.0,-15.5,rrr,2.8,3.4,10.3,0.0904,Southern_California.19950628.stacov.point-2016/02/16-09:20:39 
19950629,1995.4913,-409.6,416.3,-21.0,rrr,2.9,3.4,10.7,0.0743,Southern_California.19950629.stacov.point-2016/02/16-09:20:40 
19950630,1995.494,-409.7,417.1,-10.9,rrr,2.8,3.5,10.5,0.0863,Southern_California.19950630.stacov.point-2016/02/16-09:20:40 
19950701,1995.4968,-409.4,419.0,-14.4,rrr,2.9,3.5,10.8,0.1231,Southern_California.19950701.stacov.point-2016/02/16-09:20:40 
