DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000421,2000.3045,-216.0,236.7,-13.8,rrr,3.3,4.1,12.7,-0.2947,Southern_California.20000421.stacov.point-2016/02/16-09:30:43 
20000422,2000.3073,-217.6,235.0,-10.7,rrr,3.3,4.0,11.6,-0.3542,Southern_California.20000422.stacov.point-2016/02/16-09:30:43 
20000423,2000.31,-219.9,237.0,-3.5,rrr,3.3,4.0,12.0,-0.3095,Southern_California.20000423.stacov.point-2016/02/16-09:30:44 
20000424,2000.3128,-219.3,233.0,-4.3,rrr,3.3,4.0,12.1,-0.3212,Southern_California.20000424.stacov.point-2016/02/16-09:30:45 
20000425,2000.3155,-218.6,233.9,-5.8,rrr,3.3,4.0,11.7,-0.3026,Southern_California.20000425.stacov.point-2016/02/16-09:30:45 
20000426,2000.3182,-218.9,236.3,-3.6,rrr,3.3,4.0,12.0,-0.2906,Southern_California.20000426.stacov.point-2016/02/16-09:30:46 
20000427,2000.321,-217.0,232.8,-6.7,rrr,3.3,4.0,12.0,-0.3077,Southern_California.20000427.stacov.point-2016/02/16-09:30:47 
20000428,2000.3237,-219.3,236.0,-3.4,rrr,3.3,4.0,12.1,-0.3144,Southern_California.20000428.stacov.point-2016/02/16-09:30:47 
20000429,2000.3265,-221.5,233.8,3.0,rrr,3.3,4.0,11.7,-0.3047,Southern_California.20000429.stacov.point-2016/02/16-09:30:48 
20000430,2000.3292,-218.6,235.3,-0.7,rrr,3.3,4.0,12.4,-0.3218,Southern_California.20000430.stacov.point-2016/02/16-09:30:49 
20000501,2000.3319,-219.9,234.1,-2.1,rrr,3.3,4.0,12.0,-0.3248,Southern_California.20000501.stacov.point-2016/02/16-09:30:49 
20000502,2000.3347,-221.3,234.6,-0.7,rrr,3.4,4.2,12.5,-0.3177,Southern_California.20000502.stacov.point-2016/02/16-09:30:50 
20000503,2000.3374,-217.5,234.0,-6.3,rrr,3.6,4.3,13.0,-0.3114,Southern_California.20000503.stacov.point-2016/02/16-09:30:51 
20000504,2000.3401,-219.7,235.4,-6.8,rrr,3.3,4.1,12.4,-0.3289,Southern_California.20000504.stacov.point-2016/02/16-09:30:51 
20010126,2001.0713,-203.5,216.3,-12.3,rrr,6.6,8.8,23.9,-0.3371,Southern_California.20010126.stacov.point-2016/02/16-09:33:52 
20010128,2001.0768,-206.3,218.3,-8.1,rrr,6.6,8.7,22.9,-0.3292,Southern_California.20010128.stacov.point-2016/02/16-09:33:53 
20010129,2001.0795,-203.8,217.4,-5.1,rrr,6.7,8.6,22.8,-0.3963,Southern_California.20010129.stacov.point-2016/02/16-09:33:54 
20010130,2001.0822,-202.0,217.4,-1.1,rrr,6.5,8.2,22.3,-0.4048,Southern_California.20010130.stacov.point-2016/02/16-09:33:55 
20010131,2001.085,-200.0,216.9,-4.5,rrr,6.7,8.2,24.5,-0.3833,Southern_California.20010131.stacov.point-2016/02/16-09:33:55 
