DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19981027,1998.8207,-183.2,154.5,-25.2,rrr,5.0,6.1,19.7,0.1554,Southern_California.19981027.stacov.point-2016/02/16-09:26:24 
19981028,1998.8235,-181.7,153.0,-17.3,rrr,4.2,5.1,16.7,0.1425,Southern_California.19981028.stacov.point-2016/02/16-09:26:24 
19981029,1998.8262,-180.6,151.5,-17.7,rrr,3.6,4.3,13.4,0.1652,Southern_California.19981029.stacov.point-2016/02/16-09:26:25 
19981031,1998.8317,-182.1,155.4,-20.4,rrr,4.6,6.0,17.9,0.1481,Southern_California.19981031.stacov.point-2016/02/16-09:26:25 
19981101,1998.8344,-182.6,154.7,-20.3,rrr,3.4,4.2,13.5,0.1106,Southern_California.19981101.stacov.point-2016/02/16-09:26:26 
19981102,1998.8371,-183.7,152.0,-19.5,rrr,4.1,4.7,15.9,0.1254,Southern_California.19981102.stacov.point-2016/02/16-09:26:26 
19981103,1998.8399,-184.3,153.1,-17.5,rrr,3.7,4.7,14.8,0.1,Southern_California.19981103.stacov.point-2016/02/16-09:26:26 
19981104,1998.8426,-184.8,153.3,-34.3,rrr,3.6,4.5,14.1,0.1848,Southern_California.19981104.stacov.point-2016/02/16-09:26:27 
19981105,1998.8454,-181.6,151.8,-28.4,rrr,3.4,4.3,13.5,0.1468,Southern_California.19981105.stacov.point-2016/02/16-09:26:27 
19981110,1998.859,-182.8,150.5,-12.9,rrr,6.4,7.2,21.1,0.1401,Southern_California.19981110.stacov.point-2016/02/16-09:26:29 
19981113,1998.8673,-181.8,153.2,-29.5,rrr,5.2,6.5,19.3,0.151,Southern_California.19981113.stacov.point-2016/02/16-09:26:30 
19981114,1998.87,-186.4,123.2,12.3,rrr,3.6,4.6,14.8,0.136,Southern_California.19981114.stacov.point-2016/02/16-09:26:30 
19981115,1998.8727,-183.2,150.8,-17.7,rrr,3.6,4.3,14.4,0.1143,Southern_California.19981115.stacov.point-2016/02/16-09:26:30 
19981116,1998.8755,-182.1,150.1,-23.9,rrr,3.4,4.4,13.1,0.2116,Southern_California.19981116.stacov.point-2016/02/16-09:26:31 
19981117,1998.8782,-185.8,149.6,28.4,rrr,5.7,7.9,25.8,0.23,Southern_California.19981117.stacov.point-2016/02/16-09:26:31 
