DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20010202,2001.0904,-225.5,256.4,-13.7,rrr,3.2,4.3,15.5,0.0729,Southern_California.20010202.stacov.point-2016/02/16-09:33:57 
20010203,2001.0932,-226.8,254.9,-6.9,rrr,3.1,4.3,15.7,0.0228,Southern_California.20010203.stacov.point-2016/02/16-09:33:58 
20010204,2001.0959,-227.6,253.7,-5.6,rrr,3.1,4.6,15.8,0.0916,Southern_California.20010204.stacov.point-2016/02/16-09:33:58 
20010205,2001.0987,-225.2,253.5,2.6,rrr,3.2,4.3,15.6,0.0645,Southern_California.20010205.stacov.point-2016/02/16-09:33:59 
20010206,2001.1014,-226.0,253.4,-4.1,rrr,3.1,4.3,15.5,0.0377,Southern_California.20010206.stacov.point-2016/02/16-09:34:00 
20010207,2001.1041,-227.0,252.2,-1.0,rrr,3.1,4.2,15.0,0.0449,Southern_California.20010207.stacov.point-2016/02/16-09:34:01 
20010208,2001.1069,-226.5,254.6,-15.1,rrr,3.2,4.6,15.7,0.0932,Southern_California.20010208.stacov.point-2016/02/16-09:34:01 
20010209,2001.1096,-225.7,252.8,-4.8,rrr,3.2,4.4,15.6,0.0752,Southern_California.20010209.stacov.point-2016/02/16-09:34:02 
20010210,2001.1123,-223.8,253.3,-2.5,rrr,3.2,4.3,15.5,0.0511,Southern_California.20010210.stacov.point-2016/02/16-09:34:03 
20010211,2001.1151,-224.6,254.6,0.1,rrr,3.3,4.5,16.1,0.005,Southern_California.20010211.stacov.point-2016/02/16-09:34:04 
20010212,2001.1178,-223.3,252.1,-6.3,rrr,3.2,4.5,16.0,0.049,Southern_California.20010212.stacov.point-2016/02/16-09:34:04 
20010213,2001.1206,-225.6,254.3,-0.1,rrr,3.1,4.4,15.3,0.0658,Southern_California.20010213.stacov.point-2016/02/16-09:34:05 
20010214,2001.1233,-223.9,255.5,-2.0,rrr,3.1,4.5,15.8,0.0511,Southern_California.20010214.stacov.point-2016/02/16-09:34:06 
20010215,2001.126,-224.8,253.6,-5.1,rrr,3.2,4.3,15.6,0.0081,Southern_California.20010215.stacov.point-2016/02/16-09:34:06 
20010216,2001.1288,-222.9,251.9,-6.7,rrr,3.1,4.1,15.0,0.0504,Southern_California.20010216.stacov.point-2016/02/16-09:34:07 
20010217,2001.1315,-223.4,253.0,-8.3,rrr,3.1,4.1,15.1,0.0044,Southern_California.20010217.stacov.point-2016/02/16-09:34:08 
20010218,2001.1342,-224.5,255.9,-4.5,rrr,3.1,4.3,15.5,0.0036,Southern_California.20010218.stacov.point-2016/02/16-09:34:09 
20010219,2001.137,-224.1,253.6,-2.7,rrr,3.1,4.3,15.5,-0.0032,Southern_California.20010219.stacov.point-2016/02/16-09:34:09 
20010220,2001.1397,-223.1,253.2,-11.4,rrr,3.2,4.6,15.9,0.048,Southern_California.20010220.stacov.point-2016/02/16-09:34:10 
20010221,2001.1425,-224.0,253.3,-7.1,rrr,3.2,4.4,15.4,0.0285,Southern_California.20010221.stacov.point-2016/02/16-09:34:11 
20010222,2001.1452,-225.4,252.3,-7.6,rrr,3.1,4.1,15.1,0.003,Southern_California.20010222.stacov.point-2016/02/16-09:34:12 
20010224,2001.1507,-224.8,253.2,-1.7,rrr,3.4,4.5,16.4,-0.0836,Southern_California.20010224.stacov.point-2016/02/16-09:34:13 
20010225,2001.1534,-225.5,250.2,-6.0,rrr,3.3,4.6,15.9,-0.0104,Southern_California.20010225.stacov.point-2016/02/16-09:34:14 
20010226,2001.1562,-225.1,251.0,1.3,rrr,3.3,4.4,15.8,0.0034,Southern_California.20010226.stacov.point-2016/02/16-09:34:15 
