DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990309,1999.1849,-275.7,261.3,-8.4,rrr,2.4,2.8,8.3,-0.0393,Southern_California.19990309.stacov.point-2016/02/16-09:27:12 
19990310,1999.1876,-276.5,257.6,-7.6,rrr,2.5,3.1,8.8,-0.0282,Southern_California.19990310.stacov.point-2016/02/16-09:27:12 
19990311,1999.1903,-276.4,256.6,-8.8,rrr,2.5,3.0,8.8,-0.0089,Southern_California.19990311.stacov.point-2016/02/16-09:27:13 
19990312,1999.1931,-278.7,257.6,-5.3,rrr,3.3,4.0,11.8,-0.0607,Southern_California.19990312.stacov.point-2016/02/16-09:27:13 
19990313,1999.1958,-279.7,256.0,-1.6,rrr,2.4,2.8,8.3,-0.0416,Southern_California.19990313.stacov.point-2016/02/16-09:27:14 
19990314,1999.1985,-277.5,258.4,-6.8,rrr,2.4,2.8,8.3,-0.0299,Southern_California.19990314.stacov.point-2016/02/16-09:27:14 
19990315,1999.2013,-275.6,259.4,3.6,rrr,2.4,2.9,8.5,-0.0633,Southern_California.19990315.stacov.point-2016/02/16-09:27:14 
19990316,1999.204,-279.2,258.4,-0.4,rrr,2.6,3.0,9.0,-0.0278,Southern_California.19990316.stacov.point-2016/02/16-09:27:15 
19990317,1999.2068,-276.4,258.3,-10.8,rrr,2.4,3.0,8.4,0.0124,Southern_California.19990317.stacov.point-2016/02/16-09:27:15 
19990318,1999.2095,-280.0,258.1,-3.8,rrr,2.4,2.8,8.3,-0.0489,Southern_California.19990318.stacov.point-2016/02/16-09:27:16 
19990319,1999.2122,-279.0,259.1,-13.1,rrr,2.8,3.3,9.8,-0.0544,Southern_California.19990319.stacov.point-2016/02/16-09:27:16 
19990325,1999.2287,-280.4,259.1,-10.4,rrr,2.4,2.9,8.5,-0.0725,Southern_California.19990325.stacov.point-2016/02/16-09:27:18 
19990326,1999.2314,-278.1,255.5,-5.2,rrr,2.4,2.8,8.3,-0.044,Southern_California.19990326.stacov.point-2016/02/16-09:27:19 
19990327,1999.2341,-277.6,256.0,-4.5,rrr,2.5,3.0,8.6,-0.033,Southern_California.19990327.stacov.point-2016/02/16-09:27:19 
19990328,1999.2369,-277.0,254.3,-12.8,rrr,2.4,3.0,8.4,-0.0069,Southern_California.19990328.stacov.point-2016/02/16-09:27:20 
19990329,1999.2396,-278.4,255.8,-10.2,rrr,2.5,3.0,8.6,-0.0355,Southern_California.19990329.stacov.point-2016/02/16-09:27:20 
19990330,1999.2424,-276.9,256.9,-8.5,rrr,2.4,3.0,8.6,-0.0241,Southern_California.19990330.stacov.point-2016/02/16-09:27:20 
19990331,1999.2451,-276.8,262.4,-17.2,rrr,2.6,3.0,9.0,-0.0336,Southern_California.19990331.stacov.point-2016/02/16-09:27:21 
19990401,1999.2478,-272.7,255.4,-14.4,rrr,2.4,3.0,8.4,-0.0082,Southern_California.19990401.stacov.point-2016/02/16-09:27:21 
19990402,1999.2506,-272.9,260.8,-12.4,rrr,2.5,3.0,8.8,-0.0289,Southern_California.19990402.stacov.point-2016/02/16-09:27:22 
19990403,1999.2533,-277.4,255.6,-10.4,rrr,2.4,3.0,8.4,-0.0149,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
19990404,1999.2559,-277.8,254.1,-9.0,rrr,2.5,3.0,8.8,-0.0287,Southern_California.19990404.stacov.point-2016/02/16-09:27:22 
