DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201207,2020.9348,-12.6,7.3,-8.2,rrr,2.6,3.1,9.5,-0.1136,Southern_California.20201207.stacov.point-2021/04/06-22:30:48 
20201208,2020.9375,-12.6,8.1,-8.1,rrr,2.6,3.2,9.5,-0.1326,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
20201209,2020.9403,-12.5,7.9,-5.6,rrr,2.6,3.1,9.5,-0.1312,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
20201210,2020.943,-11.9,6.6,-6.4,rrr,2.6,3.2,9.9,-0.1274,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
20201211,2020.9458,-12.9,8.0,-3.2,rrr,2.5,3.2,9.5,-0.1273,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,-12.7,8.7,-2.7,rrr,2.6,3.1,9.5,-0.1264,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
20201213,2020.9512,-12.4,8.3,-7.3,rrr,2.6,3.1,9.7,-0.1519,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
20201214,2020.954,-11.3,7.6,-0.2,rrr,2.6,3.1,9.7,-0.1283,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
20201215,2020.9567,-12.2,8.2,-4.4,rrr,2.6,3.2,9.5,-0.1172,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
20201216,2020.9594,-10.5,7.9,-1.9,rrr,2.5,3.2,9.5,-0.1284,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,-12.3,8.9,0.4,rrr,2.6,3.2,9.5,-0.1275,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,-12.2,8.1,-3.1,rrr,2.5,3.2,9.5,-0.1097,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20201219,2020.9677,-9.8,8.3,-5.5,rrr,2.7,3.2,9.9,-0.1585,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
20201220,2020.9704,-11.7,8.7,-4.2,rrr,2.6,3.2,9.9,-0.1331,Southern_California.20201220.stacov.point-2021/04/19-22:30:10 
20201221,2020.9731,-9.5,7.5,-6.8,rrr,2.5,3.1,9.5,-0.1146,Southern_California.20201221.stacov.point-2021/04/20-22:30:56 
20201222,2020.9759,-9.8,8.3,0.2,rrr,2.6,3.2,9.5,-0.1306,Southern_California.20201222.stacov.point-2021/04/21-22:30:49 
20201223,2020.9786,-10.4,7.9,-0.4,rrr,2.5,3.2,9.5,-0.1303,Southern_California.20201223.stacov.point-2021/04/22-22:31:41 
20201224,2020.9813,-8.5,7.1,-12.4,rrr,2.7,3.4,10.2,-0.1281,Southern_California.20201224.stacov.point-2021/04/23-22:30:12 
20201225,2020.9841,-10.8,8.7,-6.1,rrr,2.6,3.3,9.8,-0.142,Southern_California.20201225.stacov.point-2021/04/24-22:28:13 
20201226,2020.9868,-10.0,8.4,-3.6,rrr,2.5,3.1,9.5,-0.1147,Southern_California.20201226.stacov.point-2021/04/25-22:30:53 
20201227,2020.9896,-10.6,7.8,-2.7,rrr,2.5,3.1,9.4,-0.1738,Southern_California.20201227.stacov.point-2021/04/26-22:30:31 
20201228,2020.9923,-9.1,10.1,0.2,rrr,2.5,3.2,9.5,-0.1103,Southern_California.20201228.stacov.point-2021/04/27-22:29:56 
20201229,2020.995,-11.2,7.9,-3.4,rrr,2.6,3.1,9.5,-0.1355,Southern_California.20201229.stacov.point-2021/04/28-22:27:36 
20201230,2020.9978,-10.0,7.8,-1.8,rrr,2.6,3.2,9.5,-0.1309,Southern_California.20201230.stacov.point-2021/04/29-22:29:23 
20201231,2021.0005,-8.8,7.5,-0.9,rrr,2.5,3.1,9.5,-0.123,Southern_California.20201231.stacov.point-2021/04/30-22:31:07 
20210103,2021.0087,-10.6,10.1,-5.4,rrr,2.5,3.2,9.5,-0.1142,Southern_California.20210103.stacov.point-2021/05/03-22:29:37 
20210104,2021.0115,-9.4,8.7,-4.1,rrr,2.6,3.2,9.5,-0.1261,Southern_California.20210104.stacov.point-2021/05/04-22:29:37 
20210105,2021.0142,-9.0,7.6,1.8,rrr,2.6,3.2,9.5,-0.1365,Southern_California.20210105.stacov.point-2021/05/05-22:30:58 
20210106,2021.0169,-10.2,8.4,-1.1,rrr,2.6,3.2,9.5,-0.1503,Southern_California.20210106.stacov.point-2021/05/06-22:34:08 
20210107,2021.0197,-9.2,8.6,0.8,rrr,2.6,3.2,9.5,-0.1426,Southern_California.20210107.stacov.point-2021/05/07-22:30:30 
20210108,2021.0224,-8.4,10.0,-2.0,rrr,2.5,3.1,9.5,-0.1211,Southern_California.20210108.stacov.point-2021/05/08-22:31:13 
20210109,2021.0252,-8.1,8.1,-0.7,rrr,2.5,3.1,9.5,-0.1054,Southern_California.20210109.stacov.point-2021/05/09-22:31:13 
20210110,2021.0279,-8.1,8.7,-2.3,rrr,2.5,3.1,9.5,-0.1137,Southern_California.20210110.stacov.point-2021/03/10-22:47:42 
20210111,2021.0306,-7.1,7.8,-7.0,rrr,2.6,3.2,9.6,-0.1241,Southern_California.20210111.stacov.point-2021/03/11-22:46:11 
20210112,2021.0334,-8.7,8.8,-6.9,rrr,2.6,3.1,9.6,-0.1267,Southern_California.20210112.stacov.point-2021/03/12-22:43:25 
20210113,2021.0361,-8.0,8.4,-5.9,rrr,2.6,3.1,9.7,-0.1643,Southern_California.20210113.stacov.point-2021/03/13-22:43:33 
20210430,2021.3289,-4.0,0.2,-2.5,rrr,2.5,3.2,9.9,-0.106,Southern_California.20210430.stacov.point-2021/08/28-23:10:25 
20210501,2021.3317,-4.8,1.3,6.3,rrr,2.6,3.2,9.9,-0.0981,Southern_California.20210501.stacov.point-2021/08/29-23:10:05 
20210502,2021.3344,-5.0,0.3,8.3,rrr,2.5,3.2,9.9,-0.1112,Southern_California.20210502.stacov.point-2021/08/30-23:12:50 
