DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000921,2000.7234,-258.1,286.3,4.6,rrr,2.5,2.9,8.7,0.0431,Southern_California.20000921.stacov.point-2016/02/16-09:32:21 
20000922,2000.7262,-259.3,286.2,1.5,rrr,2.5,2.9,8.6,0.0356,Southern_California.20000922.stacov.point-2016/02/16-09:32:22 
20000923,2000.7289,-258.9,284.6,2.3,rrr,2.5,2.9,8.6,0.0341,Southern_California.20000923.stacov.point-2016/02/16-09:32:23 
20000924,2000.7317,-258.6,284.5,-2.7,rrr,2.6,3.3,9.0,0.0458,Southern_California.20000924.stacov.point-2016/02/16-09:32:23 
20000925,2000.7344,-259.1,284.1,2.2,rrr,2.7,3.2,9.2,-0.0133,Southern_California.20000925.stacov.point-2016/02/16-09:32:24 
20000926,2000.7371,-258.6,286.0,4.1,rrr,2.5,2.9,8.6,0.0454,Southern_California.20000926.stacov.point-2016/02/16-09:32:25 
20000927,2000.7399,-258.7,287.0,5.1,rrr,2.6,2.9,8.9,0.037,Southern_California.20000927.stacov.point-2016/02/16-09:32:25 
20000928,2000.7426,-259.6,284.8,2.6,rrr,2.5,2.9,9.0,0.042,Southern_California.20000928.stacov.point-2016/02/16-09:32:26 
20000929,2000.7454,-259.7,283.8,-3.6,rrr,2.7,3.2,9.4,0.0101,Southern_California.20000929.stacov.point-2016/02/16-09:32:27 
20000930,2000.7481,-258.6,282.7,-1.8,rrr,2.5,2.9,8.7,0.0476,Southern_California.20000930.stacov.point-2016/02/16-09:32:27 
20001001,2000.7508,-259.3,285.0,2.1,rrr,2.5,2.9,8.6,0.0824,Southern_California.20001001.stacov.point-2016/02/16-09:32:28 
20001010,2000.7755,-257.5,285.9,6.0,rrr,3.7,4.3,13.0,0.0326,Southern_California.20001010.stacov.point-2016/02/16-09:32:34 
20001011,2000.7782,-259.5,282.5,-6.4,rrr,3.6,4.1,12.2,0.0371,Southern_California.20001011.stacov.point-2016/02/16-09:32:35 
20001012,2000.7809,-257.7,286.2,-5.2,rrr,3.3,3.8,11.1,0.0569,Southern_California.20001012.stacov.point-2016/02/16-09:32:35 
20001013,2000.7837,-258.5,286.4,-6.6,rrr,2.6,3.3,9.0,0.0213,Southern_California.20001013.stacov.point-2016/02/16-09:32:36 
20001014,2000.7864,-257.8,282.6,-4.8,rrr,2.6,3.2,9.0,0.016,Southern_California.20001014.stacov.point-2016/02/16-09:32:37 
20001015,2000.7892,-258.0,281.6,-3.6,rrr,2.6,2.8,8.7,0.0452,Southern_California.20001015.stacov.point-2016/02/16-09:32:37 
20001016,2000.7919,-257.2,283.6,3.4,rrr,2.6,3.3,9.0,0.0211,Southern_California.20001016.stacov.point-2016/02/16-09:32:38 
20001017,2000.7946,-259.0,286.6,-0.9,rrr,2.6,2.9,8.9,0.0126,Southern_California.20001017.stacov.point-2016/02/16-09:32:39 
20001018,2000.7974,-258.1,285.7,0.7,rrr,2.6,3.0,8.9,-0.0007,Southern_California.20001018.stacov.point-2016/02/16-09:32:39 
20001019,2000.8001,-256.2,281.1,-11.6,rrr,2.6,3.1,9.1,0.077,Southern_California.20001019.stacov.point-2016/02/16-09:32:40 
20001020,2000.8028,-256.6,283.6,-0.5,rrr,2.6,2.8,8.7,0.063,Southern_California.20001020.stacov.point-2016/02/16-09:32:41 
20001021,2000.8056,-255.9,282.5,-1.3,rrr,2.5,2.9,8.7,0.0455,Southern_California.20001021.stacov.point-2016/02/16-09:32:42 
20001022,2000.8083,-254.8,286.7,-11.5,rrr,2.5,2.8,8.7,0.0523,Southern_California.20001022.stacov.point-2016/02/16-09:32:42 
20001023,2000.8111,-256.8,281.8,-1.1,rrr,2.6,2.9,8.7,0.0551,Southern_California.20001023.stacov.point-2016/02/16-09:32:43 
20001024,2000.8138,-257.7,282.8,-3.6,rrr,2.5,2.9,8.7,0.0528,Southern_California.20001024.stacov.point-2016/02/16-09:32:44 
20001025,2000.8165,-255.9,283.9,-4.1,rrr,2.5,2.8,8.6,0.0491,Southern_California.20001025.stacov.point-2016/02/16-09:32:44 
20001026,2000.8193,-254.9,282.1,-4.6,rrr,2.6,2.9,8.7,0.0644,Southern_California.20001026.stacov.point-2016/02/16-09:32:45 
20001027,2000.822,-256.4,279.4,0.5,rrr,2.7,3.0,9.2,0.074,Southern_California.20001027.stacov.point-2016/02/16-09:32:46 
20001028,2000.8247,-255.0,281.7,-5.7,rrr,2.5,2.9,8.7,0.0412,Southern_California.20001028.stacov.point-2016/02/16-09:32:46 
20001029,2000.8276,-254.1,281.9,-3.5,rrr,2.5,2.8,9.0,0.0241,Southern_California.20001029.stacov.point-2016/02/16-09:32:47 
20001030,2000.8303,-256.0,282.2,0.7,rrr,2.6,2.9,8.7,0.0274,Southern_California.20001030.stacov.point-2016/02/16-09:32:48 
20001031,2000.8331,-254.6,282.7,-6.7,rrr,2.6,2.9,8.9,0.0115,Southern_California.20001031.stacov.point-2016/02/16-09:32:48 
20001101,2000.8358,-255.1,283.4,0.1,rrr,2.5,2.9,8.7,0.049,Southern_California.20001101.stacov.point-2016/02/16-09:32:49 
20001102,2000.8386,-253.8,279.9,-0.7,rrr,2.5,2.9,8.7,0.0452,Southern_California.20001102.stacov.point-2016/02/16-09:32:50 
