DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201208,2020.9375,-2.2,0.9,-7.8,rrr,5.3,6.2,16.7,-0.1473,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
20201209,2020.9403,-0.5,-0.4,-3.8,rrr,2.4,2.7,8.0,-0.0342,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
20201210,2020.943,1.6,-0.5,0.0,rrr,2.5,2.8,8.2,-0.0799,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
20201211,2020.9458,-0.3,-1.0,3.0,rrr,2.5,2.8,8.2,-0.0926,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,-0.2,-0.1,2.6,rrr,2.5,2.9,8.4,-0.017,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
20201213,2020.9512,-1.3,0.8,-0.3,rrr,2.5,2.8,8.4,-0.0572,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
20201214,2020.954,2.3,-0.7,2.4,rrr,2.5,2.7,8.2,-0.0875,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
20201215,2020.9567,2.6,0.5,1.4,rrr,2.4,2.7,8.0,-0.0532,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
20201216,2020.9594,0.8,-0.9,1.5,rrr,2.5,2.8,8.2,-0.0769,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,-0.2,0.3,8.1,rrr,2.4,2.8,8.2,-0.0758,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,0.4,0.9,4.1,rrr,2.5,2.7,8.4,-0.0682,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20201219,2020.9677,1.8,0.2,-1.3,rrr,2.5,3.0,8.3,-0.046,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
20210114,2021.0388,2.6,2.0,5.1,rrr,2.5,2.9,8.3,-0.0262,Southern_California.20210114.stacov.point-2021/03/14-22:44:14 
20210115,2021.0416,-0.5,1.7,5.0,rrr,2.4,2.7,8.0,-0.0495,Southern_California.20210115.stacov.point-2021/05/15-22:29:13 
20210116,2021.0443,-0.4,2.2,6.6,rrr,2.5,2.8,8.2,-0.0881,Southern_California.20210116.stacov.point-2021/05/16-22:29:14 
20210117,2021.0471,0.9,1.3,1.2,rrr,2.4,2.7,8.0,-0.0466,Southern_California.20210117.stacov.point-2021/05/17-22:27:31 
20210118,2021.0498,2.4,-0.6,5.3,rrr,2.4,2.7,8.0,-0.0561,Southern_California.20210118.stacov.point-2021/05/18-22:27:27 
20210119,2021.0525,0.2,0.5,5.8,rrr,2.5,2.9,8.4,-0.0356,Southern_California.20210119.stacov.point-2021/05/19-22:27:46 
20210120,2021.0553,-0.3,1.0,2.5,rrr,2.6,3.0,8.7,-0.0577,Southern_California.20210120.stacov.point-2021/05/20-22:28:05 
20210121,2021.058,-0.6,1.1,2.3,rrr,2.5,3.0,8.3,-0.0315,Southern_California.20210121.stacov.point-2021/05/21-22:28:09 
20210122,2021.0607,-0.8,2.3,4.7,rrr,2.4,2.7,8.0,-0.0535,Southern_California.20210122.stacov.point-2021/05/22-22:28:38 
20210124,2021.0662,0.4,1.4,7.4,rrr,2.4,2.7,8.0,-0.063,Southern_California.20210124.stacov.point-2021/05/24-22:27:58 
20210125,2021.069,0.3,1.4,5.0,rrr,2.4,2.7,8.0,-0.0533,Southern_California.20210125.stacov.point-2021/05/25-22:28:22 
20210126,2021.0717,1.6,3.4,6.2,rrr,2.5,2.8,8.2,-0.0881,Southern_California.20210126.stacov.point-2021/05/26-22:27:14 
20210127,2021.0744,1.5,1.6,-0.7,rrr,2.4,2.7,8.0,-0.0578,Southern_California.20210127.stacov.point-2021/05/27-22:28:28 
20210128,2021.0772,2.1,2.7,-2.8,rrr,2.4,2.7,8.0,-0.0495,Southern_California.20210128.stacov.point-2021/05/28-22:28:59 
20210130,2021.0827,3.7,2.0,4.6,rrr,2.5,2.9,8.3,-0.034,Southern_California.20210130.stacov.point-2021/05/30-22:28:11 
20210131,2021.0854,5.0,1.7,-4.6,rrr,2.4,2.7,8.0,-0.0498,Southern_California.20210131.stacov.point-2021/05/31-22:27:36 
20210201,2021.0881,2.2,1.6,-2.1,rrr,2.4,2.7,8.0,-0.0522,Southern_California.20210201.stacov.point-2021/06/01-22:26:40 
20210202,2021.0909,2.4,1.3,-1.8,rrr,2.4,2.7,8.0,-0.0498,Southern_California.20210202.stacov.point-2021/04/02-22:31:15 
20210203,2021.0936,0.5,1.2,-4.5,rrr,2.5,2.9,8.4,-0.0322,Southern_California.20210203.stacov.point-2021/04/03-22:41:36 
20210204,2021.0963,2.7,1.0,5.5,rrr,2.5,3.0,8.4,-0.0479,Southern_California.20210204.stacov.point-2021/04/04-22:41:18 
20210205,2021.0991,0.9,1.4,7.9,rrr,2.6,3.0,8.4,-0.0515,Southern_California.20210205.stacov.point-2021/04/05-22:41:24 
20210206,2021.1018,3.8,0.5,-2.8,rrr,2.5,2.8,8.4,-0.0748,Southern_California.20210206.stacov.point-2021/04/06-22:46:07 
20210207,2021.1046,4.7,-0.4,1.5,rrr,2.4,2.7,8.0,-0.0504,Southern_California.20210207.stacov.point-2021/04/07-22:46:24 
20210208,2021.1073,3.8,1.5,4.8,rrr,2.4,2.7,8.0,-0.061,Southern_California.20210208.stacov.point-2021/04/08-22:48:20 
20210210,2021.1128,3.4,0.2,4.6,rrr,2.4,2.7,8.0,-0.0598,Southern_California.20210210.stacov.point-2021/04/10-22:50:44 
20210211,2021.1155,4.5,1.2,2.7,rrr,2.4,2.7,8.0,-0.0495,Southern_California.20210211.stacov.point-2021/04/11-22:37:44 
20210212,2021.1182,4.6,-0.1,7.5,rrr,2.5,2.9,8.5,-0.0196,Southern_California.20210212.stacov.point-2021/04/12-22:45:18 
20210213,2021.121,4.8,-1.0,13.2,rrr,2.5,2.9,8.7,-0.0507,Southern_California.20210213.stacov.point-2021/04/13-22:42:06 
20210215,2021.1265,2.9,1.2,3.7,rrr,2.4,2.7,8.0,-0.0572,Southern_California.20210215.stacov.point-2021/04/15-22:47:20 
20210216,2021.1292,5.0,0.4,-0.3,rrr,2.5,2.9,8.5,-0.0214,Southern_California.20210216.stacov.point-2021/04/16-22:43:54 
20210217,2021.1319,3.4,1.3,1.6,rrr,2.5,2.9,8.4,-0.0033,Southern_California.20210217.stacov.point-2021/04/17-22:45:36 
20210218,2021.1347,4.2,1.5,1.0,rrr,2.6,2.9,8.7,-0.0577,Southern_California.20210218.stacov.point-2021/04/18-22:42:52 
20210219,2021.1374,3.7,1.7,-7.3,rrr,2.6,2.7,8.3,-0.0891,Southern_California.20210219.stacov.point-2021/04/19-22:44:02 
20210220,2021.1401,1.2,0.6,1.4,rrr,2.5,2.9,8.4,-0.0283,Southern_California.20210220.stacov.point-2021/04/20-22:44:31 
20210221,2021.1429,3.2,1.7,-1.1,rrr,2.5,2.9,8.3,-0.0329,Southern_California.20210221.stacov.point-2021/06/21-23:09:03 
20210222,2021.1456,2.0,1.3,-3.9,rrr,2.4,2.7,8.0,-0.0486,Southern_California.20210222.stacov.point-2021/04/22-22:46:51 
20210223,2021.1484,2.3,2.5,0.7,rrr,2.4,2.7,8.0,-0.0425,Southern_California.20210223.stacov.point-2021/06/23-23:09:42 
20210224,2021.1511,1.8,1.9,-0.2,rrr,2.5,2.8,8.2,-0.084,Southern_California.20210224.stacov.point-2021/06/24-23:10:33 
20210225,2021.1538,3.2,0.6,3.4,rrr,2.5,2.9,8.4,-0.0287,Southern_California.20210225.stacov.point-2021/04/25-22:44:48 
20210226,2021.1566,1.9,-0.0,4.1,rrr,2.5,3.0,8.4,-0.0489,Southern_California.20210226.stacov.point-2021/06/26-23:10:09 
20210227,2021.1593,2.5,-0.1,9.9,rrr,2.5,3.0,8.7,-0.0577,Southern_California.20210227.stacov.point-2021/06/27-23:09:28 
20210228,2021.1621,2.1,0.4,8.2,rrr,2.6,3.0,8.7,-0.0381,Southern_California.20210228.stacov.point-2021/06/28-23:10:00 
20210301,2021.1648,1.8,1.1,-2.5,rrr,2.5,2.9,8.4,-0.0131,Southern_California.20210301.stacov.point-2021/06/29-23:10:15 
20210303,2021.1703,4.1,-0.0,3.6,rrr,2.4,2.7,8.0,-0.0502,Southern_California.20210303.stacov.point-2021/07/01-23:11:11 
20210304,2021.173,2.9,-0.2,-3.4,rrr,2.4,2.7,8.0,-0.0558,Southern_California.20210304.stacov.point-2021/05/02-22:35:31 
20210305,2021.1757,3.6,1.4,-6.9,rrr,2.5,2.9,8.5,-0.0622,Southern_California.20210305.stacov.point-2021/07/03-23:09:35 
20210308,2021.184,1.5,0.9,-5.8,rrr,2.7,2.9,8.8,-0.0603,Southern_California.20210308.stacov.point-2021/07/06-23:10:38 
20210309,2021.1867,1.2,0.4,2.9,rrr,2.4,2.7,8.0,-0.0559,Southern_California.20210309.stacov.point-2021/07/07-23:10:55 
20210310,2021.1894,2.3,-0.8,0.6,rrr,2.5,2.9,8.3,-0.0247,Southern_California.20210310.stacov.point-2021/07/08-23:11:15 
20210312,2021.1949,2.4,-0.7,-7.1,rrr,2.5,3.0,8.4,-0.0207,Southern_California.20210312.stacov.point-2021/07/10-23:10:52 
20210313,2021.1976,2.9,-0.6,-5.8,rrr,2.4,2.7,8.0,-0.054,Southern_California.20210313.stacov.point-2021/07/11-23:10:58 
20210314,2021.2003,2.7,-0.7,-4.0,rrr,2.4,2.7,8.0,-0.0524,Southern_California.20210314.stacov.point-2021/07/12-23:11:16 
20210315,2021.203,0.0,-0.5,2.4,rrr,2.5,2.9,8.4,-0.0343,Southern_California.20210315.stacov.point-2021/07/13-23:11:35 
20210316,2021.2057,1.7,0.5,3.0,rrr,2.5,2.9,8.4,-0.0373,Southern_California.20210316.stacov.point-2021/07/14-23:10:54 
20210317,2021.2085,3.4,-0.3,0.0,rrr,2.4,2.7,8.0,-0.0573,Southern_California.20210317.stacov.point-2021/07/15-23:10:41 
20210318,2021.2112,-0.1,-0.4,-0.5,rrr,2.5,3.0,8.4,-0.0265,Southern_California.20210318.stacov.point-2021/07/16-23:09:55 
20210319,2021.214,2.0,0.7,-2.4,rrr,2.5,3.0,8.4,-0.0291,Southern_California.20210319.stacov.point-2021/07/17-23:09:50 
20210320,2021.2167,1.3,-0.4,-0.1,rrr,2.5,3.0,8.4,-0.0401,Southern_California.20210320.stacov.point-2021/07/18-23:10:18 
