DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950129,1995.078,-71.5,80.1,-24.7,rrr,2.7,3.4,10.0,0.1074,Southern_California.19950129.stacov.point-2016/02/16-09:20:03 
19950130,1995.0807,-71.2,84.5,-24.8,rrr,2.7,3.3,10.3,0.1125,Southern_California.19950130.stacov.point-2016/02/16-09:20:03 
19950131,1995.0835,-75.0,75.6,-24.2,rrr,2.8,3.4,10.4,0.075,Southern_California.19950131.stacov.point-2016/02/16-09:20:04 
19950201,1995.0862,-74.8,78.3,-27.3,rrr,2.7,3.4,10.0,0.1075,Southern_California.19950201.stacov.point-2016/02/16-09:20:04 
19950202,1995.0889,-75.0,77.3,-23.1,rrr,2.7,3.3,10.1,0.112,Southern_California.19950202.stacov.point-2016/02/16-09:20:04 
19950203,1995.0917,-72.4,80.7,-24.1,rrr,2.7,3.3,10.1,0.0978,Southern_California.19950203.stacov.point-2016/02/16-09:20:04 
19950204,1995.0944,-69.4,78.4,-18.6,rrr,2.7,3.4,10.0,0.105,Southern_California.19950204.stacov.point-2016/02/16-09:20:04 
19950205,1995.0972,-69.0,77.4,-23.5,rrr,2.7,3.2,9.9,0.0736,Southern_California.19950205.stacov.point-2016/02/16-09:20:05 
19950206,1995.0999,-71.2,77.3,-23.7,rrr,2.7,3.4,9.9,0.1245,Southern_California.19950206.stacov.point-2016/02/16-09:20:05 
19950207,1995.1026,-71.3,77.8,-28.0,rrr,2.7,3.4,10.0,0.0876,Southern_California.19950207.stacov.point-2016/02/16-09:20:05 
19950208,1995.1054,-69.8,77.1,-30.2,rrr,2.7,3.5,10.4,0.1302,Southern_California.19950208.stacov.point-2016/02/16-09:20:05 
19950209,1995.1081,-71.1,74.3,-29.0,rrr,2.7,3.4,10.0,0.078,Southern_California.19950209.stacov.point-2016/02/16-09:20:06 
19950210,1995.1108,-69.9,81.1,-33.8,rrr,2.7,3.4,10.1,0.106,Southern_California.19950210.stacov.point-2016/02/16-09:20:06 
19950211,1995.1136,-69.9,76.4,-30.0,rrr,2.7,3.3,10.3,0.0867,Southern_California.19950211.stacov.point-2016/02/16-09:20:06 
19950212,1995.1163,-70.1,79.3,-28.8,rrr,2.7,3.5,10.2,0.1424,Southern_California.19950212.stacov.point-2016/02/16-09:20:06 
19950213,1995.1191,-67.0,79.7,-29.4,rrr,2.7,3.4,10.1,0.1042,Southern_California.19950213.stacov.point-2016/02/16-09:20:07 
19950214,1995.1218,-68.3,77.9,-27.1,rrr,2.7,3.3,10.3,0.0823,Southern_California.19950214.stacov.point-2016/02/16-09:20:07 
19950215,1995.1245,-70.8,72.4,-18.4,rrr,2.8,3.5,10.8,0.0826,Southern_California.19950215.stacov.point-2016/02/16-09:20:07 
19950216,1995.1273,-70.9,83.8,-27.3,rrr,2.9,3.6,11.5,0.0449,Southern_California.19950216.stacov.point-2016/02/16-09:20:07 
19950217,1995.13,-70.9,79.8,-33.9,rrr,2.9,3.7,11.5,0.1317,Southern_California.19950217.stacov.point-2016/02/16-09:20:08 
19950218,1995.1328,-71.6,73.6,-28.9,rrr,2.7,3.4,10.3,0.0955,Southern_California.19950218.stacov.point-2016/02/16-09:20:08 
19950219,1995.1355,-71.2,76.2,-27.4,rrr,2.7,3.3,10.5,0.0753,Southern_California.19950219.stacov.point-2016/02/16-09:20:08 
19950220,1995.1382,-74.9,70.0,-23.3,rrr,2.8,3.5,10.8,0.0854,Southern_California.19950220.stacov.point-2016/02/16-09:20:08 
19950221,1995.141,-70.6,75.7,-34.3,rrr,2.8,3.5,11.2,0.0474,Southern_California.19950221.stacov.point-2016/02/16-09:20:08 
19950222,1995.1437,-69.8,75.0,-30.9,rrr,2.8,3.5,11.4,0.064,Southern_California.19950222.stacov.point-2016/02/16-09:20:09 
19950223,1995.1464,-72.0,73.0,-30.7,rrr,2.8,3.4,10.4,0.0775,Southern_California.19950223.stacov.point-2016/02/16-09:20:09 
19950224,1995.1492,-71.7,78.5,-31.7,rrr,2.7,3.3,10.3,0.0651,Southern_California.19950224.stacov.point-2016/02/16-09:20:09 
19950225,1995.1519,-72.8,75.3,-22.6,rrr,2.7,3.3,10.3,0.0946,Southern_California.19950225.stacov.point-2016/02/16-09:20:09 
19950226,1995.1547,-71.3,76.3,-30.0,rrr,2.8,3.3,10.2,0.0731,Southern_California.19950226.stacov.point-2016/02/16-09:20:10 
19950227,1995.1574,-67.0,75.7,-28.8,rrr,2.7,3.3,10.3,0.0859,Southern_California.19950227.stacov.point-2016/02/16-09:20:10 
19950228,1995.1601,-67.1,78.9,-34.2,rrr,2.7,3.3,10.5,0.0774,Southern_California.19950228.stacov.point-2016/02/16-09:20:10 
19950301,1995.1629,-67.1,78.7,-26.6,rrr,2.7,3.4,10.1,0.0861,Southern_California.19950301.stacov.point-2016/02/16-09:20:10 
19950302,1995.1656,-70.1,75.0,-32.7,rrr,2.7,3.2,9.9,0.0693,Southern_California.19950302.stacov.point-2016/02/16-09:20:11 
19950303,1995.1683,-69.5,75.9,-28.9,rrr,2.7,3.4,10.1,0.091,Southern_California.19950303.stacov.point-2016/02/16-09:20:11 
19950304,1995.1711,-72.0,75.4,-27.9,rrr,2.7,3.3,10.2,0.073,Southern_California.19950304.stacov.point-2016/02/16-09:20:11 
19950305,1995.1738,-72.3,76.4,-26.9,rrr,2.7,3.3,10.1,0.0732,Southern_California.19950305.stacov.point-2016/02/16-09:20:11 
19950306,1995.1766,-67.7,80.6,-43.7,rrr,3.6,4.7,15.3,0.0132,Southern_California.19950306.stacov.point-2016/02/16-09:20:11 
19950307,1995.1793,-69.5,75.0,-25.3,rrr,3.5,4.0,12.6,0.1022,Southern_California.19950307.stacov.point-2016/02/16-09:20:12 
19950308,1995.182,-69.8,78.7,-29.3,rrr,2.7,3.4,10.1,0.1228,Southern_California.19950308.stacov.point-2016/02/16-09:20:12 
19950309,1995.1848,-71.8,78.4,-15.5,rrr,2.7,3.4,10.4,0.1379,Southern_California.19950309.stacov.point-2016/02/16-09:20:12 
19950310,1995.1875,-69.8,75.0,-28.4,rrr,2.7,3.4,10.0,0.0833,Southern_California.19950310.stacov.point-2016/02/16-09:20:12 
19950311,1995.1902,-71.1,77.1,-23.2,rrr,2.8,3.3,10.4,0.0919,Southern_California.19950311.stacov.point-2016/02/16-09:20:13 
19950312,1995.193,-70.8,79.2,-17.5,rrr,2.7,3.2,9.9,0.0638,Southern_California.19950312.stacov.point-2016/02/16-09:20:13 
19950313,1995.1957,-67.7,72.1,-24.0,rrr,2.7,3.4,10.1,0.1018,Southern_California.19950313.stacov.point-2016/02/16-09:20:13 
19950314,1995.1985,-72.0,73.1,-24.1,rrr,2.7,3.2,9.7,0.0657,Southern_California.19950314.stacov.point-2016/02/16-09:20:13 
19950315,1995.2012,-65.8,78.0,-21.0,rrr,2.7,3.2,9.9,0.0525,Southern_California.19950315.stacov.point-2016/02/16-09:20:14 
19950316,1995.2039,-69.5,75.1,-26.7,rrr,2.8,3.4,10.0,0.0854,Southern_California.19950316.stacov.point-2016/02/16-09:20:14 
19950317,1995.2067,-73.3,68.6,-22.8,rrr,2.9,3.4,10.6,0.0457,Southern_California.19950317.stacov.point-2016/02/16-09:20:14 
19950318,1995.2094,-70.8,74.8,-32.5,rrr,2.8,3.3,10.4,0.0957,Southern_California.19950318.stacov.point-2016/02/16-09:20:14 
19950319,1995.2122,-71.6,70.9,-27.1,rrr,2.7,3.4,10.0,0.0915,Southern_California.19950319.stacov.point-2016/02/16-09:20:14 
19950320,1995.2149,-70.7,71.4,-20.8,rrr,2.7,3.2,9.9,0.067,Southern_California.19950320.stacov.point-2016/02/16-09:20:15 
19950321,1995.2176,-70.7,71.4,-24.8,rrr,2.8,3.5,10.4,0.1716,Southern_California.19950321.stacov.point-2016/02/16-09:20:15 
19950322,1995.2204,-71.5,71.6,-19.7,rrr,2.7,3.4,10.0,0.1466,Southern_California.19950322.stacov.point-2016/02/16-09:20:15 
19950323,1995.2231,-70.3,72.4,-24.6,rrr,2.7,3.4,10.0,0.1355,Southern_California.19950323.stacov.point-2016/02/16-09:20:15 
