DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000209,2000.1075,-115.0,106.8,-3.7,rrr,2.4,2.8,8.6,0.0195,Southern_California.20000209.stacov.point-2016/02/16-09:29:56 
20000210,2000.1103,-117.1,106.0,-2.1,rrr,2.5,3.0,9.0,0.0479,Southern_California.20000210.stacov.point-2016/02/16-09:29:56 
20000211,2000.113,-113.4,107.3,-5.4,rrr,2.4,2.8,8.6,0.0221,Southern_California.20000211.stacov.point-2016/02/16-09:29:57 
20000212,2000.1157,-112.7,105.9,-6.3,rrr,2.5,3.0,9.0,0.0483,Southern_California.20000212.stacov.point-2016/02/16-09:29:57 
20000213,2000.1185,-112.4,106.4,0.6,rrr,2.4,3.0,8.7,0.052,Southern_California.20000213.stacov.point-2016/02/16-09:29:58 
20000214,2000.1212,-114.4,104.7,-6.6,rrr,2.5,3.0,9.1,0.0365,Southern_California.20000214.stacov.point-2016/02/16-09:29:59 
20000215,2000.124,-112.9,106.4,-1.0,rrr,2.5,3.0,9.0,0.024,Southern_California.20000215.stacov.point-2016/02/16-09:29:59 
20000216,2000.1267,-113.2,105.5,0.7,rrr,2.5,2.9,9.1,0.0328,Southern_California.20000216.stacov.point-2016/02/16-09:30:00 
20000217,2000.1294,-115.4,104.9,-5.6,rrr,2.5,3.0,9.1,0.0364,Southern_California.20000217.stacov.point-2016/02/16-09:30:01 
20000218,2000.1322,-114.5,104.8,-10.5,rrr,2.5,3.0,9.0,0.0486,Southern_California.20000218.stacov.point-2016/02/16-09:30:01 
20000219,2000.1349,-113.7,105.4,-4.0,rrr,2.5,2.8,8.6,0.0343,Southern_California.20000219.stacov.point-2016/02/16-09:30:02 
20000220,2000.1376,-112.4,106.0,-4.0,rrr,2.6,2.9,9.3,0.0216,Southern_California.20000220.stacov.point-2016/02/16-09:30:02 
20000221,2000.1404,-114.7,105.4,0.4,rrr,2.6,2.9,9.3,0.0329,Southern_California.20000221.stacov.point-2016/02/16-09:30:03 
20000222,2000.1431,-113.9,104.0,-3.0,rrr,2.5,2.9,9.1,0.0263,Southern_California.20000222.stacov.point-2016/02/16-09:30:04 
20000223,2000.1459,-115.6,104.4,-4.8,rrr,2.6,3.1,9.1,0.0484,Southern_California.20000223.stacov.point-2016/02/16-09:30:05 
20000224,2000.1486,-112.9,102.9,-3.0,rrr,2.4,2.8,8.6,0.0439,Southern_California.20000224.stacov.point-2016/02/16-09:30:05 
20000225,2000.1513,-113.8,103.8,-6.9,rrr,2.4,2.8,8.6,0.0191,Southern_California.20000225.stacov.point-2016/02/16-09:30:06 
20000226,2000.1541,-112.5,104.8,-6.2,rrr,2.4,2.8,8.6,0.0136,Southern_California.20000226.stacov.point-2016/02/16-09:30:06 
20000227,2000.1568,-113.2,104.8,-2.8,rrr,2.4,2.8,8.6,0.0297,Southern_California.20000227.stacov.point-2016/02/16-09:30:07 
20000228,2000.1596,-113.7,102.2,-6.9,rrr,2.5,2.9,9.1,0.0676,Southern_California.20000228.stacov.point-2016/02/16-09:30:08 
20000229,2000.1623,-113.8,102.8,-12.0,rrr,2.6,2.9,9.1,0.0599,Southern_California.20000229.stacov.point-2016/02/16-09:30:08 
20000301,2000.165,-112.9,105.0,-8.9,rrr,2.5,3.0,9.1,0.0402,Southern_California.20000301.stacov.point-2016/02/16-09:30:09 
20000302,2000.1678,-111.3,106.0,-4.3,rrr,2.5,2.9,9.1,0.0374,Southern_California.20000302.stacov.point-2016/02/16-09:30:10 
20000303,2000.1705,-112.1,103.4,-7.1,rrr,2.5,3.0,9.1,0.067,Southern_California.20000303.stacov.point-2016/02/16-09:30:10 
20000304,2000.1732,-114.4,102.6,-6.8,rrr,2.6,3.1,9.4,0.0452,Southern_California.20000304.stacov.point-2016/02/16-09:30:11 
20000305,2000.176,-113.9,101.9,-2.6,rrr,2.5,3.0,8.9,0.0492,Southern_California.20000305.stacov.point-2016/02/16-09:30:11 
20000306,2000.1787,-113.6,103.1,-6.9,rrr,2.6,2.9,9.3,0.0295,Southern_California.20000306.stacov.point-2016/02/16-09:30:12 
20000307,2000.1815,-111.9,104.2,-4.9,rrr,2.6,3.0,9.1,0.02,Southern_California.20000307.stacov.point-2016/02/16-09:30:13 
20000308,2000.1842,-110.7,102.7,-5.4,rrr,2.6,2.9,9.3,0.0129,Southern_California.20000308.stacov.point-2016/02/16-09:30:13 
20000309,2000.1869,-111.4,105.2,-12.9,rrr,2.6,3.0,9.1,0.054,Southern_California.20000309.stacov.point-2016/02/16-09:30:14 
20000310,2000.1897,-111.7,102.8,-12.5,rrr,2.7,3.1,9.4,0.0928,Southern_California.20000310.stacov.point-2016/02/16-09:30:14 
20000311,2000.1924,-110.7,103.2,-10.6,rrr,2.6,2.9,9.3,0.0261,Southern_California.20000311.stacov.point-2016/02/16-09:30:15 
20000312,2000.1951,-111.9,105.2,-12.6,rrr,2.6,2.9,9.3,0.0227,Southern_California.20000312.stacov.point-2016/02/16-09:30:16 
20000313,2000.1979,-111.5,103.3,-9.0,rrr,2.5,3.0,8.9,0.04,Southern_California.20000313.stacov.point-2016/02/16-09:30:16 
20000314,2000.2006,-110.7,101.6,-5.1,rrr,2.6,2.9,9.3,0.0226,Southern_California.20000314.stacov.point-2016/02/16-09:30:17 
20000315,2000.2034,-110.1,101.0,-3.3,rrr,2.6,2.9,9.3,0.0149,Southern_California.20000315.stacov.point-2016/02/16-09:30:18 
20000316,2000.2061,-111.7,102.9,-3.5,rrr,2.6,2.9,9.3,0.0167,Southern_California.20000316.stacov.point-2016/02/16-09:30:18 
20000317,2000.2088,-113.4,100.6,-10.5,rrr,2.6,2.9,9.3,0.0046,Southern_California.20000317.stacov.point-2016/02/16-09:30:19 
20000318,2000.2116,-110.1,100.7,-6.8,rrr,2.6,2.9,9.3,-0.005,Southern_California.20000318.stacov.point-2016/02/16-09:30:19 
20000319,2000.2143,-110.9,102.9,-8.8,rrr,2.5,3.0,8.9,0.0481,Southern_California.20000319.stacov.point-2016/02/16-09:30:20 
20000320,2000.217,-112.4,100.3,-4.6,rrr,2.7,3.0,9.8,0.0535,Southern_California.20000320.stacov.point-2016/02/16-09:30:22 
20000321,2000.2198,-114.6,103.5,-3.7,rrr,2.6,2.9,9.3,0.0352,Southern_California.20000321.stacov.point-2016/02/16-09:30:22 
20000322,2000.2225,-111.3,99.8,-8.0,rrr,2.6,2.9,9.3,0.0134,Southern_California.20000322.stacov.point-2016/02/16-09:30:23 
20000323,2000.2253,-111.1,100.1,-10.2,rrr,2.6,3.2,9.4,0.0525,Southern_California.20000323.stacov.point-2016/02/16-09:30:24 
20000324,2000.228,-109.8,102.8,-8.2,rrr,2.6,2.9,9.3,0.0283,Southern_California.20000324.stacov.point-2016/02/16-09:30:24 
20000325,2000.2307,-113.1,104.5,-12.6,rrr,2.5,3.0,8.9,0.0518,Southern_California.20000325.stacov.point-2016/02/16-09:30:25 
20000326,2000.2335,-109.5,99.9,-15.6,rrr,2.8,3.1,9.8,0.0172,Southern_California.20000326.stacov.point-2016/02/16-09:30:25 
20000327,2000.2362,-110.9,101.9,-6.2,rrr,2.8,3.0,9.8,0.0383,Southern_California.20000327.stacov.point-2016/02/16-09:30:26 
20000328,2000.239,-112.5,103.9,-3.5,rrr,2.5,2.9,8.9,0.0301,Southern_California.20000328.stacov.point-2016/02/16-09:30:28 
20000329,2000.2417,-110.5,102.6,-4.2,rrr,2.6,2.9,9.3,-0.0021,Southern_California.20000329.stacov.point-2016/02/16-09:30:29 
20000330,2000.2444,-110.0,101.8,-8.2,rrr,2.6,2.9,9.3,0.0098,Southern_California.20000330.stacov.point-2016/02/16-09:30:29 
20000331,2000.2472,-109.9,99.4,-14.2,rrr,2.8,3.1,10.2,0.0197,Southern_California.20000331.stacov.point-2016/02/16-09:30:30 
20000401,2000.2499,-107.3,101.9,-9.6,rrr,2.7,3.1,9.8,0.0178,Southern_California.20000401.stacov.point-2016/02/16-09:30:30 
20000402,2000.2525,-108.9,100.3,-5.5,rrr,2.6,3.1,9.4,0.0696,Southern_California.20000402.stacov.point-2016/02/16-09:30:31 
20000403,2000.2553,-107.9,99.5,-8.7,rrr,2.6,2.9,9.3,-0.0086,Southern_California.20000403.stacov.point-2016/02/16-09:30:32 
20000404,2000.258,-109.8,101.1,-10.4,rrr,2.7,2.9,9.3,-0.0089,Southern_California.20000404.stacov.point-2016/02/16-09:30:32 
20000405,2000.2607,-110.4,101.1,-7.6,rrr,2.6,2.9,9.3,0.0076,Southern_California.20000405.stacov.point-2016/02/16-09:30:33 
20000406,2000.2635,-106.9,104.6,-10.4,rrr,2.8,3.0,9.8,0.0308,Southern_California.20000406.stacov.point-2016/02/16-09:30:33 
20000407,2000.2662,-106.9,103.5,-3.8,rrr,2.7,3.1,9.6,0.0373,Southern_California.20000407.stacov.point-2016/02/16-09:30:34 
20000408,2000.269,-108.6,99.7,-3.0,rrr,2.6,3.0,9.1,-0.0017,Southern_California.20000408.stacov.point-2016/02/16-09:30:35 
20000409,2000.2717,-110.3,100.8,16.3,rrr,2.6,3.0,9.1,0.0005,Southern_California.20000409.stacov.point-2016/02/16-09:30:35 
20000410,2000.2744,-108.4,102.1,2.2,rrr,2.5,3.0,9.1,0.0069,Southern_California.20000410.stacov.point-2016/02/16-09:30:36 
20000411,2000.2772,-108.1,102.3,-5.7,rrr,2.5,3.0,9.0,0.0196,Southern_California.20000411.stacov.point-2016/02/16-09:30:36 
20000412,2000.2799,-109.9,101.9,-8.4,rrr,2.7,3.1,9.7,0.0268,Southern_California.20000412.stacov.point-2016/02/16-09:30:37 
20000413,2000.2826,-107.8,101.1,-2.1,rrr,2.6,3.1,9.7,0.0383,Southern_California.20000413.stacov.point-2016/02/16-09:30:38 
20000414,2000.2854,-108.6,101.6,-1.4,rrr,2.6,2.9,9.3,0.0069,Southern_California.20000414.stacov.point-2016/02/16-09:30:38 
20000415,2000.2881,-107.7,100.1,-0.4,rrr,2.6,3.0,9.1,0.0037,Southern_California.20000415.stacov.point-2016/02/16-09:30:39 
20000416,2000.2909,-108.2,99.7,0.4,rrr,2.5,3.0,9.0,0.0086,Southern_California.20000416.stacov.point-2016/02/16-09:30:39 
20000417,2000.2936,-108.8,100.8,1.7,rrr,2.6,3.0,9.3,-0.0164,Southern_California.20000417.stacov.point-2016/02/16-09:30:40 
20000418,2000.2963,-109.4,101.6,2.0,rrr,2.6,3.0,9.3,-0.0137,Southern_California.20000418.stacov.point-2016/02/16-09:30:41 
20000419,2000.2991,-111.0,99.2,3.3,rrr,2.6,3.0,9.3,-0.0196,Southern_California.20000419.stacov.point-2016/02/16-09:30:41 
20000420,2000.3018,-108.2,98.7,-3.6,rrr,2.6,2.9,9.3,-0.0348,Southern_California.20000420.stacov.point-2016/02/16-09:30:42 
20000421,2000.3045,-108.4,101.5,-4.9,rrr,2.6,3.0,9.3,-0.02,Southern_California.20000421.stacov.point-2016/02/16-09:30:43 
20000422,2000.3073,-108.4,97.7,-0.3,rrr,2.6,3.0,9.1,-0.0095,Southern_California.20000422.stacov.point-2016/02/16-09:30:43 
20000423,2000.31,-109.0,101.3,4.0,rrr,2.6,3.0,9.3,-0.0106,Southern_California.20000423.stacov.point-2016/02/16-09:30:44 
20000424,2000.3128,-110.3,97.9,-2.2,rrr,2.6,3.0,9.3,-0.0187,Southern_California.20000424.stacov.point-2016/02/16-09:30:45 
20000425,2000.3155,-108.2,99.2,0.1,rrr,2.6,3.0,9.3,-0.0055,Southern_California.20000425.stacov.point-2016/02/16-09:30:45 
20000426,2000.3182,-108.7,100.7,1.8,rrr,2.6,3.0,9.1,-0.0142,Southern_California.20000426.stacov.point-2016/02/16-09:30:46 
20000427,2000.321,-108.3,98.6,-1.1,rrr,2.6,3.0,9.1,-0.0023,Southern_California.20000427.stacov.point-2016/02/16-09:30:47 
20000428,2000.3237,-107.9,99.8,3.7,rrr,2.6,3.0,9.3,-0.0092,Southern_California.20000428.stacov.point-2016/02/16-09:30:47 
20000429,2000.3265,-110.5,97.2,1.5,rrr,2.6,3.0,9.1,0.0073,Southern_California.20000429.stacov.point-2016/02/16-09:30:48 
20000430,2000.3292,-108.9,101.0,-1.1,rrr,2.6,3.0,9.3,-0.0232,Southern_California.20000430.stacov.point-2016/02/16-09:30:49 
20000501,2000.3319,-109.7,98.9,-2.0,rrr,2.5,2.8,9.0,-0.0332,Southern_California.20000501.stacov.point-2016/02/16-09:30:49 
20000502,2000.3347,-109.8,99.1,-0.3,rrr,2.6,3.1,9.1,-0.0245,Southern_California.20000502.stacov.point-2016/02/16-09:30:50 
20000503,2000.3374,-108.9,99.6,-7.7,rrr,2.6,3.1,9.3,-0.017,Southern_California.20000503.stacov.point-2016/02/16-09:30:51 
20000504,2000.3401,-107.7,99.4,1.5,rrr,2.6,3.0,9.1,0.0077,Southern_California.20000504.stacov.point-2016/02/16-09:30:51 
20000505,2000.3429,-108.2,98.5,2.9,rrr,2.5,3.0,8.9,0.017,Southern_California.20000505.stacov.point-2016/02/16-09:30:52 
20000506,2000.3456,-106.5,97.0,3.2,rrr,2.6,3.0,9.1,0.0097,Southern_California.20000506.stacov.point-2016/02/16-09:30:52 
20000507,2000.3484,-107.7,99.4,2.0,rrr,2.5,3.0,8.9,0.0198,Southern_California.20000507.stacov.point-2016/02/16-09:30:53 
20000508,2000.3511,-107.9,98.0,0.9,rrr,2.6,3.0,9.1,-0.0117,Southern_California.20000508.stacov.point-2016/02/16-09:30:54 
20000509,2000.3538,-106.5,99.0,0.4,rrr,2.5,3.0,8.9,0.0128,Southern_California.20000509.stacov.point-2016/02/16-09:30:54 
20000510,2000.3566,-108.2,97.3,1.3,rrr,2.6,3.0,9.1,0.019,Southern_California.20000510.stacov.point-2016/02/16-09:30:55 
20000511,2000.3593,-106.9,97.7,3.9,rrr,2.6,3.1,9.3,-0.0339,Southern_California.20000511.stacov.point-2016/02/16-09:30:56 
20000512,2000.362,-107.8,97.1,-0.4,rrr,2.6,3.1,9.3,-0.0478,Southern_California.20000512.stacov.point-2016/02/16-09:30:56 
20000513,2000.3648,-106.0,98.3,-3.2,rrr,2.5,3.0,8.9,0.0042,Southern_California.20000513.stacov.point-2016/02/16-09:30:57 
20000514,2000.3675,-107.3,96.9,0.9,rrr,2.6,3.0,9.1,-0.0017,Southern_California.20000514.stacov.point-2016/02/16-09:30:57 
20000515,2000.3703,-105.0,96.7,0.5,rrr,2.6,2.9,9.3,0.0039,Southern_California.20000515.stacov.point-2016/02/16-09:30:58 
20000516,2000.373,-104.7,101.0,8.8,rrr,2.6,3.0,9.3,-0.0165,Southern_California.20000516.stacov.point-2016/02/16-09:30:59 
20000517,2000.3757,-105.1,96.7,3.5,rrr,2.6,3.0,9.1,-0.0073,Southern_California.20000517.stacov.point-2016/02/16-09:30:59 
20000518,2000.3785,-106.4,95.7,-2.5,rrr,2.6,3.0,9.1,0.0016,Southern_California.20000518.stacov.point-2016/02/16-09:31:00 
20000519,2000.3812,-107.1,95.4,-2.8,rrr,2.6,3.0,9.1,0.0183,Southern_California.20000519.stacov.point-2016/02/16-09:31:01 
20000520,2000.3839,-105.8,96.2,-0.2,rrr,2.5,3.0,8.9,0.0254,Southern_California.20000520.stacov.point-2016/02/16-09:31:01 
20000521,2000.3867,-108.1,96.7,-1.8,rrr,2.5,2.9,8.8,-0.0369,Southern_California.20000521.stacov.point-2016/02/16-09:31:02 
20000522,2000.3894,-105.9,95.0,2.3,rrr,2.6,3.0,9.1,0.0135,Southern_California.20000522.stacov.point-2016/02/16-09:31:02 
20000523,2000.3922,-107.7,97.5,-1.5,rrr,2.7,2.9,9.3,-0.0174,Southern_California.20000523.stacov.point-2016/02/16-09:31:03 
