DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19991125,1999.8995,-89.5,27.7,-35.4,rrr,3.8,4.3,13.2,-0.0229,Southern_California.19991125.stacov.point-2016/02/16-09:29:10 
19991126,1999.9022,-90.1,27.7,-30.7,rrr,3.7,4.3,12.6,-0.0306,Southern_California.19991126.stacov.point-2016/02/16-09:29:11 
19991127,1999.9049,-88.8,30.6,-30.0,rrr,3.5,4.2,12.5,-0.0286,Southern_California.19991127.stacov.point-2016/02/16-09:29:12 
19991128,1999.9077,-89.1,32.0,-35.4,rrr,3.6,4.2,12.7,-0.0289,Southern_California.19991128.stacov.point-2016/02/16-09:29:12 
19991129,1999.9104,-90.7,30.5,-33.7,rrr,3.5,4.2,12.3,-0.0169,Southern_California.19991129.stacov.point-2016/02/16-09:29:13 
19991130,1999.9131,-89.3,32.6,-32.1,rrr,3.8,4.2,13.2,-0.0353,Southern_California.19991130.stacov.point-2016/02/16-09:29:13 
19991201,1999.9159,-90.9,31.8,-27.2,rrr,3.8,4.3,13.4,-0.0115,Southern_California.19991201.stacov.point-2016/02/16-09:29:14 
19991222,1999.9734,-86.6,32.7,-34.1,rrr,3.5,4.2,12.6,0.0579,Southern_California.19991222.stacov.point-2016/02/16-09:29:26 
19991223,1999.9761,-86.2,30.9,-40.0,rrr,2.5,3.0,8.8,0.0104,Southern_California.19991223.stacov.point-2016/02/16-09:29:27 
19991224,1999.9788,-87.5,31.4,-39.9,rrr,2.5,3.0,8.8,0.0271,Southern_California.19991224.stacov.point-2016/02/16-09:29:27 
19991225,1999.9816,-88.4,30.8,-39.5,rrr,2.5,3.0,8.8,0.0066,Southern_California.19991225.stacov.point-2016/02/16-09:29:28 
19991226,1999.9843,-87.1,30.5,-39.1,rrr,2.5,3.0,8.8,0.0136,Southern_California.19991226.stacov.point-2016/02/16-09:29:29 
19991227,1999.9871,-89.1,32.6,-43.6,rrr,2.5,2.8,8.7,-0.0373,Southern_California.19991227.stacov.point-2016/02/16-09:29:29 
19991228,1999.9898,-86.9,31.1,-43.2,rrr,2.7,2.9,9.2,-0.0057,Southern_California.19991228.stacov.point-2016/02/16-09:29:30 
19991229,1999.9925,-87.8,31.9,-38.0,rrr,2.6,3.0,8.8,0.006,Southern_California.19991229.stacov.point-2016/02/16-09:29:30 
19991230,1999.9953,-85.3,33.4,-29.3,rrr,2.5,2.8,8.5,-0.0121,Southern_California.19991230.stacov.point-2016/02/16-09:29:31 
19991231,1999.998,-85.5,30.9,-32.0,rrr,2.6,3.0,8.9,-0.018,Southern_California.19991231.stacov.point-2016/02/16-09:29:32 
20000101,2000.0008,-84.3,32.4,-30.0,rrr,2.6,3.0,9.0,-0.0214,Southern_California.20000101.stacov.point-2016/02/16-09:29:32 
20000102,2000.0035,-85.4,33.4,-31.0,rrr,2.5,3.1,8.8,0.0182,Southern_California.20000102.stacov.point-2016/02/16-09:29:33 
20000103,2000.0062,-84.6,32.3,-30.2,rrr,2.4,2.9,8.3,-0.0043,Southern_California.20000103.stacov.point-2016/02/16-09:29:33 
20000104,2000.009,-85.0,32.2,-39.1,rrr,2.6,2.9,8.8,0.0144,Southern_California.20000104.stacov.point-2016/02/16-09:29:34 
20000105,2000.0117,-85.6,31.3,-29.1,rrr,2.5,3.0,8.8,0.0155,Southern_California.20000105.stacov.point-2016/02/16-09:29:34 
20000106,2000.0144,-84.2,31.8,-35.7,rrr,2.5,2.8,8.5,-0.0072,Southern_California.20000106.stacov.point-2016/02/16-09:29:35 
20000107,2000.0172,-83.7,33.1,-33.0,rrr,2.5,2.9,8.8,0.0243,Southern_California.20000107.stacov.point-2016/02/16-09:29:36 
20000108,2000.0199,-85.4,33.4,-32.4,rrr,2.4,2.8,8.3,-0.014,Southern_California.20000108.stacov.point-2016/02/16-09:29:36 
20000109,2000.0227,-84.5,31.9,-27.4,rrr,2.6,3.0,9.2,-0.0265,Southern_California.20000109.stacov.point-2016/02/16-09:29:37 
