DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20200524,2020.3953,-28.0,22.8,6.8,rrr,2.8,3.2,10.1,-0.0531,Southern_California.20200524.stacov.point-2020/09/21-22:28:46 
20200525,2020.3981,-25.7,23.5,4.0,rrr,2.8,3.3,10.2,-0.0243,Southern_California.20200525.stacov.point-2020/09/22-22:27:51 
20200526,2020.4008,-25.5,21.4,6.0,rrr,2.8,3.3,10.2,-0.0344,Southern_California.20200526.stacov.point-2020/09/23-22:30:03 
20200527,2020.4035,-25.6,21.7,7.8,rrr,2.8,3.1,10.1,-0.0422,Southern_California.20200527.stacov.point-2020/09/24-22:28:59 
20200528,2020.4063,-25.3,22.9,10.6,rrr,2.8,3.3,10.2,-0.0382,Southern_California.20200528.stacov.point-2020/09/25-22:28:04 
20200529,2020.409,-26.1,23.7,7.9,rrr,2.8,3.3,10.2,-0.0106,Southern_California.20200529.stacov.point-2020/09/26-22:27:52 
20200530,2020.4117,-24.5,22.7,1.2,rrr,2.8,3.2,10.1,-0.0649,Southern_California.20200530.stacov.point-2020/09/27-22:27:58 
20200531,2020.4145,-24.2,21.7,5.3,rrr,2.8,3.2,10.1,-0.0582,Southern_California.20200531.stacov.point-2020/09/28-22:27:54 
20200601,2020.4172,-24.7,21.9,10.7,rrr,2.8,3.3,10.2,-0.029,Southern_California.20200601.stacov.point-2020/09/29-22:29:06 
20200602,2020.42,-25.4,21.8,5.8,rrr,2.8,3.3,10.2,-0.0371,Southern_California.20200602.stacov.point-2020/09/30-22:29:49 
20200603,2020.4227,-25.0,21.5,9.4,rrr,2.8,3.3,10.2,-0.015,Southern_California.20200603.stacov.point-2020/10/01-22:31:59 
20200604,2020.4254,-25.2,20.7,4.5,rrr,3.0,3.4,10.6,-0.0221,Southern_California.20200604.stacov.point-2020/10/02-22:30:34 
20200605,2020.4282,-25.2,21.8,12.7,rrr,3.0,3.4,10.6,-0.0328,Southern_California.20200605.stacov.point-2020/10/03-22:30:48 
20200606,2020.4309,-24.2,22.4,4.5,rrr,2.9,3.3,10.2,-0.0167,Southern_California.20200606.stacov.point-2020/10/04-22:29:12 
20200607,2020.4337,-24.1,19.2,6.5,rrr,2.9,3.3,10.2,-0.0057,Southern_California.20200607.stacov.point-2020/10/05-22:27:03 
20200608,2020.4364,-21.6,21.1,10.5,rrr,2.8,3.2,10.1,-0.0394,Southern_California.20200608.stacov.point-2020/10/06-22:30:08 
20200609,2020.4391,-23.9,20.7,10.2,rrr,2.9,3.4,10.4,-0.0319,Southern_California.20200609.stacov.point-2020/10/07-22:28:57 
20200610,2020.4419,-22.6,22.0,9.3,rrr,2.9,3.3,10.2,0.0069,Southern_California.20200610.stacov.point-2020/10/08-22:32:09 
20200611,2020.4446,-25.6,20.9,5.6,rrr,2.9,3.4,10.4,-0.026,Southern_California.20200611.stacov.point-2020/10/09-22:26:54 
20200612,2020.4473,-23.8,22.6,6.9,rrr,2.8,3.3,10.2,-0.03,Southern_California.20200612.stacov.point-2020/10/10-22:27:58 
20200613,2020.4501,-23.4,20.9,11.6,rrr,2.8,3.4,10.4,-0.0456,Southern_California.20200613.stacov.point-2020/10/11-22:29:14 
20200614,2020.4528,-21.6,19.9,10.2,rrr,2.8,3.3,10.2,-0.0025,Southern_California.20200614.stacov.point-2020/10/12-22:32:19 
20200615,2020.4556,-23.2,20.9,10.5,rrr,2.9,3.3,10.5,-0.0394,Southern_California.20200615.stacov.point-2020/10/13-22:31:30 
20200616,2020.4583,-24.5,21.8,10.8,rrr,2.8,3.2,10.1,-0.0633,Southern_California.20200616.stacov.point-2020/10/14-22:29:57 
20200617,2020.461,-24.3,21.4,12.6,rrr,2.9,3.3,10.2,-0.0198,Southern_California.20200617.stacov.point-2020/10/15-22:30:18 
20200618,2020.4638,-23.8,21.8,3.9,rrr,2.8,3.3,10.2,-0.0285,Southern_California.20200618.stacov.point-2020/10/16-22:27:59 
20200619,2020.4665,-23.5,21.4,10.2,rrr,2.8,3.3,10.2,-0.0279,Southern_California.20200619.stacov.point-2020/10/17-22:27:37 
20200620,2020.4692,-22.5,19.4,5.1,rrr,2.9,3.3,10.2,-0.0037,Southern_California.20200620.stacov.point-2020/10/18-22:28:57 
20200621,2020.472,-23.8,21.8,10.2,rrr,2.8,3.2,10.1,-0.0543,Southern_California.20200621.stacov.point-2020/10/19-22:28:05 
20200622,2020.4747,-22.2,20.1,11.6,rrr,2.9,3.3,10.2,-0.0128,Southern_California.20200622.stacov.point-2020/10/20-22:31:59 
20200623,2020.4775,-23.1,19.2,9.1,rrr,2.8,3.2,9.9,-0.0513,Southern_California.20200623.stacov.point-2020/10/21-22:29:25 
20200624,2020.4802,-22.2,19.2,3.1,rrr,2.8,3.2,10.1,-0.0677,Southern_California.20200624.stacov.point-2020/10/22-22:30:06 
20200625,2020.4829,-22.5,19.2,5.4,rrr,2.9,3.4,10.4,-0.0518,Southern_California.20200625.stacov.point-2020/10/23-22:29:35 
20200626,2020.4857,-22.4,20.3,4.9,rrr,2.9,3.4,10.4,-0.0822,Southern_California.20200626.stacov.point-2020/10/24-22:29:44 
20200627,2020.4884,-23.4,19.7,10.3,rrr,2.9,3.4,10.4,-0.0753,Southern_California.20200627.stacov.point-2020/10/25-22:27:50 
20200628,2020.4911,-24.4,18.8,9.6,rrr,2.9,3.4,10.2,-0.0408,Southern_California.20200628.stacov.point-2020/10/26-22:28:30 
20200629,2020.4939,-23.0,19.4,3.1,rrr,2.9,3.4,10.4,-0.0802,Southern_California.20200629.stacov.point-2020/10/27-22:32:07 
20200630,2020.4966,-22.7,20.1,6.2,rrr,2.9,3.4,10.4,-0.0642,Southern_California.20200630.stacov.point-2020/10/28-22:28:17 
20200701,2020.4994,-21.3,21.4,11.7,rrr,2.8,3.2,10.1,-0.0614,Southern_California.20200701.stacov.point-2020/10/29-22:32:53 
20200702,2020.5021,-22.3,20.4,7.1,rrr,2.8,3.2,10.1,-0.0711,Southern_California.20200702.stacov.point-2020/10/30-22:30:51 
20200703,2020.5048,-21.6,18.7,3.5,rrr,2.8,3.2,10.1,-0.0597,Southern_California.20200703.stacov.point-2020/10/31-22:31:19 
20200704,2020.5076,-22.2,19.2,2.1,rrr,2.8,3.2,10.1,-0.06,Southern_California.20200704.stacov.point-2020/11/01-22:27:36 
20200705,2020.5103,-22.6,19.6,-1.9,rrr,2.8,3.2,10.1,-0.0519,Southern_California.20200705.stacov.point-2020/11/02-22:27:35 
20200706,2020.5131,-21.6,18.3,1.6,rrr,2.9,3.2,10.1,-0.0537,Southern_California.20200706.stacov.point-2020/11/03-22:29:54 
20200707,2020.5158,-22.4,18.0,7.7,rrr,2.8,3.2,10.1,-0.0599,Southern_California.20200707.stacov.point-2020/11/04-22:30:32 
20200708,2020.5185,-21.7,17.7,7.8,rrr,2.8,3.2,10.1,-0.0565,Southern_California.20200708.stacov.point-2020/11/05-22:30:04 
20200709,2020.5213,-22.2,16.8,7.6,rrr,3.0,3.4,10.6,-0.0788,Southern_California.20200709.stacov.point-2020/11/06-22:31:12 
20200710,2020.524,-21.8,18.3,6.6,rrr,2.9,3.4,10.6,-0.0487,Southern_California.20200710.stacov.point-2020/11/07-22:27:43 
20200711,2020.5267,-21.9,19.0,8.7,rrr,2.9,3.3,10.6,-0.0266,Southern_California.20200711.stacov.point-2020/11/08-22:31:07 
20200712,2020.5295,-19.9,20.1,5.2,rrr,2.9,3.3,10.6,-0.048,Southern_California.20200712.stacov.point-2020/11/09-22:28:06 
20200713,2020.5322,-19.9,17.8,-0.7,rrr,2.9,3.3,10.6,-0.0321,Southern_California.20200713.stacov.point-2020/11/10-22:28:45 
20200714,2020.535,-20.6,19.4,-1.4,rrr,2.9,3.4,10.6,-0.0436,Southern_California.20200714.stacov.point-2020/11/11-22:29:23 
20200715,2020.5377,-21.6,18.8,2.3,rrr,2.8,3.4,10.2,-0.0335,Southern_California.20200715.stacov.point-2020/11/12-22:30:47 
20200716,2020.5404,-21.7,19.2,8.1,rrr,2.8,3.4,10.4,-0.0503,Southern_California.20200716.stacov.point-2020/11/13-22:29:17 
20200717,2020.5432,-20.3,18.4,0.1,rrr,2.9,3.4,10.6,-0.0319,Southern_California.20200717.stacov.point-2020/11/14-22:28:52 
20200718,2020.5459,-22.2,17.9,3.6,rrr,2.9,3.4,10.6,-0.0314,Southern_California.20200718.stacov.point-2020/11/15-22:30:13 
20200719,2020.5486,-21.1,19.6,3.6,rrr,2.9,3.4,10.6,-0.052,Southern_California.20200719.stacov.point-2020/11/16-22:28:47 
20200720,2020.5514,-21.5,17.8,-1.2,rrr,2.8,3.3,10.2,-0.0274,Southern_California.20200720.stacov.point-2020/11/17-22:30:38 
20200721,2020.5541,-20.9,18.7,1.3,rrr,2.8,3.3,10.2,-0.0347,Southern_California.20200721.stacov.point-2020/11/18-22:29:27 
20200722,2020.5569,-21.2,17.9,7.8,rrr,2.8,3.4,10.2,-0.0369,Southern_California.20200722.stacov.point-2020/11/19-22:28:32 
20200723,2020.5596,-20.7,16.9,10.3,rrr,3.0,3.3,10.4,-0.0152,Southern_California.20200723.stacov.point-2020/11/20-22:29:22 
20200724,2020.5623,-20.3,17.9,7.3,rrr,2.9,3.5,10.7,-0.0034,Southern_California.20200724.stacov.point-2020/11/21-22:27:59 
20200725,2020.5651,-19.8,18.0,3.0,rrr,2.8,3.3,10.2,-0.0197,Southern_California.20200725.stacov.point-2020/11/22-22:27:44 
20200726,2020.5678,-22.4,16.9,1.6,rrr,2.8,3.3,10.2,-0.036,Southern_California.20200726.stacov.point-2020/11/23-22:27:35 
20200727,2020.5705,-19.9,17.7,7.2,rrr,2.8,3.4,10.2,-0.0328,Southern_California.20200727.stacov.point-2020/11/24-22:27:18 
20200728,2020.5733,-20.1,16.4,4.5,rrr,3.0,3.4,10.6,-0.0553,Southern_California.20200728.stacov.point-2020/11/25-22:27:06 
20200729,2020.576,-19.4,18.4,3.8,rrr,2.9,3.3,10.2,-0.0151,Southern_California.20200729.stacov.point-2020/11/26-22:29:32 
20200730,2020.5788,-21.5,17.0,4.9,rrr,2.8,3.3,10.2,-0.0061,Southern_California.20200730.stacov.point-2020/11/27-22:27:45 
20200731,2020.5815,-19.5,17.5,-1.7,rrr,2.8,3.3,10.2,-0.0159,Southern_California.20200731.stacov.point-2020/11/28-22:27:55 
20200801,2020.5842,-21.9,18.5,0.7,rrr,2.8,3.2,10.1,-0.0543,Southern_California.20200801.stacov.point-2020/11/29-22:28:11 
20200802,2020.587,-19.3,17.6,1.1,rrr,2.8,3.3,10.2,-0.0196,Southern_California.20200802.stacov.point-2020/11/30-22:27:46 
20200803,2020.5897,-21.3,15.0,-5.9,rrr,2.8,3.4,10.2,-0.0369,Southern_California.20200803.stacov.point-2020/12/01-22:27:06 
20200804,2020.5925,-22.1,16.8,0.8,rrr,2.8,3.4,10.4,-0.0543,Southern_California.20200804.stacov.point-2020/12/02-22:27:17 
