DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990618,1999.4613,-330.2,305.6,-5.9,rrr,2.6,3.3,11.3,-0.1028,Southern_California.19990618.stacov.point-2016/02/16-09:27:55 
19990619,1999.464,-330.5,304.7,-6.0,rrr,2.7,3.4,11.6,-0.0979,Southern_California.19990619.stacov.point-2016/02/16-09:27:55 
19990620,1999.4667,-331.3,303.8,-0.7,rrr,2.7,3.3,11.6,-0.1004,Southern_California.19990620.stacov.point-2016/02/16-09:27:55 
19990621,1999.4695,-328.0,304.4,-3.0,rrr,2.7,3.3,11.6,-0.1082,Southern_California.19990621.stacov.point-2016/02/16-09:27:56 
19990622,1999.4722,-328.7,306.6,-4.6,rrr,2.8,3.3,11.8,-0.0825,Southern_California.19990622.stacov.point-2016/02/16-09:27:56 
19990623,1999.475,-330.5,305.0,0.1,rrr,2.7,3.3,11.7,-0.0958,Southern_California.19990623.stacov.point-2016/02/16-09:27:57 
19990624,1999.4777,-327.9,304.5,-10.8,rrr,2.7,3.3,11.5,-0.1489,Southern_California.19990624.stacov.point-2016/02/16-09:27:57 
19990625,1999.4804,-331.4,303.5,-2.8,rrr,2.7,3.5,11.7,-0.0983,Southern_California.19990625.stacov.point-2016/02/16-09:27:58 
19990626,1999.4832,-329.8,304.8,-2.1,rrr,2.8,3.5,11.8,-0.0831,Southern_California.19990626.stacov.point-2016/02/16-09:27:58 
19990627,1999.4859,-332.5,301.5,1.2,rrr,2.8,3.4,11.8,-0.0908,Southern_California.19990627.stacov.point-2016/02/16-09:27:59 
19990628,1999.4886,-328.3,303.1,-4.9,rrr,2.7,3.5,11.8,-0.0367,Southern_California.19990628.stacov.point-2016/02/16-09:27:59 
19990629,1999.4914,-329.4,302.9,6.0,rrr,3.0,3.7,12.8,-0.056,Southern_California.19990629.stacov.point-2016/02/16-09:27:59 
19990630,1999.4941,-330.2,303.7,0.3,rrr,2.7,3.3,11.5,-0.1435,Southern_California.19990630.stacov.point-2016/02/16-09:28:00 
19990701,1999.4969,-330.2,304.4,3.3,rrr,2.8,3.5,12.1,-0.0906,Southern_California.19990701.stacov.point-2016/02/16-09:28:00 
19990702,1999.4996,-330.1,302.7,8.3,rrr,2.7,3.4,11.7,-0.1197,Southern_California.19990702.stacov.point-2016/02/16-09:28:01 
19990703,1999.5023,-329.1,302.3,8.8,rrr,2.8,3.4,11.6,-0.1268,Southern_California.19990703.stacov.point-2016/02/16-09:28:01 
19990704,1999.5051,-329.6,303.0,2.3,rrr,2.6,3.3,11.3,-0.0872,Southern_California.19990704.stacov.point-2016/02/16-09:28:02 
19990705,1999.5078,-330.0,302.3,6.6,rrr,2.7,3.4,11.3,-0.0969,Southern_California.19990705.stacov.point-2016/02/16-09:28:02 
19990706,1999.5106,-330.0,302.9,7.4,rrr,2.6,3.3,11.3,-0.1059,Southern_California.19990706.stacov.point-2016/02/16-09:28:02 
19990707,1999.5133,-329.2,305.2,10.5,rrr,2.8,3.4,11.8,-0.0724,Southern_California.19990707.stacov.point-2016/02/16-09:28:03 
19990708,1999.516,-332.4,304.7,5.0,rrr,2.8,3.5,12.0,-0.1091,Southern_California.19990708.stacov.point-2016/02/16-09:28:03 
19990709,1999.5188,-324.1,301.9,5.9,rrr,2.8,3.4,11.8,-0.0636,Southern_California.19990709.stacov.point-2016/02/16-09:28:04 
19990710,1999.5215,-327.2,304.7,1.2,rrr,2.8,3.4,11.8,-0.0588,Southern_California.19990710.stacov.point-2016/02/16-09:28:04 
19990711,1999.5242,-327.6,303.0,8.2,rrr,2.8,3.4,11.8,-0.0714,Southern_California.19990711.stacov.point-2016/02/16-09:28:05 
19990713,1999.5297,-328.2,303.6,3.3,rrr,2.7,3.3,12.0,-0.0854,Southern_California.19990713.stacov.point-2016/02/16-09:28:05 
19990714,1999.5325,-327.7,303.0,-0.7,rrr,2.7,3.3,11.7,-0.1046,Southern_California.19990714.stacov.point-2016/02/16-09:28:06 
19990715,1999.5352,-329.6,302.8,7.0,rrr,2.7,3.4,11.8,-0.0831,Southern_California.19990715.stacov.point-2016/02/16-09:28:06 
19990716,1999.5379,-330.2,304.8,8.2,rrr,2.8,3.4,12.0,-0.1403,Southern_California.19990716.stacov.point-2016/02/16-09:28:07 
19990717,1999.5407,-329.3,302.2,0.6,rrr,2.7,3.3,11.8,-0.0606,Southern_California.19990717.stacov.point-2016/02/16-09:28:07 
19990718,1999.5434,-329.5,302.6,4.6,rrr,2.8,3.4,12.0,-0.1203,Southern_California.19990718.stacov.point-2016/02/16-09:28:08 
19990719,1999.5461,-329.4,302.2,1.2,rrr,2.9,3.4,12.8,-0.1427,Southern_California.19990719.stacov.point-2016/02/16-09:28:08 
19990720,1999.5489,-331.5,302.5,0.4,rrr,2.8,3.3,11.8,-0.0903,Southern_California.19990720.stacov.point-2016/02/16-09:28:08 
19990721,1999.5516,-327.8,301.3,1.9,rrr,2.9,3.6,12.5,-0.0771,Southern_California.19990721.stacov.point-2016/02/16-09:28:09 
19990722,1999.5544,-330.8,303.5,4.1,rrr,2.8,3.4,11.7,-0.137,Southern_California.19990722.stacov.point-2016/02/16-09:28:09 
19990723,1999.5571,-328.4,303.0,0.8,rrr,2.7,3.4,11.7,-0.14,Southern_California.19990723.stacov.point-2016/02/16-09:28:10 
19990724,1999.5598,-329.9,300.8,0.4,rrr,2.8,3.5,12.0,-0.1425,Southern_California.19990724.stacov.point-2016/02/16-09:28:10 
19990725,1999.5626,-327.6,302.2,-3.0,rrr,2.7,3.3,11.5,-0.152,Southern_California.19990725.stacov.point-2016/02/16-09:28:10 
19990726,1999.5653,-326.9,301.4,3.2,rrr,2.8,3.4,11.8,-0.0807,Southern_California.19990726.stacov.point-2016/02/16-09:28:11 
19990727,1999.568,-329.3,300.7,15.9,rrr,3.0,3.7,13.0,-0.0579,Southern_California.19990727.stacov.point-2016/02/16-09:28:11 
19990728,1999.5708,-328.1,300.6,5.7,rrr,2.6,3.2,11.1,-0.0717,Southern_California.19990728.stacov.point-2016/02/16-09:28:12 
19990729,1999.5735,-326.4,300.4,5.7,rrr,2.9,3.5,12.3,-0.0236,Southern_California.19990729.stacov.point-2016/02/16-09:28:12 
