DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20060111,2006.0296,-73.0,97.8,-34.6,rrr,2.5,2.7,8.3,-0.0234,Southern_California.20060111.stacov.point-2016/02/16-10:15:04 
20060112,2006.0324,-73.7,100.6,-39.4,rrr,2.5,2.7,8.5,-0.0394,Southern_California.20060112.stacov.point-2016/02/16-10:15:07 
20060113,2006.0351,-74.5,97.1,-33.0,rrr,2.5,2.9,8.6,0.0202,Southern_California.20060113.stacov.point-2016/02/16-10:15:13 
20060114,2006.0378,-74.1,100.8,-35.8,rrr,2.5,2.9,8.7,0.0066,Southern_California.20060114.stacov.point-2016/02/16-10:15:15 
20060115,2006.0406,-74.4,100.2,-37.5,rrr,2.5,2.8,8.5,-0.0425,Southern_California.20060115.stacov.point-2016/02/16-10:15:19 
20060116,2006.0433,-74.4,98.4,-38.0,rrr,2.5,2.7,8.3,-0.0159,Southern_California.20060116.stacov.point-2016/02/16-10:15:25 
20060117,2006.0461,-74.5,98.0,-35.9,rrr,2.6,2.7,8.5,-0.0253,Southern_California.20060117.stacov.point-2016/02/16-10:15:27 
20060118,2006.0488,-74.7,97.0,-34.4,rrr,2.5,2.7,8.3,0.0029,Southern_California.20060118.stacov.point-2016/02/16-10:15:29 
20060119,2006.0515,-72.0,97.5,-36.7,rrr,2.5,2.8,8.7,0.0342,Southern_California.20060119.stacov.point-2016/02/16-10:15:31 
20060120,2006.0543,-71.4,98.8,-34.2,rrr,2.5,2.9,8.7,0.0063,Southern_California.20060120.stacov.point-2016/02/16-10:15:34 
20060121,2006.057,-71.9,97.9,-32.7,rrr,2.5,2.7,8.3,-0.0148,Southern_California.20060121.stacov.point-2016/02/16-10:15:38 
20060122,2006.0597,-71.3,98.1,-27.4,rrr,2.5,2.7,8.3,-0.0155,Southern_California.20060122.stacov.point-2016/02/16-10:15:43 
20060123,2006.0625,-72.3,98.4,-36.4,rrr,2.5,2.7,8.3,-0.0017,Southern_California.20060123.stacov.point-2016/02/16-10:15:46 
20060124,2006.0652,-71.8,98.8,-35.2,rrr,2.5,2.9,8.6,0.0069,Southern_California.20060124.stacov.point-2016/02/16-10:15:47 
20060125,2006.068,-73.0,98.0,-33.2,rrr,2.5,2.7,8.3,-0.0265,Southern_California.20060125.stacov.point-2016/02/16-10:15:51 
20060126,2006.0707,-72.0,99.6,-36.6,rrr,2.5,2.7,8.3,-0.0366,Southern_California.20060126.stacov.point-2016/02/16-10:15:55 
20060127,2006.0734,-73.4,99.0,-37.2,rrr,2.5,2.7,8.3,-0.0212,Southern_California.20060127.stacov.point-2016/02/16-10:15:57 
20060128,2006.0762,-74.4,99.7,-34.3,rrr,2.4,2.7,8.0,0.0271,Southern_California.20060128.stacov.point-2016/02/16-10:16:00 
20060129,2006.0789,-73.8,98.1,-37.9,rrr,2.4,2.7,7.9,0.0083,Southern_California.20060129.stacov.point-2016/02/16-10:16:02 
20060130,2006.0816,-72.1,98.2,-34.2,rrr,2.4,2.7,8.0,0.019,Southern_California.20060130.stacov.point-2016/02/16-10:16:04 
20060131,2006.0844,-72.6,95.6,-34.1,rrr,2.5,2.7,8.3,-0.0235,Southern_California.20060131.stacov.point-2016/02/16-10:16:06 
20060201,2006.0871,-72.2,98.3,-26.9,rrr,2.5,2.6,8.3,-0.0236,Southern_California.20060201.stacov.point-2016/02/16-10:16:10 
20060202,2006.0899,-70.9,96.5,-30.8,rrr,2.4,2.6,8.3,-0.0039,Southern_California.20060202.stacov.point-2016/02/16-10:16:13 
20060203,2006.0926,-71.5,96.6,-31.8,rrr,2.4,2.7,8.0,0.0231,Southern_California.20060203.stacov.point-2016/02/16-10:16:14 
20060204,2006.0953,-72.1,97.4,-34.9,rrr,2.4,2.7,8.2,-0.0059,Southern_California.20060204.stacov.point-2016/02/16-10:16:15 
20060205,2006.0981,-71.7,96.0,-29.2,rrr,2.5,2.8,8.4,0.0282,Southern_California.20060205.stacov.point-2016/02/16-10:16:18 
20060206,2006.1008,-71.6,97.0,-39.1,rrr,2.5,2.6,8.3,-0.0072,Southern_California.20060206.stacov.point-2016/02/16-10:16:20 
20060207,2006.1036,-70.5,97.4,-34.6,rrr,2.5,2.8,8.4,0.0459,Southern_California.20060207.stacov.point-2016/02/16-10:16:22 
20060208,2006.1063,-69.7,98.6,-32.1,rrr,2.5,2.8,8.7,0.0216,Southern_California.20060208.stacov.point-2016/02/16-10:16:24 
20060209,2006.109,-71.3,96.8,-35.2,rrr,2.5,2.8,8.7,0.0229,Southern_California.20060209.stacov.point-2016/02/16-10:16:27 
20060210,2006.1118,-71.8,97.1,-37.2,rrr,2.5,2.7,8.7,0.029,Southern_California.20060210.stacov.point-2016/02/16-10:16:31 
20060211,2006.1145,-71.0,97.6,-36.8,rrr,2.5,2.8,8.4,0.0249,Southern_California.20060211.stacov.point-2016/02/16-10:16:34 
20060212,2006.1172,-71.6,97.3,-39.7,rrr,2.5,2.8,8.4,0.0352,Southern_California.20060212.stacov.point-2016/02/16-10:16:35 
20060213,2006.12,-71.8,97.4,-33.4,rrr,2.5,2.8,8.4,0.0477,Southern_California.20060213.stacov.point-2016/02/16-10:16:38 
