,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20080328,2008.239,-104.7,77.0,-2.0,rrr,2.4,2.6,7.7,0.0072,Southern_California.20080328.stacov.point-2016/02/16-10:57:45 
1,20080329,2008.2417,-106.2,76.9,12.4,rrr,2.3,2.6,7.8,0.0286,Southern_California.20080329.stacov.point-2016/02/16-10:57:47 
2,20080330,2008.2445,-106.0,77.6,-7.7,rrr,2.4,2.7,8.2,0.0364,Southern_California.20080330.stacov.point-2016/02/16-10:57:49 
3,20080331,2008.2472,-104.2,76.5,-2.7,rrr,2.4,2.6,7.7,0.029,Southern_California.20080331.stacov.point-2016/02/16-10:57:52 
4,20080401,2008.25,-103.9,78.3,-1.6,rrr,2.4,2.6,8.0,-0.0063,Southern_California.20080401.stacov.point-2016/02/16-10:57:55 
5,20080402,2008.2527,-103.7,76.8,-3.2,rrr,2.5,2.6,8.1,-0.012,Southern_California.20080402.stacov.point-2016/02/16-10:57:58 
6,20080403,2008.2554,-104.6,76.4,-0.3,rrr,2.4,2.6,8.1,0.0009,Southern_California.20080403.stacov.point-2016/02/16-10:58:04 
7,20080404,2008.2582,-104.1,77.5,-1.7,rrr,2.3,2.6,7.7,0.022,Southern_California.20080404.stacov.point-2016/02/16-10:58:06 
8,20080405,2008.2609,-105.3,76.8,-0.3,rrr,2.4,2.6,8.0,-0.0243,Southern_California.20080405.stacov.point-2016/02/16-10:58:08 
9,20080406,2008.2636,-103.9,76.6,-7.2,rrr,2.3,2.6,7.7,0.0135,Southern_California.20080406.stacov.point-2016/02/16-10:58:12 
10,20080407,2008.2664,-103.4,76.2,-5.8,rrr,2.4,2.6,7.7,0.0198,Southern_California.20080407.stacov.point-2016/02/16-10:58:17 
11,20080408,2008.2691,-103.6,76.1,-3.8,rrr,2.4,2.6,8.0,-0.022,Southern_California.20080408.stacov.point-2016/02/16-10:58:23 
12,20080409,2008.2719,-104.1,77.1,-4.7,rrr,2.4,2.6,8.0,-0.0225,Southern_California.20080409.stacov.point-2016/02/16-10:58:25 
13,20080410,2008.2746,-103.6,76.5,-1.9,rrr,2.3,2.6,7.7,0.0085,Southern_California.20080410.stacov.point-2016/02/16-10:58:30 
14,20080411,2008.2773,-103.4,76.7,-5.5,rrr,2.4,2.6,7.7,0.0246,Southern_California.20080411.stacov.point-2016/02/16-10:58:32 
15,20080412,2008.2801,-101.9,76.5,-6.5,rrr,2.4,2.6,7.7,0.0175,Southern_California.20080412.stacov.point-2016/02/16-10:58:35 
16,20080413,2008.2828,-102.4,77.9,-5.3,rrr,2.4,2.6,7.7,0.0232,Southern_California.20080413.stacov.point-2016/02/16-10:58:37 
17,20080414,2008.2856,-102.3,77.5,-3.2,rrr,2.4,2.6,7.7,0.0135,Southern_California.20080414.stacov.point-2016/02/16-10:58:40 
18,20080415,2008.2883,-104.8,77.7,-0.3,rrr,2.4,2.6,8.0,-0.0185,Southern_California.20080415.stacov.point-2016/02/16-10:58:45 
19,20080416,2008.291,-103.8,76.0,-1.6,rrr,2.5,2.6,8.1,-0.0116,Southern_California.20080416.stacov.point-2016/02/16-10:58:51 
20,20080417,2008.2938,-104.1,76.5,-5.4,rrr,2.4,2.6,7.7,0.0232,Southern_California.20080417.stacov.point-2016/02/16-10:58:54 
21,20080418,2008.2965,-103.9,76.0,-5.2,rrr,2.4,2.6,7.7,0.0178,Southern_California.20080418.stacov.point-2016/02/16-10:58:59 
22,20080419,2008.2992,-103.5,75.9,-6.8,rrr,2.4,2.6,7.7,0.0305,Southern_California.20080419.stacov.point-2016/02/16-10:59:02 
23,20080420,2008.302,-104.6,77.5,-1.1,rrr,2.4,2.6,7.7,0.0354,Southern_California.20080420.stacov.point-2016/02/16-10:59:06 
24,20080421,2008.3047,-104.5,75.7,-2.5,rrr,2.4,2.6,7.7,0.0105,Southern_California.20080421.stacov.point-2016/02/16-10:59:09 
25,20080422,2008.3075,-103.8,76.6,-1.3,rrr,2.4,2.6,7.7,0.0115,Southern_California.20080422.stacov.point-2016/02/16-10:59:10 
26,20080423,2008.3102,-103.7,77.6,-0.9,rrr,2.5,2.6,8.1,-0.0056,Southern_California.20080423.stacov.point-2016/02/16-10:59:13 
27,20080424,2008.3129,-103.1,76.2,0.7,rrr,2.5,2.7,8.2,0.0405,Southern_California.20080424.stacov.point-2016/02/16-10:59:15 
28,20080425,2008.3157,-103.9,77.3,-2.3,rrr,2.4,2.6,7.7,0.009,Southern_California.20080425.stacov.point-2016/02/16-10:59:18 
29,20080426,2008.3184,-102.3,76.6,-3.1,rrr,2.5,2.7,8.1,0.064,Southern_California.20080426.stacov.point-2016/02/16-10:59:21 
30,20080427,2008.3211,-103.9,81.1,-3.5,rrr,2.5,2.6,7.9,-0.0013,Southern_California.20080427.stacov.point-2016/02/16-10:59:22 
31,20080428,2008.3239,-103.0,76.1,-1.5,rrr,2.5,2.7,8.2,0.0688,Southern_California.20080428.stacov.point-2016/02/16-10:59:23 
32,20080429,2008.3266,-104.3,78.2,3.8,rrr,2.6,2.7,8.4,0.0248,Southern_California.20080429.stacov.point-2016/02/16-10:59:26 
33,20080430,2008.3294,-103.2,76.4,7.8,rrr,2.4,2.6,7.7,0.0069,Southern_California.20080430.stacov.point-2016/02/16-10:59:30 
34,20080501,2008.3321,-103.2,76.5,-1.9,rrr,2.4,2.5,7.7,0.0126,Southern_California.20080501.stacov.point-2016/02/16-10:59:34 
35,20080502,2008.3348,-103.3,76.7,-0.9,rrr,2.4,2.6,7.7,0.0213,Southern_California.20080502.stacov.point-2016/02/16-10:59:37 
36,20080503,2008.3376,-103.7,76.4,2.9,rrr,2.4,2.6,8.0,-0.0096,Southern_California.20080503.stacov.point-2016/02/16-10:59:40 
