DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150617,2015.4589,-77.6,76.1,-3.8,rrr,2.4,2.8,8.6,0.1083,PALG.20150617.stacov.point-2017/10/27-12:44:04 
20150618,2015.4616,-79.6,76.9,0.5,rrr,2.5,2.8,8.8,0.0747,PALG.20150618.stacov.point-2017/10/27-12:44:04 
20150619,2015.4643,-79.3,76.0,-0.2,rrr,2.5,2.7,8.8,0.067,PALG.20150619.stacov.point-2017/10/27-12:44:04 
20150620,2015.4671,-80.7,74.5,6.0,rrr,2.4,2.7,8.5,0.1105,PALG.20150620.stacov.point-2017/10/27-12:44:04 
20150621,2015.4698,-79.8,74.5,3.7,rrr,2.4,2.7,8.6,0.1048,PALG.20150621.stacov.point-2017/10/27-12:44:04 
20150622,2015.4726,-78.7,75.4,2.5,rrr,2.4,2.6,8.3,0.0624,PALG.20150622.stacov.point-2017/10/27-12:44:04 
20150623,2015.4753,-79.9,74.4,-0.4,rrr,2.5,2.7,8.8,0.09,PALG.20150623.stacov.point-2017/10/27-12:44:05 
20150624,2015.478,-80.0,74.1,-0.7,rrr,2.4,2.7,8.6,0.1045,PALG.20150624.stacov.point-2017/10/27-12:44:05 
20150625,2015.4808,-79.5,73.8,-0.6,rrr,2.4,2.8,8.6,0.0772,PALG.20150625.stacov.point-2017/10/27-12:44:05 
20150626,2015.4835,-79.3,74.0,1.6,rrr,2.5,2.7,8.8,0.084,PALG.20150626.stacov.point-2017/10/27-12:44:05 
20150627,2015.4863,-79.5,72.8,3.9,rrr,2.5,2.7,8.8,0.0622,PALG.20150627.stacov.point-2017/10/27-12:44:05 
20150628,2015.489,-80.6,72.9,-0.5,rrr,2.4,2.8,8.6,0.1089,PALG.20150628.stacov.point-2017/10/27-12:44:06 
20150629,2015.4917,-77.9,74.1,5.4,rrr,2.5,2.7,8.8,0.0701,PALG.20150629.stacov.point-2017/10/27-12:44:06 
20150630,2015.4945,-81.6,73.3,4.4,rrr,2.5,2.7,8.8,0.0648,PALG.20150630.stacov.point-2017/10/27-12:44:06 
20150701,2015.4972,-81.0,74.9,12.7,rrr,2.5,2.8,9.2,0.0812,PALG.20150701.stacov.point-2017/10/27-12:44:06 
20150702,2015.4999,-79.0,75.6,4.9,rrr,2.5,2.7,9.1,0.0424,PALG.20150702.stacov.point-2017/10/27-12:44:06 
20150703,2015.5027,-78.0,74.5,6.6,rrr,2.4,2.6,8.3,0.0524,PALG.20150703.stacov.point-2017/10/27-12:44:06 
