,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20201207,2020.9348,-20.2,18.7,-3.7,rrr,2.4,3.0,8.8,0.045,Southern_California.20201207.stacov.point-2021/04/06-22:30:48 
1,20201208,2020.9375,-21.0,18.6,-2.8,rrr,2.4,3.0,8.8,0.042,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
2,20210308,2021.184,-10.8,12.7,-4.9,rrr,2.6,3.0,9.7,0.0158,Southern_California.20210308.stacov.point-2021/07/06-23:10:38 
3,20210309,2021.1867,-10.8,14.1,-4.3,rrr,2.4,2.9,8.8,0.0394,Southern_California.20210309.stacov.point-2021/07/07-23:10:55 
4,20210310,2021.1894,-9.8,11.8,-7.2,rrr,2.4,2.9,8.8,0.0335,Southern_California.20210310.stacov.point-2021/07/08-23:11:15 
5,20210311,2021.1922,-11.2,11.0,-10.4,rrr,2.4,2.9,9.0,0.0171,Southern_California.20210311.stacov.point-2021/07/09-23:10:48 
6,20210312,2021.1949,-9.3,11.6,-5.6,rrr,2.5,3.1,9.1,0.0915,Southern_California.20210312.stacov.point-2021/07/10-23:10:52 
7,20210313,2021.1976,-9.5,13.1,-9.3,rrr,2.5,2.9,9.0,0.0323,Southern_California.20210313.stacov.point-2021/07/11-23:10:58 
8,20210314,2021.2003,-9.1,11.2,1.9,rrr,2.4,2.9,8.8,0.0449,Southern_California.20210314.stacov.point-2021/07/12-23:11:16 
9,20210315,2021.203,-10.1,10.6,3.2,rrr,2.4,2.9,9.0,0.0189,Southern_California.20210315.stacov.point-2021/07/13-23:11:35 
10,20210316,2021.2057,-9.9,11.5,2.2,rrr,2.4,2.9,8.8,0.0422,Southern_California.20210316.stacov.point-2021/07/14-23:10:54 
11,20210317,2021.2085,-8.3,11.2,-0.7,rrr,2.4,2.9,8.8,0.0455,Southern_California.20210317.stacov.point-2021/07/15-23:10:41 
12,20210318,2021.2112,-10.2,10.3,3.8,rrr,2.4,3.0,9.0,0.0302,Southern_California.20210318.stacov.point-2021/07/16-23:09:55 
13,20210319,2021.214,-10.2,11.8,-5.0,rrr,2.5,3.2,9.1,0.0746,Southern_California.20210319.stacov.point-2021/07/17-23:09:50 
14,20210320,2021.2167,-10.0,10.3,-3.4,rrr,2.5,2.9,9.0,0.0202,Southern_California.20210320.stacov.point-2021/07/18-23:10:18 
15,20210321,2021.2194,-9.4,9.4,1.2,rrr,2.4,2.9,8.8,0.0336,Southern_California.20210321.stacov.point-2021/07/19-23:10:18 
16,20210322,2021.2222,-10.5,10.7,2.6,rrr,2.4,2.9,9.0,0.0156,Southern_California.20210322.stacov.point-2021/07/20-23:10:00 
17,20210323,2021.2249,-10.7,10.7,2.7,rrr,2.4,3.1,9.2,0.0602,Southern_California.20210323.stacov.point-2021/07/21-23:10:09 
18,20210324,2021.2276,-12.5,9.7,5.5,rrr,2.4,2.9,9.1,0.0203,Southern_California.20210324.stacov.point-2021/07/22-23:11:10 
19,20210325,2021.2304,-11.0,11.0,3.6,rrr,2.4,2.9,8.8,0.0413,Southern_California.20210325.stacov.point-2021/07/23-23:09:46 
20,20210326,2021.2331,-10.7,11.4,5.6,rrr,2.4,2.9,8.8,0.0343,Southern_California.20210326.stacov.point-2021/07/24-23:09:46 
21,20210327,2021.2359,-13.0,10.4,3.6,rrr,2.4,2.9,9.0,0.0142,Southern_California.20210327.stacov.point-2021/07/25-23:09:45 
22,20210328,2021.2386,-11.1,10.2,2.5,rrr,2.4,2.9,9.1,0.0133,Southern_California.20210328.stacov.point-2021/07/26-23:10:49 
23,20210329,2021.2413,-10.3,11.1,0.3,rrr,2.4,2.9,9.0,0.0155,Southern_California.20210329.stacov.point-2021/07/27-23:10:49 
24,20210330,2021.2441,-10.0,9.7,3.6,rrr,2.4,3.0,9.0,0.0223,Southern_California.20210330.stacov.point-2021/07/28-23:10:43 
25,20210331,2021.2468,-10.0,8.7,0.4,rrr,2.4,2.9,9.0,0.0173,Southern_California.20210331.stacov.point-2021/07/29-23:11:01 
