DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201207,2020.9348,-13.4,10.6,-8.1,rrr,2.7,3.4,10.5,0.0064,Southern_California.20201207.stacov.point-2021/04/06-22:30:48 
20201208,2020.9375,-13.1,10.5,-5.9,rrr,2.7,3.4,10.7,-0.0367,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
20201209,2020.9403,-13.3,11.0,0.0,rrr,2.7,3.2,10.2,-0.03,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
20201210,2020.943,-12.5,10.2,2.3,rrr,2.7,3.4,10.5,0.003,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
20201211,2020.9458,-13.6,10.0,-0.9,rrr,2.7,3.4,10.5,0.0075,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,-12.3,10.9,-1.7,rrr,2.7,3.3,10.3,0.0207,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
20201213,2020.9512,-13.3,11.1,-1.1,rrr,2.7,3.4,10.8,-0.0403,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
20201214,2020.954,-12.2,11.5,8.6,rrr,2.7,3.4,10.5,0.0065,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
20201215,2020.9567,-12.1,11.1,6.0,rrr,2.7,3.2,10.2,-0.0117,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
20201216,2020.9594,-11.0,10.5,-1.1,rrr,2.6,3.2,10.0,-0.0284,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,-12.5,11.4,-0.6,rrr,2.7,3.3,10.5,-0.0016,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,-13.4,13.0,5.9,rrr,2.7,3.4,10.5,-0.0106,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20201219,2020.9677,-11.0,11.0,0.9,rrr,2.7,3.4,10.4,-0.0028,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
20201220,2020.9704,-12.5,11.8,4.1,rrr,2.8,3.4,10.9,-0.0158,Southern_California.20201220.stacov.point-2021/04/19-22:30:10 
20201221,2020.9731,-10.9,9.9,-0.6,rrr,2.6,3.4,10.1,0.006,Southern_California.20201221.stacov.point-2021/04/20-22:30:56 
20201222,2020.9759,-11.3,10.2,0.8,rrr,2.7,3.4,10.5,0.0109,Southern_California.20201222.stacov.point-2021/04/21-22:30:49 
20201223,2020.9786,-10.6,10.0,-5.2,rrr,2.7,3.5,10.7,-0.0643,Southern_California.20201223.stacov.point-2021/04/22-22:31:41 
20201224,2020.9813,-11.4,10.1,0.0,rrr,2.7,3.5,10.7,-0.0111,Southern_California.20201224.stacov.point-2021/04/23-22:30:12 
20201225,2020.9841,-11.0,11.7,-3.1,rrr,2.8,3.4,10.7,-0.0135,Southern_California.20201225.stacov.point-2021/04/24-22:28:13 
20201226,2020.9868,-10.6,10.4,-2.1,rrr,2.7,3.3,10.5,0.0004,Southern_California.20201226.stacov.point-2021/04/25-22:30:53 
20201227,2020.9896,-11.6,10.3,3.6,rrr,2.7,3.3,10.5,-0.0013,Southern_California.20201227.stacov.point-2021/04/26-22:30:31 
20201228,2020.9923,-11.5,6.1,-7.9,rrr,2.7,3.4,10.8,-0.0282,Southern_California.20201228.stacov.point-2021/04/27-22:29:56 
20201229,2020.995,-11.0,7.7,-2.8,rrr,2.7,3.3,10.5,-0.005,Southern_California.20201229.stacov.point-2021/04/28-22:27:36 
20201230,2020.9978,-10.4,9.8,0.2,rrr,2.6,3.2,10.0,-0.041,Southern_California.20201230.stacov.point-2021/04/29-22:29:23 
20201231,2021.0005,-10.4,9.6,0.1,rrr,2.7,3.3,10.3,-0.01,Southern_California.20201231.stacov.point-2021/04/30-22:31:07 
20210103,2021.0087,-10.5,11.8,2.0,rrr,2.7,3.4,10.8,-0.052,Southern_California.20210103.stacov.point-2021/05/03-22:29:37 
20210104,2021.0115,-10.8,9.2,-2.6,rrr,2.7,3.3,10.5,0.0026,Southern_California.20210104.stacov.point-2021/05/04-22:29:37 
20210105,2021.0142,-10.7,9.6,-4.6,rrr,2.7,3.3,10.5,-0.0361,Southern_California.20210105.stacov.point-2021/05/05-22:30:58 
20210106,2021.0169,-10.7,10.8,1.8,rrr,2.7,3.1,10.2,-0.0371,Southern_California.20210106.stacov.point-2021/05/06-22:34:08 
