DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990625,1999.4804,-155.8,106.7,10.6,rrr,2.6,3.0,8.9,0.0029,Southern_California.19990625.stacov.point-2016/02/16-09:27:58 
19990626,1999.4832,-156.0,106.6,13.2,rrr,2.6,3.1,8.9,0.0143,Southern_California.19990626.stacov.point-2016/02/16-09:27:58 
19990627,1999.4859,-155.3,105.3,11.5,rrr,2.6,3.0,8.9,-0.0327,Southern_California.19990627.stacov.point-2016/02/16-09:27:59 
19990628,1999.4886,-153.5,107.2,9.5,rrr,2.6,2.9,8.8,-0.0543,Southern_California.19990628.stacov.point-2016/02/16-09:27:59 
19990629,1999.4914,-152.7,106.6,7.1,rrr,2.8,3.2,9.8,-0.0338,Southern_California.19990629.stacov.point-2016/02/16-09:27:59 
19990630,1999.4941,-153.7,107.5,11.8,rrr,2.5,2.8,8.6,-0.0163,Southern_California.19990630.stacov.point-2016/02/16-09:28:00 
19990701,1999.4969,-153.7,109.1,8.3,rrr,2.6,3.0,9.3,-0.062,Southern_California.19990701.stacov.point-2016/02/16-09:28:00 
19990702,1999.4996,-154.8,106.3,17.3,rrr,2.6,3.0,9.1,-0.0171,Southern_California.19990702.stacov.point-2016/02/16-09:28:01 
19990703,1999.5023,-154.6,105.6,19.3,rrr,2.7,3.0,9.3,-0.0555,Southern_California.19990703.stacov.point-2016/02/16-09:28:01 
19990704,1999.5051,-153.8,106.2,13.1,rrr,2.5,2.9,8.6,-0.0168,Southern_California.19990704.stacov.point-2016/02/16-09:28:02 
19990705,1999.5078,-153.1,105.3,9.6,rrr,2.7,3.3,9.5,0.0249,Southern_California.19990705.stacov.point-2016/02/16-09:28:02 
20000125,2000.0665,-139.9,92.9,9.4,rrr,3.8,4.4,13.9,0.0534,Southern_California.20000125.stacov.point-2016/02/16-09:29:46 
20000126,2000.0692,-133.4,92.6,20.1,rrr,3.9,4.4,14.1,0.0265,Southern_California.20000126.stacov.point-2016/02/16-09:29:47 
20000127,2000.0719,-136.8,91.1,3.0,rrr,3.8,4.2,13.8,-0.0335,Southern_California.20000127.stacov.point-2016/02/16-09:29:48 
20000128,2000.0747,-138.8,91.0,10.1,rrr,3.8,4.5,14.1,0.0057,Southern_California.20000128.stacov.point-2016/02/16-09:29:48 
20000129,2000.0774,-136.0,92.3,-2.8,rrr,3.8,4.4,13.8,-0.056,Southern_California.20000129.stacov.point-2016/02/16-09:29:49 
20000130,2000.0802,-136.5,91.6,11.2,rrr,3.7,4.3,13.3,0.0308,Southern_California.20000130.stacov.point-2016/02/16-09:29:49 
20000131,2000.0829,-136.8,92.6,2.6,rrr,3.8,4.4,14.3,0.0428,Southern_California.20000131.stacov.point-2016/02/16-09:29:50 
