DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19940106,1994.0157,-297.8,235.8,-118.4,rrr,7.6,28.1,20.0,0.1495,Southern_California.19940106.stacov.point-2016/02/16-09:18:49 
19940108,1994.0212,-297.8,248.8,-118.3,rrr,7.3,26.8,17.1,0.1172,Southern_California.19940108.stacov.point-2016/02/16-09:18:50 
19940109,1994.0239,-298.0,244.1,-128.5,rrr,7.6,27.4,19.0,0.124,Southern_California.19940109.stacov.point-2016/02/16-09:18:50 
19940111,1994.0294,-297.1,247.1,-123.8,rrr,7.6,27.0,18.5,0.131,Southern_California.19940111.stacov.point-2016/02/16-09:18:50 
19940112,1994.0321,-297.1,244.8,-118.1,rrr,7.4,27.0,17.7,0.1297,Southern_California.19940112.stacov.point-2016/02/16-09:18:51 
19940114,1994.0376,-302.1,245.9,-124.5,rrr,7.2,25.6,16.7,0.1649,Southern_California.19940114.stacov.point-2016/02/16-09:18:51 
19940115,1994.0403,-294.7,243.1,-127.9,rrr,7.1,25.3,17.3,0.1456,Southern_California.19940115.stacov.point-2016/02/16-09:18:51 
19940116,1994.0431,-294.9,247.8,-127.2,rrr,7.1,26.4,17.4,0.1143,Southern_California.19940116.stacov.point-2016/02/16-09:18:51 
19940117,1994.0458,-296.3,242.6,-124.9,rrr,7.0,25.8,16.6,0.158,Southern_California.19940117.stacov.point-2016/02/16-09:18:51 
19940118,1994.0485,-299.0,243.2,-123.0,rrr,7.1,26.8,17.0,0.1344,Southern_California.19940118.stacov.point-2016/02/16-09:18:52 
19940119,1994.0513,-299.2,240.2,-128.7,rrr,6.9,26.5,17.3,0.1502,Southern_California.19940119.stacov.point-2016/02/16-09:18:52 
19940120,1994.054,-295.0,241.8,-123.3,rrr,7.8,28.1,18.6,0.1147,Southern_California.19940120.stacov.point-2016/02/16-09:18:52 
19940121,1994.0568,-294.5,250.5,-129.6,rrr,7.3,27.2,18.0,0.1322,Southern_California.19940121.stacov.point-2016/02/16-09:18:52 
19940123,1994.0622,-294.4,247.9,-133.1,rrr,6.8,26.1,17.8,0.091,Southern_California.19940123.stacov.point-2016/02/16-09:18:52 
19940124,1994.065,-300.7,254.9,-125.8,rrr,7.1,27.4,17.4,0.0965,Southern_California.19940124.stacov.point-2016/02/16-09:18:53 
19940125,1994.0677,-298.4,245.3,-132.8,rrr,7.6,27.8,19.7,0.1217,Southern_California.19940125.stacov.point-2016/02/16-09:18:53 
