DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20210126,2021.0717,-13.1,17.2,3.8,rrr,2.4,2.8,8.2,-0.0394,Southern_California.20210126.stacov.point-2021/05/26-22:27:14 
20210127,2021.0744,-12.7,15.3,2.1,rrr,2.3,2.8,7.9,-0.0114,Southern_California.20210127.stacov.point-2021/05/27-22:28:28 
20210128,2021.0772,-13.3,15.3,0.8,rrr,2.4,2.8,7.9,-0.012,Southern_California.20210128.stacov.point-2021/05/28-22:29:00 
20210129,2021.0799,-11.4,16.4,-1.3,rrr,2.4,3.0,8.4,0.0171,Southern_California.20210129.stacov.point-2021/05/29-22:28:01 
20210130,2021.0827,-11.6,14.9,0.7,rrr,2.4,2.8,7.9,-0.0146,Southern_California.20210130.stacov.point-2021/05/30-22:28:11 
20210131,2021.0854,-11.8,14.3,-0.0,rrr,2.3,2.8,7.9,-0.0123,Southern_California.20210131.stacov.point-2021/05/31-22:27:36 
20210201,2021.0881,-11.8,13.5,0.2,rrr,2.3,2.8,7.9,-0.013,Southern_California.20210201.stacov.point-2021/06/01-22:26:40 
20210202,2021.0909,-12.2,14.3,-1.4,rrr,2.3,2.8,7.9,-0.0137,Southern_California.20210202.stacov.point-2021/04/02-22:31:16 
20210203,2021.0936,-13.9,11.1,-0.0,rrr,2.5,2.8,8.3,-0.0403,Southern_California.20210203.stacov.point-2021/04/03-22:41:36 
20210204,2021.0963,-12.2,13.0,-3.4,rrr,2.6,3.0,8.8,-0.0146,Southern_California.20210204.stacov.point-2021/04/04-22:41:18 
20210205,2021.0991,-12.4,13.0,2.6,rrr,2.4,2.9,8.2,-0.0558,Southern_California.20210205.stacov.point-2021/04/05-22:41:24 
20210206,2021.1018,-11.3,11.7,5.1,rrr,2.5,2.9,8.3,-0.0417,Southern_California.20210206.stacov.point-2021/04/06-22:46:07 
20210207,2021.1046,-10.3,12.1,4.4,rrr,2.4,2.8,8.2,-0.0405,Southern_California.20210207.stacov.point-2021/04/07-22:46:24 
20210208,2021.1073,-10.4,14.2,5.1,rrr,3.1,3.5,10.3,-0.0488,Southern_California.20210208.stacov.point-2021/04/08-22:48:20 
20210209,2021.11,-9.2,12.5,1.1,rrr,2.8,3.3,9.7,-0.0439,Southern_California.20210209.stacov.point-2021/04/09-22:50:41 
20210210,2021.1128,-11.1,11.8,-1.7,rrr,2.8,3.4,10.2,-0.0193,Southern_California.20210210.stacov.point-2021/04/10-22:50:44 
20210211,2021.1155,-10.8,12.4,3.9,rrr,2.6,3.0,9.0,-0.0315,Southern_California.20210211.stacov.point-2021/04/11-22:37:44 
20210212,2021.1182,-10.1,10.1,11.6,rrr,3.3,3.8,11.3,-0.0119,Southern_California.20210212.stacov.point-2021/04/12-22:45:18 
20210213,2021.121,-12.9,10.8,9.7,rrr,3.0,3.9,10.8,-0.0174,Southern_California.20210213.stacov.point-2021/04/13-22:42:06 
20210214,2021.1237,-9.5,10.8,2.2,rrr,2.4,2.8,8.3,-0.0254,Southern_California.20210214.stacov.point-2021/04/14-22:41:57 
20210216,2021.1292,-11.7,14.9,7.6,rrr,2.8,3.2,9.4,-0.0275,Southern_California.20210216.stacov.point-2021/04/16-22:43:54 
20210217,2021.1319,-10.3,11.8,7.2,rrr,2.6,3.1,9.0,-0.0505,Southern_California.20210217.stacov.point-2021/04/17-22:45:36 
20210218,2021.1347,-9.3,11.9,3.8,rrr,2.5,2.8,8.3,-0.0556,Southern_California.20210218.stacov.point-2021/04/18-22:42:52 
20210219,2021.1374,-11.1,12.8,-2.6,rrr,2.5,2.8,8.3,-0.0491,Southern_California.20210219.stacov.point-2021/04/19-22:44:02 
20210220,2021.1401,-11.3,12.8,1.8,rrr,3.1,3.8,11.2,-0.0239,Southern_California.20210220.stacov.point-2021/04/20-22:44:31 
20210221,2021.1429,-10.2,11.7,-2.2,rrr,2.6,3.0,8.8,0.0051,Southern_California.20210221.stacov.point-2021/06/21-23:09:03 
20210222,2021.1456,-11.1,11.8,0.4,rrr,2.5,2.8,8.3,-0.0398,Southern_California.20210222.stacov.point-2021/04/22-22:46:51 
20210223,2021.1484,-11.1,12.9,6.9,rrr,2.4,2.8,7.9,-0.0131,Southern_California.20210223.stacov.point-2021/06/23-23:09:42 
20210224,2021.1511,-12.1,12.2,-1.9,rrr,3.0,3.6,10.5,-0.022,Southern_California.20210224.stacov.point-2021/06/24-23:10:33 
20210225,2021.1538,-11.2,12.4,-0.3,rrr,3.1,3.8,10.6,-0.0481,Southern_California.20210225.stacov.point-2021/04/25-22:44:48 
20210226,2021.1566,-10.7,10.4,4.6,rrr,2.9,3.2,9.4,-0.0164,Southern_California.20210226.stacov.point-2021/06/26-23:10:09 
20210227,2021.1593,-11.0,9.4,7.2,rrr,2.8,3.6,9.5,-0.0131,Southern_California.20210227.stacov.point-2021/06/27-23:09:28 
20210228,2021.1621,-11.1,9.8,9.4,rrr,2.6,3.1,9.0,-0.0454,Southern_California.20210228.stacov.point-2021/06/28-23:10:00 
20210301,2021.1648,-11.0,10.5,2.7,rrr,2.4,2.8,8.2,-0.0371,Southern_California.20210301.stacov.point-2021/06/29-23:10:15 
20210302,2021.1675,-9.3,11.2,6.5,rrr,2.4,2.8,7.9,-0.0168,Southern_California.20210302.stacov.point-2021/06/30-23:09:20 
20210303,2021.1703,-8.5,11.0,5.4,rrr,2.4,3.0,8.4,0.0187,Southern_California.20210303.stacov.point-2021/07/01-23:11:11 
20210304,2021.173,-7.7,9.6,-4.7,rrr,2.3,2.8,7.9,-0.0078,Southern_California.20210304.stacov.point-2021/05/02-22:35:31 
20210305,2021.1757,-9.6,11.3,2.0,rrr,2.5,3.0,8.6,-0.0448,Southern_California.20210305.stacov.point-2021/07/03-23:09:35 
20210306,2021.1785,-8.4,9.5,4.2,rrr,2.6,3.0,8.8,-0.0495,Southern_California.20210306.stacov.point-2021/07/04-23:10:12 
20210307,2021.1812,-10.3,10.4,5.2,rrr,2.9,3.5,10.2,-0.0733,Southern_California.20210307.stacov.point-2021/07/05-23:09:54 
20210308,2021.184,-12.4,7.8,0.1,rrr,3.8,4.4,13.4,-0.0481,Southern_California.20210308.stacov.point-2021/07/06-23:10:38 
20210309,2021.1867,-10.0,10.2,-0.5,rrr,2.9,3.5,10.2,-0.0164,Southern_California.20210309.stacov.point-2021/07/07-23:10:55 
20210310,2021.1894,-6.6,14.6,-21.0,rrr,2.6,3.2,9.3,0.0108,Southern_California.20210310.stacov.point-2021/07/08-23:11:15 
20210311,2021.1922,-7.2,12.4,-22.7,rrr,2.4,2.8,8.2,-0.0378,Southern_California.20210311.stacov.point-2021/07/09-23:10:48 
20210312,2021.1949,-8.5,6.1,-5.7,rrr,2.7,3.2,9.2,0.006,Southern_California.20210312.stacov.point-2021/07/10-23:10:52 
20210313,2021.1976,-8.6,6.2,-5.9,rrr,2.6,3.0,8.6,-0.043,Southern_California.20210313.stacov.point-2021/07/11-23:10:58 
20210314,2021.2003,-7.7,8.5,-4.6,rrr,2.9,3.4,9.8,-0.0245,Southern_California.20210314.stacov.point-2021/07/12-23:11:16 
20210315,2021.203,-8.0,7.3,8.7,rrr,2.6,3.1,9.0,-0.0544,Southern_California.20210315.stacov.point-2021/07/13-23:11:35 
20210328,2021.2386,-9.5,8.6,3.5,rrr,2.6,3.2,9.1,-0.0038,Southern_California.20210328.stacov.point-2021/07/26-23:10:49 
20210329,2021.2413,-10.4,7.9,5.7,rrr,2.8,3.4,9.4,-0.0422,Southern_California.20210329.stacov.point-2021/07/27-23:10:49 
20210330,2021.2441,-7.9,7.8,4.6,rrr,2.6,3.3,9.1,-0.0109,Southern_California.20210330.stacov.point-2021/07/28-23:10:43 
20210331,2021.2468,-7.9,7.2,0.9,rrr,3.6,4.5,12.6,-0.0158,Southern_California.20210331.stacov.point-2021/07/29-23:11:01 
20210401,2021.2495,-10.1,8.0,3.0,rrr,3.3,3.7,11.2,-0.096,Southern_California.20210401.stacov.point-2021/07/30-23:10:48 
20210402,2021.2523,-8.6,7.6,6.6,rrr,3.8,4.7,13.0,-0.0165,Southern_California.20210402.stacov.point-2021/07/31-23:08:21 
20210403,2021.255,-8.9,6.7,6.6,rrr,2.4,2.9,8.3,-0.0213,Southern_California.20210403.stacov.point-2021/08/01-23:08:24 
20210404,2021.2578,-8.3,7.3,2.6,rrr,2.5,3.1,8.6,-0.035,Southern_California.20210404.stacov.point-2021/08/02-23:10:17 
20210405,2021.2605,-11.1,8.3,0.4,rrr,2.8,3.4,9.6,0.0133,Southern_California.20210405.stacov.point-2021/08/03-23:11:09 
20210406,2021.2632,-9.2,7.7,5.2,rrr,3.5,4.2,12.1,-0.0324,Southern_California.20210406.stacov.point-2021/08/04-23:10:42 
20210407,2021.266,-7.3,6.3,4.4,rrr,2.6,3.2,9.1,0.0087,Southern_California.20210407.stacov.point-2021/08/05-23:11:07 
20210408,2021.2687,-9.6,6.2,8.8,rrr,2.9,3.5,9.9,0.0282,Southern_California.20210408.stacov.point-2021/08/06-23:10:56 
20210409,2021.2715,-8.2,7.6,7.7,rrr,3.6,4.9,12.4,0.0628,Southern_California.20210409.stacov.point-2021/08/07-23:10:27 
20210410,2021.2742,-8.1,5.1,7.4,rrr,3.0,3.8,10.9,-0.0741,Southern_California.20210410.stacov.point-2021/08/08-23:10:42 
20210411,2021.2769,-9.9,6.0,7.4,rrr,2.9,3.6,10.4,-0.0432,Southern_California.20210411.stacov.point-2021/08/09-23:10:00 
20210412,2021.2797,-8.0,8.4,13.6,rrr,3.5,4.6,12.4,-0.0238,Southern_California.20210412.stacov.point-2021/08/10-23:12:25 
20210413,2021.2824,-6.6,5.4,8.5,rrr,2.6,3.1,8.6,-0.0309,Southern_California.20210413.stacov.point-2021/08/11-23:12:17 
20210414,2021.2851,-8.2,7.0,5.7,rrr,3.4,4.3,11.4,-0.0344,Southern_California.20210414.stacov.point-2021/08/12-23:11:08 
20210415,2021.2879,-8.9,6.3,10.2,rrr,4.1,5.3,14.2,-0.0051,Southern_California.20210415.stacov.point-2021/08/13-23:10:39 
20210416,2021.2906,-8.0,5.4,14.5,rrr,3.3,4.0,11.1,-0.0048,Southern_California.20210416.stacov.point-2021/08/14-23:11:00 
20210417,2021.2934,-9.4,6.3,4.9,rrr,3.5,4.5,11.9,-0.03,Southern_California.20210417.stacov.point-2021/08/15-23:10:40 
20210418,2021.2961,-9.2,4.3,6.7,rrr,3.2,4.2,11.7,-0.0592,Southern_California.20210418.stacov.point-2021/08/16-23:10:45 
20210419,2021.2988,-7.5,6.3,9.1,rrr,4.0,5.4,13.8,-0.0074,Southern_California.20210419.stacov.point-2021/08/17-23:10:39 
20210420,2021.3016,-9.0,7.2,6.0,rrr,3.1,4.0,10.8,-0.0184,Southern_California.20210420.stacov.point-2021/08/18-23:10:41 
20210421,2021.3043,-8.1,3.7,17.9,rrr,3.4,4.5,11.7,0.0493,Southern_California.20210421.stacov.point-2021/08/19-23:10:59 
20210422,2021.307,-8.0,3.6,3.1,rrr,2.8,3.6,9.4,-0.0533,Southern_California.20210422.stacov.point-2021/08/20-23:09:08 
20210423,2021.3098,-7.7,3.9,4.0,rrr,2.5,3.3,8.6,-0.0256,Southern_California.20210423.stacov.point-2021/08/21-23:09:16 
20210424,2021.3125,-6.6,4.4,4.4,rrr,2.6,3.3,9.1,0.0104,Southern_California.20210424.stacov.point-2021/08/22-23:10:15 
20210425,2021.3153,-9.1,2.7,16.1,rrr,3.2,4.0,11.3,0.0293,Southern_California.20210425.stacov.point-2021/08/23-23:13:33 
20210426,2021.318,-6.3,3.4,8.7,rrr,3.6,4.7,12.9,0.0039,Southern_California.20210426.stacov.point-2021/08/24-23:14:36 
20210427,2021.3207,-6.4,5.7,1.9,rrr,2.7,3.5,10.0,-0.042,Southern_California.20210427.stacov.point-2021/08/25-23:11:59 
20210428,2021.3235,-6.8,5.2,5.9,rrr,2.5,3.2,8.6,-0.0272,Southern_California.20210428.stacov.point-2021/08/26-23:11:39 
20210429,2021.3262,-7.2,4.6,7.3,rrr,2.6,3.3,9.1,-0.0195,Southern_California.20210429.stacov.point-2021/08/27-23:10:31 
20210430,2021.3289,-6.6,6.1,3.5,rrr,2.8,3.7,10.1,-0.0594,Southern_California.20210430.stacov.point-2021/08/28-23:10:25 
20210501,2021.3317,-8.1,4.3,4.8,rrr,2.5,3.2,8.6,-0.032,Southern_California.20210501.stacov.point-2021/08/29-23:10:05 
20210502,2021.3344,-8.2,6.1,12.3,rrr,2.7,3.4,9.5,-0.0253,Southern_California.20210502.stacov.point-2021/08/30-23:12:50 
20210503,2021.3372,-6.9,4.1,7.8,rrr,3.3,4.4,11.8,-0.0399,Southern_California.20210503.stacov.point-2021/08/31-23:10:55 
20210504,2021.3399,-8.3,3.4,2.9,rrr,3.4,4.7,12.4,-0.0374,Southern_California.20210504.stacov.point-2021/09/01-23:09:56 
20210505,2021.3426,-7.9,5.5,1.0,rrr,2.8,3.5,9.6,-0.0147,Southern_California.20210505.stacov.point-2021/09/02-23:09:08 
20210506,2021.3454,-6.6,4.2,7.2,rrr,2.9,4.1,10.4,-0.0131,Southern_California.20210506.stacov.point-2021/09/03-23:10:58 
20210507,2021.3481,-7.1,5.4,8.5,rrr,2.9,3.7,10.1,-0.0156,Southern_California.20210507.stacov.point-2021/09/04-23:10:55 
20210508,2021.3509,-8.1,4.3,4.0,rrr,3.0,3.8,10.6,-0.0226,Southern_California.20210508.stacov.point-2021/09/05-23:09:40 
20210509,2021.3536,-7.4,4.1,4.4,rrr,2.9,3.9,10.2,0.0169,Southern_California.20210509.stacov.point-2021/09/06-23:08:20 
20210511,2021.3591,-5.2,4.4,7.1,rrr,2.9,3.9,10.2,0.0006,Southern_California.20210511.stacov.point-2021/09/08-23:07:56 
20210512,2021.3618,-6.6,5.0,5.7,rrr,3.3,4.5,12.2,0.022,Southern_California.20210512.stacov.point-2021/09/09-23:09:20 
20210513,2021.3645,-5.5,3.3,-1.1,rrr,3.3,4.4,12.2,0.0174,Southern_California.20210513.stacov.point-2021/09/10-23:07:22 
20210514,2021.3673,-5.8,4.0,9.8,rrr,2.7,3.6,9.5,-0.0033,Southern_California.20210514.stacov.point-2021/09/11-23:09:21 
20210515,2021.37,-6.7,4.5,9.3,rrr,2.5,3.0,8.6,-0.0118,Southern_California.20210515.stacov.point-2021/09/12-23:08:34 
20210524,2021.3947,-3.4,5.7,3.7,rrr,2.9,3.6,9.9,-0.0266,Southern_California.20210524.stacov.point-2021/09/21-23:09:35 
20210525,2021.3974,-2.4,4.7,9.3,rrr,2.8,3.7,10.1,-0.0297,Southern_California.20210525.stacov.point-2021/09/22-23:12:13 
20210526,2021.4001,-5.1,6.2,4.5,rrr,2.7,3.5,9.3,-0.0515,Southern_California.20210526.stacov.point-2021/09/23-23:11:17 
20210527,2021.4029,-4.4,4.7,5.0,rrr,3.0,3.7,10.1,-0.0327,Southern_California.20210527.stacov.point-2021/09/24-23:08:40 
20210528,2021.4056,-2.8,3.5,12.6,rrr,2.9,3.7,10.1,-0.0682,Southern_California.20210528.stacov.point-2021/09/25-23:10:27 
20210529,2021.4083,-4.0,5.2,6.0,rrr,3.0,4.0,10.6,-0.0581,Southern_California.20210529.stacov.point-2021/09/26-23:10:23 
20210530,2021.4111,-4.8,6.1,14.5,rrr,3.6,5.2,12.8,-0.022,Southern_California.20210530.stacov.point-2021/09/27-23:10:48 
20210531,2021.4138,-4.1,4.3,3.5,rrr,3.8,5.5,13.7,-0.0301,Southern_California.20210531.stacov.point-2021/09/28-23:11:11 
20210601,2021.4166,-4.0,4.1,5.1,rrr,3.1,4.0,11.0,-0.0818,Southern_California.20210601.stacov.point-2021/09/29-23:06:03 
20210603,2021.422,-2.8,4.6,4.9,rrr,2.7,3.5,9.6,0.006,Southern_California.20210603.stacov.point-2021/10/01-23:09:30 
20210604,2021.4248,-3.9,4.4,6.7,rrr,2.7,3.6,9.5,-0.0118,Southern_California.20210604.stacov.point-2021/10/02-23:09:16 
20210605,2021.4275,-2.8,4.2,11.9,rrr,2.3,2.9,8.2,-0.0322,Southern_California.20210605.stacov.point-2021/10/03-23:09:06 
20210606,2021.4303,-3.6,4.2,7.2,rrr,2.4,3.1,8.4,0.0103,Southern_California.20210606.stacov.point-2021/10/04-23:09:16 
20210607,2021.433,-4.9,4.4,10.8,rrr,2.4,3.0,8.7,-0.0228,Southern_California.20210607.stacov.point-2021/10/05-23:09:29 
20210608,2021.4357,-2.5,4.5,3.6,rrr,2.4,3.0,8.4,0.0106,Southern_California.20210608.stacov.point-2021/10/06-23:09:24 
20210612,2021.4467,-0.3,2.6,7.7,rrr,3.6,5.1,12.8,-0.0554,Southern_California.20210612.stacov.point-2021/10/10-23:09:32 
20210613,2021.4494,-2.2,2.6,5.8,rrr,2.4,3.2,8.8,0.0408,Southern_California.20210613.stacov.point-2021/10/11-23:09:47 
20210614,2021.4522,-3.5,3.5,6.1,rrr,3.7,5.3,13.0,-0.0523,Southern_California.20210614.stacov.point-2021/10/12-23:09:31 
20210615,2021.4549,-2.7,3.0,7.4,rrr,2.5,3.1,8.4,0.0178,Southern_California.20210615.stacov.point-2021/10/13-23:09:47 
20210616,2021.4576,-3.1,1.1,4.0,rrr,2.5,3.1,8.6,-0.0013,Southern_California.20210616.stacov.point-2021/10/14-23:10:44 
20210617,2021.4604,-3.0,3.1,8.3,rrr,2.4,3.1,8.4,0.0171,Southern_California.20210617.stacov.point-2021/10/15-23:10:06 
20210618,2021.4631,-0.7,2.1,9.4,rrr,2.4,2.9,8.3,-0.0263,Southern_California.20210618.stacov.point-2021/10/16-23:10:19 
20210619,2021.4658,-2.7,4.3,9.7,rrr,2.4,2.9,8.3,-0.011,Southern_California.20210619.stacov.point-2021/10/17-23:09:08 
20210620,2021.4686,-3.6,3.2,5.3,rrr,2.4,3.1,8.4,0.0262,Southern_California.20210620.stacov.point-2021/10/18-23:09:19 
20210621,2021.4713,-5.1,0.6,12.9,rrr,2.4,3.1,8.4,0.0228,Southern_California.20210621.stacov.point-2021/10/19-23:08:54 
20210622,2021.4741,-3.0,3.0,-1.5,rrr,2.4,3.1,8.4,0.0254,Southern_California.20210622.stacov.point-2021/10/20-23:06:43 
20210623,2021.4768,-1.2,2.5,5.9,rrr,2.4,3.1,8.4,0.0181,Southern_California.20210623.stacov.point-2021/10/21-23:09:33 
20210624,2021.4795,-1.2,1.6,11.1,rrr,2.5,3.1,8.6,-0.0113,Southern_California.20210624.stacov.point-2021/10/22-23:09:47 
20210625,2021.4823,-2.6,3.0,5.6,rrr,2.4,3.1,8.4,0.0141,Southern_California.20210625.stacov.point-2021/10/23-23:09:45 
20210626,2021.485,-3.4,3.1,3.1,rrr,2.4,2.9,8.1,0.0012,Southern_California.20210626.stacov.point-2021/10/24-23:09:41 
20210627,2021.4877,-2.7,2.9,4.4,rrr,2.4,3.1,8.4,0.0229,Southern_California.20210627.stacov.point-2021/10/25-23:09:52 
20210628,2021.4905,-2.3,2.5,6.4,rrr,2.4,3.1,8.4,0.0283,Southern_California.20210628.stacov.point-2021/10/26-23:11:06 
20210629,2021.4932,-3.1,3.7,0.9,rrr,2.4,3.1,8.4,0.0266,Southern_California.20210629.stacov.point-2021/10/27-23:11:12 
20210630,2021.496,-1.3,3.2,2.8,rrr,2.4,3.1,8.4,0.03,Southern_California.20210630.stacov.point-2021/10/28-23:10:34 
20210701,2021.4987,-2.5,3.8,4.4,rrr,2.5,3.2,8.8,0.016,Southern_California.20210701.stacov.point-2021/10/29-23:10:03 
20210702,2021.5014,-2.0,4.0,-2.3,rrr,2.5,3.1,8.8,-0.004,Southern_California.20210702.stacov.point-2021/10/30-23:09:57 
20210703,2021.5042,-1.6,1.5,2.6,rrr,2.4,3.1,8.4,0.0169,Southern_California.20210703.stacov.point-2021/10/31-23:09:48 
20210704,2021.5069,-2.6,1.1,5.6,rrr,2.4,3.1,8.6,0.0115,Southern_California.20210704.stacov.point-2021/11/01-23:10:13 
20210705,2021.5097,-2.7,2.7,-0.7,rrr,2.4,3.1,8.4,0.022,Southern_California.20210705.stacov.point-2021/11/02-23:11:10 
20210706,2021.5124,-0.0,2.3,-0.4,rrr,2.4,3.1,8.4,0.0252,Southern_California.20210706.stacov.point-2021/11/03-23:11:20 
20210707,2021.5151,-2.1,4.2,0.5,rrr,2.4,3.1,8.4,0.0209,Southern_California.20210707.stacov.point-2021/11/04-23:11:34 
20210708,2021.5179,-1.8,3.0,5.8,rrr,2.4,3.1,8.4,0.0234,Southern_California.20210708.stacov.point-2021/09/05-23:22:04 
20210709,2021.5206,-4.0,2.2,2.9,rrr,2.5,3.1,8.6,0.0032,Southern_California.20210709.stacov.point-2021/09/06-23:21:05 
20210710,2021.5233,-3.4,2.2,-1.4,rrr,2.4,3.1,8.6,0.0032,Southern_California.20210710.stacov.point-2021/09/07-23:14:36 
20210711,2021.5261,-1.7,1.3,7.8,rrr,2.5,3.1,8.6,0.0048,Southern_California.20210711.stacov.point-2021/09/08-23:20:36 
20210712,2021.5288,-1.9,1.2,7.1,rrr,2.4,3.1,8.4,0.0323,Southern_California.20210712.stacov.point-2021/11/08-23:09:57 
20210713,2021.5316,-2.7,2.2,0.7,rrr,2.4,3.1,8.4,0.0389,Southern_California.20210713.stacov.point-2021/11/09-23:09:39 
