DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000902,2000.6714,-262.2,261.7,-22.9,rrr,5.1,5.9,18.9,0.0843,Southern_California.20000902.stacov.point-2016/02/16-09:32:09 
20000904,2000.6769,-269.7,261.1,-0.5,rrr,5.8,6.5,21.8,0.1357,Southern_California.20000904.stacov.point-2016/02/16-09:32:10 
20000909,2000.6906,-264.3,266.1,-20.7,rrr,4.5,5.2,16.9,0.1464,Southern_California.20000909.stacov.point-2016/02/16-09:32:14 
20000910,2000.6933,-265.1,263.3,4.2,rrr,3.1,3.7,12.1,0.1609,Southern_California.20000910.stacov.point-2016/02/16-09:32:14 
20000911,2000.6961,-265.5,261.6,-7.6,rrr,3.1,3.6,11.6,0.116,Southern_California.20000911.stacov.point-2016/02/16-09:32:15 
20000912,2000.6988,-264.1,265.3,-8.3,rrr,5.2,5.9,19.3,0.2579,Southern_California.20000912.stacov.point-2016/02/16-09:32:16 
20000914,2000.7043,-264.5,264.9,4.0,rrr,3.0,3.8,12.1,0.1344,Southern_California.20000914.stacov.point-2016/02/16-09:32:17 
20000915,2000.707,-264.0,259.9,-2.0,rrr,3.0,3.6,12.2,0.099,Southern_California.20000915.stacov.point-2016/02/16-09:32:18 
20000916,2000.7098,-267.8,259.5,-0.7,rrr,4.1,4.8,15.3,0.0156,Southern_California.20000916.stacov.point-2016/02/16-09:32:18 
20000920,2000.7207,-262.8,262.6,-3.1,rrr,2.9,3.6,11.7,0.0598,Southern_California.20000920.stacov.point-2016/02/16-09:32:21 
20000922,2000.7262,-265.6,265.3,-7.0,rrr,3.0,3.7,11.4,0.1025,Southern_California.20000922.stacov.point-2016/02/16-09:32:22 
20000927,2000.7399,-264.0,265.3,-0.4,rrr,3.0,3.7,11.6,0.1403,Southern_California.20000927.stacov.point-2016/02/16-09:32:25 
20000928,2000.7426,-264.4,265.5,-2.5,rrr,2.9,3.7,11.3,0.1441,Southern_California.20000928.stacov.point-2016/02/16-09:32:26 
20000929,2000.7454,-265.0,262.1,-7.5,rrr,3.0,3.7,11.8,0.1347,Southern_California.20000929.stacov.point-2016/02/16-09:32:27 
20000930,2000.7481,-262.0,258.8,-0.9,rrr,3.0,3.8,12.3,0.1226,Southern_California.20000930.stacov.point-2016/02/16-09:32:27 
20001001,2000.7508,-262.6,262.4,-3.3,rrr,3.0,3.8,11.5,0.1554,Southern_California.20001001.stacov.point-2016/02/16-09:32:28 
20001002,2000.7536,-264.5,261.3,1.8,rrr,3.0,3.7,11.8,0.1839,Southern_California.20001002.stacov.point-2016/02/16-09:32:29 
20001003,2000.7563,-263.4,262.6,-1.3,rrr,2.9,3.6,11.5,0.1306,Southern_California.20001003.stacov.point-2016/02/16-09:32:29 
20001004,2000.759,-262.3,263.2,-11.9,rrr,3.0,3.8,11.7,0.1473,Southern_California.20001004.stacov.point-2016/02/16-09:32:30 
20001005,2000.7618,-262.2,260.1,3.6,rrr,3.0,3.8,11.4,0.18,Southern_California.20001005.stacov.point-2016/02/16-09:32:31 
20001006,2000.7645,-259.0,261.1,-13.1,rrr,2.9,3.8,11.5,0.1751,Southern_California.20001006.stacov.point-2016/02/16-09:32:31 
20001007,2000.7673,-261.6,264.3,3.4,rrr,2.9,3.7,11.4,0.1777,Southern_California.20001007.stacov.point-2016/02/16-09:32:32 
20001008,2000.77,-261.3,262.8,-8.1,rrr,2.9,3.6,11.3,0.1413,Southern_California.20001008.stacov.point-2016/02/16-09:32:33 
20001009,2000.7727,-261.9,263.4,-6.8,rrr,2.8,3.6,11.1,0.118,Southern_California.20001009.stacov.point-2016/02/16-09:32:33 
20001010,2000.7755,-261.4,260.4,-0.0,rrr,3.1,3.9,12.5,0.0928,Southern_California.20001010.stacov.point-2016/02/16-09:32:34 
20001011,2000.7782,-263.9,260.4,-14.5,rrr,2.9,3.7,11.8,0.1453,Southern_California.20001011.stacov.point-2016/02/16-09:32:35 
20001012,2000.7809,-262.0,264.0,-16.3,rrr,3.1,4.0,12.1,0.1724,Southern_California.20001012.stacov.point-2016/02/16-09:32:35 
20001013,2000.7837,-262.9,266.8,-8.2,rrr,3.1,4.0,12.1,0.1926,Southern_California.20001013.stacov.point-2016/02/16-09:32:36 
20001014,2000.7864,-263.1,260.4,2.5,rrr,3.0,3.8,11.6,0.1704,Southern_California.20001014.stacov.point-2016/02/16-09:32:37 
20001015,2000.7892,-261.6,260.9,-10.5,rrr,2.9,3.7,11.3,0.1255,Southern_California.20001015.stacov.point-2016/02/16-09:32:37 
20001016,2000.7919,-262.5,261.9,-5.0,rrr,2.9,3.6,11.3,0.1412,Southern_California.20001016.stacov.point-2016/02/16-09:32:38 
20001017,2000.7946,-265.3,262.9,-4.3,rrr,3.1,3.9,11.9,0.0974,Southern_California.20001017.stacov.point-2016/02/16-09:32:39 
20001018,2000.7974,-262.9,264.3,-2.6,rrr,3.2,4.0,13.0,0.1217,Southern_California.20001018.stacov.point-2016/02/16-09:32:39 
20001019,2000.8001,-258.7,265.4,-20.6,rrr,3.0,3.8,12.0,0.1001,Southern_California.20001019.stacov.point-2016/02/16-09:32:40 
20001020,2000.8028,-261.2,261.5,-1.5,rrr,3.0,3.7,11.8,0.1483,Southern_California.20001020.stacov.point-2016/02/16-09:32:41 
20001021,2000.8056,-259.5,259.4,-3.3,rrr,2.9,3.6,11.4,0.1117,Southern_California.20001021.stacov.point-2016/02/16-09:32:42 
20001022,2000.8083,-265.7,255.4,-1.5,rrr,7.0,8.7,28.1,0.2201,Southern_California.20001022.stacov.point-2016/02/16-09:32:42 
20001110,2000.8605,-257.9,259.7,-3.7,rrr,3.2,3.7,12.5,0.1591,Southern_California.20001110.stacov.point-2016/02/16-09:32:56 
20001111,2000.8632,-259.6,262.3,0.4,rrr,3.0,3.8,11.9,0.1872,Southern_California.20001111.stacov.point-2016/02/16-09:32:56 
20001112,2000.8659,-256.2,261.3,-8.4,rrr,3.0,3.7,11.8,0.1266,Southern_California.20001112.stacov.point-2016/02/16-09:32:57 
20001113,2000.8687,-257.2,263.3,-7.8,rrr,2.9,3.6,11.3,0.1311,Southern_California.20001113.stacov.point-2016/02/16-09:32:58 
20001114,2000.8714,-257.7,259.0,1.0,rrr,3.0,3.7,11.8,0.1553,Southern_California.20001114.stacov.point-2016/02/16-09:32:58 
20001115,2000.8741,-257.9,261.3,8.8,rrr,2.9,3.7,11.8,0.1028,Southern_California.20001115.stacov.point-2016/02/16-09:32:59 
20001116,2000.8769,-258.7,260.6,4.5,rrr,3.0,3.8,12.1,0.163,Southern_California.20001116.stacov.point-2016/02/16-09:33:00 
20001117,2000.8796,-258.8,263.5,-10.1,rrr,2.9,3.6,11.3,0.1204,Southern_California.20001117.stacov.point-2016/02/16-09:33:01 
20001118,2000.8824,-257.9,263.0,-3.5,rrr,3.0,3.6,11.8,0.1547,Southern_California.20001118.stacov.point-2016/02/16-09:33:01 
20001119,2000.8851,-254.1,265.3,-17.4,rrr,3.9,4.8,15.8,0.1381,Southern_California.20001119.stacov.point-2016/02/16-09:33:02 
20001120,2000.8878,-258.8,263.3,11.7,rrr,3.0,3.6,11.8,0.1537,Southern_California.20001120.stacov.point-2016/02/16-09:33:03 
