,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20201207,2020.9348,-16.7,16.4,0.6,rrr,2.4,2.8,8.2,-0.0558,Southern_California.20201207.stacov.point-2021/04/06-22:30:48 
1,20201208,2020.9375,-16.3,16.0,-3.1,rrr,2.4,2.8,8.2,-0.0463,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
2,20201209,2020.9403,-16.8,15.9,-4.2,rrr,2.4,2.8,8.2,-0.0523,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
3,20201210,2020.943,-15.7,15.4,-3.6,rrr,2.4,2.8,8.3,-0.0428,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
4,20201211,2020.9458,-17.1,15.7,-1.7,rrr,2.4,2.8,8.2,-0.0584,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
5,20201212,2020.9485,-16.4,15.2,-1.2,rrr,2.4,2.8,8.2,-0.0548,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
6,20201213,2020.9512,-16.5,16.4,2.7,rrr,2.4,2.8,8.2,-0.0496,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
7,20201214,2020.954,-15.3,15.5,8.4,rrr,2.3,2.8,8.2,-0.0515,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
8,20201215,2020.9567,-14.9,16.2,3.2,rrr,2.4,2.8,8.2,-0.0578,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
9,20201216,2020.9594,-14.1,16.0,2.1,rrr,2.3,2.8,7.9,-0.0281,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
10,20201217,2020.9622,-15.3,15.8,4.9,rrr,2.4,2.8,8.2,-0.0549,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
11,20201218,2020.9649,-14.8,16.3,3.1,rrr,2.4,2.8,8.2,-0.0622,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
12,20201219,2020.9677,-13.9,15.8,1.1,rrr,2.4,3.0,8.3,-0.0213,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
13,20201220,2020.9704,-14.8,15.9,1.0,rrr,2.4,3.0,8.5,-0.0376,Southern_California.20201220.stacov.point-2021/04/19-22:30:10 
14,20201221,2020.9731,-13.1,15.1,0.1,rrr,2.4,2.8,8.2,-0.0597,Southern_California.20201221.stacov.point-2021/04/20-22:30:56 
15,20201222,2020.9759,-13.1,14.7,0.7,rrr,2.4,3.0,8.3,-0.0124,Southern_California.20201222.stacov.point-2021/04/21-22:30:49 
16,20201223,2020.9786,-13.6,15.2,3.5,rrr,2.4,2.9,8.3,-0.0496,Southern_California.20201223.stacov.point-2021/04/22-22:31:41 
17,20201224,2020.9813,-13.8,14.1,-2.1,rrr,2.5,3.0,8.6,-0.0298,Southern_California.20201224.stacov.point-2021/04/23-22:30:12 
18,20201225,2020.9841,-14.0,15.9,4.9,rrr,2.4,2.9,8.3,-0.0628,Southern_California.20201225.stacov.point-2021/04/24-22:28:13 
19,20201226,2020.9868,-13.4,15.5,3.7,rrr,2.4,2.8,8.2,-0.0511,Southern_California.20201226.stacov.point-2021/04/25-22:30:53 
20,20201227,2020.9896,-14.3,14.1,0.5,rrr,2.3,2.8,8.2,-0.0606,Southern_California.20201227.stacov.point-2021/04/26-22:30:31 
21,20201228,2020.9923,-12.9,15.6,-5.1,rrr,2.4,2.8,8.2,-0.0563,Southern_California.20201228.stacov.point-2021/04/27-22:29:56 
22,20201229,2020.995,-13.2,14.8,-0.0,rrr,2.5,3.0,8.6,-0.0406,Southern_California.20201229.stacov.point-2021/04/28-22:27:36 
23,20201230,2020.9978,-12.9,14.5,2.8,rrr,2.4,2.8,8.2,-0.049,Southern_California.20201230.stacov.point-2021/04/29-22:29:23 
24,20201231,2021.0005,-12.6,14.4,5.0,rrr,2.4,2.8,8.2,-0.0476,Southern_California.20201231.stacov.point-2021/04/30-22:31:07 
25,20210104,2021.0115,-12.6,14.6,-1.6,rrr,2.4,2.8,8.2,-0.0454,Southern_California.20210104.stacov.point-2021/05/04-22:29:37 
26,20210105,2021.0142,-12.3,14.0,-0.3,rrr,2.3,2.8,7.9,-0.0271,Southern_California.20210105.stacov.point-2021/05/05-22:30:58 
27,20210106,2021.0169,-13.4,14.1,-1.6,rrr,2.4,2.8,8.2,-0.0506,Southern_California.20210106.stacov.point-2021/05/06-22:34:08 
28,20210107,2021.0197,-12.3,14.3,2.0,rrr,2.4,2.8,8.2,-0.0627,Southern_California.20210107.stacov.point-2021/05/07-22:30:30 
29,20210108,2021.0224,-12.0,16.2,1.5,rrr,2.4,2.8,8.2,-0.0634,Southern_California.20210108.stacov.point-2021/05/08-22:31:13 
30,20210109,2021.0252,-11.3,13.9,4.7,rrr,2.3,2.8,8.2,-0.0619,Southern_California.20210109.stacov.point-2021/05/09-22:31:13 
