DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20210201,2021.0881,-12.5,9.9,-1.7,rrr,2.4,2.8,8.2,-0.0355,Southern_California.20210201.stacov.point-2021/06/01-22:26:40 
20210202,2021.0909,-12.1,10.6,-0.9,rrr,2.3,2.8,7.9,-0.0152,Southern_California.20210202.stacov.point-2021/04/02-22:31:16 
20210203,2021.0936,-12.9,10.2,1.3,rrr,2.3,2.8,7.9,-0.0167,Southern_California.20210203.stacov.point-2021/04/03-22:41:36 
20210204,2021.0963,-13.1,10.9,0.5,rrr,2.4,2.9,8.2,-0.0481,Southern_California.20210204.stacov.point-2021/04/04-22:41:18 
20210205,2021.0991,-12.0,10.6,1.4,rrr,2.4,2.9,8.2,-0.0498,Southern_California.20210205.stacov.point-2021/04/05-22:41:24 
20210206,2021.1018,-11.4,8.9,0.3,rrr,2.3,2.8,7.9,-0.015,Southern_California.20210206.stacov.point-2021/04/06-22:46:07 
20210207,2021.1046,-9.9,9.1,2.8,rrr,2.3,2.9,7.9,-0.023,Southern_California.20210207.stacov.point-2021/04/07-22:46:24 
20210208,2021.1073,-10.4,10.4,4.3,rrr,2.4,2.9,7.9,-0.0219,Southern_California.20210208.stacov.point-2021/04/08-22:48:20 
20210209,2021.11,-9.6,9.8,6.0,rrr,2.3,2.8,7.9,-0.0123,Southern_California.20210209.stacov.point-2021/04/09-22:50:41 
20210210,2021.1128,-10.8,8.9,4.7,rrr,2.3,2.8,7.9,-0.0114,Southern_California.20210210.stacov.point-2021/04/10-22:50:44 
20210211,2021.1155,-10.3,9.6,6.7,rrr,2.3,2.8,7.9,-0.0126,Southern_California.20210211.stacov.point-2021/04/11-22:37:44 
20210212,2021.1182,-9.8,8.7,2.7,rrr,2.3,2.8,8.2,-0.037,Southern_California.20210212.stacov.point-2021/04/12-22:45:18 
20210213,2021.121,-10.0,8.9,10.2,rrr,2.4,2.8,8.2,-0.0386,Southern_California.20210213.stacov.point-2021/04/13-22:42:06 
20210214,2021.1237,-11.5,10.2,9.0,rrr,2.4,2.8,8.2,-0.0391,Southern_California.20210214.stacov.point-2021/04/14-22:41:57 
20210215,2021.1265,-9.7,8.9,3.6,rrr,2.3,2.8,7.9,-0.0103,Southern_California.20210215.stacov.point-2021/04/15-22:47:20 
20210216,2021.1292,-11.2,10.1,6.4,rrr,2.3,2.8,7.9,-0.0072,Southern_California.20210216.stacov.point-2021/04/16-22:43:54 
20210217,2021.1319,-9.3,8.8,7.4,rrr,2.3,2.8,7.9,-0.0155,Southern_California.20210217.stacov.point-2021/04/17-22:45:36 
20210219,2021.1374,-10.0,9.7,-5.9,rrr,2.4,2.8,8.2,-0.0487,Southern_California.20210219.stacov.point-2021/04/19-22:44:02 
