,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20201207,2020.9348,-18.9,16.8,-10.6,rrr,2.4,2.9,8.5,-0.0266,Southern_California.20201207.stacov.point-2021/04/06-22:30:48 
1,20201208,2020.9375,-17.9,16.6,-7.1,rrr,2.4,2.9,8.5,-0.0293,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
2,20210309,2021.1867,-10.2,8.6,1.6,rrr,2.4,3.0,8.8,-0.0607,Southern_California.20210309.stacov.point-2021/07/07-23:10:55 
3,20210310,2021.1894,-9.5,9.2,-2.3,rrr,2.5,2.9,8.9,-0.0388,Southern_California.20210310.stacov.point-2021/07/08-23:11:15 
4,20210311,2021.1922,-10.2,12.0,-5.5,rrr,2.5,3.1,9.0,-0.0091,Southern_California.20210311.stacov.point-2021/07/09-23:10:48 
5,20210312,2021.1949,-8.6,9.0,-8.3,rrr,2.5,3.1,9.0,0.0141,Southern_California.20210312.stacov.point-2021/07/10-23:10:52 
6,20210313,2021.1976,-8.7,10.2,-5.6,rrr,2.4,2.9,8.6,-0.0248,Southern_California.20210313.stacov.point-2021/07/11-23:10:58 
7,20210314,2021.2003,-8.2,9.3,-0.7,rrr,2.4,2.9,8.5,-0.0227,Southern_California.20210314.stacov.point-2021/07/12-23:11:16 
8,20210315,2021.203,-12.4,5.1,-4.8,rrr,2.5,3.1,9.3,-0.031,Southern_California.20210315.stacov.point-2021/07/13-23:11:35 
9,20210316,2021.2057,-10.6,9.8,13.8,rrr,2.5,3.0,8.9,-0.0686,Southern_California.20210316.stacov.point-2021/07/14-23:10:54 
10,20210317,2021.2085,-7.3,9.0,-2.4,rrr,2.4,2.9,8.5,-0.0288,Southern_California.20210317.stacov.point-2021/07/15-23:10:41 
11,20210318,2021.2112,-10.1,9.4,0.7,rrr,2.4,3.0,8.8,-0.0458,Southern_California.20210318.stacov.point-2021/07/16-23:09:55 
12,20210319,2021.214,-9.8,9.7,-4.1,rrr,2.4,3.1,8.8,-0.0537,Southern_California.20210319.stacov.point-2021/07/17-23:09:50 
13,20210320,2021.2167,-9.5,8.8,-5.8,rrr,2.4,3.0,8.8,-0.0753,Southern_California.20210320.stacov.point-2021/07/18-23:10:18 
14,20210321,2021.2194,-7.4,8.0,3.8,rrr,2.4,2.9,8.6,-0.0324,Southern_California.20210321.stacov.point-2021/07/19-23:10:18 
15,20210322,2021.2222,-8.4,8.2,2.3,rrr,2.4,2.9,8.5,-0.0292,Southern_California.20210322.stacov.point-2021/07/20-23:10:00 
16,20210323,2021.2249,-12.2,10.6,-2.2,rrr,2.4,3.0,8.8,-0.0481,Southern_California.20210323.stacov.point-2021/07/21-23:10:09 
17,20210324,2021.2276,-10.4,8.4,-1.3,rrr,2.4,3.0,8.8,-0.064,Southern_California.20210324.stacov.point-2021/07/22-23:11:10 
18,20210325,2021.2304,-10.9,10.8,2.0,rrr,2.5,2.9,8.9,-0.0434,Southern_California.20210325.stacov.point-2021/07/23-23:09:46 
19,20210326,2021.2331,-11.5,8.0,-5.4,rrr,2.4,3.0,8.8,-0.0605,Southern_California.20210326.stacov.point-2021/07/24-23:09:46 
20,20210327,2021.2359,-9.6,8.3,1.2,rrr,2.4,3.0,8.5,-0.0347,Southern_California.20210327.stacov.point-2021/07/25-23:09:45 
21,20210328,2021.2386,-9.7,9.1,-2.4,rrr,2.4,2.9,8.5,-0.0304,Southern_California.20210328.stacov.point-2021/07/26-23:10:49 
22,20210329,2021.2413,-9.9,8.9,2.0,rrr,2.4,2.9,8.5,-0.0279,Southern_California.20210329.stacov.point-2021/07/27-23:10:49 
23,20210330,2021.2441,-8.6,8.5,-0.1,rrr,2.4,3.0,8.8,-0.0544,Southern_California.20210330.stacov.point-2021/07/28-23:10:43 
24,20210331,2021.2468,-8.2,8.2,-1.2,rrr,2.4,2.9,8.5,-0.0286,Southern_California.20210331.stacov.point-2021/07/29-23:11:01 
25,20210401,2021.2495,-9.1,7.7,0.2,rrr,2.5,2.9,8.9,-0.072,Southern_California.20210401.stacov.point-2021/07/30-23:10:48 
26,20210402,2021.2523,-8.6,9.2,1.6,rrr,2.4,3.0,8.5,-0.0344,Southern_California.20210402.stacov.point-2021/07/31-23:08:21 
27,20210403,2021.255,-7.9,7.7,3.3,rrr,2.4,2.9,8.5,-0.0276,Southern_California.20210403.stacov.point-2021/08/01-23:08:24 
28,20210404,2021.2578,-8.4,8.6,1.4,rrr,2.4,3.0,8.5,-0.0365,Southern_California.20210404.stacov.point-2021/08/02-23:10:17 
29,20210405,2021.2605,-8.5,6.3,10.0,rrr,2.4,3.0,8.8,-0.0569,Southern_California.20210405.stacov.point-2021/08/03-23:11:09 
30,20210406,2021.2632,-9.8,9.7,3.4,rrr,2.4,3.0,8.8,-0.05,Southern_California.20210406.stacov.point-2021/08/04-23:10:42 
31,20210407,2021.266,-9.2,6.2,3.8,rrr,2.4,2.9,8.6,-0.0271,Southern_California.20210407.stacov.point-2021/08/05-23:11:07 
32,20210408,2021.2687,-8.4,10.7,-6.8,rrr,2.5,3.2,9.2,-0.0164,Southern_California.20210408.stacov.point-2021/08/06-23:10:56 
33,20210409,2021.2715,-8.0,7.5,6.3,rrr,2.5,3.2,9.0,0.0069,Southern_California.20210409.stacov.point-2021/08/07-23:10:27 
34,20210410,2021.2742,-8.3,6.7,5.0,rrr,2.4,3.0,8.5,-0.0217,Southern_California.20210410.stacov.point-2021/08/08-23:10:42 
35,20210411,2021.2769,-9.6,7.9,5.4,rrr,2.4,3.0,8.8,-0.051,Southern_California.20210411.stacov.point-2021/08/09-23:10:00 
