DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19980806,1998.5961,-128.3,119.6,10.8,rrr,2.5,2.9,8.6,-0.0581,Southern_California.19980806.stacov.point-2016/02/16-09:25:57 
19980807,1998.5988,-128.7,117.1,4.2,rrr,2.5,2.9,8.4,-0.0311,Southern_California.19980807.stacov.point-2016/02/16-09:25:57 
19980808,1998.6016,-127.0,119.5,11.6,rrr,2.5,2.9,8.6,-0.061,Southern_California.19980808.stacov.point-2016/02/16-09:25:58 
19980809,1998.6043,-126.8,120.6,9.3,rrr,2.5,2.9,8.6,-0.0633,Southern_California.19980809.stacov.point-2016/02/16-09:25:58 
19980810,1998.607,-125.1,119.1,14.2,rrr,2.5,3.1,8.9,-0.0368,Southern_California.19980810.stacov.point-2016/02/16-09:25:58 
19980811,1998.6098,-127.4,119.0,14.5,rrr,2.5,2.9,8.8,-0.0535,Southern_California.19980811.stacov.point-2016/02/16-09:25:59 
19980812,1998.6125,-127.2,118.9,6.5,rrr,2.5,2.9,8.6,-0.0412,Southern_California.19980812.stacov.point-2016/02/16-09:25:59 
19980813,1998.6153,-125.8,120.0,-0.2,rrr,2.5,2.9,8.6,-0.0395,Southern_California.19980813.stacov.point-2016/02/16-09:25:59 
19980814,1998.618,-128.1,119.1,3.6,rrr,2.5,2.9,8.6,-0.0381,Southern_California.19980814.stacov.point-2016/02/16-09:26:00 
19980815,1998.6207,-129.1,118.5,4.0,rrr,2.5,2.8,8.6,-0.0496,Southern_California.19980815.stacov.point-2016/02/16-09:26:00 
19980816,1998.6235,-128.0,120.1,0.8,rrr,2.5,3.0,8.7,-0.0032,Southern_California.19980816.stacov.point-2016/02/16-09:26:00 
19980817,1998.6262,-128.3,121.4,-0.6,rrr,2.5,2.9,8.6,-0.0536,Southern_California.19980817.stacov.point-2016/02/16-09:26:01 
19980818,1998.6289,-126.3,122.5,2.6,rrr,2.5,2.9,8.6,-0.0527,Southern_California.19980818.stacov.point-2016/02/16-09:26:01 
19980819,1998.6317,-126.7,119.4,9.6,rrr,2.5,2.9,8.6,-0.0404,Southern_California.19980819.stacov.point-2016/02/16-09:26:01 
19980820,1998.6344,-125.9,120.8,13.0,rrr,2.5,2.9,8.6,-0.0396,Southern_California.19980820.stacov.point-2016/02/16-09:26:02 
19980821,1998.6372,-126.7,118.5,8.9,rrr,2.5,2.9,8.6,-0.0499,Southern_California.19980821.stacov.point-2016/02/16-09:26:02 
19980822,1998.6399,-127.1,119.3,7.3,rrr,2.5,3.1,8.9,-0.0335,Southern_California.19980822.stacov.point-2016/02/16-09:26:02 
19980823,1998.6426,-128.0,118.8,14.6,rrr,2.5,2.9,8.6,-0.0311,Southern_California.19980823.stacov.point-2016/02/16-09:26:03 
19980824,1998.6454,-127.7,120.6,11.1,rrr,2.5,2.9,8.6,-0.0423,Southern_California.19980824.stacov.point-2016/02/16-09:26:03 
19980825,1998.6481,-126.1,119.8,9.8,rrr,2.5,2.8,8.6,-0.0468,Southern_California.19980825.stacov.point-2016/02/16-09:26:03 
19980826,1998.6508,-127.4,120.2,5.7,rrr,2.5,2.9,8.6,-0.0197,Southern_California.19980826.stacov.point-2016/02/16-09:26:04 
19980827,1998.6536,-124.5,119.6,10.4,rrr,2.6,2.9,8.8,-0.0444,Southern_California.19980827.stacov.point-2016/02/16-09:26:04 
19980828,1998.6563,-128.1,117.4,10.9,rrr,2.5,2.9,8.6,-0.0436,Southern_California.19980828.stacov.point-2016/02/16-09:26:04 
19980829,1998.6591,-126.9,120.6,11.0,rrr,2.5,2.9,8.6,-0.0425,Southern_California.19980829.stacov.point-2016/02/16-09:26:05 
19980830,1998.6618,-124.8,120.1,10.4,rrr,2.5,2.9,8.6,-0.0356,Southern_California.19980830.stacov.point-2016/02/16-09:26:05 
19980831,1998.6645,-123.5,121.6,10.1,rrr,2.5,2.9,8.6,-0.0339,Southern_California.19980831.stacov.point-2016/02/16-09:26:05 
19980901,1998.6673,-123.2,118.7,10.3,rrr,2.6,2.9,9.1,0.0004,Southern_California.19980901.stacov.point-2016/02/16-09:26:06 
19980902,1998.67,-127.0,120.0,11.6,rrr,2.5,3.0,8.9,-0.0363,Southern_California.19980902.stacov.point-2016/02/16-09:26:06 
19980903,1998.6728,-124.3,120.2,10.7,rrr,2.5,2.9,8.6,-0.0489,Southern_California.19980903.stacov.point-2016/02/16-09:26:06 
19980904,1998.6755,-125.1,119.9,5.5,rrr,2.5,2.9,8.8,-0.0891,Southern_California.19980904.stacov.point-2016/02/16-09:26:07 
19980905,1998.6782,-126.3,121.9,-1.3,rrr,2.5,3.0,8.9,0.0002,Southern_California.19980905.stacov.point-2016/02/16-09:26:07 
19980906,1998.681,-126.2,118.9,10.0,rrr,2.5,2.8,8.6,-0.0347,Southern_California.19980906.stacov.point-2016/02/16-09:26:07 
19980907,1998.6837,-125.7,118.8,5.2,rrr,2.5,3.0,8.8,-0.0849,Southern_California.19980907.stacov.point-2016/02/16-09:26:08 
19980908,1998.6864,-125.2,121.5,11.1,rrr,2.6,3.0,9.1,0.0027,Southern_California.19980908.stacov.point-2016/02/16-09:26:08 
19980909,1998.6892,-125.4,114.4,10.4,rrr,2.5,3.0,8.7,0.0292,Southern_California.19980909.stacov.point-2016/02/16-09:26:08 
19980910,1998.6919,-127.0,118.6,13.1,rrr,2.5,2.9,8.6,-0.0372,Southern_California.19980910.stacov.point-2016/02/16-09:26:09 
19980911,1998.6947,-127.2,115.7,4.4,rrr,2.7,3.0,9.1,0.011,Southern_California.19980911.stacov.point-2016/02/16-09:26:09 
19980912,1998.6974,-126.8,119.0,5.3,rrr,2.5,2.9,8.6,-0.0527,Southern_California.19980912.stacov.point-2016/02/16-09:26:09 
19980913,1998.7001,-127.5,117.7,2.5,rrr,2.5,2.9,8.6,-0.0497,Southern_California.19980913.stacov.point-2016/02/16-09:26:09 
19980914,1998.7029,-127.2,115.9,1.7,rrr,2.6,3.0,9.1,-0.0128,Southern_California.19980914.stacov.point-2016/02/16-09:26:10 
19980915,1998.7056,-126.9,117.5,4.1,rrr,2.5,2.9,8.6,-0.0383,Southern_California.19980915.stacov.point-2016/02/16-09:26:10 
19980916,1998.7083,-125.9,115.2,7.6,rrr,2.5,2.9,8.6,-0.0536,Southern_California.19980916.stacov.point-2016/02/16-09:26:10 
19980917,1998.7111,-124.4,117.7,2.9,rrr,2.5,2.9,8.6,-0.063,Southern_California.19980917.stacov.point-2016/02/16-09:26:11 
19980918,1998.7138,-125.2,116.8,5.3,rrr,2.5,2.9,8.8,-0.0951,Southern_California.19980918.stacov.point-2016/02/16-09:26:11 
19980919,1998.7166,-124.3,115.7,11.4,rrr,2.5,2.9,8.4,-0.0163,Southern_California.19980919.stacov.point-2016/02/16-09:26:11 
19980920,1998.7193,-127.9,114.8,13.6,rrr,2.4,2.9,8.2,-0.028,Southern_California.19980920.stacov.point-2016/02/16-09:26:12 
19980921,1998.722,-124.9,115.6,7.0,rrr,2.5,2.9,8.6,-0.0579,Southern_California.19980921.stacov.point-2016/02/16-09:26:12 
19980922,1998.7248,-126.3,117.3,7.8,rrr,2.6,2.9,9.0,-0.0958,Southern_California.19980922.stacov.point-2016/02/16-09:26:12 
19980923,1998.7275,-126.1,116.4,4.2,rrr,2.7,2.9,9.2,-0.1364,Southern_California.19980923.stacov.point-2016/02/16-09:26:13 
19980924,1998.7302,-124.0,117.5,8.3,rrr,2.5,2.9,8.6,-0.0242,Southern_California.19980924.stacov.point-2016/02/16-09:26:13 
19980925,1998.733,-127.8,114.1,4.1,rrr,2.7,3.1,9.0,0.0013,Southern_California.19980925.stacov.point-2016/02/16-09:26:13 
19980926,1998.7357,-128.2,116.3,7.3,rrr,2.5,2.9,8.6,-0.0382,Southern_California.19980926.stacov.point-2016/02/16-09:26:14 
