DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19981111,1998.8618,-293.3,251.7,-15.1,rrr,2.5,3.0,9.0,-0.0547,Southern_California.19981111.stacov.point-2016/02/16-09:26:29 
19981112,1998.8645,-290.3,251.3,-11.8,rrr,2.4,2.9,8.5,-0.09,Southern_California.19981112.stacov.point-2016/02/16-09:26:29 
19981113,1998.8673,-291.3,252.1,-8.9,rrr,2.5,2.9,8.5,-0.0995,Southern_California.19981113.stacov.point-2016/02/16-09:26:30 
19981114,1998.87,-290.6,251.1,-5.4,rrr,2.5,3.0,8.6,-0.0238,Southern_California.19981114.stacov.point-2016/02/16-09:26:30 
19981115,1998.8727,-291.8,249.5,-9.4,rrr,2.4,2.9,8.5,-0.0722,Southern_California.19981115.stacov.point-2016/02/16-09:26:30 
19981116,1998.8755,-291.9,249.7,-7.2,rrr,2.4,2.9,8.5,-0.0742,Southern_California.19981116.stacov.point-2016/02/16-09:26:31 
19981117,1998.8782,-289.3,250.3,-7.5,rrr,2.5,3.0,8.6,-0.0336,Southern_California.19981117.stacov.point-2016/02/16-09:26:31 
19981118,1998.8809,-290.9,250.7,-5.8,rrr,2.4,2.9,8.5,-0.08,Southern_California.19981118.stacov.point-2016/02/16-09:26:31 
19981119,1998.8837,-290.0,249.7,-6.8,rrr,2.4,2.9,8.5,-0.089,Southern_California.19981119.stacov.point-2016/02/16-09:26:32 
19981120,1998.8864,-291.7,250.0,-7.9,rrr,2.4,2.9,8.5,-0.0769,Southern_California.19981120.stacov.point-2016/02/16-09:26:32 
19981121,1998.8892,-290.7,250.6,-8.9,rrr,2.4,2.9,8.3,-0.0421,Southern_California.19981121.stacov.point-2016/02/16-09:26:32 
19981122,1998.8919,-290.0,252.0,-7.4,rrr,2.4,3.0,8.6,-0.0311,Southern_California.19981122.stacov.point-2016/02/16-09:26:33 
19981123,1998.8946,-291.3,251.3,-5.4,rrr,2.4,2.9,8.5,-0.0817,Southern_California.19981123.stacov.point-2016/02/16-09:26:33 
19981124,1998.8974,-291.8,248.4,-13.8,rrr,2.4,3.0,8.7,-0.0252,Southern_California.19981124.stacov.point-2016/02/16-09:26:33 
19981125,1998.9001,-290.3,249.4,-7.3,rrr,2.4,2.8,8.3,-0.0446,Southern_California.19981125.stacov.point-2016/02/16-09:26:34 
19981126,1998.9029,-289.3,249.1,-6.1,rrr,2.4,2.9,8.3,-0.0536,Southern_California.19981126.stacov.point-2016/02/16-09:26:34 
19981127,1998.9056,-289.7,248.2,-2.3,rrr,2.4,2.9,8.5,-0.0824,Southern_California.19981127.stacov.point-2016/02/16-09:26:34 
19981128,1998.9083,-290.1,250.8,-1.2,rrr,2.5,3.0,9.0,-0.042,Southern_California.19981128.stacov.point-2016/02/16-09:26:35 
19981129,1998.9111,-291.5,249.8,-12.9,rrr,2.4,2.9,8.5,-0.0803,Southern_California.19981129.stacov.point-2016/02/16-09:26:35 
19981130,1998.9138,-290.6,249.0,-8.0,rrr,2.6,3.1,8.8,-0.0144,Southern_California.19981130.stacov.point-2016/02/16-09:26:35 
19981201,1998.9165,-290.7,248.2,-8.9,rrr,2.5,3.1,8.8,-0.0301,Southern_California.19981201.stacov.point-2016/02/16-09:26:36 
19981202,1998.9193,-290.8,250.1,-13.8,rrr,2.4,2.9,8.3,-0.0534,Southern_California.19981202.stacov.point-2016/02/16-09:26:36 
19981203,1998.922,-291.7,249.3,-7.5,rrr,2.4,3.0,8.6,-0.0364,Southern_California.19981203.stacov.point-2016/02/16-09:26:36 
19981204,1998.9248,-290.7,247.1,-9.6,rrr,2.4,2.9,8.5,-0.0888,Southern_California.19981204.stacov.point-2016/02/16-09:26:37 
19990110,1999.0261,-284.0,249.1,-11.8,rrr,2.9,3.3,10.1,-0.1194,Southern_California.19990110.stacov.point-2016/02/16-09:26:50 
19990111,1999.0288,-285.1,248.7,-12.4,rrr,2.5,3.1,9.0,-0.0937,Southern_California.19990111.stacov.point-2016/02/16-09:26:50 
19990112,1999.0315,-285.5,249.0,-10.2,rrr,2.5,3.2,9.0,-0.0765,Southern_California.19990112.stacov.point-2016/02/16-09:26:51 
19990113,1999.0343,-285.2,250.7,-10.8,rrr,2.6,3.0,9.0,-0.0183,Southern_California.19990113.stacov.point-2016/02/16-09:26:51 
19990114,1999.037,-283.6,251.1,-17.2,rrr,2.7,3.2,9.7,-0.0967,Southern_California.19990114.stacov.point-2016/02/16-09:26:51 
19990115,1999.0397,-284.8,249.8,-11.9,rrr,2.6,3.0,9.0,-0.053,Southern_California.19990115.stacov.point-2016/02/16-09:26:52 
19990116,1999.0425,-287.4,249.6,-14.2,rrr,2.4,2.9,8.5,-0.0906,Southern_California.19990116.stacov.point-2016/02/16-09:26:52 
19990117,1999.0452,-285.5,250.2,-12.5,rrr,2.4,2.9,8.5,-0.0773,Southern_California.19990117.stacov.point-2016/02/16-09:26:52 
19990118,1999.048,-285.7,249.1,-9.2,rrr,2.4,2.9,8.5,-0.0811,Southern_California.19990118.stacov.point-2016/02/16-09:26:53 
19990119,1999.0507,-282.9,248.8,-7.6,rrr,2.4,2.9,8.5,-0.0756,Southern_California.19990119.stacov.point-2016/02/16-09:26:53 
19990120,1999.0534,-285.2,246.9,-11.7,rrr,3.2,3.8,11.3,-0.1195,Southern_California.19990120.stacov.point-2016/02/16-09:26:54 
19990318,1999.2095,-282.8,245.4,-6.0,rrr,2.4,2.9,8.5,-0.087,Southern_California.19990318.stacov.point-2016/02/16-09:27:16 
19990319,1999.2122,-282.8,244.9,-13.8,rrr,2.4,2.9,8.6,-0.0681,Southern_California.19990319.stacov.point-2016/02/16-09:27:16 
19990320,1999.215,-281.9,245.0,-16.4,rrr,2.5,3.1,9.0,-0.05,Southern_California.19990320.stacov.point-2016/02/16-09:27:16 
19990321,1999.2177,-284.4,241.3,-7.9,rrr,2.4,2.9,8.5,-0.0785,Southern_California.19990321.stacov.point-2016/02/16-09:27:17 
19990322,1999.2204,-282.2,242.0,-5.9,rrr,2.4,2.9,8.5,-0.0943,Southern_California.19990322.stacov.point-2016/02/16-09:27:17 
19990323,1999.2232,-284.2,247.8,-10.9,rrr,2.4,2.9,8.5,-0.0873,Southern_California.19990323.stacov.point-2016/02/16-09:27:18 
19990324,1999.2259,-283.9,244.9,-12.1,rrr,2.4,2.9,8.5,-0.0747,Southern_California.19990324.stacov.point-2016/02/16-09:27:18 
19990325,1999.2287,-282.1,242.4,-19.6,rrr,2.5,3.0,9.0,-0.054,Southern_California.19990325.stacov.point-2016/02/16-09:27:18 
19990326,1999.2314,-283.3,240.8,-10.9,rrr,2.4,3.0,8.7,-0.018,Southern_California.19990326.stacov.point-2016/02/16-09:27:19 
19990327,1999.2341,-281.3,244.6,-4.8,rrr,2.4,3.0,8.7,-0.03,Southern_California.19990327.stacov.point-2016/02/16-09:27:19 
19990328,1999.2369,-280.2,241.0,-12.7,rrr,2.4,2.9,8.5,-0.0902,Southern_California.19990328.stacov.point-2016/02/16-09:27:20 
19990329,1999.2396,-280.3,242.8,-12.3,rrr,2.4,3.0,8.7,-0.0283,Southern_California.19990329.stacov.point-2016/02/16-09:27:20 
19990330,1999.2424,-280.8,242.9,-12.6,rrr,2.6,3.1,9.2,-0.0743,Southern_California.19990330.stacov.point-2016/02/16-09:27:20 
19990331,1999.2451,-285.1,240.8,-9.9,rrr,2.6,3.0,9.0,-0.0384,Southern_California.19990331.stacov.point-2016/02/16-09:27:21 
19990401,1999.2478,-283.3,238.5,-4.1,rrr,2.5,3.0,9.0,-0.0511,Southern_California.19990401.stacov.point-2016/02/16-09:27:21 
19990402,1999.2506,-279.1,245.1,-11.8,rrr,2.6,3.1,9.2,-0.0664,Southern_California.19990402.stacov.point-2016/02/16-09:27:22 
19990403,1999.2533,-281.0,241.7,-8.1,rrr,2.5,2.9,8.7,-0.0798,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
19990404,1999.2559,-282.8,241.2,-14.4,rrr,2.4,2.9,8.6,-0.0774,Southern_California.19990404.stacov.point-2016/02/16-09:27:22 
19990405,1999.2587,-280.7,241.9,-8.4,rrr,2.4,3.0,8.7,-0.023,Southern_California.19990405.stacov.point-2016/02/16-09:27:23 
19990406,1999.2614,-280.8,241.7,-12.6,rrr,2.5,2.9,8.7,-0.0517,Southern_California.19990406.stacov.point-2016/02/16-09:27:23 
19990407,1999.2641,-279.4,241.9,-14.4,rrr,2.5,3.0,9.1,-0.0457,Southern_California.19990407.stacov.point-2016/02/16-09:27:24 
19990408,1999.2669,-281.6,240.4,-12.2,rrr,2.4,2.9,8.6,-0.0921,Southern_California.19990408.stacov.point-2016/02/16-09:27:24 
19990409,1999.2696,-284.6,240.5,-10.5,rrr,2.5,3.1,9.0,-0.0513,Southern_California.19990409.stacov.point-2016/02/16-09:27:25 
19990410,1999.2724,-278.0,243.8,-10.0,rrr,2.4,3.0,8.7,-0.026,Southern_California.19990410.stacov.point-2016/02/16-09:27:25 
