,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20141212,2014.947,-83.4,77.7,5.8,rrr,2.2,2.6,7.4,0.0785,Southern_California.20141212.stacov.point-2016/02/16-12:18:09 
1,20141214,2014.9525,-81.0,77.2,2.2,rrr,2.2,2.5,7.3,0.0169,Southern_California.20141214.stacov.point-2016/02/16-12:18:17 
2,20141216,2014.9579,-80.6,76.5,1.3,rrr,2.3,2.6,7.5,0.0617,Southern_California.20141216.stacov.point-2016/02/16-12:18:26 
3,20141217,2014.9607,-81.0,77.2,2.8,rrr,2.2,2.6,7.4,0.0776,Southern_California.20141217.stacov.point-2016/02/16-12:18:30 
4,20141219,2014.9662,-79.3,77.5,-1.9,rrr,2.3,2.5,7.4,0.0184,Southern_California.20141219.stacov.point-2016/02/16-12:18:39 
5,20141220,2014.9689,-78.4,79.1,4.7,rrr,2.2,2.5,7.3,0.0122,Southern_California.20141220.stacov.point-2016/02/16-12:18:43 
6,20141221,2014.9716,-78.5,77.4,1.1,rrr,2.2,2.4,7.3,0.0049,Southern_California.20141221.stacov.point-2016/02/16-12:18:46 
7,20141222,2014.9744,-79.3,78.4,7.4,rrr,2.2,2.5,7.3,0.0054,Southern_California.20141222.stacov.point-2016/02/16-12:18:48 
8,20141223,2014.9771,-78.5,79.1,2.1,rrr,2.2,2.4,7.3,0.0189,Southern_California.20141223.stacov.point-2016/02/16-12:18:53 
9,20141224,2014.9799,-79.8,77.1,0.6,rrr,2.2,2.4,7.3,0.0138,Southern_California.20141224.stacov.point-2016/02/16-12:18:55 
10,20141225,2014.9826,-78.8,77.6,5.3,rrr,2.2,2.6,7.5,0.0557,Southern_California.20141225.stacov.point-2016/02/16-12:18:58 
11,20141226,2014.9853,-78.9,76.9,7.7,rrr,2.2,2.4,7.3,0.007,Southern_California.20141226.stacov.point-2016/02/16-12:19:00 
12,20141229,2014.9935,-77.2,77.7,6.4,rrr,2.2,2.4,7.3,0.0113,Southern_California.20141229.stacov.point-2016/02/16-12:19:10 
13,20141230,2014.9963,-76.4,77.0,5.2,rrr,2.2,2.5,7.3,0.0023,Southern_California.20141230.stacov.point-2016/02/16-12:19:19 
14,20141231,2014.999,-77.8,74.3,5.0,rrr,2.2,2.4,7.3,0.0082,Southern_California.20141231.stacov.point-2016/02/16-12:19:22 
15,20150101,2015.0018,-78.1,74.2,1.8,rrr,2.1,2.4,7.1,0.0348,Southern_California.20150101.stacov.point-2016/02/16-12:19:23 
16,20150102,2015.0045,-77.9,75.1,3.6,rrr,2.1,2.4,7.0,0.0299,Southern_California.20150102.stacov.point-2016/02/16-12:19:25 
17,20150104,2015.01,-76.7,75.9,0.3,rrr,2.2,2.4,7.3,0.0047,Southern_California.20150104.stacov.point-2016/02/16-12:19:28 
18,20150106,2015.0154,-79.4,77.9,2.6,rrr,2.2,2.5,7.3,0.0068,Southern_California.20150106.stacov.point-2016/02/16-12:19:41 
19,20150107,2015.0182,-77.6,77.2,0.8,rrr,2.2,2.5,7.3,0.0043,Southern_California.20150107.stacov.point-2016/02/16-12:19:43 
20,20150112,2015.0319,-78.0,76.1,-6.8,rrr,2.2,2.5,7.3,0.0112,Southern_California.20150112.stacov.point-2016/02/16-12:20:06 
21,20150117,2015.0456,-77.2,74.7,-1.4,rrr,2.2,2.4,7.3,0.0229,Southern_California.20150117.stacov.point-2016/02/16-12:20:20 
22,20150120,2015.0538,-77.0,74.3,-1.7,rrr,2.2,2.4,7.3,0.0211,Southern_California.20150120.stacov.point-2016/02/16-12:20:29 
23,20150121,2015.0565,-78.7,73.9,0.5,rrr,2.2,2.5,7.3,0.0127,Southern_California.20150121.stacov.point-2016/02/16-12:20:32 
24,20150127,2015.0729,-77.2,73.9,-4.6,rrr,2.3,2.6,7.5,0.0616,Southern_California.20150127.stacov.point-2016/02/16-12:20:55 
25,20150128,2015.0757,-77.2,74.2,-2.3,rrr,2.2,2.5,7.3,-0.0001,Southern_California.20150128.stacov.point-2016/02/16-12:21:02 
26,20150129,2015.0784,-77.7,74.3,-0.1,rrr,2.3,2.6,7.5,0.0512,Southern_California.20150129.stacov.point-2016/02/16-12:21:06 
27,20150131,2015.0839,-79.2,70.8,0.7,rrr,2.2,2.4,7.3,0.005,Southern_California.20150131.stacov.point-2016/02/16-12:21:13 
28,20150201,2015.0866,-77.2,72.7,4.1,rrr,2.2,2.5,7.3,0.0114,Southern_California.20150201.stacov.point-2016/02/16-12:21:15 
29,20150202,2015.0894,-76.1,73.7,0.9,rrr,2.2,2.4,7.3,0.0063,Southern_California.20150202.stacov.point-2016/02/16-12:21:20 
30,20150203,2015.0921,-78.0,73.4,1.1,rrr,2.2,2.5,7.3,-0.0014,Southern_California.20150203.stacov.point-2016/02/16-12:21:23 
31,20150205,2015.0976,-77.8,73.5,2.5,rrr,2.3,2.5,7.4,-0.0063,Southern_California.20150205.stacov.point-2016/02/16-12:21:31 
32,20150207,2015.1031,-77.7,73.0,0.5,rrr,2.2,2.5,7.3,0.0112,Southern_California.20150207.stacov.point-2016/02/16-12:21:40 
33,20150212,2015.1167,-74.5,72.9,1.9,rrr,2.2,2.4,7.3,0.0052,Southern_California.20150212.stacov.point-2016/02/16-12:21:56 
34,20150213,2015.1195,-75.6,73.3,2.2,rrr,2.2,2.4,7.3,0.0053,Southern_California.20150213.stacov.point-2016/02/16-12:21:58 
35,20150214,2015.1222,-75.3,73.0,1.7,rrr,2.2,2.5,7.3,0.0077,Southern_California.20150214.stacov.point-2016/02/16-12:22:01 
