DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19981218,1998.9631,-299.6,250.3,-16.6,rrr,2.6,3.2,9.7,-0.0101,Southern_California.19981218.stacov.point-2016/02/16-09:26:42 
19981219,1998.9658,-300.8,251.4,-17.0,rrr,2.5,3.2,9.4,-0.0096,Southern_California.19981219.stacov.point-2016/02/16-09:26:42 
19981220,1998.9686,-301.3,252.0,-21.3,rrr,2.6,3.1,9.7,-0.0499,Southern_California.19981220.stacov.point-2016/02/16-09:26:42 
19981221,1998.9713,-300.3,249.1,-21.8,rrr,2.4,3.0,8.9,-0.0184,Southern_California.19981221.stacov.point-2016/02/16-09:26:43 
19981222,1998.974,-300.0,250.8,-18.9,rrr,2.7,3.2,10.2,-0.0374,Southern_California.19981222.stacov.point-2016/02/16-09:26:43 
19981223,1998.9768,-300.9,250.5,-18.9,rrr,2.6,3.2,9.7,-0.0203,Southern_California.19981223.stacov.point-2016/02/16-09:26:43 
19981224,1998.9795,-301.0,250.3,-21.7,rrr,2.6,3.2,9.4,-0.0286,Southern_California.19981224.stacov.point-2016/02/16-09:26:44 
19981225,1998.9823,-301.4,250.1,-21.3,rrr,2.6,3.2,9.7,-0.0388,Southern_California.19981225.stacov.point-2016/02/16-09:26:44 
19981226,1998.985,-298.7,249.8,-21.6,rrr,2.5,3.3,9.4,0.005,Southern_California.19981226.stacov.point-2016/02/16-09:26:44 
19981227,1998.9877,-300.2,249.8,-23.4,rrr,2.6,3.3,9.4,0.0078,Southern_California.19981227.stacov.point-2016/02/16-09:26:45 
19981228,1998.9905,-302.7,248.4,-20.6,rrr,2.5,3.2,9.4,-0.0099,Southern_California.19981228.stacov.point-2016/02/16-09:26:45 
19981229,1998.9932,-300.0,250.7,-25.5,rrr,2.5,3.1,9.3,-0.0437,Southern_California.19981229.stacov.point-2016/02/16-09:26:46 
19981230,1998.9959,-299.1,249.7,-21.3,rrr,2.6,3.2,9.4,0.0048,Southern_California.19981230.stacov.point-2016/02/16-09:26:46 
19981231,1998.9987,-303.7,250.2,-17.5,rrr,2.6,3.2,9.4,-0.0095,Southern_California.19981231.stacov.point-2016/02/16-09:26:46 
19990101,1999.0014,-306.0,253.2,-20.2,rrr,2.6,3.3,9.6,-0.0411,Southern_California.19990101.stacov.point-2016/02/16-09:26:47 
19990102,1999.0042,-297.0,250.7,-25.1,rrr,2.6,3.2,9.7,-0.0157,Southern_California.19990102.stacov.point-2016/02/16-09:26:47 
19990103,1999.0069,-297.6,250.9,-20.5,rrr,2.6,3.2,9.7,-0.0391,Southern_California.19990103.stacov.point-2016/02/16-09:26:47 
19990104,1999.0096,-298.8,249.2,-23.5,rrr,2.5,3.2,9.4,-0.005,Southern_California.19990104.stacov.point-2016/02/16-09:26:48 
