,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19991027,1999.8199,-263.4,264.3,-3.0,rrr,2.7,3.0,9.5,-0.0358,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
1,19991028,1999.8227,-259.2,260.9,-1.9,rrr,2.8,3.0,9.4,-0.0152,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
2,19991029,1999.8254,-260.6,262.6,-0.8,rrr,2.9,3.2,9.9,0.0117,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
3,19991030,1999.8282,-260.4,265.3,4.7,rrr,2.8,2.9,9.4,0.0131,Southern_California.19991030.stacov.point-2016/02/16-09:28:55 
4,19991031,1999.831,-260.3,264.4,5.3,rrr,2.9,3.0,9.4,0.0197,Southern_California.19991031.stacov.point-2016/02/16-09:28:56 
5,19991101,1999.8337,-260.3,266.0,0.6,rrr,2.7,3.0,9.2,0.0358,Southern_California.19991101.stacov.point-2016/02/16-09:28:57 
6,19991102,1999.8365,-260.4,264.5,1.1,rrr,2.8,3.0,9.4,0.0323,Southern_California.19991102.stacov.point-2016/02/16-09:28:57 
7,19991103,1999.8392,-260.4,264.2,0.4,rrr,2.8,3.0,9.4,0.0208,Southern_California.19991103.stacov.point-2016/02/16-09:28:58 
8,19991104,1999.842,-261.1,266.7,1.6,rrr,2.8,2.9,9.6,0.0012,Southern_California.19991104.stacov.point-2016/02/16-09:28:58 
9,19991105,1999.8447,-260.3,264.7,0.1,rrr,2.8,2.9,9.6,-0.0143,Southern_California.19991105.stacov.point-2016/02/16-09:28:59 
10,19991106,1999.8474,-260.2,263.9,3.3,rrr,2.7,3.0,9.2,0.0198,Southern_California.19991106.stacov.point-2016/02/16-09:28:59 
11,19991107,1999.8502,-261.7,265.3,-3.0,rrr,2.7,3.0,9.2,0.0256,Southern_California.19991107.stacov.point-2016/02/16-09:29:00 
12,19991108,1999.8529,-262.0,260.7,7.0,rrr,2.6,2.9,9.3,0.0265,Southern_California.19991108.stacov.point-2016/02/16-09:29:01 
13,19991109,1999.8556,-262.3,263.9,-1.2,rrr,2.7,3.0,9.4,0.0286,Southern_California.19991109.stacov.point-2016/02/16-09:29:01 
14,19991110,1999.8584,-264.3,262.8,-1.6,rrr,2.7,2.9,9.3,0.0175,Southern_California.19991110.stacov.point-2016/02/16-09:29:02 
15,19991111,1999.8611,-259.8,263.2,-4.7,rrr,2.6,2.9,9.3,0.0183,Southern_California.19991111.stacov.point-2016/02/16-09:29:02 
16,19991112,1999.8639,-260.6,264.0,1.8,rrr,2.7,3.0,9.2,0.0377,Southern_California.19991112.stacov.point-2016/02/16-09:29:03 
17,19991113,1999.8666,-260.0,260.6,1.4,rrr,2.8,3.0,9.4,0.0406,Southern_California.19991113.stacov.point-2016/02/16-09:29:04 
18,19991114,1999.8693,-260.2,262.2,-1.8,rrr,2.6,2.9,9.3,0.0198,Southern_California.19991114.stacov.point-2016/02/16-09:29:04 
19,19991115,1999.8721,-261.7,261.7,1.0,rrr,2.7,2.9,9.4,0.0245,Southern_California.19991115.stacov.point-2016/02/16-09:29:05 
20,19991116,1999.8748,-259.5,261.3,5.5,rrr,2.7,3.0,9.2,0.0161,Southern_California.19991116.stacov.point-2016/02/16-09:29:05 
21,19991117,1999.8775,-260.6,261.9,3.4,rrr,2.7,2.9,9.3,0.019,Southern_California.19991117.stacov.point-2016/02/16-09:29:06 
22,19991118,1999.8803,-260.2,265.0,0.4,rrr,2.7,3.0,9.4,0.0193,Southern_California.19991118.stacov.point-2016/02/16-09:29:06 
23,19991119,1999.883,-259.1,261.9,-11.3,rrr,2.7,3.0,9.3,0.0317,Southern_California.19991119.stacov.point-2016/02/16-09:29:07 
24,19991120,1999.8858,-260.5,263.2,-3.7,rrr,2.8,3.0,9.6,0.0189,Southern_California.19991120.stacov.point-2016/02/16-09:29:08 
25,19991121,1999.8885,-261.0,262.1,-1.6,rrr,2.8,3.0,9.4,0.0194,Southern_California.19991121.stacov.point-2016/02/16-09:29:08 
26,19991122,1999.8912,-260.6,259.6,9.0,rrr,2.6,3.0,9.1,0.009,Southern_California.19991122.stacov.point-2016/02/16-09:29:09 
27,19991123,1999.894,-258.8,261.9,0.3,rrr,2.6,2.9,9.1,-0.0012,Southern_California.19991123.stacov.point-2016/02/16-09:29:09 
28,19991124,1999.8967,-259.5,262.0,-2.1,rrr,2.7,3.1,9.4,-0.0071,Southern_California.19991124.stacov.point-2016/02/16-09:29:10 
29,19991125,1999.8995,-258.2,261.9,2.3,rrr,2.7,3.0,9.9,-0.032,Southern_California.19991125.stacov.point-2016/02/16-09:29:10 
30,19991126,1999.9022,-259.6,263.0,2.3,rrr,2.7,3.0,9.3,0.0047,Southern_California.19991126.stacov.point-2016/02/16-09:29:11 
31,19991127,1999.9049,-256.1,264.8,1.4,rrr,2.5,3.0,9.1,0.0101,Southern_California.19991127.stacov.point-2016/02/16-09:29:12 
32,19991128,1999.9077,-257.8,267.6,-6.9,rrr,2.6,2.9,9.3,0.0028,Southern_California.19991128.stacov.point-2016/02/16-09:29:12 
33,19991129,1999.9104,-258.2,266.2,-1.1,rrr,2.7,3.0,9.3,0.0083,Southern_California.19991129.stacov.point-2016/02/16-09:29:13 
34,19991130,1999.9131,-258.4,267.8,4.1,rrr,2.7,2.9,9.5,-0.0128,Southern_California.19991130.stacov.point-2016/02/16-09:29:13 
35,19991201,1999.9159,-258.4,263.4,-0.7,rrr,2.7,2.9,9.5,0.0129,Southern_California.19991201.stacov.point-2016/02/16-09:29:14 
36,19991202,1999.9186,-258.3,263.4,1.8,rrr,2.6,3.0,9.3,-0.004,Southern_California.19991202.stacov.point-2016/02/16-09:29:15 
37,19991203,1999.9214,-261.0,265.2,-1.7,rrr,2.6,3.0,9.1,0.0248,Southern_California.19991203.stacov.point-2016/02/16-09:29:15 
38,19991204,1999.9241,-258.6,265.0,-4.8,rrr,2.7,3.0,9.3,0.0112,Southern_California.19991204.stacov.point-2016/02/16-09:29:16 
39,19991205,1999.9268,-259.4,265.4,-3.2,rrr,2.6,3.0,9.3,0.0341,Southern_California.19991205.stacov.point-2016/02/16-09:29:16 
40,19991206,1999.9296,-257.2,265.9,-5.4,rrr,2.7,3.0,9.3,0.0401,Southern_California.19991206.stacov.point-2016/02/16-09:29:17 
