,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19990205,1999.0972,-328.8,305.6,-3.1,rrr,2.9,3.3,10.6,-0.1255,Southern_California.19990205.stacov.point-2016/02/16-09:27:00 
1,19990206,1999.1,-327.4,305.8,-6.9,rrr,2.8,3.1,9.9,-0.1181,Southern_California.19990206.stacov.point-2016/02/16-09:27:00 
2,19990207,1999.1027,-327.3,305.0,-11.5,rrr,2.9,3.2,10.3,-0.144,Southern_California.19990207.stacov.point-2016/02/16-09:27:00 
3,19990208,1999.1055,-328.3,306.2,-9.7,rrr,2.8,3.2,9.9,-0.0944,Southern_California.19990208.stacov.point-2016/02/16-09:27:01 
4,19990209,1999.1082,-327.2,305.4,-11.4,rrr,2.9,3.2,10.3,-0.1366,Southern_California.19990209.stacov.point-2016/02/16-09:27:01 
5,19990210,1999.1109,-326.8,306.5,-8.5,rrr,2.9,3.2,10.6,-0.1232,Southern_California.19990210.stacov.point-2016/02/16-09:27:02 
6,19990211,1999.1137,-324.4,308.2,-4.0,rrr,2.9,3.2,10.5,-0.1415,Southern_California.19990211.stacov.point-2016/02/16-09:27:02 
7,19990212,1999.1164,-325.2,306.8,-6.6,rrr,2.9,3.2,10.5,-0.1549,Southern_California.19990212.stacov.point-2016/02/16-09:27:02 
8,19990213,1999.1191,-322.3,306.3,-14.4,rrr,2.8,3.1,9.9,-0.0964,Southern_California.19990213.stacov.point-2016/02/16-09:27:03 
9,19990214,1999.1219,-326.0,305.9,-10.5,rrr,2.9,3.2,10.1,-0.1747,Southern_California.19990214.stacov.point-2016/02/16-09:27:03 
10,19990215,1999.1246,-324.5,308.2,-10.8,rrr,2.9,3.2,10.3,-0.1337,Southern_California.19990215.stacov.point-2016/02/16-09:27:03 
11,19990216,1999.1274,-328.1,305.1,-0.9,rrr,2.8,3.3,10.5,-0.1695,Southern_California.19990216.stacov.point-2016/02/16-09:27:04 
12,19990217,1999.1301,-327.7,304.1,-5.0,rrr,2.9,3.2,10.3,-0.1448,Southern_California.19990217.stacov.point-2016/02/16-09:27:04 
13,19990218,1999.1328,-328.5,302.3,-4.1,rrr,2.7,3.2,9.9,-0.0931,Southern_California.19990218.stacov.point-2016/02/16-09:27:05 
14,19990219,1999.1356,-325.3,305.1,-2.2,rrr,2.9,3.4,11.0,-0.1506,Southern_California.19990219.stacov.point-2016/02/16-09:27:05 
15,19990220,1999.1383,-325.9,307.3,-4.7,rrr,2.7,3.3,10.5,-0.1246,Southern_California.19990220.stacov.point-2016/02/16-09:27:05 
16,19990221,1999.141,-325.5,306.0,-8.2,rrr,2.8,3.2,10.3,-0.1221,Southern_California.19990221.stacov.point-2016/02/16-09:27:06 
17,19990222,1999.1438,-326.7,305.4,-9.4,rrr,2.9,3.3,10.5,-0.1734,Southern_California.19990222.stacov.point-2016/02/16-09:27:06 
18,19990223,1999.1465,-325.4,305.4,-9.8,rrr,2.7,3.2,9.9,-0.1384,Southern_California.19990223.stacov.point-2016/02/16-09:27:07 
19,19990224,1999.1493,-325.3,305.4,-14.8,rrr,2.7,3.2,9.9,-0.1169,Southern_California.19990224.stacov.point-2016/02/16-09:27:07 
20,19990225,1999.152,-323.5,307.1,-8.0,rrr,2.8,3.3,10.3,-0.1579,Southern_California.19990225.stacov.point-2016/02/16-09:27:07 
21,19990226,1999.1547,-323.6,304.9,-10.2,rrr,2.8,3.2,10.3,-0.1091,Southern_California.19990226.stacov.point-2016/02/16-09:27:08 
22,19990227,1999.1575,-323.1,305.4,-10.0,rrr,2.8,3.2,10.1,-0.1479,Southern_California.19990227.stacov.point-2016/02/16-09:27:08 
23,19990228,1999.1602,-326.1,304.3,-14.1,rrr,2.8,3.2,10.3,-0.1083,Southern_California.19990228.stacov.point-2016/02/16-09:27:08 
24,19990301,1999.163,-326.4,303.6,-13.5,rrr,2.8,3.2,10.5,-0.1615,Southern_California.19990301.stacov.point-2016/02/16-09:27:09 
25,19990302,1999.1657,-324.3,306.3,-8.0,rrr,2.9,3.2,10.3,-0.1629,Southern_California.19990302.stacov.point-2016/02/16-09:27:09 
26,19990303,1999.1684,-320.9,307.1,2.0,rrr,2.6,3.2,9.9,-0.1039,Southern_California.19990303.stacov.point-2016/02/16-09:27:10 
