DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20201208,2020.9375,-2.4,1.8,0.3,rrr,2.5,3.2,9.6,-0.0452,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
20201209,2020.9403,-3.5,1.4,-5.4,rrr,2.6,3.2,9.9,-0.0828,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
20201210,2020.943,-2.4,1.4,-0.2,rrr,2.6,3.3,10.1,-0.1196,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
20201211,2020.9458,-3.0,0.6,1.6,rrr,2.6,3.3,9.9,-0.1018,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
20201212,2020.9485,-2.8,2.3,2.2,rrr,2.6,3.2,9.9,-0.0903,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
20201213,2020.9512,-2.3,1.2,1.1,rrr,2.6,3.2,10.0,-0.0925,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
20201214,2020.954,-2.9,1.7,1.9,rrr,2.6,3.2,9.9,-0.0917,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
20201215,2020.9567,-2.3,2.2,3.8,rrr,2.6,3.2,9.9,-0.0961,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
20201216,2020.9594,-0.4,0.7,0.0,rrr,2.6,3.2,9.9,-0.0868,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
20201217,2020.9622,-2.7,2.3,1.6,rrr,2.6,3.3,9.9,-0.1021,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
20201218,2020.9649,-2.7,2.0,1.7,rrr,2.6,3.3,9.9,-0.099,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
20201219,2020.9677,-1.0,1.7,-0.6,rrr,2.7,3.3,10.3,-0.1053,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
20201220,2020.9704,-2.9,2.3,0.9,rrr,2.6,3.3,10.1,-0.1176,Southern_California.20201220.stacov.point-2021/04/19-22:30:10 
20201221,2020.9731,-1.1,0.8,-2.2,rrr,2.6,3.3,9.9,-0.125,Southern_California.20201221.stacov.point-2021/04/20-22:30:56 
20201222,2020.9759,-0.9,2.6,5.5,rrr,2.7,3.3,10.2,-0.1075,Southern_California.20201222.stacov.point-2021/04/21-22:30:49 
20201223,2020.9786,-0.7,1.4,2.3,rrr,2.6,3.4,10.0,-0.1068,Southern_California.20201223.stacov.point-2021/04/22-22:31:41 
20201224,2020.9813,-0.5,0.4,-7.2,rrr,2.8,3.5,10.7,-0.0727,Southern_California.20201224.stacov.point-2021/04/23-22:30:12 
20201225,2020.9841,-2.2,2.3,-1.8,rrr,2.7,3.4,10.2,-0.1341,Southern_California.20201225.stacov.point-2021/04/24-22:28:13 
20201226,2020.9868,-1.1,1.3,1.8,rrr,2.6,3.3,9.9,-0.085,Southern_California.20201226.stacov.point-2021/04/25-22:30:53 
20201227,2020.9896,-1.7,1.4,-0.5,rrr,2.6,3.2,9.9,-0.0858,Southern_California.20201227.stacov.point-2021/04/26-22:30:31 
20201228,2020.9923,-0.8,2.6,0.6,rrr,2.6,3.3,9.9,-0.1006,Southern_California.20201228.stacov.point-2021/04/27-22:29:56 
20201229,2020.995,-1.7,0.1,-2.5,rrr,2.7,3.3,10.0,-0.0966,Southern_California.20201229.stacov.point-2021/04/28-22:27:36 
20201230,2020.9978,-1.2,1.4,-0.9,rrr,2.6,3.3,9.9,-0.096,Southern_California.20201230.stacov.point-2021/04/29-22:29:23 
20201231,2021.0005,0.1,1.1,2.2,rrr,2.7,3.3,10.2,-0.1156,Southern_California.20201231.stacov.point-2021/04/30-22:31:07 
20210103,2021.0087,-2.4,2.7,-1.0,rrr,2.6,3.3,9.9,-0.1016,Southern_California.20210103.stacov.point-2021/05/03-22:29:37 
20210104,2021.0115,-1.5,0.8,0.7,rrr,2.6,3.2,9.9,-0.0856,Southern_California.20210104.stacov.point-2021/05/04-22:29:37 
20210105,2021.0142,-0.9,1.5,0.3,rrr,2.6,3.3,9.9,-0.0922,Southern_California.20210105.stacov.point-2021/05/05-22:30:58 
20210106,2021.0169,-1.1,1.3,1.8,rrr,2.6,3.3,9.9,-0.1081,Southern_California.20210106.stacov.point-2021/05/06-22:34:08 
20210107,2021.0197,-2.2,1.5,6.2,rrr,2.6,3.3,9.9,-0.0922,Southern_California.20210107.stacov.point-2021/05/07-22:30:30 
20210108,2021.0224,-1.1,3.4,2.2,rrr,2.6,3.3,9.9,-0.1183,Southern_California.20210108.stacov.point-2021/05/08-22:31:13 
20210109,2021.0252,-0.5,1.1,2.7,rrr,2.6,3.2,9.9,-0.0921,Southern_California.20210109.stacov.point-2021/05/09-22:31:13 
20210110,2021.0279,0.1,1.9,1.3,rrr,2.6,3.3,9.9,-0.1055,Southern_California.20210110.stacov.point-2021/03/10-22:47:42 
20210111,2021.0306,0.7,1.0,-5.2,rrr,2.6,3.3,9.9,-0.1056,Southern_California.20210111.stacov.point-2021/03/11-22:46:11 
20210112,2021.0334,-1.7,2.9,-1.1,rrr,2.5,3.2,9.6,-0.0605,Southern_California.20210112.stacov.point-2021/03/12-22:43:25 
20210113,2021.0361,-2.2,3.1,-1.8,rrr,2.6,3.2,9.9,-0.0891,Southern_California.20210113.stacov.point-2021/03/13-22:43:33 
20210114,2021.0388,-0.7,1.8,-1.2,rrr,2.6,3.3,9.9,-0.11,Southern_California.20210114.stacov.point-2021/03/14-22:44:14 
20210115,2021.0416,-1.5,0.9,5.0,rrr,2.6,3.2,9.9,-0.0863,Southern_California.20210115.stacov.point-2021/05/15-22:29:13 
20210116,2021.0443,-1.8,1.1,4.3,rrr,2.6,3.3,9.9,-0.1041,Southern_California.20210116.stacov.point-2021/05/16-22:29:15 
20210117,2021.0471,-1.7,1.5,4.1,rrr,2.6,3.2,9.9,-0.0875,Southern_California.20210117.stacov.point-2021/05/17-22:27:31 
20210118,2021.0498,-0.8,0.5,5.6,rrr,2.5,3.2,9.9,-0.0698,Southern_California.20210118.stacov.point-2021/05/18-22:27:27 
20210119,2021.0525,-1.6,0.8,10.0,rrr,2.7,3.2,10.0,-0.0959,Southern_California.20210119.stacov.point-2021/05/19-22:27:46 
20210120,2021.0553,-2.5,0.1,2.2,rrr,2.7,3.5,10.6,-0.1066,Southern_California.20210120.stacov.point-2021/05/20-22:28:05 
20210121,2021.058,-3.7,0.1,-3.7,rrr,2.7,3.3,10.2,-0.1048,Southern_California.20210121.stacov.point-2021/05/21-22:28:09 
20210122,2021.0607,-2.7,1.6,3.3,rrr,2.6,3.3,9.9,-0.0978,Southern_California.20210122.stacov.point-2021/05/22-22:28:38 
20210123,2021.0635,-1.8,1.5,11.6,rrr,2.5,3.3,9.9,-0.1074,Southern_California.20210123.stacov.point-2021/05/23-22:27:15 
20210124,2021.0662,-3.8,0.9,1.5,rrr,2.6,3.2,10.0,-0.0935,Southern_California.20210124.stacov.point-2021/05/24-22:27:58 
20210125,2021.069,-2.4,-0.1,13.7,rrr,2.6,3.3,10.0,-0.0922,Southern_California.20210125.stacov.point-2021/05/25-22:28:22 
20210126,2021.0717,-1.9,1.2,2.3,rrr,2.5,3.3,9.9,-0.0884,Southern_California.20210126.stacov.point-2021/05/26-22:27:14 
20210127,2021.0744,-2.1,1.6,-1.6,rrr,2.6,3.2,9.6,-0.0678,Southern_California.20210127.stacov.point-2021/05/27-22:28:28 
20210128,2021.0772,-2.0,1.9,2.5,rrr,2.5,3.2,9.6,-0.0717,Southern_California.20210128.stacov.point-2021/05/28-22:29:00 
20210129,2021.0799,-0.3,2.4,5.0,rrr,2.6,3.2,9.9,-0.0923,Southern_California.20210129.stacov.point-2021/05/29-22:28:01 
20210130,2021.0827,-0.5,1.4,5.6,rrr,2.5,3.2,9.6,-0.0629,Southern_California.20210130.stacov.point-2021/05/30-22:28:11 
20210131,2021.0854,-0.8,1.3,-5.3,rrr,2.6,3.3,9.9,-0.1049,Southern_California.20210131.stacov.point-2021/05/31-22:27:36 
20210201,2021.0881,-1.4,0.3,-0.7,rrr,2.5,3.2,9.6,-0.0699,Southern_California.20210201.stacov.point-2021/06/01-22:26:40 
20210202,2021.0909,-2.5,1.5,1.7,rrr,2.6,3.3,9.9,-0.1191,Southern_California.20210202.stacov.point-2021/04/02-22:31:16 
20210203,2021.0936,-2.6,2.3,3.6,rrr,2.6,3.2,9.9,-0.0888,Southern_California.20210203.stacov.point-2021/04/03-22:41:36 
20210204,2021.0963,-2.3,1.0,10.5,rrr,2.6,3.4,10.1,-0.056,Southern_California.20210204.stacov.point-2021/04/04-22:41:18 
20210205,2021.0991,-1.5,0.7,2.9,rrr,2.6,3.3,9.9,-0.108,Southern_California.20210205.stacov.point-2021/04/05-22:41:24 
