,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20150625,2015.4808,-3.4,8.7,-1.2,rrr,2.3,2.5,7.4,0.0168,Southern_California.20150625.stacov.point-2016/02/16-12:27:01 
1,20150626,2015.4835,-4.6,8.0,4.9,rrr,2.4,2.7,7.7,0.0764,Southern_California.20150626.stacov.point-2016/02/16-12:27:02 
2,20150627,2015.4863,-1.8,9.4,-1.4,rrr,2.3,2.5,7.4,0.0439,Southern_California.20150627.stacov.point-2016/02/16-12:27:03 
3,20150628,2015.489,-4.3,8.7,-0.1,rrr,2.3,2.5,7.4,0.0417,Southern_California.20150628.stacov.point-2016/02/16-12:27:05 
4,20150629,2015.4917,-1.9,8.9,3.8,rrr,2.3,2.5,7.4,0.0305,Southern_California.20150629.stacov.point-2016/02/16-12:27:06 
5,20150630,2015.4945,-3.8,9.2,-0.5,rrr,2.4,2.7,7.7,0.0415,Southern_California.20150630.stacov.point-2016/02/16-12:27:08 
6,20150701,2015.4972,-4.9,11.6,0.4,rrr,2.4,2.7,8.1,0.0283,Southern_California.20150701.stacov.point-2016/02/16-12:27:09 
7,20150702,2015.4999,-3.4,11.1,7.5,rrr,2.3,2.5,7.6,0.0075,Southern_California.20150702.stacov.point-2016/02/16-12:27:10 
8,20150703,2015.5027,-3.3,9.7,3.3,rrr,2.3,2.5,7.4,0.0411,Southern_California.20150703.stacov.point-2016/02/16-12:27:12 
9,20150704,2015.5054,-4.2,10.1,2.7,rrr,2.3,2.5,7.4,0.0546,Southern_California.20150704.stacov.point-2016/02/16-12:27:13 
10,20150705,2015.5082,-4.7,11.2,2.8,rrr,2.3,2.6,7.6,0.0054,Southern_California.20150705.stacov.point-2016/02/16-12:27:15 
11,20150706,2015.5109,-5.0,8.0,1.0,rrr,2.3,2.5,7.6,0.0072,Southern_California.20150706.stacov.point-2016/02/16-12:27:16 
12,20150707,2015.5136,-3.4,8.8,-5.0,rrr,2.3,2.5,7.6,0.0214,Southern_California.20150707.stacov.point-2016/02/16-12:27:18 
13,20150708,2015.5164,-5.1,9.2,0.1,rrr,2.3,2.5,7.6,-0.0006,Southern_California.20150708.stacov.point-2016/02/16-12:27:19 
14,20150709,2015.5191,-5.2,7.8,2.6,rrr,2.4,2.5,7.6,0.0184,Southern_California.20150709.stacov.point-2016/02/16-12:27:20 
15,20150710,2015.5218,-5.4,8.3,1.3,rrr,2.3,2.5,7.4,0.0469,Southern_California.20150710.stacov.point-2016/02/16-12:27:22 
16,20150711,2015.5246,-3.7,10.9,-0.8,rrr,2.4,2.6,7.6,0.013,Southern_California.20150711.stacov.point-2016/02/16-12:27:23 
17,20150712,2015.5273,-3.7,9.4,-5.3,rrr,2.3,2.5,7.4,0.0462,Southern_California.20150712.stacov.point-2016/02/16-12:27:25 
18,20150713,2015.5301,-3.7,10.3,-6.3,rrr,2.3,2.5,7.6,0.0144,Southern_California.20150713.stacov.point-2016/02/16-12:27:26 
19,20150714,2015.5328,-5.3,10.6,-3.9,rrr,2.3,2.5,7.4,0.0534,Southern_California.20150714.stacov.point-2016/02/16-12:27:27 
20,20150715,2015.5355,-4.8,9.3,3.1,rrr,2.3,2.5,7.4,0.047,Southern_California.20150715.stacov.point-2016/02/16-12:27:29 
21,20150716,2015.5383,-4.7,8.4,-0.9,rrr,2.3,2.5,7.4,0.0136,Southern_California.20150716.stacov.point-2016/02/16-12:27:30 
22,20150717,2015.541,-7.1,6.4,-1.0,rrr,2.3,2.6,7.6,-0.0147,Southern_California.20150717.stacov.point-2016/02/16-12:27:32 
23,20150718,2015.5437,-3.9,4.8,7.9,rrr,2.4,2.7,7.7,0.0754,Southern_California.20150718.stacov.point-2016/02/16-12:27:33 
24,20150719,2015.5465,-4.9,7.8,-3.6,rrr,2.3,2.5,7.4,0.0348,Southern_California.20150719.stacov.point-2016/02/16-12:27:35 
25,20150720,2015.5492,-3.9,8.7,-2.1,rrr,2.3,2.5,7.6,0.0087,Southern_California.20150720.stacov.point-2016/02/16-12:27:36 
26,20150721,2015.552,-3.4,9.1,-1.0,rrr,2.4,2.5,7.6,0.018,Southern_California.20150721.stacov.point-2016/02/16-12:27:38 
27,20150722,2015.5547,-5.0,8.9,5.9,rrr,2.3,2.5,7.6,0.01,Southern_California.20150722.stacov.point-2016/02/16-12:27:39 
28,20150723,2015.5574,-5.4,11.3,5.4,rrr,2.3,2.5,7.6,0.0092,Southern_California.20150723.stacov.point-2016/02/16-12:27:40 
29,20150724,2015.5602,-5.4,7.5,-6.8,rrr,2.3,2.5,7.4,0.0533,Southern_California.20150724.stacov.point-2016/02/16-12:27:42 
30,20150725,2015.5629,-5.9,8.4,-12.2,rrr,2.4,2.5,7.6,0.03,Southern_California.20150725.stacov.point-2016/02/16-12:27:43 
31,20150726,2015.5657,-3.9,10.7,1.3,rrr,2.4,2.5,7.6,0.009,Southern_California.20150726.stacov.point-2016/02/16-12:27:45 
32,20150727,2015.5684,-4.8,9.8,-0.3,rrr,2.3,2.5,7.4,0.041,Southern_California.20150727.stacov.point-2016/02/16-12:27:46 
33,20150728,2015.5711,-4.7,7.8,-2.4,rrr,2.4,2.5,7.6,0.0266,Southern_California.20150728.stacov.point-2016/02/16-12:27:48 
34,20150729,2015.5739,-3.3,9.5,-5.6,rrr,2.4,2.7,7.7,0.0952,Southern_California.20150729.stacov.point-2016/02/16-12:27:49 
35,20150730,2015.5766,-3.3,9.4,0.3,rrr,2.3,2.5,7.6,0.008,Southern_California.20150730.stacov.point-2016/02/16-12:27:51 
36,20150731,2015.5793,-4.0,9.1,-13.1,rrr,2.3,2.5,7.6,0.0133,Southern_California.20150731.stacov.point-2016/02/16-12:27:52 
37,20150801,2015.5821,-5.0,8.2,-5.6,rrr,2.3,2.5,7.6,0.0134,Southern_California.20150801.stacov.point-2016/02/16-12:27:53 
38,20150802,2015.5848,-5.7,8.2,0.9,rrr,2.3,2.5,7.4,0.0325,Southern_California.20150802.stacov.point-2016/02/16-12:27:55 
39,20150803,2015.5876,-5.0,8.1,0.8,rrr,2.3,2.6,7.6,0.0092,Southern_California.20150803.stacov.point-2016/02/16-12:27:56 
40,20150804,2015.5903,-5.1,7.5,2.1,rrr,2.3,2.6,7.4,0.0427,Southern_California.20150804.stacov.point-2016/02/16-12:27:58 
41,20150805,2015.593,-4.9,6.7,-8.2,rrr,2.3,2.6,7.6,0.008,Southern_California.20150805.stacov.point-2016/02/16-12:27:59 
42,20150806,2015.5958,-6.4,6.6,-2.5,rrr,2.3,2.5,7.6,0.0215,Southern_California.20150806.stacov.point-2016/02/16-12:28:01 
43,20150807,2015.5985,-4.1,7.9,5.9,rrr,2.4,2.7,7.9,0.0439,Southern_California.20150807.stacov.point-2016/02/16-12:28:02 
44,20150808,2015.6012,-5.4,9.3,5.6,rrr,2.3,2.5,7.6,0.0186,Southern_California.20150808.stacov.point-2016/02/16-12:28:03 
45,20150809,2015.604,-3.9,9.6,-1.1,rrr,2.4,2.7,7.7,0.0551,Southern_California.20150809.stacov.point-2016/02/16-12:28:05 
46,20150810,2015.6067,-2.4,9.1,-2.3,rrr,2.3,2.6,7.6,0.0214,Southern_California.20150810.stacov.point-2016/02/16-12:28:06 
47,20150811,2015.6095,-4.3,7.3,-9.6,rrr,2.3,2.5,7.4,0.048,Southern_California.20150811.stacov.point-2016/02/16-12:28:08 
48,20150812,2015.6122,-3.0,11.0,1.5,rrr,2.3,2.5,7.6,0.0234,Southern_California.20150812.stacov.point-2016/02/16-12:28:09 
49,20150813,2015.6149,2.2,20.4,16.6,rrr,2.4,2.7,7.9,0.0712,Southern_California.20150813.stacov.point-2016/02/16-12:28:11 
50,20150814,2015.6177,-4.0,6.7,2.3,rrr,2.3,2.5,7.4,0.0454,Southern_California.20150814.stacov.point-2016/02/16-12:28:12 
51,20150815,2015.6204,-4.2,8.1,2.8,rrr,2.3,2.5,7.4,0.0418,Southern_California.20150815.stacov.point-2016/02/16-12:28:14 
52,20150816,2015.6231,-0.5,17.5,17.0,rrr,2.3,2.5,7.4,0.0403,Southern_California.20150816.stacov.point-2016/02/16-12:28:15 
53,20150817,2015.6259,-3.6,5.9,4.3,rrr,2.3,2.5,7.4,0.046,Southern_California.20150817.stacov.point-2016/02/16-12:28:17 
54,20150818,2015.6286,-4.2,6.8,1.1,rrr,2.3,2.5,7.4,0.0406,Southern_California.20150818.stacov.point-2016/02/16-12:28:18 
55,20150819,2015.6314,-3.7,6.2,3.8,rrr,2.3,2.5,7.4,0.0519,Southern_California.20150819.stacov.point-2016/02/16-12:28:19 
56,20150820,2015.6341,-3.5,6.6,-2.3,rrr,2.3,2.5,7.4,0.0485,Southern_California.20150820.stacov.point-2016/02/16-12:28:21 
57,20150821,2015.6368,-2.0,7.4,-6.1,rrr,2.3,2.5,7.4,0.0476,Southern_California.20150821.stacov.point-2016/02/16-12:28:22 
58,20150822,2015.6396,-5.2,7.0,-2.0,rrr,2.3,2.5,7.4,0.0465,Southern_California.20150822.stacov.point-2016/02/16-12:28:24 
59,20150823,2015.6423,-3.6,6.4,-4.8,rrr,2.3,2.5,7.4,0.0501,Southern_California.20150823.stacov.point-2016/02/16-12:28:25 
60,20150824,2015.6451,-4.1,8.0,-7.8,rrr,2.3,2.5,7.4,0.0473,Southern_California.20150824.stacov.point-2016/02/16-12:28:27 
61,20150825,2015.6478,-2.7,9.3,-1.6,rrr,2.4,2.7,7.9,0.091,Southern_California.20150825.stacov.point-2016/02/16-12:28:28 
62,20150826,2015.6505,-0.4,7.9,-4.9,rrr,2.3,2.5,7.4,0.0518,Southern_California.20150826.stacov.point-2016/02/16-12:28:30 
63,20150827,2015.6533,-4.8,7.5,-3.8,rrr,2.3,2.5,7.4,0.0448,Southern_California.20150827.stacov.point-2016/02/16-12:28:31 
64,20150828,2015.656,-5.2,9.0,4.6,rrr,2.3,2.6,7.6,0.0235,Southern_California.20150828.stacov.point-2016/02/16-12:28:33 
65,20150829,2015.6587,-3.8,7.6,1.6,rrr,2.3,2.5,7.4,0.0486,Southern_California.20150829.stacov.point-2016/02/16-12:28:34 
66,20150830,2015.6615,-4.2,7.2,4.6,rrr,2.3,2.5,7.6,0.0275,Southern_California.20150830.stacov.point-2016/02/16-12:28:36 
67,20150831,2015.6642,-4.8,8.7,-1.5,rrr,2.3,2.5,7.6,0.0152,Southern_California.20150831.stacov.point-2016/02/16-12:28:37 
68,20150901,2015.667,-2.4,8.7,1.8,rrr,2.4,2.7,7.7,0.0975,Southern_California.20150901.stacov.point-2016/02/16-12:28:38 
69,20150902,2015.6697,-2.6,8.2,-5.6,rrr,2.4,2.7,7.9,0.0821,Southern_California.20150902.stacov.point-2016/02/16-12:28:40 
70,20150903,2015.6724,-2.5,7.0,4.4,rrr,2.3,2.5,7.4,0.0503,Southern_California.20150903.stacov.point-2016/02/16-12:28:41 
71,20150904,2015.6752,-3.0,8.5,10.5,rrr,2.3,2.7,7.7,0.0855,Southern_California.20150904.stacov.point-2016/02/16-12:28:43 
72,20150905,2015.6779,-3.5,7.6,3.3,rrr,2.3,2.5,7.6,0.013,Southern_California.20150905.stacov.point-2016/02/16-12:28:44 
73,20150906,2015.6806,-3.5,6.0,-1.9,rrr,2.3,2.5,7.4,0.0544,Southern_California.20150906.stacov.point-2016/02/16-12:28:46 
74,20150907,2015.6834,-3.5,5.5,2.2,rrr,2.3,2.5,7.6,0.0284,Southern_California.20150907.stacov.point-2016/02/16-12:28:47 
75,20150908,2015.6861,-2.7,6.8,-0.9,rrr,2.3,2.5,7.6,0.0156,Southern_California.20150908.stacov.point-2016/02/16-12:28:49 
76,20150909,2015.6889,-4.4,7.6,5.7,rrr,2.3,2.7,7.7,0.0798,Southern_California.20150909.stacov.point-2016/02/16-12:28:51 
77,20150910,2015.6916,-2.6,6.0,6.8,rrr,2.3,2.5,7.6,0.014,Southern_California.20150910.stacov.point-2016/02/16-12:28:52 
78,20150911,2015.6943,-3.9,6.1,-2.1,rrr,2.3,2.6,7.6,-0.0012,Southern_California.20150911.stacov.point-2016/02/16-12:28:54 
79,20150912,2015.6971,-4.5,8.7,2.6,rrr,2.3,2.5,7.4,0.065,Southern_California.20150912.stacov.point-2016/02/16-12:28:55 
80,20150913,2015.6998,-2.4,9.4,11.4,rrr,2.3,2.6,7.6,0.0137,Southern_California.20150913.stacov.point-2016/02/16-12:28:57 
81,20150914,2015.7025,-3.7,6.9,-0.7,rrr,2.3,2.7,7.7,0.0794,Southern_California.20150914.stacov.point-2016/02/16-12:28:58 
82,20150915,2015.7053,-5.0,7.4,-1.4,rrr,2.4,2.7,8.1,0.0466,Southern_California.20150915.stacov.point-2016/02/16-12:29:00 
83,20150916,2015.708,-1.6,8.1,-0.1,rrr,2.3,2.5,7.6,0.0232,Southern_California.20150916.stacov.point-2016/02/16-12:29:01 
84,20150917,2015.7108,-2.3,6.2,8.4,rrr,2.3,2.5,7.4,0.0572,Southern_California.20150917.stacov.point-2016/02/16-12:29:03 
85,20150918,2015.7135,-2.4,6.8,9.4,rrr,2.3,2.5,7.4,0.0639,Southern_California.20150918.stacov.point-2016/02/16-12:29:04 
86,20150919,2015.7162,-2.8,7.9,3.3,rrr,2.3,2.5,7.4,0.0551,Southern_California.20150919.stacov.point-2016/02/16-12:29:06 
87,20150920,2015.719,-1.4,7.8,-2.6,rrr,2.3,2.5,7.4,0.0445,Southern_California.20150920.stacov.point-2016/02/16-12:29:07 
88,20150921,2015.7217,-5.0,8.0,6.8,rrr,2.3,2.5,7.4,0.0554,Southern_California.20150921.stacov.point-2016/02/16-12:29:09 
89,20150922,2015.7244,-1.6,5.3,5.2,rrr,2.3,2.5,7.4,0.0474,Southern_California.20150922.stacov.point-2016/02/16-12:29:10 
90,20150923,2015.7272,-2.5,7.3,-0.4,rrr,2.3,2.5,7.4,0.0576,Southern_California.20150923.stacov.point-2016/02/16-12:29:12 
91,20150924,2015.7299,-4.0,6.8,-1.6,rrr,2.3,2.6,7.6,0.029,Southern_California.20150924.stacov.point-2016/02/16-12:29:13 
92,20150925,2015.7327,-1.9,8.7,1.0,rrr,2.3,2.6,7.6,0.016,Southern_California.20150925.stacov.point-2016/02/16-12:29:15 
93,20150926,2015.7354,-4.0,6.2,6.3,rrr,2.3,2.5,7.4,0.0444,Southern_California.20150926.stacov.point-2016/02/16-12:29:17 
94,20150927,2015.7381,-4.2,8.1,7.5,rrr,2.3,2.6,7.4,0.0492,Southern_California.20150927.stacov.point-2016/02/16-12:29:18 
95,20150928,2015.7409,-2.3,8.4,3.5,rrr,2.3,2.5,7.4,0.0473,Southern_California.20150928.stacov.point-2016/02/16-12:29:20 
96,20150929,2015.7436,-3.9,6.6,7.0,rrr,2.3,2.5,7.4,0.0481,Southern_California.20150929.stacov.point-2016/02/16-12:29:22 
