,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19991124,1999.8967,-103.0,106.6,-17.4,rrr,3.6,4.3,12.2,-0.0042,Southern_California.19991124.stacov.point-2016/02/16-09:29:10 
1,19991125,1999.8995,-102.9,106.8,-13.5,rrr,3.7,4.1,12.4,0.0008,Southern_California.19991125.stacov.point-2016/02/16-09:29:10 
2,19991126,1999.9022,-102.8,107.9,-14.2,rrr,3.6,4.3,12.0,0.014,Southern_California.19991126.stacov.point-2016/02/16-09:29:11 
3,19991127,1999.9049,-100.2,109.3,-14.2,rrr,3.4,4.1,11.7,0.0319,Southern_California.19991127.stacov.point-2016/02/16-09:29:12 
4,19991128,1999.9077,-101.8,111.6,-23.1,rrr,3.4,4.1,11.7,0.0356,Southern_California.19991128.stacov.point-2016/02/16-09:29:12 
5,19991129,1999.9104,-102.1,110.9,-19.7,rrr,3.6,4.1,12.1,0.0255,Southern_California.19991129.stacov.point-2016/02/16-09:29:13 
6,19991130,1999.9131,-102.9,111.0,-14.1,rrr,3.6,4.0,12.3,-0.0009,Southern_California.19991130.stacov.point-2016/02/16-09:29:13 
7,19991201,1999.9159,-102.6,109.9,-16.0,rrr,3.7,4.2,12.8,0.0321,Southern_California.19991201.stacov.point-2016/02/16-09:29:14 
8,19991202,1999.9186,-103.7,109.5,-14.6,rrr,3.5,4.1,11.9,0.0222,Southern_California.19991202.stacov.point-2016/02/16-09:29:15 
9,19991203,1999.9214,-104.0,111.7,-18.1,rrr,3.4,4.1,11.7,0.0409,Southern_California.19991203.stacov.point-2016/02/16-09:29:15 
10,19991204,1999.9241,-102.7,109.9,-20.0,rrr,3.5,4.1,11.9,0.0001,Southern_California.19991204.stacov.point-2016/02/16-09:29:16 
11,19991205,1999.9268,-103.2,109.8,-15.8,rrr,3.4,4.1,11.7,0.0416,Southern_California.19991205.stacov.point-2016/02/16-09:29:16 
12,19991206,1999.9296,-101.6,110.2,-21.7,rrr,3.5,4.1,12.1,0.0247,Southern_California.19991206.stacov.point-2016/02/16-09:29:17 
13,19991207,1999.9323,-105.3,108.2,-12.6,rrr,3.5,4.0,12.1,0.0165,Southern_California.19991207.stacov.point-2016/02/16-09:29:18 
14,19991208,1999.935,-101.6,110.7,-16.4,rrr,3.8,4.3,12.7,0.007,Southern_California.19991208.stacov.point-2016/02/16-09:29:18 
