,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20140510,2014.3555,-68.7,72.4,21.1,rrr,2.4,2.8,8.4,0.0699,Southern_California.20140510.stacov.point-2016/02/16-12:11:04 
1,20140511,2014.3582,-68.4,73.7,27.3,rrr,2.4,2.7,8.6,0.0541,Southern_California.20140511.stacov.point-2016/02/16-12:11:06 
2,20140512,2014.361,-68.7,75.5,27.4,rrr,2.4,2.7,8.4,0.0813,Southern_California.20140512.stacov.point-2016/02/16-12:11:07 
3,20140513,2014.3637,-68.0,75.1,23.5,rrr,2.3,2.6,8.1,0.0238,Southern_California.20140513.stacov.point-2016/02/16-12:11:09 
4,20140514,2014.3664,-67.6,74.0,24.4,rrr,2.4,2.7,8.4,0.0644,Southern_California.20140514.stacov.point-2016/02/16-12:11:10 
5,20140515,2014.3692,-67.5,74.6,26.1,rrr,2.5,2.8,8.5,0.0384,Southern_California.20140515.stacov.point-2016/02/16-12:11:12 
6,20140516,2014.3719,-67.5,72.9,26.1,rrr,2.4,2.7,8.4,0.0693,Southern_California.20140516.stacov.point-2016/02/16-12:11:13 
7,20140517,2014.3747,-67.3,71.5,30.3,rrr,2.4,2.7,8.4,0.0794,Southern_California.20140517.stacov.point-2016/02/16-12:11:15 
8,20140518,2014.3774,-67.4,74.2,21.2,rrr,2.4,2.7,8.4,0.065,Southern_California.20140518.stacov.point-2016/02/16-12:11:17 
9,20140519,2014.3801,-66.8,72.6,18.5,rrr,2.4,2.8,8.2,0.097,Southern_California.20140519.stacov.point-2016/02/16-12:11:18 
10,20140520,2014.3829,-67.2,73.4,25.3,rrr,2.4,2.7,8.4,0.0956,Southern_California.20140520.stacov.point-2016/02/16-12:11:20 
11,20140521,2014.3856,-67.9,72.0,20.8,rrr,2.3,2.6,8.1,0.0483,Southern_California.20140521.stacov.point-2016/02/16-12:11:21 
12,20140522,2014.3884,-66.8,72.8,17.1,rrr,2.4,2.7,8.4,0.0775,Southern_California.20140522.stacov.point-2016/02/16-12:11:23 
13,20140523,2014.3911,-66.4,74.5,22.5,rrr,2.4,2.7,8.4,0.0845,Southern_California.20140523.stacov.point-2016/02/16-12:11:24 
14,20140524,2014.3938,-67.8,72.3,18.7,rrr,2.4,2.6,8.1,0.0496,Southern_California.20140524.stacov.point-2016/02/16-12:11:26 
15,20140525,2014.3966,-66.4,74.2,23.4,rrr,2.4,2.7,8.2,0.1071,Southern_California.20140525.stacov.point-2016/02/16-12:11:27 
16,20140526,2014.3993,-67.4,72.4,20.5,rrr,2.3,2.7,8.2,0.104,Southern_California.20140526.stacov.point-2016/02/16-12:11:29 
17,20140527,2014.402,-67.9,72.6,19.0,rrr,2.4,2.8,8.2,0.0868,Southern_California.20140527.stacov.point-2016/02/16-12:11:30 
18,20140528,2014.4048,-66.4,72.8,16.7,rrr,2.4,2.7,8.4,0.0719,Southern_California.20140528.stacov.point-2016/02/16-12:11:32 
19,20140529,2014.4075,-65.5,72.8,16.7,rrr,2.4,2.7,8.4,0.0728,Southern_California.20140529.stacov.point-2016/02/16-12:11:34 
20,20140530,2014.4103,-65.0,71.8,20.5,rrr,2.4,2.8,8.4,0.0709,Southern_California.20140530.stacov.point-2016/02/16-12:11:35 
21,20140531,2014.413,-66.2,72.1,22.6,rrr,2.4,2.7,8.4,0.077,Southern_California.20140531.stacov.point-2016/02/16-12:11:37 
22,20140601,2014.4157,-65.0,72.0,20.2,rrr,2.4,2.8,8.2,0.091,Southern_California.20140601.stacov.point-2016/02/16-12:11:38 
23,20140602,2014.4185,-65.1,72.6,24.2,rrr,2.4,2.7,8.4,0.0788,Southern_California.20140602.stacov.point-2016/02/16-12:11:40 
24,20140603,2014.4212,-66.0,70.7,23.7,rrr,2.4,2.6,8.3,0.0102,Southern_California.20140603.stacov.point-2016/02/16-12:11:41 
25,20140604,2014.4239,-65.1,70.9,22.5,rrr,2.4,2.8,8.4,0.0788,Southern_California.20140604.stacov.point-2016/02/16-12:11:43 
26,20140605,2014.4267,-65.2,70.9,26.4,rrr,2.3,2.6,8.1,0.0583,Southern_California.20140605.stacov.point-2016/02/16-12:11:44 
27,20140606,2014.4294,-66.6,71.4,21.0,rrr,2.4,2.8,8.4,0.0799,Southern_California.20140606.stacov.point-2016/02/16-12:11:46 
28,20140607,2014.4322,-64.2,70.8,17.6,rrr,2.4,2.6,8.1,0.0455,Southern_California.20140607.stacov.point-2016/02/16-12:11:48 
29,20140608,2014.4349,-64.6,70.7,20.5,rrr,2.4,2.8,8.2,0.0993,Southern_California.20140608.stacov.point-2016/02/16-12:11:49 
30,20140609,2014.4376,-64.7,71.8,23.7,rrr,2.4,2.6,8.1,0.0428,Southern_California.20140609.stacov.point-2016/02/16-12:11:51 
31,20140611,2014.4431,-64.2,70.8,21.9,rrr,2.4,2.7,8.4,0.0833,Southern_California.20140611.stacov.point-2016/02/16-12:11:54 
32,20140612,2014.4458,-63.9,70.9,21.3,rrr,2.4,2.7,8.6,0.0542,Southern_California.20140612.stacov.point-2016/02/16-12:11:55 
33,20140613,2014.4486,-65.0,71.6,20.1,rrr,2.5,2.7,8.5,0.0606,Southern_California.20140613.stacov.point-2016/02/16-12:11:57 
34,20140614,2014.4513,-63.4,70.0,18.9,rrr,2.4,2.7,8.2,0.1062,Southern_California.20140614.stacov.point-2016/02/16-12:11:58 
35,20140615,2014.4541,-65.3,69.5,16.0,rrr,2.4,2.8,8.4,0.0713,Southern_California.20140615.stacov.point-2016/02/16-12:12:00 
36,20140616,2014.4568,-65.8,70.3,23.9,rrr,2.4,2.7,8.4,0.0867,Southern_California.20140616.stacov.point-2016/02/16-12:12:01 
37,20140617,2014.4595,-63.9,69.7,16.8,rrr,2.4,2.7,8.2,0.1031,Southern_California.20140617.stacov.point-2016/02/16-12:12:03 
38,20140618,2014.4623,-64.1,69.7,14.8,rrr,2.4,2.7,8.4,0.0834,Southern_California.20140618.stacov.point-2016/02/16-12:12:05 
39,20140619,2014.465,-63.4,69.7,19.0,rrr,2.4,2.7,8.4,0.0866,Southern_California.20140619.stacov.point-2016/02/16-12:12:06 
40,20140620,2014.4677,-63.8,69.7,20.4,rrr,2.4,2.5,8.1,0.0575,Southern_California.20140620.stacov.point-2016/02/16-12:12:08 
41,20140621,2014.4705,-64.3,68.7,21.0,rrr,2.4,2.7,8.2,0.1041,Southern_California.20140621.stacov.point-2016/02/16-12:12:09 
42,20140622,2014.4732,-64.2,68.8,18.1,rrr,2.4,2.5,8.1,0.0567,Southern_California.20140622.stacov.point-2016/02/16-12:12:11 
43,20140623,2014.476,-63.9,70.2,19.1,rrr,2.4,2.5,8.1,0.0601,Southern_California.20140623.stacov.point-2016/02/16-12:12:12 
44,20140624,2014.4787,-64.5,69.5,22.2,rrr,2.4,2.7,8.2,0.115,Southern_California.20140624.stacov.point-2016/02/16-12:12:14 
45,20140625,2014.4814,-65.7,68.3,19.3,rrr,2.4,2.6,8.1,0.0514,Southern_California.20140625.stacov.point-2016/02/16-12:12:15 
46,20140626,2014.4842,-64.5,69.8,18.5,rrr,2.4,2.6,8.1,0.0412,Southern_California.20140626.stacov.point-2016/02/16-12:12:17 
47,20140627,2014.4869,-63.3,69.1,27.0,rrr,2.4,2.6,8.1,0.0432,Southern_California.20140627.stacov.point-2016/02/16-12:12:19 
48,20140628,2014.4897,-63.7,69.1,17.5,rrr,2.4,2.7,8.4,0.0755,Southern_California.20140628.stacov.point-2016/02/16-12:12:20 
49,20140629,2014.4924,-62.8,68.9,15.5,rrr,2.3,2.5,8.1,0.0525,Southern_California.20140629.stacov.point-2016/02/16-12:12:22 
50,20140630,2014.4951,-62.5,68.7,21.0,rrr,2.3,2.6,7.9,0.0681,Southern_California.20140630.stacov.point-2016/02/16-12:12:23 
51,20140701,2014.4979,-63.2,68.1,16.3,rrr,2.4,2.5,8.1,0.0567,Southern_California.20140701.stacov.point-2016/02/16-12:12:25 
52,20140702,2014.5006,-63.1,68.4,18.9,rrr,2.3,2.6,7.9,0.0692,Southern_California.20140702.stacov.point-2016/02/16-12:12:26 
53,20140703,2014.5033,-62.3,70.3,23.0,rrr,2.4,2.6,8.1,0.0359,Southern_California.20140703.stacov.point-2016/02/16-12:12:28 
54,20140704,2014.5061,-62.3,67.3,17.5,rrr,2.3,2.6,8.1,0.0452,Southern_California.20140704.stacov.point-2016/02/16-12:12:29 
55,20140705,2014.5088,-65.0,69.3,21.1,rrr,2.3,2.5,8.1,0.0451,Southern_California.20140705.stacov.point-2016/02/16-12:12:31 
56,20140706,2014.5116,-62.6,67.9,15.5,rrr,2.4,2.7,8.4,0.0646,Southern_California.20140706.stacov.point-2016/02/16-12:12:33 
57,20140707,2014.5143,-62.1,67.7,25.9,rrr,2.4,2.6,8.1,0.0407,Southern_California.20140707.stacov.point-2016/02/16-12:12:34 
58,20140708,2014.517,-62.6,69.1,27.8,rrr,2.3,2.6,8.1,0.0387,Southern_California.20140708.stacov.point-2016/02/16-12:12:36 
59,20140709,2014.5198,-64.1,68.6,20.9,rrr,2.3,2.6,8.1,0.0415,Southern_California.20140709.stacov.point-2016/02/16-12:12:37 
60,20140710,2014.5225,-64.9,68.2,18.5,rrr,2.4,2.7,8.4,0.0807,Southern_California.20140710.stacov.point-2016/02/16-12:12:39 
61,20140711,2014.5252,-62.2,67.1,21.7,rrr,2.4,2.6,8.1,0.0496,Southern_California.20140711.stacov.point-2016/02/16-12:12:40 
62,20140712,2014.528,-62.8,67.7,16.9,rrr,2.4,2.7,8.4,0.0693,Southern_California.20140712.stacov.point-2016/02/16-12:12:42 
