,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19990108,1999.0206,-302.2,301.4,-8.6,rrr,2.7,3.2,10.1,-0.0338,Southern_California.19990108.stacov.point-2016/02/16-09:26:49 
1,19990109,1999.0233,-302.1,301.5,-12.1,rrr,2.8,3.2,10.5,-0.0819,Southern_California.19990109.stacov.point-2016/02/16-09:26:50 
2,19990111,1999.0288,-302.1,302.0,2.0,rrr,2.8,3.4,11.0,-0.0902,Southern_California.19990111.stacov.point-2016/02/16-09:26:50 
3,19990112,1999.0315,-301.8,301.0,-2.6,rrr,2.8,3.5,10.6,-0.0547,Southern_California.19990112.stacov.point-2016/02/16-09:26:51 
4,19990113,1999.0343,-302.6,303.3,-8.2,rrr,2.8,3.3,10.6,-0.0261,Southern_California.19990113.stacov.point-2016/02/16-09:26:51 
5,19990114,1999.037,-300.6,302.9,-11.1,rrr,3.0,3.3,10.8,-0.1946,Southern_California.19990114.stacov.point-2016/02/16-09:26:51 
6,19990115,1999.0397,-301.6,301.8,-2.3,rrr,2.8,3.2,10.3,-0.093,Southern_California.19990115.stacov.point-2016/02/16-09:26:52 
7,19990116,1999.0425,-303.0,300.7,-6.4,rrr,2.7,3.3,10.1,-0.0749,Southern_California.19990116.stacov.point-2016/02/16-09:26:52 
8,19990117,1999.0452,-302.7,301.4,-3.0,rrr,2.6,3.3,10.1,-0.0533,Southern_California.19990117.stacov.point-2016/02/16-09:26:52 
9,19990118,1999.048,-302.5,301.4,-3.3,rrr,2.7,3.3,10.1,-0.0789,Southern_California.19990118.stacov.point-2016/02/16-09:26:53 
10,19990119,1999.0507,-300.5,301.5,-7.8,rrr,2.7,3.2,10.1,-0.0619,Southern_California.19990119.stacov.point-2016/02/16-09:26:53 
11,19990120,1999.0534,-301.8,299.9,-7.9,rrr,2.7,3.1,10.0,-0.1394,Southern_California.19990120.stacov.point-2016/02/16-09:26:54 
12,19990121,1999.0562,-301.5,299.6,-9.7,rrr,2.8,3.1,10.1,-0.1262,Southern_California.19990121.stacov.point-2016/02/16-09:26:54 
13,19990122,1999.0589,-301.0,300.2,-5.0,rrr,2.7,3.3,10.1,-0.0445,Southern_California.19990122.stacov.point-2016/02/16-09:26:54 
