,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19950506,1995.3435,-393.0,367.6,-25.8,rrr,3.0,3.4,10.8,0.1052,Southern_California.19950506.stacov.point-2016/02/16-09:20:26 
1,19950507,1995.3462,-393.3,366.2,-22.0,rrr,3.1,3.6,11.3,0.1184,Southern_California.19950507.stacov.point-2016/02/16-09:20:26 
2,19950508,1995.3489,-395.9,366.1,-21.3,rrr,3.2,3.6,11.8,0.131,Southern_California.19950508.stacov.point-2016/02/16-09:20:27 
3,19950510,1995.3544,-392.7,365.1,-27.5,rrr,3.0,3.7,11.2,0.1158,Southern_California.19950510.stacov.point-2016/02/16-09:20:27 
4,19950511,1995.3571,-393.6,367.9,-23.4,rrr,3.2,3.6,11.6,0.1014,Southern_California.19950511.stacov.point-2016/02/16-09:20:27 
5,19950512,1995.3599,-394.9,365.6,-25.4,rrr,3.1,3.5,11.1,0.1074,Southern_California.19950512.stacov.point-2016/02/16-09:20:28 
6,19950513,1995.3626,-396.7,363.9,-19.0,rrr,3.2,3.7,11.6,0.1052,Southern_California.19950513.stacov.point-2016/02/16-09:20:28 
7,19950514,1995.3654,-392.1,365.7,-16.5,rrr,3.1,3.5,11.1,0.0968,Southern_California.19950514.stacov.point-2016/02/16-09:20:28 
8,19950515,1995.3681,-393.6,364.5,-32.1,rrr,3.1,3.5,11.1,0.1028,Southern_California.19950515.stacov.point-2016/02/16-09:20:28 
9,19950516,1995.3708,-394.0,363.8,-28.9,rrr,3.1,3.5,11.5,0.0706,Southern_California.19950516.stacov.point-2016/02/16-09:20:29 
10,19950517,1995.3736,-393.6,363.7,-24.5,rrr,3.1,3.5,11.1,0.1175,Southern_California.19950517.stacov.point-2016/02/16-09:20:29 
11,19950518,1995.3763,-393.0,364.5,-19.3,rrr,3.2,3.7,11.4,0.1013,Southern_California.19950518.stacov.point-2016/02/16-09:20:29 
12,19950519,1995.379,-392.4,365.0,-28.9,rrr,3.1,3.7,11.4,0.1372,Southern_California.19950519.stacov.point-2018/07/13-10:51:01 
13,19950520,1995.3818,-391.4,364.1,-37.6,rrr,3.2,3.6,11.6,0.1181,Southern_California.19950520.stacov.point-2018/07/13-10:56:34 
14,19950521,1995.3845,-393.6,365.2,-23.6,rrr,3.1,3.5,11.1,0.096,Southern_California.19950521.stacov.point-2018/07/13-11:02:04 
15,19950522,1995.3873,-398.5,362.7,74.5,rrr,3.2,3.7,12.1,0.0459,Southern_California.19950522.stacov.point-2016/02/16-09:20:30 
16,19950523,1995.39,-394.6,357.3,-20.8,rrr,3.1,3.6,11.9,0.0815,Southern_California.19950523.stacov.point-2016/02/16-09:20:30 
17,19950524,1995.3927,-394.6,356.3,-38.7,rrr,3.2,3.6,11.5,0.0591,Southern_California.19950524.stacov.point-2016/02/16-09:20:31 
18,19950525,1995.3955,-398.4,359.5,-41.5,rrr,3.1,3.5,11.4,0.0397,Southern_California.19950525.stacov.point-2016/02/16-09:20:31 
19,19950526,1995.3982,-394.4,359.6,-25.2,rrr,3.2,3.5,11.5,0.0588,Southern_California.19950526.stacov.point-2016/02/16-09:20:31 
20,19950527,1995.401,-392.3,359.3,-22.9,rrr,3.1,3.6,11.6,0.1221,Southern_California.19950527.stacov.point-2016/02/16-09:20:31 
21,19950528,1995.4037,-394.3,362.1,-24.4,rrr,3.1,3.7,11.6,0.124,Southern_California.19950528.stacov.point-2016/02/16-09:20:32 
22,19950529,1995.4064,-395.3,359.1,-26.7,rrr,3.2,3.6,12.0,0.0869,Southern_California.19950529.stacov.point-2016/02/16-09:20:32 
23,19950530,1995.4092,-393.6,359.5,-33.5,rrr,3.3,3.6,12.2,0.0615,Southern_California.19950530.stacov.point-2016/02/16-09:20:32 
24,19950531,1995.4119,-396.6,358.9,-23.9,rrr,3.4,3.8,13.1,0.0615,Southern_California.19950531.stacov.point-2016/02/16-09:20:32 
25,19950601,1995.4146,-394.4,361.2,-22.5,rrr,3.1,3.6,11.6,0.1047,Southern_California.19950601.stacov.point-2016/02/16-09:20:33 
26,19950602,1995.4174,-391.2,360.3,-22.2,rrr,3.1,3.7,11.6,0.1027,Southern_California.19950602.stacov.point-2016/02/16-09:20:33 
27,19950603,1995.4201,-394.0,359.8,-22.3,rrr,3.3,3.6,12.2,0.074,Southern_California.19950603.stacov.point-2016/02/16-09:20:33 
28,19950604,1995.4229,-396.4,358.3,-24.5,rrr,3.1,3.7,11.8,0.0687,Southern_California.19950604.stacov.point-2016/02/16-09:20:33 
29,19950605,1995.4256,-398.0,356.7,-25.5,rrr,3.1,3.7,11.8,0.0925,Southern_California.19950605.stacov.point-2016/02/16-09:20:34 
30,19950606,1995.4283,-394.6,357.6,-32.0,rrr,3.2,3.7,12.0,0.0827,Southern_California.19950606.stacov.point-2016/02/16-09:20:34 
31,19950607,1995.4311,-397.5,357.6,-20.3,rrr,3.1,3.7,11.9,0.0922,Southern_California.19950607.stacov.point-2016/02/16-09:20:34 
32,19950608,1995.4338,-390.1,358.3,-27.0,rrr,3.1,3.5,11.5,0.0755,Southern_California.19950608.stacov.point-2016/02/16-09:20:34 
33,19950609,1995.4365,-394.9,356.2,-26.5,rrr,3.1,3.6,11.9,0.0821,Southern_California.19950609.stacov.point-2016/02/16-09:20:35 
34,19950610,1995.4393,-392.9,358.6,-36.3,rrr,3.1,3.6,11.6,0.1124,Southern_California.19950610.stacov.point-2016/02/16-09:20:35 
35,19950611,1995.442,-394.3,358.4,-29.4,rrr,3.1,3.7,11.9,0.0819,Southern_California.19950611.stacov.point-2016/02/16-09:20:35 
36,19950612,1995.4448,-394.7,359.7,-25.9,rrr,3.1,3.6,11.9,0.0925,Southern_California.19950612.stacov.point-2016/02/16-09:20:35 
37,19950613,1995.4475,-389.8,358.4,-22.0,rrr,3.1,3.6,11.9,0.0789,Southern_California.19950613.stacov.point-2016/02/16-09:20:36 
38,19950614,1995.4502,-393.4,360.0,-29.6,rrr,3.2,3.7,12.0,0.0798,Southern_California.19950614.stacov.point-2016/02/16-09:20:36 
39,19950615,1995.453,-394.8,356.3,-24.5,rrr,3.1,3.7,12.3,0.0785,Southern_California.19950615.stacov.point-2016/02/16-09:20:36 
40,19950616,1995.4557,-395.2,355.2,-34.1,rrr,6.5,8.4,25.7,0.0022,Southern_California.19950616.stacov.point-2016/02/16-09:20:36 
41,19950617,1995.4584,-394.4,358.4,-25.2,rrr,3.1,3.5,11.5,0.0613,Southern_California.19950617.stacov.point-2016/02/16-09:20:37 
42,19950618,1995.4612,-390.8,358.1,-24.9,rrr,3.1,3.5,11.5,0.0892,Southern_California.19950618.stacov.point-2016/02/16-09:20:37 
43,19950619,1995.4639,-393.5,355.3,-28.6,rrr,3.1,3.7,11.8,0.0692,Southern_California.19950619.stacov.point-2016/02/16-09:20:37 
44,19950620,1995.4667,-392.9,354.5,-30.7,rrr,3.2,3.7,11.8,0.0481,Southern_California.19950620.stacov.point-2016/02/16-09:20:37 
45,19950621,1995.4694,-392.7,357.8,-29.6,rrr,3.1,3.6,11.6,0.0969,Southern_California.19950621.stacov.point-2016/02/16-09:20:38 
46,19950622,1995.4721,-392.1,357.2,-27.8,rrr,3.1,3.6,11.5,0.1062,Southern_California.19950622.stacov.point-2016/02/16-09:20:38 
47,19950623,1995.4749,-392.8,358.3,-22.3,rrr,3.0,3.5,11.0,0.0968,Southern_California.19950623.stacov.point-2016/02/16-09:20:38 
48,19950624,1995.4776,-392.6,357.8,-19.2,rrr,2.9,3.5,10.8,0.1031,Southern_California.19950624.stacov.point-2016/02/16-09:20:38 
49,19950625,1995.4804,-393.9,358.9,-19.9,rrr,3.0,3.4,11.1,0.0757,Southern_California.19950625.stacov.point-2016/02/16-09:20:39 
50,19950626,1995.4831,-393.3,357.6,-21.3,rrr,3.0,3.6,11.0,0.1121,Southern_California.19950626.stacov.point-2016/02/16-09:20:39 
51,19950627,1995.4858,-392.7,357.4,-20.7,rrr,3.0,3.5,11.0,0.0945,Southern_California.19950627.stacov.point-2016/02/16-09:20:39 
52,19950628,1995.4886,-391.1,360.2,-20.6,rrr,2.9,3.5,10.8,0.1095,Southern_California.19950628.stacov.point-2016/02/16-09:20:39 
53,19950629,1995.4913,-393.8,356.6,-19.3,rrr,3.0,3.5,10.8,0.1268,Southern_California.19950629.stacov.point-2016/02/16-09:20:40 
