DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990630,1999.4941,-193.7,135.5,10.1,rrr,4.0,4.5,13.4,-0.1378,Southern_California.19990630.stacov.point-2016/02/16-09:28:00 
19990703,1999.5023,-195.4,132.2,9.8,rrr,2.5,2.8,8.6,-0.0444,Southern_California.19990703.stacov.point-2016/02/16-09:28:01 
19990704,1999.5051,-193.3,133.1,8.5,rrr,2.5,2.9,8.4,-0.0116,Southern_California.19990704.stacov.point-2016/02/16-09:28:02 
19990705,1999.5078,-193.4,133.4,2.5,rrr,2.5,2.8,8.4,-0.0088,Southern_California.19990705.stacov.point-2016/02/16-09:28:02 
19990706,1999.5106,-193.5,133.2,7.0,rrr,2.5,2.9,8.4,0.0035,Southern_California.19990706.stacov.point-2016/02/16-09:28:02 
19990707,1999.5133,-192.9,134.7,6.7,rrr,2.6,3.0,9.1,-0.0119,Southern_California.19990707.stacov.point-2016/02/16-09:28:03 
19990708,1999.516,-194.6,133.1,10.9,rrr,2.5,3.0,8.7,0.0264,Southern_California.19990708.stacov.point-2016/02/16-09:28:03 
19990709,1999.5188,-192.1,132.3,8.0,rrr,2.6,2.9,8.9,-0.0137,Southern_California.19990709.stacov.point-2016/02/16-09:28:04 
19990710,1999.5215,-192.5,133.4,10.8,rrr,2.6,3.0,9.1,-0.012,Southern_California.19990710.stacov.point-2016/02/16-09:28:04 
19990711,1999.5242,-191.9,132.7,8.9,rrr,2.6,3.0,8.9,0.0041,Southern_California.19990711.stacov.point-2016/02/16-09:28:05 
19990712,1999.527,-192.9,133.2,-0.0,rrr,2.5,2.9,8.6,-0.0534,Southern_California.19990712.stacov.point-2016/02/16-09:28:05 
19990713,1999.5297,-195.0,137.1,9.1,rrr,3.7,4.2,12.9,0.1241,Southern_California.19990713.stacov.point-2016/02/16-09:28:05 
19991021,1999.8035,-184.9,125.4,2.4,rrr,6.9,7.9,24.1,-0.1692,Southern_California.19991021.stacov.point-2016/02/16-09:28:50 
