DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000921,2000.7234,-304.7,339.3,-14.7,rrr,2.8,3.4,10.9,0.1244,Southern_California.20000921.stacov.point-2016/02/16-09:32:21 
20000922,2000.7262,-306.8,339.1,-16.1,rrr,2.8,3.2,10.8,0.099,Southern_California.20000922.stacov.point-2016/02/16-09:32:22 
20000923,2000.7289,-304.4,336.9,-13.1,rrr,2.8,3.2,10.8,0.1033,Southern_California.20000923.stacov.point-2016/02/16-09:32:23 
20000924,2000.7317,-305.5,339.9,-20.9,rrr,2.9,3.3,11.3,0.0973,Southern_California.20000924.stacov.point-2016/02/16-09:32:23 
20000925,2000.7344,-305.1,336.8,-14.8,rrr,2.8,3.2,10.8,0.0989,Southern_California.20000925.stacov.point-2016/02/16-09:32:24 
20000926,2000.7371,-305.5,337.6,-13.6,rrr,2.8,3.2,10.8,0.0881,Southern_California.20000926.stacov.point-2016/02/16-09:32:25 
20000927,2000.7399,-306.2,338.1,-8.8,rrr,2.8,3.3,11.3,0.1258,Southern_California.20000927.stacov.point-2016/02/16-09:32:25 
20000928,2000.7426,-306.3,337.1,-15.5,rrr,2.9,3.3,11.3,0.1445,Southern_California.20000928.stacov.point-2016/02/16-09:32:26 
20000929,2000.7454,-306.9,336.2,-23.2,rrr,2.9,3.3,11.3,0.1019,Southern_California.20000929.stacov.point-2016/02/16-09:32:27 
20000930,2000.7481,-307.7,335.6,-18.4,rrr,2.8,3.2,10.8,0.1166,Southern_California.20000930.stacov.point-2016/02/16-09:32:27 
20001001,2000.7508,-305.1,336.6,-9.2,rrr,2.9,3.4,11.3,0.1412,Southern_California.20001001.stacov.point-2016/02/16-09:32:28 
20001002,2000.7536,-306.4,337.6,-17.0,rrr,2.9,3.3,11.1,0.144,Southern_California.20001002.stacov.point-2016/02/16-09:32:29 
20001003,2000.7563,-305.6,335.4,-22.0,rrr,3.6,4.2,14.3,0.1321,Southern_California.20001003.stacov.point-2016/02/16-09:32:29 
20001025,2000.8165,-304.2,336.5,-19.2,rrr,4.3,5.0,17.4,0.0955,Southern_California.20001025.stacov.point-2016/02/16-09:32:44 
20001026,2000.8193,-300.9,333.9,-17.9,rrr,4.5,4.9,16.7,0.0923,Southern_California.20001026.stacov.point-2016/02/16-09:32:45 
20001027,2000.822,-303.2,333.5,-16.2,rrr,4.5,5.1,17.9,0.1311,Southern_California.20001027.stacov.point-2016/02/16-09:32:46 
20001028,2000.8247,-302.3,335.0,-20.9,rrr,4.1,4.8,15.9,0.1243,Southern_California.20001028.stacov.point-2016/02/16-09:32:46 
20001029,2000.8276,-301.3,335.4,-21.7,rrr,4.3,4.6,16.4,0.0873,Southern_California.20001029.stacov.point-2016/02/16-09:32:47 
