,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19980312,1998.1937,-273.4,234.7,-0.6,rrr,2.5,3.0,8.6,-0.0309,Southern_California.19980312.stacov.point-2016/02/16-09:25:13 
1,19980313,1998.1965,-272.5,232.6,-2.6,rrr,2.4,2.8,8.3,-0.0722,Southern_California.19980313.stacov.point-2016/02/16-09:25:13 
2,19980314,1998.1992,-272.6,233.6,0.9,rrr,2.4,2.9,8.4,-0.0038,Southern_California.19980314.stacov.point-2016/02/16-09:25:13 
3,19980315,1998.2019,-267.9,235.2,0.3,rrr,2.4,2.7,8.1,-0.0351,Southern_California.19980315.stacov.point-2016/02/16-09:25:14 
4,19980316,1998.2047,-272.2,235.0,2.1,rrr,2.4,2.7,8.1,-0.0278,Southern_California.19980316.stacov.point-2016/02/16-09:25:14 
5,19980317,1998.2074,-271.7,235.6,3.5,rrr,2.4,2.8,8.1,-0.047,Southern_California.19980317.stacov.point-2016/02/16-09:25:14 
6,19980318,1998.2102,-270.9,234.1,-5.0,rrr,2.4,2.8,8.1,-0.0431,Southern_California.19980318.stacov.point-2016/02/16-09:25:14 
7,19980319,1998.2129,-267.2,233.2,-1.6,rrr,2.4,2.8,8.3,-0.0626,Southern_California.19980319.stacov.point-2016/02/16-09:25:15 
8,19980320,1998.2156,-263.3,236.3,-5.1,rrr,2.6,3.1,9.2,-0.0598,Southern_California.19980320.stacov.point-2016/02/16-09:25:15 
9,19980321,1998.2184,-260.5,232.8,-5.0,rrr,2.5,3.0,9.0,-0.0503,Southern_California.19980321.stacov.point-2016/02/16-09:25:15 
10,19980322,1998.2211,-264.3,234.1,-1.6,rrr,2.5,2.8,8.5,-0.0585,Southern_California.19980322.stacov.point-2016/02/16-09:25:16 
11,19980323,1998.2239,-261.1,236.3,7.9,rrr,2.7,3.0,9.4,-0.1062,Southern_California.19980323.stacov.point-2016/02/16-09:25:16 
12,19980324,1998.2266,-247.7,238.3,12.0,rrr,2.7,3.3,9.9,-0.0699,Southern_California.19980324.stacov.point-2016/02/16-09:25:16 
13,19980325,1998.2293,-271.0,233.0,2.8,rrr,2.4,2.8,8.3,-0.0571,Southern_California.19980325.stacov.point-2016/02/16-09:25:17 
14,19980326,1998.2321,-272.4,232.6,-6.7,rrr,2.5,2.8,8.5,-0.0538,Southern_California.19980326.stacov.point-2016/02/16-09:25:17 
15,19980327,1998.2348,-272.5,232.3,-4.5,rrr,2.5,2.9,8.6,-0.02,Southern_California.19980327.stacov.point-2016/02/16-09:25:17 
16,19980328,1998.2375,-270.8,234.5,-1.5,rrr,2.5,3.0,8.8,-0.051,Southern_California.19980328.stacov.point-2016/02/16-09:25:17 
17,19980329,1998.2403,-270.6,230.8,-2.3,rrr,2.5,3.0,8.8,-0.05,Southern_California.19980329.stacov.point-2016/02/16-09:25:18 
18,19980330,1998.243,-264.7,235.2,-6.9,rrr,2.6,3.0,9.2,-0.0662,Southern_California.19980330.stacov.point-2016/02/16-09:25:18 
19,19980331,1998.2458,-267.7,231.6,1.5,rrr,2.6,3.0,9.0,-0.0308,Southern_California.19980331.stacov.point-2016/02/16-09:25:18 
20,19980401,1998.2485,-271.4,231.4,-1.3,rrr,2.5,3.0,8.8,-0.0215,Southern_California.19980401.stacov.point-2016/02/16-09:25:19 
21,19980402,1998.2512,-267.7,232.9,2.4,rrr,2.6,3.0,9.2,-0.069,Southern_California.19980402.stacov.point-2016/02/16-09:25:19 
22,19980403,1998.254,-253.6,235.5,9.3,rrr,2.6,3.0,9.2,-0.0686,Southern_California.19980403.stacov.point-2016/02/16-09:25:19 
23,19980404,1998.2567,-261.6,233.0,0.4,rrr,2.6,3.0,9.2,-0.0569,Southern_California.19980404.stacov.point-2016/02/16-09:25:20 
24,19980405,1998.2593,-259.3,235.2,4.7,rrr,2.7,3.2,9.5,-0.046,Southern_California.19980405.stacov.point-2016/02/16-09:25:20 
25,19980406,1998.2621,-260.3,234.5,-1.3,rrr,2.6,3.1,9.2,-0.0692,Southern_California.19980406.stacov.point-2016/02/16-09:25:20 
26,19980407,1998.2648,-258.3,234.3,-3.6,rrr,2.7,3.2,9.5,-0.0828,Southern_California.19980407.stacov.point-2016/02/16-09:25:20 
27,19980408,1998.2675,-255.4,235.7,1.0,rrr,2.7,3.1,9.6,-0.0852,Southern_California.19980408.stacov.point-2016/02/16-09:25:21 
28,19980409,1998.2703,-251.7,238.1,5.8,rrr,2.7,3.1,9.6,-0.0623,Southern_California.19980409.stacov.point-2016/02/16-09:25:21 
29,19980410,1998.273,-245.6,239.8,9.8,rrr,2.7,3.1,10.0,-0.0648,Southern_California.19980410.stacov.point-2016/02/16-09:25:21 
30,19980411,1998.2758,-255.3,234.9,17.1,rrr,2.7,3.2,9.9,-0.1084,Southern_California.19980411.stacov.point-2016/02/16-09:25:22 
31,19980412,1998.2785,-259.1,233.2,-9.0,rrr,2.6,3.1,9.2,-0.09,Southern_California.19980412.stacov.point-2016/02/16-09:25:22 
32,19980413,1998.2812,-256.0,231.2,8.7,rrr,2.6,3.0,9.2,-0.0424,Southern_California.19980413.stacov.point-2016/02/16-09:25:22 
33,19980414,1998.284,-256.9,232.9,-3.0,rrr,2.6,3.1,9.4,-0.0938,Southern_California.19980414.stacov.point-2016/02/16-09:25:23 
34,19980415,1998.2867,-258.3,229.9,-4.0,rrr,2.8,3.1,9.7,-0.0051,Southern_California.19980415.stacov.point-2016/02/16-09:25:23 
35,19980416,1998.2894,-251.4,232.2,1.1,rrr,2.6,3.1,9.4,-0.0792,Southern_California.19980416.stacov.point-2016/02/16-09:25:23 
