,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19990707,1999.5133,-314.2,289.4,19.2,rrr,2.8,3.4,10.2,-0.0614,Southern_California.19990707.stacov.point-2016/02/16-09:28:03 
1,19990708,1999.516,-314.0,290.9,30.1,rrr,2.7,3.2,10.1,-0.1078,Southern_California.19990708.stacov.point-2016/02/16-09:28:03 
2,19990709,1999.5188,-312.6,289.2,24.3,rrr,3.1,3.7,11.8,-0.0287,Southern_California.19990709.stacov.point-2016/02/16-09:28:04 
3,19990710,1999.5215,-314.5,288.8,21.5,rrr,2.6,3.2,9.7,-0.0769,Southern_California.19990710.stacov.point-2016/02/16-09:28:04 
4,19990711,1999.5242,-312.9,290.2,23.5,rrr,2.7,3.2,9.9,-0.0655,Southern_California.19990711.stacov.point-2016/02/16-09:28:05 
5,19990712,1999.527,-313.7,289.0,19.6,rrr,2.6,3.2,9.8,-0.094,Southern_California.19990712.stacov.point-2016/02/16-09:28:05 
6,19990713,1999.5297,-311.5,291.3,18.1,rrr,2.6,3.1,9.4,-0.1118,Southern_California.19990713.stacov.point-2016/02/16-09:28:05 
7,19990714,1999.5325,-313.9,290.1,16.1,rrr,2.6,3.0,9.4,-0.1112,Southern_California.19990714.stacov.point-2016/02/16-09:28:06 
8,19990715,1999.5352,-313.4,289.9,18.3,rrr,2.6,3.1,9.5,-0.049,Southern_California.19990715.stacov.point-2016/02/16-09:28:06 
9,19990716,1999.5379,-314.8,291.2,23.6,rrr,2.6,3.1,9.9,-0.0912,Southern_California.19990716.stacov.point-2016/02/16-09:28:07 
10,19990717,1999.5407,-314.0,288.3,13.3,rrr,2.6,3.1,9.5,-0.066,Southern_California.19990717.stacov.point-2016/02/16-09:28:07 
11,19990718,1999.5434,-315.3,287.8,14.3,rrr,2.9,3.5,10.9,-0.0513,Southern_California.19990718.stacov.point-2016/02/16-09:28:08 
12,19990720,1999.5489,-315.5,287.8,12.0,rrr,2.7,3.1,10.1,-0.1104,Southern_California.19990720.stacov.point-2016/02/16-09:28:08 
13,19990722,1999.5544,-314.5,290.9,17.8,rrr,2.6,3.2,9.8,-0.1043,Southern_California.19990722.stacov.point-2016/02/16-09:28:09 
14,19990723,1999.5571,-313.0,290.5,8.4,rrr,2.7,3.1,10.1,-0.104,Southern_California.19990723.stacov.point-2016/02/16-09:28:10 
15,19990724,1999.5598,-313.9,287.0,8.3,rrr,2.7,3.2,10.1,-0.1183,Southern_California.19990724.stacov.point-2016/02/16-09:28:10 
16,19990725,1999.5626,-314.1,288.1,10.1,rrr,2.7,3.1,9.9,-0.0871,Southern_California.19990725.stacov.point-2016/02/16-09:28:10 
17,19990726,1999.5653,-310.4,287.5,10.4,rrr,2.8,3.2,10.4,-0.1349,Southern_California.19990726.stacov.point-2016/02/16-09:28:11 
18,19990727,1999.568,-313.2,287.9,19.0,rrr,2.7,3.1,9.9,-0.0794,Southern_California.19990727.stacov.point-2016/02/16-09:28:11 
19,19990728,1999.5708,-314.1,287.1,14.7,rrr,2.6,3.2,9.8,-0.0757,Southern_California.19990728.stacov.point-2016/02/16-09:28:12 
20,19990729,1999.5735,-311.6,287.2,6.4,rrr,2.6,3.3,9.7,-0.0893,Southern_California.19990729.stacov.point-2016/02/16-09:28:12 
