,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19991109,1999.8556,-327.1,299.2,-5.4,rrr,2.6,3.1,9.5,-0.0291,Southern_California.19991109.stacov.point-2016/02/16-09:29:01 
1,19991110,1999.8584,-328.1,298.1,2.3,rrr,2.6,3.0,9.2,-0.074,Southern_California.19991110.stacov.point-2016/02/16-09:29:02 
2,19991111,1999.8611,-324.8,298.7,-3.1,rrr,2.6,3.1,9.3,-0.031,Southern_California.19991111.stacov.point-2016/02/16-09:29:02 
3,19991112,1999.8639,-326.5,299.8,0.9,rrr,2.6,3.2,9.3,-0.007,Southern_California.19991112.stacov.point-2016/02/16-09:29:03 
4,19991113,1999.8666,-324.8,297.5,0.4,rrr,2.6,3.0,9.2,-0.0374,Southern_California.19991113.stacov.point-2016/02/16-09:29:04 
5,19991114,1999.8693,-325.0,298.1,-6.9,rrr,2.5,3.0,9.2,-0.055,Southern_California.19991114.stacov.point-2016/02/16-09:29:04 
6,19991115,1999.8721,-326.7,298.0,-1.0,rrr,2.6,3.1,9.5,-0.044,Southern_California.19991115.stacov.point-2016/02/16-09:29:05 
7,19991116,1999.8748,-325.2,298.8,5.7,rrr,2.6,3.2,9.5,-0.0279,Southern_California.19991116.stacov.point-2016/02/16-09:29:05 
8,19991117,1999.8775,-325.2,297.2,6.3,rrr,2.6,3.1,9.3,-0.0122,Southern_California.19991117.stacov.point-2016/02/16-09:29:06 
9,19991118,1999.8803,-324.1,301.4,0.8,rrr,2.6,3.0,9.2,-0.0412,Southern_California.19991118.stacov.point-2016/02/16-09:29:06 
10,19991119,1999.883,-324.3,297.4,-3.8,rrr,2.6,3.2,9.3,0.0104,Southern_California.19991119.stacov.point-2016/02/16-09:29:07 
11,19991120,1999.8858,-323.7,296.8,-8.2,rrr,3.1,3.8,11.4,-0.111,Southern_California.19991120.stacov.point-2016/02/16-09:29:08 
12,20000208,2000.1048,-315.7,295.5,-1.6,rrr,2.5,3.1,9.3,-0.0172,Southern_California.20000208.stacov.point-2016/02/16-09:29:55 
13,20000209,2000.1075,-316.2,296.2,1.4,rrr,2.5,3.0,9.2,-0.0523,Southern_California.20000209.stacov.point-2016/02/16-09:29:56 
14,20000210,2000.1103,-316.8,294.5,1.7,rrr,2.5,3.1,9.2,-0.0124,Southern_California.20000210.stacov.point-2016/02/16-09:29:56 
15,20000211,2000.113,-313.1,296.7,2.7,rrr,2.5,3.1,9.2,-0.0215,Southern_California.20000211.stacov.point-2016/02/16-09:29:57 
