,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19990309,1999.1849,-179.3,161.1,1.5,rrr,2.5,3.0,8.6,0.0092,Southern_California.19990309.stacov.point-2016/02/16-09:27:12 
1,19990310,1999.1876,-178.8,157.7,1.0,rrr,2.5,3.0,8.7,-0.0032,Southern_California.19990310.stacov.point-2016/02/16-09:27:12 
2,19990311,1999.1903,-177.6,157.5,0.7,rrr,2.5,2.9,8.6,-0.0132,Southern_California.19990311.stacov.point-2016/02/16-09:27:13 
3,19990312,1999.1931,-180.9,156.8,-6.1,rrr,2.5,2.8,8.5,-0.0531,Southern_California.19990312.stacov.point-2016/02/16-09:27:13 
4,19990313,1999.1958,-181.7,156.4,2.2,rrr,2.5,3.0,8.6,-0.003,Southern_California.19990313.stacov.point-2016/02/16-09:27:14 
5,19990314,1999.1985,-179.1,157.8,-1.1,rrr,2.5,3.0,8.6,0.0079,Southern_California.19990314.stacov.point-2016/02/16-09:27:14 
6,19990315,1999.2013,-178.0,156.6,7.5,rrr,2.5,3.0,8.6,-0.0104,Southern_California.19990315.stacov.point-2016/02/16-09:27:14 
7,19990316,1999.204,-180.4,159.0,1.9,rrr,2.6,2.9,9.0,-0.0086,Southern_California.19990316.stacov.point-2016/02/16-09:27:15 
8,19990317,1999.2068,-180.9,158.6,-2.9,rrr,2.5,3.0,8.6,-0.0081,Southern_California.19990317.stacov.point-2016/02/16-09:27:15 
9,19990318,1999.2095,-181.9,158.7,-0.0,rrr,2.5,3.0,8.6,-0.0007,Southern_California.19990318.stacov.point-2016/02/16-09:27:16 
10,19990319,1999.2122,-180.8,159.7,-7.6,rrr,2.6,3.0,8.7,0.0125,Southern_California.19990319.stacov.point-2016/02/16-09:27:16 
11,19990320,1999.215,-181.7,162.0,2.4,rrr,2.6,3.0,8.7,0.0017,Southern_California.19990320.stacov.point-2016/02/16-09:27:16 
12,19990321,1999.2177,-182.1,154.5,-4.0,rrr,2.5,3.0,8.6,-0.0179,Southern_California.19990321.stacov.point-2016/02/16-09:27:17 
13,19990322,1999.2204,-180.9,155.9,-3.8,rrr,2.5,3.0,8.6,-0.0144,Southern_California.19990322.stacov.point-2016/02/16-09:27:17 
14,19990323,1999.2232,-181.2,160.6,-11.4,rrr,2.5,3.0,8.6,-0.0141,Southern_California.19990323.stacov.point-2016/02/16-09:27:18 
15,19990324,1999.2259,-182.8,158.9,-10.0,rrr,2.5,3.0,8.8,-0.0263,Southern_California.19990324.stacov.point-2016/02/16-09:27:18 
16,19990325,1999.2287,-180.3,157.6,-7.3,rrr,2.5,3.0,8.8,-0.025,Southern_California.19990325.stacov.point-2016/02/16-09:27:18 
17,19990326,1999.2314,-181.0,156.3,-4.8,rrr,2.5,3.0,8.6,0.0078,Southern_California.19990326.stacov.point-2016/02/16-09:27:19 
18,19990327,1999.2341,-179.5,158.1,-3.9,rrr,2.6,3.0,9.0,-0.0377,Southern_California.19990327.stacov.point-2016/02/16-09:27:19 
19,19990328,1999.2369,-179.3,154.7,-7.9,rrr,2.6,3.0,9.0,-0.0456,Southern_California.19990328.stacov.point-2016/02/16-09:27:20 
20,19990329,1999.2396,-179.1,157.2,-5.1,rrr,2.5,3.0,8.8,-0.0355,Southern_California.19990329.stacov.point-2016/02/16-09:27:20 
21,19990330,1999.2424,-180.6,156.7,-2.8,rrr,2.5,2.9,8.6,-0.0013,Southern_California.19990330.stacov.point-2016/02/16-09:27:20 
22,19990331,1999.2451,-182.3,158.2,0.6,rrr,2.6,2.9,9.0,-0.0166,Southern_California.19990331.stacov.point-2016/02/16-09:27:21 
23,19990401,1999.2478,-181.7,154.5,0.9,rrr,2.6,3.0,9.0,-0.0233,Southern_California.19990401.stacov.point-2016/02/16-09:27:21 
24,19990402,1999.2506,-179.9,156.3,-1.1,rrr,2.6,3.0,9.0,-0.0526,Southern_California.19990402.stacov.point-2016/02/16-09:27:22 
25,19990403,1999.2533,-180.6,156.6,-1.8,rrr,2.6,3.0,9.0,-0.0346,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
26,19990404,1999.2559,-179.1,156.2,0.9,rrr,3.2,3.9,11.3,0.0558,Southern_California.19990404.stacov.point-2016/02/16-09:27:22 
27,19990405,1999.2587,-179.3,155.4,-5.2,rrr,2.5,2.9,8.6,0.0054,Southern_California.19990405.stacov.point-2016/02/16-09:27:23 
