,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19980122,1998.0596,-387.6,355.0,9.1,rrr,2.5,2.9,8.4,-0.0162,Southern_California.19980122.stacov.point-2016/02/16-09:24:58 
1,19980123,1998.0623,-395.2,352.5,12.5,rrr,2.5,2.9,8.7,-0.0581,Southern_California.19980123.stacov.point-2016/02/16-09:24:58 
2,19980124,1998.0651,-387.3,356.0,5.2,rrr,2.5,2.9,8.4,-0.0294,Southern_California.19980124.stacov.point-2016/02/16-09:24:59 
3,19980125,1998.0678,-388.7,357.0,1.6,rrr,2.4,2.8,8.1,0.0099,Southern_California.19980125.stacov.point-2016/02/16-09:24:59 
4,19980126,1998.0705,-387.6,357.5,4.6,rrr,2.4,2.8,8.1,0.007,Southern_California.19980126.stacov.point-2016/02/16-09:24:59 
5,19980127,1998.0733,-388.2,356.2,0.1,rrr,2.4,2.8,8.2,0.01,Southern_California.19980127.stacov.point-2016/02/16-09:25:00 
6,19980128,1998.076,-388.7,358.2,3.0,rrr,2.5,2.8,8.4,-0.0369,Southern_California.19980128.stacov.point-2016/02/16-09:25:00 
7,19980129,1998.0787,-388.0,357.4,0.6,rrr,2.5,2.9,8.7,-0.0747,Southern_California.19980129.stacov.point-2016/02/16-09:25:00 
8,19980130,1998.0815,-386.2,355.9,-1.2,rrr,2.4,2.8,8.1,0.0151,Southern_California.19980130.stacov.point-2016/02/16-09:25:01 
9,19980131,1998.0842,-388.4,355.9,2.6,rrr,2.5,2.9,8.4,-0.0218,Southern_California.19980131.stacov.point-2016/02/16-09:25:01 
10,19980201,1998.087,-387.1,355.5,3.3,rrr,2.5,2.8,8.4,-0.0375,Southern_California.19980201.stacov.point-2016/02/16-09:25:01 
11,19980202,1998.0897,-387.4,357.9,-4.7,rrr,2.4,2.8,8.2,-0.0018,Southern_California.19980202.stacov.point-2016/02/16-09:25:01 
12,19980203,1998.0924,-384.6,358.2,-0.7,rrr,2.4,2.8,8.4,-0.0252,Southern_California.19980203.stacov.point-2016/02/16-09:25:02 
13,19980204,1998.0952,-385.1,358.6,13.3,rrr,2.5,3.0,8.8,0.0189,Southern_California.19980204.stacov.point-2016/02/16-09:25:02 
14,19980205,1998.0979,-386.8,353.9,2.5,rrr,2.5,2.8,8.4,0.0038,Southern_California.19980205.stacov.point-2016/02/16-09:25:02 
15,19980207,1998.1034,-385.9,359.4,0.9,rrr,2.5,2.8,8.4,-0.0147,Southern_California.19980207.stacov.point-2016/02/16-09:25:03 
16,19980208,1998.1061,-385.5,357.5,1.9,rrr,2.4,2.9,8.4,0.0009,Southern_California.19980208.stacov.point-2016/02/16-09:25:03 
17,19980209,1998.1089,-384.7,355.8,10.3,rrr,2.5,2.8,8.4,-0.0129,Southern_California.19980209.stacov.point-2016/02/16-09:25:03 
18,19980210,1998.1116,-387.4,354.2,4.2,rrr,2.5,2.8,8.4,-0.0264,Southern_California.19980210.stacov.point-2016/02/16-09:25:04 
19,19980211,1998.1143,-387.0,355.6,2.4,rrr,2.5,2.8,8.4,-0.0175,Southern_California.19980211.stacov.point-2016/02/16-09:25:04 
20,19980212,1998.1171,-386.5,354.7,4.5,rrr,2.5,2.8,8.4,-0.0043,Southern_California.19980212.stacov.point-2016/02/16-09:25:04 
21,19980213,1998.1198,-387.0,356.2,3.4,rrr,2.5,2.8,8.4,-0.0272,Southern_California.19980213.stacov.point-2016/02/16-09:25:05 
22,19980214,1998.1225,-386.1,358.5,1.5,rrr,2.4,3.0,8.6,0.0288,Southern_California.19980214.stacov.point-2016/02/16-09:25:05 
23,19980215,1998.1253,-384.4,357.0,13.2,rrr,2.5,3.0,8.9,0.0054,Southern_California.19980215.stacov.point-2016/02/16-09:25:05 
24,19980216,1998.128,-387.8,354.9,4.5,rrr,2.4,2.8,8.2,0.0038,Southern_California.19980216.stacov.point-2016/02/16-09:25:06 
25,19980217,1998.1308,-385.5,354.4,6.1,rrr,2.5,2.8,8.4,-0.0264,Southern_California.19980217.stacov.point-2016/02/16-09:25:06 
26,19980218,1998.1335,-383.6,355.6,2.6,rrr,2.6,3.0,8.9,-0.0223,Southern_California.19980218.stacov.point-2016/02/16-09:25:06 
27,19980219,1998.1362,-385.2,352.9,1.6,rrr,2.5,3.0,8.5,0.0361,Southern_California.19980219.stacov.point-2016/02/16-09:25:06 
28,19980220,1998.139,-385.5,352.2,5.5,rrr,2.4,2.8,8.5,-0.004,Southern_California.19980220.stacov.point-2016/02/16-09:25:07 
29,19980221,1998.1417,-385.7,353.2,5.5,rrr,2.4,2.8,8.3,-0.0385,Southern_California.19980221.stacov.point-2016/02/16-09:25:07 
30,19980222,1998.1445,-383.9,356.4,4.1,rrr,2.4,2.8,8.5,-0.0386,Southern_California.19980222.stacov.point-2016/02/16-09:25:07 
31,19980223,1998.1472,-382.3,357.0,3.5,rrr,2.4,2.8,8.4,-0.029,Southern_California.19980223.stacov.point-2016/02/16-09:25:08 
32,19980224,1998.1499,-385.2,356.4,4.0,rrr,2.4,2.8,8.5,-0.0233,Southern_California.19980224.stacov.point-2016/02/16-09:25:08 
33,19980225,1998.1527,-384.4,353.8,2.8,rrr,2.4,2.8,8.4,-0.0213,Southern_California.19980225.stacov.point-2016/02/16-09:25:08 
34,19980226,1998.1554,-384.0,352.9,8.1,rrr,2.4,2.9,8.4,-0.0321,Southern_California.19980226.stacov.point-2016/02/16-09:25:08 
35,19980227,1998.1581,-384.8,352.9,8.4,rrr,2.4,2.8,8.4,-0.0321,Southern_California.19980227.stacov.point-2016/02/16-09:25:09 
36,19980228,1998.1609,-386.5,353.4,4.7,rrr,2.4,2.9,8.4,-0.0385,Southern_California.19980228.stacov.point-2016/02/16-09:25:09 
37,19980301,1998.1636,-386.0,352.6,3.3,rrr,2.5,2.8,8.4,-0.035,Southern_California.19980301.stacov.point-2016/02/16-09:25:09 
38,19980302,1998.1664,-384.1,354.5,3.6,rrr,2.4,2.8,8.3,-0.0314,Southern_California.19980302.stacov.point-2016/02/16-09:25:10 
39,19980303,1998.1691,-385.7,350.7,-5.9,rrr,2.3,2.8,8.1,0.0012,Southern_California.19980303.stacov.point-2016/02/16-09:25:10 
