,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20011219,2001.9666,-74.1,46.2,-21.9,rrr,2.4,2.7,8.1,-0.0033,Southern_California.20011219.stacov.point-2016/02/16-09:38:01 
1,20011220,2001.9693,-72.1,43.2,-18.2,rrr,2.4,2.7,8.1,0.0062,Southern_California.20011220.stacov.point-2016/02/16-09:38:02 
2,20011221,2001.972,-74.5,43.2,-22.4,rrr,2.5,2.9,8.4,0.0195,Southern_California.20011221.stacov.point-2016/02/16-09:38:03 
3,20011222,2001.9748,-74.7,40.4,-23.6,rrr,2.5,3.0,8.4,0.0155,Southern_California.20011222.stacov.point-2016/02/16-09:38:04 
4,20011223,2001.9775,-74.0,42.7,-27.1,rrr,2.5,3.0,8.4,0.0248,Southern_California.20011223.stacov.point-2016/02/16-09:38:04 
5,20011224,2001.9803,-73.2,41.4,-30.3,rrr,2.5,2.8,8.3,-0.0627,Southern_California.20011224.stacov.point-2016/02/16-09:38:05 
6,20011225,2001.983,-75.2,43.1,-25.4,rrr,2.4,2.7,8.1,-0.0207,Southern_California.20011225.stacov.point-2016/02/16-09:38:06 
7,20011226,2001.9857,-74.3,41.4,-24.7,rrr,2.5,2.8,8.3,-0.0483,Southern_California.20011226.stacov.point-2016/02/16-09:38:07 
8,20011227,2001.9885,-75.0,42.9,-19.2,rrr,2.5,2.7,8.3,-0.0417,Southern_California.20011227.stacov.point-2016/02/16-09:38:07 
9,20011228,2001.9912,-75.4,42.7,-22.3,rrr,2.4,2.8,8.3,-0.0464,Southern_California.20011228.stacov.point-2016/02/16-09:38:08 
10,20011229,2001.994,-76.1,42.0,-28.7,rrr,2.5,2.8,8.3,-0.0434,Southern_California.20011229.stacov.point-2016/02/16-09:38:09 
11,20011230,2001.9967,-75.6,40.6,-25.5,rrr,3.0,3.5,9.9,-0.0578,Southern_California.20011230.stacov.point-2016/02/16-09:38:10 
12,20020124,2002.0651,-73.5,37.9,-28.3,rrr,2.4,2.8,8.1,-0.0232,Southern_California.20020124.stacov.point-2016/02/16-09:38:29 
13,20020125,2002.0679,-74.3,38.6,-27.8,rrr,2.4,2.8,8.3,-0.036,Southern_California.20020125.stacov.point-2016/02/16-09:38:30 
14,20020126,2002.0706,-74.0,40.3,-22.3,rrr,2.4,2.8,8.1,-0.0131,Southern_California.20020126.stacov.point-2016/02/16-09:38:31 
