,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19991028,1999.8227,-284.0,288.4,-17.4,rrr,4.3,5.2,19.6,-0.0207,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
1,19991029,1999.8254,-289.5,291.5,-5.3,rrr,4.4,5.3,19.5,-0.0127,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
2,19991030,1999.8282,-286.6,294.4,-8.2,rrr,4.3,5.0,18.4,-0.0002,Southern_California.19991030.stacov.point-2016/02/16-09:28:55 
3,19991031,1999.831,-286.7,292.6,-8.5,rrr,4.4,5.0,19.1,0.0025,Southern_California.19991031.stacov.point-2016/02/16-09:28:56 
4,19991101,1999.8337,-286.9,294.9,-16.0,rrr,4.4,5.1,18.9,0.0022,Southern_California.19991101.stacov.point-2016/02/16-09:28:57 
5,19991102,1999.8365,-285.5,292.2,-10.0,rrr,4.3,5.0,18.6,-0.0442,Southern_California.19991102.stacov.point-2016/02/16-09:28:57 
6,19991103,1999.8392,-287.3,292.0,-5.1,rrr,4.3,4.9,18.0,-0.0168,Southern_California.19991103.stacov.point-2016/02/16-09:28:58 
7,19991104,1999.842,-286.8,294.5,-3.2,rrr,4.4,5.0,18.5,0.011,Southern_California.19991104.stacov.point-2016/02/16-09:28:58 
8,19991105,1999.8447,-286.9,292.1,-12.4,rrr,4.5,5.2,18.8,-0.0324,Southern_California.19991105.stacov.point-2016/02/16-09:28:59 
9,19991106,1999.8474,-286.3,291.4,-5.9,rrr,4.2,5.0,17.6,-0.0447,Southern_California.19991106.stacov.point-2016/02/16-09:28:59 
10,19991107,1999.8502,-286.2,291.9,-18.7,rrr,4.3,4.9,18.2,-0.0003,Southern_California.19991107.stacov.point-2016/02/16-09:29:00 
11,19991108,1999.8529,-287.7,289.1,-4.8,rrr,4.4,5.3,19.3,-0.0764,Southern_California.19991108.stacov.point-2016/02/16-09:29:01 
12,19991109,1999.8556,-288.4,292.0,-11.2,rrr,4.4,5.0,19.3,-0.0415,Southern_California.19991109.stacov.point-2016/02/16-09:29:01 
13,19991110,1999.8584,-289.1,289.9,-3.1,rrr,4.1,5.0,18.3,-0.0688,Southern_California.19991110.stacov.point-2016/02/16-09:29:02 
14,19991111,1999.8611,-286.0,291.5,-17.2,rrr,4.3,5.2,19.2,-0.0922,Southern_California.19991111.stacov.point-2016/02/16-09:29:02 
15,19991112,1999.8639,-288.1,291.8,-4.6,rrr,4.2,5.2,18.4,-0.0326,Southern_California.19991112.stacov.point-2016/02/16-09:29:03 
16,19991113,1999.8666,-287.1,289.3,-1.0,rrr,4.3,5.1,18.7,-0.0053,Southern_California.19991113.stacov.point-2016/02/16-09:29:04 
17,19991114,1999.8693,-286.2,289.5,-6.5,rrr,4.3,5.2,19.5,-0.0597,Southern_California.19991114.stacov.point-2016/02/16-09:29:04 
18,19991115,1999.8721,-288.7,288.6,-3.5,rrr,4.5,5.2,19.3,-0.1018,Southern_California.19991115.stacov.point-2016/02/16-09:29:05 
19,19991116,1999.8748,-285.3,288.9,-13.6,rrr,4.3,5.2,19.1,-0.0103,Southern_California.19991116.stacov.point-2016/02/16-09:29:05 
20,19991117,1999.8775,-287.7,289.0,-0.8,rrr,4.1,4.9,18.4,-0.0049,Southern_California.19991117.stacov.point-2016/02/16-09:29:06 
21,19991118,1999.8803,-285.9,293.1,-5.4,rrr,4.2,5.0,18.0,-0.0327,Southern_California.19991118.stacov.point-2016/02/16-09:29:06 
22,19991119,1999.883,-285.4,288.1,-17.4,rrr,4.3,5.3,18.9,-0.0566,Southern_California.19991119.stacov.point-2016/02/16-09:29:07 
23,19991120,1999.8858,-287.1,288.8,-10.5,rrr,4.4,5.2,19.5,-0.0039,Southern_California.19991120.stacov.point-2016/02/16-09:29:08 
24,19991121,1999.8885,-286.3,287.8,-6.8,rrr,4.3,5.1,18.6,-0.0396,Southern_California.19991121.stacov.point-2016/02/16-09:29:08 
25,19991122,1999.8912,-285.0,289.1,-3.8,rrr,4.3,5.0,17.9,-0.0696,Southern_California.19991122.stacov.point-2016/02/16-09:29:09 
26,19991123,1999.894,-284.9,290.7,-14.3,rrr,4.4,5.2,18.7,-0.0153,Southern_California.19991123.stacov.point-2016/02/16-09:29:09 
27,19991124,1999.8967,-283.9,288.8,-12.7,rrr,4.3,5.4,18.6,-0.0244,Southern_California.19991124.stacov.point-2016/02/16-09:29:10 
28,19991125,1999.8995,-282.9,290.2,-7.4,rrr,4.5,5.3,19.0,-0.0697,Southern_California.19991125.stacov.point-2016/02/16-09:29:10 
29,19991126,1999.9022,-284.8,290.6,-8.2,rrr,4.5,5.1,18.7,-0.0083,Southern_California.19991126.stacov.point-2016/02/16-09:29:11 
30,19991127,1999.9049,-283.1,293.5,-7.6,rrr,4.2,4.9,18.4,0.0063,Southern_California.19991127.stacov.point-2016/02/16-09:29:12 
31,19991128,1999.9077,-283.9,294.4,-11.9,rrr,4.1,4.8,17.9,-0.0421,Southern_California.19991128.stacov.point-2016/02/16-09:29:12 
32,19991129,1999.9104,-284.1,293.5,-18.1,rrr,4.3,5.1,18.6,-0.0659,Southern_California.19991129.stacov.point-2016/02/16-09:29:13 
33,19991130,1999.9131,-283.1,295.2,-8.4,rrr,4.4,5.0,18.6,-0.0612,Southern_California.19991130.stacov.point-2016/02/16-09:29:13 
34,19991201,1999.9159,-283.5,292.0,-9.3,rrr,4.3,4.9,18.9,0.0245,Southern_California.19991201.stacov.point-2016/02/16-09:29:14 
35,19991202,1999.9186,-284.3,291.7,-7.9,rrr,4.2,5.3,19.1,-0.036,Southern_California.19991202.stacov.point-2016/02/16-09:29:15 
36,19991203,1999.9214,-285.0,295.3,-9.5,rrr,4.3,5.0,18.0,0.0217,Southern_California.19991203.stacov.point-2016/02/16-09:29:15 
37,19991204,1999.9241,-285.8,293.3,-13.9,rrr,4.1,4.8,17.5,-0.0138,Southern_California.19991204.stacov.point-2016/02/16-09:29:16 
38,19991205,1999.9268,-284.7,294.6,-16.9,rrr,4.2,4.9,18.0,-0.0047,Southern_California.19991205.stacov.point-2016/02/16-09:29:16 
39,19991206,1999.9296,-282.8,293.7,-14.3,rrr,4.2,4.8,17.9,-0.0211,Southern_California.19991206.stacov.point-2016/02/16-09:29:17 
40,19991207,1999.9323,-285.4,290.8,-17.3,rrr,4.1,4.8,18.5,0.0147,Southern_California.19991207.stacov.point-2016/02/16-09:29:18 
41,19991208,1999.935,-284.7,294.9,-2.3,rrr,4.8,5.4,19.7,-0.0653,Southern_California.19991208.stacov.point-2016/02/16-09:29:18 
42,19991209,1999.9378,-284.8,289.4,-10.6,rrr,4.1,4.8,17.8,0.0485,Southern_California.19991209.stacov.point-2016/02/16-09:29:19 
43,19991210,1999.9405,-286.2,288.1,-5.8,rrr,4.2,5.0,17.8,0.0321,Southern_California.19991210.stacov.point-2016/02/16-09:29:19 
44,19991211,1999.9433,-284.6,288.2,-7.0,rrr,4.3,5.1,18.4,-0.0433,Southern_California.19991211.stacov.point-2016/02/16-09:29:20 
