DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19991016,1999.7898,-114.0,110.9,8.5,rrr,2.6,3.3,10.8,0.0313,Southern_California.19991016.stacov.point-2016/02/16-09:28:48 
19991017,1999.7926,-114.4,110.6,6.2,rrr,2.7,3.3,11.2,0.0012,Southern_California.19991017.stacov.point-2016/02/16-09:28:48 
19991029,1999.8254,-112.6,108.9,4.1,rrr,2.9,3.9,12.1,0.0999,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
19991030,1999.8282,-111.8,110.8,9.4,rrr,2.7,3.4,10.8,0.0776,Southern_California.19991030.stacov.point-2016/02/16-09:28:55 
19991031,1999.831,-112.1,110.0,8.4,rrr,2.8,3.7,11.4,0.1418,Southern_California.19991031.stacov.point-2016/02/16-09:28:56 
20000208,2000.1048,-104.2,105.4,7.5,rrr,2.6,3.4,10.8,0.0915,Southern_California.20000208.stacov.point-2016/02/16-09:29:55 
20000209,2000.1075,-102.9,105.4,5.2,rrr,2.6,3.5,11.0,0.1355,Southern_California.20000209.stacov.point-2016/02/16-09:29:56 
20000210,2000.1103,-105.7,103.0,11.7,rrr,2.6,3.4,10.8,0.068,Southern_California.20000210.stacov.point-2016/02/16-09:29:56 
20000211,2000.113,-100.4,104.7,2.5,rrr,2.6,3.4,10.6,0.1009,Southern_California.20000211.stacov.point-2016/02/16-09:29:57 
20000212,2000.1157,-101.5,102.7,6.0,rrr,2.7,3.6,11.5,0.1445,Southern_California.20000212.stacov.point-2016/02/16-09:29:57 
20000213,2000.1185,-101.0,104.2,7.4,rrr,2.6,3.5,11.0,0.1417,Southern_California.20000213.stacov.point-2016/02/16-09:29:58 
20000214,2000.1212,-104.1,102.0,4.2,rrr,2.7,3.5,11.0,0.1561,Southern_California.20000214.stacov.point-2016/02/16-09:29:59 
20000215,2000.124,-101.1,103.9,12.1,rrr,2.7,3.6,11.1,0.0825,Southern_California.20000215.stacov.point-2016/02/16-09:29:59 
20000216,2000.1267,-100.9,104.8,8.8,rrr,2.7,3.5,11.0,0.1425,Southern_California.20000216.stacov.point-2016/02/16-09:30:00 
20000217,2000.1294,-102.4,104.6,0.3,rrr,2.6,3.3,10.8,0.0918,Southern_California.20000217.stacov.point-2016/02/16-09:30:01 
20000218,2000.1322,-102.1,103.7,0.9,rrr,2.6,3.4,10.4,0.1313,Southern_California.20000218.stacov.point-2016/02/16-09:30:01 
20000219,2000.1349,-102.1,104.4,4.5,rrr,2.7,3.3,10.8,0.1042,Southern_California.20000219.stacov.point-2016/02/16-09:30:02 
20000220,2000.1376,-100.3,103.8,12.5,rrr,2.8,3.4,11.6,0.0882,Southern_California.20000220.stacov.point-2016/02/16-09:30:02 
20000221,2000.1404,-101.7,103.8,-0.6,rrr,2.8,3.5,11.5,0.0925,Southern_California.20000221.stacov.point-2016/02/16-09:30:03 
20000222,2000.1431,-101.8,103.3,3.7,rrr,2.7,3.3,10.8,0.0929,Southern_California.20000222.stacov.point-2016/02/16-09:30:04 
20000223,2000.1459,-103.5,103.6,6.8,rrr,2.7,3.6,11.7,0.1504,Southern_California.20000223.stacov.point-2016/02/16-09:30:05 
20000224,2000.1486,-102.6,101.5,5.2,rrr,2.7,3.5,11.0,0.1589,Southern_California.20000224.stacov.point-2016/02/16-09:30:05 
20000225,2000.1513,-102.2,101.2,4.4,rrr,2.7,3.5,11.0,0.1559,Southern_California.20000225.stacov.point-2016/02/16-09:30:06 
20000226,2000.1541,-100.9,102.4,1.2,rrr,2.7,3.3,10.8,0.1037,Southern_California.20000226.stacov.point-2016/02/16-09:30:06 
20000227,2000.1568,-102.0,103.5,4.6,rrr,2.7,3.5,11.0,0.1566,Southern_California.20000227.stacov.point-2016/02/16-09:30:07 
20000228,2000.1596,-101.6,99.6,3.8,rrr,2.7,3.3,11.0,0.0897,Southern_California.20000228.stacov.point-2016/02/16-09:30:08 
