,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20150208,2015.1058,-44.4,44.1,-0.7,rrr,2.7,3.0,9.8,-0.0006,Southern_California.20150208.stacov.point-2016/02/16-12:21:42 
1,20150209,2015.1085,-44.9,44.9,-6.9,rrr,2.7,3.1,9.8,0.0302,Southern_California.20150209.stacov.point-2016/02/16-12:21:44 
2,20150214,2015.1222,-43.6,43.3,-0.8,rrr,2.7,3.0,9.8,0.0019,Southern_California.20150214.stacov.point-2016/02/16-12:22:01 
3,20150216,2015.1277,-43.0,43.2,2.5,rrr,2.5,3.0,9.5,0.0574,Southern_California.20150216.stacov.point-2016/02/16-12:22:07 
4,20150221,2015.1414,-42.2,41.4,0.9,rrr,2.6,2.9,9.3,0.0306,Southern_California.20150221.stacov.point-2016/02/16-12:22:22 
5,20150223,2015.1469,-43.2,42.5,-0.9,rrr,2.7,3.1,9.8,0.0384,Southern_California.20150223.stacov.point-2016/02/16-12:22:30 
6,20150228,2015.1606,-34.5,42.3,5.7,rrr,2.7,3.0,9.7,-0.0037,Southern_California.20150228.stacov.point-2016/02/16-12:22:42 
7,20150301,2015.1633,-44.1,40.3,-8.0,rrr,2.6,2.8,8.8,-0.0127,Southern_California.20150301.stacov.point-2016/02/16-12:22:43 
8,20150304,2015.1715,-42.9,41.3,-1.0,rrr,2.5,2.9,9.0,0.0283,Southern_California.20150304.stacov.point-2016/02/16-12:22:47 
9,20150305,2015.1742,-42.8,40.4,1.7,rrr,2.6,2.8,9.3,0.0452,Southern_California.20150305.stacov.point-2016/02/16-12:22:48 
10,20150307,2015.1797,-42.2,40.0,-0.7,rrr,2.7,3.0,9.6,0.0331,Southern_California.20150307.stacov.point-2016/02/16-12:22:51 
11,20150308,2015.1823,-42.6,40.6,-2.0,rrr,2.6,2.8,9.3,0.0057,Southern_California.20150308.stacov.point-2016/02/16-12:22:53 
12,20150310,2015.1878,-44.0,41.1,4.2,rrr,2.7,3.0,9.8,-0.0015,Southern_California.20150310.stacov.point-2016/02/16-12:22:55 
13,20150311,2015.1906,-43.1,40.2,2.7,rrr,2.7,2.9,9.5,0.0026,Southern_California.20150311.stacov.point-2016/02/16-12:22:58 
14,20150312,2015.1933,-42.3,41.4,0.0,rrr,2.7,2.9,9.7,-0.0376,Southern_California.20150312.stacov.point-2016/02/16-12:23:02 
15,20150313,2015.196,-45.5,39.2,1.4,rrr,2.6,2.9,9.3,-0.0113,Southern_California.20150313.stacov.point-2016/02/16-12:23:06 
16,20150315,2015.2015,-41.0,41.1,-3.4,rrr,2.7,3.0,9.8,0.0233,Southern_California.20150315.stacov.point-2016/02/16-12:23:11 
17,20150316,2015.2042,-43.7,40.8,3.2,rrr,2.6,2.9,9.4,0.0084,Southern_California.20150316.stacov.point-2016/02/16-12:23:14 
18,20150317,2015.207,-42.0,40.1,-1.6,rrr,2.7,2.9,9.7,-0.0043,Southern_California.20150317.stacov.point-2016/02/16-12:23:17 
19,20150318,2015.2097,-41.6,40.5,3.5,rrr,2.7,2.9,9.7,-0.018,Southern_California.20150318.stacov.point-2016/02/16-12:23:20 
20,20150319,2015.2125,-43.1,41.5,-3.5,rrr,2.6,2.9,9.3,0.0039,Southern_California.20150319.stacov.point-2016/02/16-12:23:27 
21,20150320,2015.2152,-42.9,43.2,3.5,rrr,2.7,2.9,9.7,-0.0122,Southern_California.20150320.stacov.point-2016/02/16-12:23:30 
22,20150322,2015.2207,-43.0,39.9,-1.9,rrr,2.6,3.0,9.3,-0.0059,Southern_California.20150322.stacov.point-2016/02/16-12:23:38 
23,20150323,2015.2234,-43.0,40.0,-8.8,rrr,2.6,2.8,9.2,-0.0328,Southern_California.20150323.stacov.point-2016/02/16-12:23:43 
24,20150324,2015.2262,-43.2,40.5,3.1,rrr,2.6,2.9,9.3,0.0087,Southern_California.20150324.stacov.point-2016/02/16-12:23:45 
25,20150325,2015.2289,-41.8,39.6,4.1,rrr,2.6,2.9,9.3,0.0328,Southern_California.20150325.stacov.point-2016/02/16-12:23:47 
26,20150326,2015.2316,-43.0,39.8,3.5,rrr,2.7,2.8,9.5,0.0142,Southern_California.20150326.stacov.point-2016/02/16-12:23:50 
27,20150327,2015.2344,-41.4,41.0,4.0,rrr,2.7,3.0,9.8,0.0027,Southern_California.20150327.stacov.point-2016/02/16-12:23:53 
28,20150328,2015.2371,-42.5,41.5,0.4,rrr,2.7,2.8,9.7,-0.0063,Southern_California.20150328.stacov.point-2016/02/16-12:23:55 
29,20150329,2015.2398,-43.0,41.9,-2.0,rrr,2.9,3.0,10.2,-0.0029,Southern_California.20150329.stacov.point-2016/02/16-12:24:00 
30,20150330,2015.2426,-40.6,41.2,-4.4,rrr,2.8,3.0,10.1,0.0386,Southern_California.20150330.stacov.point-2016/02/16-12:24:04 
31,20150331,2015.2453,-41.5,39.9,1.6,rrr,2.9,3.2,10.5,0.0207,Southern_California.20150331.stacov.point-2016/02/16-12:24:06 
32,20150401,2015.2481,-43.4,42.0,2.0,rrr,2.7,3.1,9.8,0.0289,Southern_California.20150401.stacov.point-2016/02/16-12:24:10 
33,20150402,2015.2508,-43.4,39.5,0.9,rrr,2.7,2.9,9.5,-0.0092,Southern_California.20150402.stacov.point-2016/02/16-12:24:13 
34,20150403,2015.2535,-41.9,40.9,0.1,rrr,2.6,2.9,9.6,0.0074,Southern_California.20150403.stacov.point-2016/02/16-12:24:18 
35,20150404,2015.2563,-43.7,40.1,2.2,rrr,2.6,2.9,9.7,0.0593,Southern_California.20150404.stacov.point-2016/02/16-12:24:22 
36,20150405,2015.259,-44.3,38.4,5.4,rrr,2.7,3.0,9.5,0.0185,Southern_California.20150405.stacov.point-2016/02/16-12:24:24 
37,20150406,2015.2617,-42.7,37.8,-3.3,rrr,2.7,3.1,10.2,0.0552,Southern_California.20150406.stacov.point-2016/02/16-12:24:32 
38,20150407,2015.2645,-41.0,41.2,0.9,rrr,2.7,2.9,9.5,0.0557,Southern_California.20150407.stacov.point-2016/02/16-12:24:34 
39,20150408,2015.2672,-42.6,42.2,4.1,rrr,2.7,2.9,9.7,0.0339,Southern_California.20150408.stacov.point-2016/02/16-12:24:38 
40,20150410,2015.2727,-42.4,40.4,6.5,rrr,2.7,3.0,9.8,0.04,Southern_California.20150410.stacov.point-2016/02/16-12:24:47 
41,20150411,2015.2754,-44.5,40.7,3.9,rrr,2.7,3.0,9.8,0.0284,Southern_California.20150411.stacov.point-2016/02/16-12:24:50 
42,20150412,2015.2782,-43.2,39.4,2.2,rrr,2.7,3.0,9.6,0.0633,Southern_California.20150412.stacov.point-2016/02/16-12:24:52 
43,20150413,2015.2809,-41.3,39.4,-2.2,rrr,2.7,2.9,9.8,0.0388,Southern_California.20150413.stacov.point-2016/02/16-12:24:55 
44,20150414,2015.2836,-43.4,39.6,-3.4,rrr,2.7,3.0,9.8,0.0583,Southern_California.20150414.stacov.point-2016/02/16-12:24:57 
45,20150415,2015.2864,-42.2,39.7,-0.6,rrr,2.8,3.0,9.8,0.053,Southern_California.20150415.stacov.point-2016/02/16-12:25:01 
